symbol,timestamp,open,high,low,close,volume
GODSUSDT,2025-04-26 14:40:00,0.1044,0.1044,0.1043,0.1044,1506.0
GODSUSDT,2025-04-26 14:45:00,0.1044,0.1044,0.1042,0.1042,828.0
GODSUSDT,2025-04-26 14:50:00,0.1042,0.1043,0.104,0.1041,6334.0
GODSUSDT,2025-04-26 14:55:00,0.1041,0.1041,0.104,0.104,1724.0
GODSUSDT,2025-04-26 15:00:00,0.104,0.104,0.1035,0.1038,4700.0
GODSUSDT,2025-04-26 15:05:00,0.1038,0.1039,0.1037,0.1039,1012.0
GODSUSDT,2025-04-26 15:10:00,0.1039,0.1039,0.1037,0.1038,3192.0
GODSUSDT,2025-04-26 15:15:00,0.1038,0.1038,0.1036,0.1037,7679.0
GODSUSDT,2025-04-26 15:20:00,0.1037,0.1038,0.1037,0.1038,4051.0
GODSUSDT,2025-04-26 15:25:00,0.1038,0.1041,0.1038,0.1041,1638.0
GODSUSDT,2025-04-26 15:30:00,0.1041,0.1043,0.1041,0.1042,4088.0
GODSUSDT,2025-04-26 15:35:00,0.1042,0.1043,0.104,0.1042,2235.0
GODSUSDT,2025-04-26 15:40:00,0.1042,0.1043,0.1042,0.1043,1528.0
GODSUSDT,2025-04-26 15:45:00,0.1043,0.1043,0.1042,0.1043,817.0
GODSUSDT,2025-04-26 15:50:00,0.1043,0.1055,0.1043,0.1055,3527.0
GODSUSDT,2025-04-26 15:55:00,0.1055,0.1055,0.1053,0.1054,2419.0
GODSUSDT,2025-04-26 16:00:00,0.1054,0.1054,0.1052,0.1053,2863.0
GODSUSDT,2025-04-26 16:05:00,0.1053,0.1057,0.1051,0.1057,3346.0
GODSUSDT,2025-04-26 16:10:00,0.1057,0.1057,0.1055,0.1055,1847.0
GODSUSDT,2025-04-26 16:15:00,0.1055,0.1055,0.1048,0.1048,2840.0
GODSUSDT,2025-04-26 16:20:00,0.1048,0.1049,0.1048,0.1048,3480.0
GODSUSDT,2025-04-26 16:25:00,0.1048,0.1048,0.1047,0.1048,3798.0
GODSUSDT,2025-04-26 16:30:00,0.1048,0.1051,0.1045,0.1051,1907.0
GODSUSDT,2025-04-26 16:35:00,0.1051,0.1051,0.1046,0.1046,3525.0
GODSUSDT,2025-04-26 16:40:00,0.1046,0.1046,0.1044,0.1044,1844.0
GODSUSDT,2025-04-26 16:45:00,0.1044,0.1044,0.104,0.1042,4264.0
GODSUSDT,2025-04-26 16:50:00,0.1042,0.1043,0.1041,0.1043,3024.0
GODSUSDT,2025-04-26 16:55:00,0.1043,0.1044,0.1042,0.1044,3518.0
GODSUSDT,2025-04-26 17:00:00,0.1044,0.1046,0.1044,0.1045,6741.0
GODSUSDT,2025-04-26 17:05:00,0.1045,0.1045,0.1043,0.1043,1295.0
GODSUSDT,2025-04-26 17:10:00,0.1043,0.1043,0.1042,0.1042,2938.0
GODSUSDT,2025-04-26 17:15:00,0.1042,0.1042,0.1041,0.1041,2056.0
GODSUSDT,2025-04-26 17:20:00,0.1041,0.1042,0.104,0.1042,5853.0
GODSUSDT,2025-04-26 17:25:00,0.1042,0.1044,0.1042,0.1043,479.0
GODSUSDT,2025-04-26 17:30:00,0.1043,0.1043,0.1043,0.1043,1226.0
GODSUSDT,2025-04-26 17:35:00,0.1043,0.1045,0.1043,0.1044,7768.0
GODSUSDT,2025-04-26 17:40:00,0.1044,0.1046,0.1044,0.1046,5124.0
GODSUSDT,2025-04-26 17:45:00,0.1046,0.1046,0.1045,0.1046,1295.0
GODSUSDT,2025-04-26 17:50:00,0.1046,0.1046,0.1045,0.1045,3749.0
GODSUSDT,2025-04-26 17:55:00,0.1045,0.1045,0.1044,0.1044,719.0
GODSUSDT,2025-04-26 18:00:00,0.1044,0.1044,0.1042,0.1042,618.0
GODSUSDT,2025-04-26 18:05:00,0.1042,0.1045,0.1042,0.1045,4989.0
GODSUSDT,2025-04-26 18:10:00,0.1045,0.1046,0.1044,0.1045,5264.0
GODSUSDT,2025-04-26 18:15:00,0.1045,0.1046,0.1045,0.1046,3679.0
GODSUSDT,2025-04-26 18:20:00,0.1046,0.1046,0.1046,0.1046,8219.0
GODSUSDT,2025-04-26 18:25:00,0.1046,0.1049,0.1046,0.1046,3757.0
