symbol,timestamp,open,high,low,close,volume
GPSUSDT,2025-04-25 16:30:00,0.02181,0.02188,0.02165,0.02188,827416.0
GPSUSDT,2025-04-25 16:45:00,0.02188,0.02194,0.02177,0.02188,325475.0
GPSUSDT,2025-04-25 17:00:00,0.02188,0.02196,0.02178,0.0218,289694.0
GPSUSDT,2025-04-25 17:15:00,0.0218,0.02199,0.02172,0.02191,595472.0
GPSUSDT,2025-04-25 17:30:00,0.02191,0.02191,0.02153,0.02163,944244.0
GPSUSDT,2025-04-25 17:45:00,0.02163,0.02177,0.02155,0.02168,365718.0
GPSUSDT,2025-04-25 18:00:00,0.02168,0.0218,0.02156,0.02173,448083.0
GPSUSDT,2025-04-25 18:15:00,0.02173,0.02192,0.02165,0.02188,439592.0
GPSUSDT,2025-04-25 18:30:00,0.02188,0.02204,0.02185,0.02194,203100.0
GPSUSDT,2025-04-25 18:45:00,0.02194,0.02214,0.02182,0.02201,282960.0
GPSUSDT,2025-04-25 19:00:00,0.02201,0.02208,0.02193,0.02203,278556.0
GPSUSDT,2025-04-25 19:15:00,0.02203,0.02211,0.02201,0.02205,173664.0
GPSUSDT,2025-04-25 19:30:00,0.02205,0.02209,0.02197,0.02198,93761.0
GPSUSDT,2025-04-25 19:45:00,0.02198,0.02207,0.02198,0.022,188045.0
GPSUSDT,2025-04-25 20:00:00,0.022,0.022,0.02182,0.02187,204121.0
GPSUSDT,2025-04-25 20:15:00,0.02187,0.02187,0.02173,0.02174,133163.0
GPSUSDT,2025-04-25 20:30:00,0.02174,0.0219,0.02171,0.02182,252737.0
GPSUSDT,2025-04-25 20:45:00,0.02182,0.02193,0.0218,0.0219,135437.0
GPSUSDT,2025-04-25 21:00:00,0.0219,0.02204,0.0219,0.02203,151782.0
GPSUSDT,2025-04-25 21:15:00,0.02203,0.02204,0.02184,0.02189,188308.0
GPSUSDT,2025-04-25 21:30:00,0.02189,0.0221,0.02188,0.02196,333810.0
GPSUSDT,2025-04-25 21:45:00,0.02196,0.02199,0.02179,0.02193,242257.0
