symbol,timestamp,open,high,low,close,volume
HAEDALUSDT,2025-04-29 12:05:00,0.1303,0.1321,0.1197,0.1303,410155.0
HAEDALUSDT,2025-04-29 12:10:00,0.1303,0.1372,0.1291,0.1335,6477249.0
HAEDALUSDT,2025-04-29 12:15:00,0.1335,0.1366,0.131,0.1322,5302128.0
HAEDALUSDT,2025-04-29 12:20:00,0.1322,0.1328,0.1228,0.1238,7655371.0
HAEDALUSDT,2025-04-29 12:25:00,0.1238,0.1254,0.1186,0.1205,7423242.0
HAEDALUSDT,2025-04-29 12:30:00,0.1205,0.1238,0.1143,0.1164,6897344.0
HAEDALUSDT,2025-04-29 12:35:00,0.1164,0.1184,0.115,0.1156,3833749.0
HAEDALUSDT,2025-04-29 12:40:00,0.1156,0.1168,0.1126,0.1163,4289546.0
HAEDALUSDT,2025-04-29 12:45:00,0.1163,0.1187,0.1153,0.1159,5503350.0
HAEDALUSDT,2025-04-29 12:50:00,0.1159,0.1167,0.1146,0.1164,834240.0
HAEDALUSDT,2025-04-29 12:55:00,0.1164,0.1166,0.1121,0.1128,1612219.0
HAEDALUSDT,2025-04-29 13:00:00,0.1128,0.1129,0.1084,0.1114,3134157.0
HAEDALUSDT,2025-04-29 13:05:00,0.1114,0.1144,0.1113,0.114,966470.0
HAEDALUSDT,2025-04-29 13:10:00,0.114,0.119,0.1139,0.1176,2179362.0
HAEDALUSDT,2025-04-29 13:15:00,0.1176,0.1211,0.1149,0.1185,1988091.0
HAEDALUSDT,2025-04-29 13:20:00,0.1185,0.1247,0.1176,0.1218,2933361.0
HAEDALUSDT,2025-04-29 13:25:00,0.1218,0.1284,0.1194,0.1214,4088768.0
HAEDALUSDT,2025-04-29 13:30:00,0.1214,0.1254,0.1198,0.1208,2279171.0
HAEDALUSDT,2025-04-29 13:35:00,0.1208,0.122,0.1127,0.1131,3665148.0
HAEDALUSDT,2025-04-29 13:40:00,0.1131,0.1174,0.113,0.1149,1918437.0
HAEDALUSDT,2025-04-29 13:45:00,0.1149,0.1149,0.1113,0.1139,1826377.0
HAEDALUSDT,2025-04-29 13:50:00,0.1139,0.1145,0.112,0.1141,974380.0
HAEDALUSDT,2025-04-29 13:55:00,0.1141,0.1164,0.1115,0.1122,1351374.0
HAEDALUSDT,2025-04-29 14:00:00,0.1122,0.1123,0.11,0.112,1229910.0
