symbol,timestamp,open,high,low,close,volume
HIVEUSDT,2025-04-25 16:30:00,0.2487,0.2502,0.2487,0.25,32986.0
HIVEUSDT,2025-04-25 16:45:00,0.25,0.2501,0.2496,0.2499,7084.0
HIVEUSDT,2025-04-25 17:00:00,0.2499,0.2503,0.2495,0.2495,5875.0
HIVEUSDT,2025-04-25 17:15:00,0.2495,0.2503,0.2495,0.25,7613.0
HIVEUSDT,2025-04-25 17:30:00,0.25,0.25,0.2472,0.248,138732.0
HIVEUSDT,2025-04-25 17:45:00,0.248,0.2482,0.2471,0.2472,7448.0
HIVEUSDT,2025-04-25 18:00:00,0.2472,0.2483,0.2471,0.2481,7251.0
HIVEUSDT,2025-04-25 18:15:00,0.2481,0.2486,0.2476,0.2486,114071.0
HIVEUSDT,2025-04-25 18:30:00,0.2486,0.2491,0.2482,0.2489,121496.0
HIVEUSDT,2025-04-25 18:45:00,0.2489,0.249,0.2477,0.2481,124366.0
HIVEUSDT,2025-04-25 19:00:00,0.2481,0.2485,0.2476,0.2476,5497.0
HIVEUSDT,2025-04-25 19:15:00,0.2476,0.2486,0.2476,0.2485,8867.0
HIVEUSDT,2025-04-25 19:30:00,0.2485,0.2488,0.2482,0.2486,6263.0
HIVEUSDT,2025-04-25 19:45:00,0.2486,0.2494,0.2485,0.2494,6606.0
HIVEUSDT,2025-04-25 20:00:00,0.2494,0.2496,0.2489,0.2491,5694.0
HIVEUSDT,2025-04-25 20:15:00,0.2491,0.2494,0.2488,0.2489,8986.0
HIVEUSDT,2025-04-25 20:30:00,0.2489,0.2498,0.2489,0.2495,7422.0
HIVEUSDT,2025-04-25 20:45:00,0.2495,0.2506,0.2495,0.2505,6136.0
HIVEUSDT,2025-04-25 21:00:00,0.2505,0.2507,0.2502,0.2506,10213.0
HIVEUSDT,2025-04-25 21:15:00,0.2506,0.2508,0.2495,0.25,10100.0
HIVEUSDT,2025-04-25 21:30:00,0.25,0.2502,0.2499,0.2502,10026.0
HIVEUSDT,2025-04-25 21:45:00,0.2502,0.2504,0.2491,0.2492,10708.0
HIVEUSDT,2025-04-25 22:00:00,0.2492,0.2501,0.2492,0.2496,8407.0
HIVEUSDT,2025-04-25 22:15:00,0.2496,0.2509,0.2495,0.2507,9323.0
HIVEUSDT,2025-04-25 22:30:00,0.2507,0.251,0.2504,0.2509,5971.0
HIVEUSDT,2025-04-25 22:45:00,0.2509,0.2511,0.2506,0.2508,8730.0
HIVEUSDT,2025-04-25 23:00:00,0.2508,0.251,0.25,0.2507,6554.0
HIVEUSDT,2025-04-25 23:15:00,0.2507,0.2508,0.2498,0.2501,8541.0
HIVEUSDT,2025-04-25 23:30:00,0.2501,0.2502,0.2495,0.25,8394.0
HIVEUSDT,2025-04-25 23:45:00,0.25,0.2505,0.2499,0.2501,11351.0
HIVEUSDT,2025-04-26 00:00:00,0.2501,0.2525,0.2499,0.252,103196.0
HIVEUSDT,2025-04-26 00:15:00,0.252,0.2532,0.2508,0.2531,106321.0
HIVEUSDT,2025-04-26 00:30:00,0.2531,0.2533,0.252,0.2523,9679.0
HIVEUSDT,2025-04-26 00:45:00,0.2523,0.2552,0.2523,0.2552,14862.0
HIVEUSDT,2025-04-26 01:00:00,0.2552,0.2554,0.2543,0.2547,7727.0
HIVEUSDT,2025-04-26 01:15:00,0.2547,0.2555,0.2542,0.2554,7444.0
HIVEUSDT,2025-04-26 01:30:00,0.2554,0.2575,0.2553,0.2558,46982.0
HIVEUSDT,2025-04-26 01:45:00,0.2558,0.2562,0.2554,0.2559,9905.0
HIVEUSDT,2025-04-26 02:00:00,0.2559,0.2572,0.2559,0.256,12037.0
HIVEUSDT,2025-04-26 02:15:00,0.256,0.2569,0.2556,0.2561,84589.0
HIVEUSDT,2025-04-26 02:30:00,0.2561,0.2566,0.256,0.2565,32983.0
HIVEUSDT,2025-04-26 02:45:00,0.2565,0.2566,0.2555,0.2555,8221.0
HIVEUSDT,2025-04-26 03:00:00,0.2555,0.256,0.2549,0.2555,6650.0
HIVEUSDT,2025-04-26 03:15:00,0.2555,0.2556,0.2541,0.2543,8590.0
HIVEUSDT,2025-04-26 03:30:00,0.2543,0.2546,0.2542,0.2544,6802.0
HIVEUSDT,2025-04-26 03:45:00,0.2544,0.2554,0.2544,0.2551,6948.0
HIVEUSDT,2025-04-26 04:00:00,0.2551,0.2553,0.2547,0.255,6115.0
HIVEUSDT,2025-04-26 04:15:00,0.255,0.255,0.2539,0.2541,5949.0
HIVEUSDT,2025-04-26 04:30:00,0.2541,0.2541,0.2524,0.253,39431.0
HIVEUSDT,2025-04-26 04:45:00,0.253,0.2533,0.2525,0.2526,5691.0
HIVEUSDT,2025-04-26 05:00:00,0.2526,0.2527,0.2513,0.2513,6420.0
HIVEUSDT,2025-04-26 05:15:00,0.2513,0.2518,0.2509,0.2512,49969.0
HIVEUSDT,2025-04-26 05:30:00,0.2512,0.2516,0.2511,0.2513,40648.0
HIVEUSDT,2025-04-26 05:45:00,0.2513,0.2521,0.2513,0.252,6488.0
HIVEUSDT,2025-04-26 06:00:00,0.252,0.2532,0.2519,0.2532,5980.0
HIVEUSDT,2025-04-26 06:15:00,0.2532,0.2534,0.2527,0.2529,9269.0
HIVEUSDT,2025-04-26 06:30:00,0.2529,0.254,0.2528,0.2535,25356.0
HIVEUSDT,2025-04-26 06:45:00,0.2535,0.2546,0.2532,0.2544,21251.0
HIVEUSDT,2025-04-26 07:00:00,0.2544,0.2555,0.2541,0.2551,6877.0
HIVEUSDT,2025-04-26 07:15:00,0.2551,0.2554,0.2548,0.255,14079.0
HIVEUSDT,2025-04-26 07:30:00,0.255,0.2555,0.2545,0.2555,7432.0
HIVEUSDT,2025-04-26 07:45:00,0.2555,0.2555,0.2546,0.2546,5096.0
HIVEUSDT,2025-04-26 08:00:00,0.2546,0.2547,0.2539,0.2543,10182.0
HIVEUSDT,2025-04-26 08:15:00,0.2543,0.2556,0.2539,0.2552,9246.0
HIVEUSDT,2025-04-26 08:30:00,0.2552,0.2552,0.2531,0.2533,7736.0
HIVEUSDT,2025-04-26 08:45:00,0.2533,0.2533,0.2521,0.2529,5766.0
HIVEUSDT,2025-04-26 09:00:00,0.2529,0.2533,0.2521,0.2533,7317.0
HIVEUSDT,2025-04-26 09:15:00,0.2533,0.2538,0.2529,0.253,8219.0
HIVEUSDT,2025-04-26 09:30:00,0.253,0.253,0.251,0.2515,6394.0
HIVEUSDT,2025-04-26 09:45:00,0.2515,0.2528,0.2514,0.2526,6698.0
HIVEUSDT,2025-04-26 10:00:00,0.2526,0.2531,0.252,0.252,46777.0
HIVEUSDT,2025-04-26 10:15:00,0.252,0.2533,0.252,0.2526,7695.0
HIVEUSDT,2025-04-26 10:30:00,0.2526,0.2529,0.252,0.2529,7661.0
HIVEUSDT,2025-04-26 10:45:00,0.2529,0.2529,0.2519,0.2519,6440.0
HIVEUSDT,2025-04-26 11:00:00,0.2519,0.2523,0.2513,0.2517,6646.0
HIVEUSDT,2025-04-26 11:15:00,0.2517,0.2519,0.2513,0.2515,8144.0
HIVEUSDT,2025-04-26 11:30:00,0.2515,0.2515,0.2483,0.2483,69621.0
HIVEUSDT,2025-04-26 11:45:00,0.2483,0.2489,0.2474,0.2474,25619.0
HIVEUSDT,2025-04-26 12:00:00,0.2474,0.249,0.2473,0.2482,15965.0
HIVEUSDT,2025-04-26 12:15:00,0.2482,0.2489,0.2482,0.2487,5682.0
HIVEUSDT,2025-04-26 12:30:00,0.2487,0.2492,0.2484,0.2485,27015.0
HIVEUSDT,2025-04-26 12:45:00,0.2485,0.2489,0.2478,0.2482,11083.0
HIVEUSDT,2025-04-26 13:00:00,0.2482,0.249,0.248,0.2486,8858.0
HIVEUSDT,2025-04-26 13:15:00,0.2486,0.2486,0.2462,0.2466,310664.0
HIVEUSDT,2025-04-26 13:30:00,0.2466,0.2467,0.2457,0.2458,68495.0
HIVEUSDT,2025-04-26 13:45:00,0.2458,0.2463,0.244,0.2462,10964.0
HIVEUSDT,2025-04-26 14:00:00,0.2462,0.2467,0.2451,0.2467,37502.0
HIVEUSDT,2025-04-26 14:15:00,0.2467,0.247,0.2458,0.2469,11285.0
HIVEUSDT,2025-04-26 14:30:00,0.2469,0.2492,0.2469,0.2491,21851.0
HIVEUSDT,2025-04-26 14:45:00,0.2491,0.2503,0.2489,0.2489,10946.0
HIVEUSDT,2025-04-26 15:00:00,0.2489,0.2516,0.2489,0.2516,61151.0
HIVEUSDT,2025-04-26 15:15:00,0.2516,0.2529,0.2512,0.2529,8668.0
HIVEUSDT,2025-04-26 15:30:00,0.2529,0.253,0.2519,0.2522,8081.0
HIVEUSDT,2025-04-26 15:45:00,0.2522,0.2523,0.2515,0.2515,18530.0
HIVEUSDT,2025-04-26 16:00:00,0.2515,0.2525,0.2511,0.2514,43473.0
HIVEUSDT,2025-04-26 16:15:00,0.2514,0.2522,0.2514,0.2522,9587.0
HIVEUSDT,2025-04-26 16:30:00,0.2522,0.2525,0.2499,0.25,15908.0
HIVEUSDT,2025-04-26 16:45:00,0.25,0.2511,0.25,0.2511,12189.0
HIVEUSDT,2025-04-26 17:00:00,0.2511,0.2516,0.2509,0.2511,8492.0
HIVEUSDT,2025-04-26 17:15:00,0.2511,0.2519,0.251,0.2517,10265.0
HIVEUSDT,2025-04-26 17:30:00,0.2517,0.2523,0.2516,0.2523,10238.0
HIVEUSDT,2025-04-26 17:45:00,0.2523,0.2524,0.2518,0.2519,7485.0
HIVEUSDT,2025-04-26 18:00:00,0.2519,0.2525,0.2516,0.2519,8651.0
HIVEUSDT,2025-04-26 18:15:00,0.2519,0.2526,0.2519,0.2525,15089.0
HIVEUSDT,2025-04-26 18:30:00,0.2525,0.2526,0.252,0.2521,11503.0
HIVEUSDT,2025-04-26 18:45:00,0.2521,0.2526,0.2519,0.2519,8730.0
HIVEUSDT,2025-04-26 19:00:00,0.2519,0.2525,0.2519,0.2523,10177.0
HIVEUSDT,2025-04-26 19:15:00,0.2523,0.2528,0.2522,0.2528,6576.0
HIVEUSDT,2025-04-26 19:30:00,0.2528,0.253,0.2524,0.2526,6017.0
HIVEUSDT,2025-04-26 19:45:00,0.2526,0.2529,0.2522,0.2523,7732.0
HIVEUSDT,2025-04-26 20:00:00,0.2523,0.254,0.2523,0.2532,8030.0
HIVEUSDT,2025-04-26 20:15:00,0.2532,0.2535,0.2529,0.253,8373.0
HIVEUSDT,2025-04-26 20:30:00,0.253,0.2537,0.253,0.2532,10384.0
HIVEUSDT,2025-04-26 20:45:00,0.2532,0.2534,0.2524,0.2524,7247.0
HIVEUSDT,2025-04-26 21:00:00,0.2524,0.2535,0.2524,0.2534,9703.0
HIVEUSDT,2025-04-26 21:15:00,0.2534,0.2549,0.2533,0.2547,13314.0
HIVEUSDT,2025-04-26 21:30:00,0.2547,0.2547,0.2539,0.2541,12887.0
HIVEUSDT,2025-04-26 21:45:00,0.2541,0.2543,0.2539,0.2543,12514.0
HIVEUSDT,2025-04-26 22:00:00,0.2543,0.2566,0.2543,0.2566,7863.0
HIVEUSDT,2025-04-26 22:15:00,0.2566,0.2569,0.256,0.256,7413.0
HIVEUSDT,2025-04-26 22:30:00,0.256,0.2566,0.256,0.2565,8453.0
HIVEUSDT,2025-04-26 22:45:00,0.2565,0.2565,0.2558,0.2564,4462.0
HIVEUSDT,2025-04-26 23:00:00,0.2564,0.2565,0.2553,0.2556,23833.0
HIVEUSDT,2025-04-26 23:15:00,0.2556,0.2561,0.2553,0.2561,13965.0
HIVEUSDT,2025-04-26 23:30:00,0.2561,0.2564,0.2558,0.2564,11955.0
HIVEUSDT,2025-04-26 23:45:00,0.2564,0.2574,0.2562,0.2573,54863.0
HIVEUSDT,2025-04-27 00:00:00,0.2573,0.2701,0.2565,0.2639,445185.0
HIVEUSDT,2025-04-27 00:15:00,0.2639,0.271,0.2627,0.2701,151848.0
HIVEUSDT,2025-04-27 00:30:00,0.2701,0.2706,0.2642,0.2648,426801.0
HIVEUSDT,2025-04-27 00:45:00,0.2648,0.2683,0.2647,0.266,31323.0
HIVEUSDT,2025-04-27 01:00:00,0.266,0.2676,0.2613,0.2627,35330.0
HIVEUSDT,2025-04-27 01:15:00,0.2627,0.2641,0.2605,0.2634,31341.0
HIVEUSDT,2025-04-27 01:30:00,0.2634,0.2641,0.2613,0.2625,48237.0
HIVEUSDT,2025-04-27 01:45:00,0.2625,0.2625,0.2584,0.2586,22856.0
HIVEUSDT,2025-04-27 02:00:00,0.2586,0.2592,0.2577,0.2592,26082.0
HIVEUSDT,2025-04-27 02:15:00,0.2592,0.2602,0.259,0.2598,16341.0
HIVEUSDT,2025-04-27 02:30:00,0.2598,0.2604,0.2584,0.2585,19494.0
HIVEUSDT,2025-04-27 02:45:00,0.2585,0.2597,0.2579,0.2594,46352.0
HIVEUSDT,2025-04-27 03:00:00,0.2594,0.2608,0.2573,0.2578,251711.0
HIVEUSDT,2025-04-27 03:15:00,0.2578,0.2582,0.2565,0.2566,69634.0
HIVEUSDT,2025-04-27 03:30:00,0.2566,0.2582,0.2564,0.2571,30366.0
HIVEUSDT,2025-04-27 03:45:00,0.2571,0.2582,0.2563,0.2566,63785.0
HIVEUSDT,2025-04-27 04:00:00,0.2566,0.2575,0.2561,0.2571,11258.0
HIVEUSDT,2025-04-27 04:15:00,0.2571,0.2579,0.2565,0.2567,27303.0
HIVEUSDT,2025-04-27 04:30:00,0.2567,0.257,0.2533,0.2543,40729.0
HIVEUSDT,2025-04-27 04:45:00,0.2543,0.2543,0.2518,0.2525,50630.0
HIVEUSDT,2025-04-27 05:00:00,0.2525,0.2538,0.2524,0.2527,11055.0
HIVEUSDT,2025-04-27 05:15:00,0.2527,0.2531,0.25,0.2501,58373.0
HIVEUSDT,2025-04-27 05:30:00,0.2501,0.2521,0.2501,0.2518,13388.0
HIVEUSDT,2025-04-27 05:45:00,0.2518,0.2522,0.2515,0.2519,10000.0
HIVEUSDT,2025-04-27 06:00:00,0.2519,0.2522,0.2507,0.2519,7957.0
HIVEUSDT,2025-04-27 06:15:00,0.2519,0.2525,0.2517,0.2518,42685.0
HIVEUSDT,2025-04-27 06:30:00,0.2518,0.2518,0.2509,0.2511,90310.0
HIVEUSDT,2025-04-27 06:45:00,0.2511,0.2513,0.25,0.2503,6605.0
HIVEUSDT,2025-04-27 07:00:00,0.2503,0.2507,0.2493,0.25,11782.0
HIVEUSDT,2025-04-27 07:15:00,0.25,0.2512,0.2498,0.2506,14329.0
HIVEUSDT,2025-04-27 07:30:00,0.2506,0.2509,0.2502,0.2509,5448.0
HIVEUSDT,2025-04-27 07:45:00,0.2509,0.2512,0.2506,0.2511,22119.0
HIVEUSDT,2025-04-27 08:00:00,0.2511,0.2519,0.2505,0.2519,31960.0
HIVEUSDT,2025-04-27 08:15:00,0.2519,0.2525,0.2517,0.2519,6942.0
HIVEUSDT,2025-04-27 08:30:00,0.2519,0.252,0.2511,0.2511,36385.0
HIVEUSDT,2025-04-27 08:45:00,0.2511,0.2523,0.2511,0.2513,131855.0
HIVEUSDT,2025-04-27 09:00:00,0.2513,0.2513,0.25,0.2504,6507.0
HIVEUSDT,2025-04-27 09:15:00,0.2504,0.2512,0.2504,0.2509,145553.0
HIVEUSDT,2025-04-27 09:30:00,0.2509,0.2524,0.2508,0.2524,10415.0
HIVEUSDT,2025-04-27 09:45:00,0.2524,0.2525,0.2519,0.252,12125.0
HIVEUSDT,2025-04-27 10:00:00,0.252,0.2525,0.2519,0.2523,7456.0
HIVEUSDT,2025-04-27 10:15:00,0.2523,0.2524,0.252,0.252,9481.0
HIVEUSDT,2025-04-27 10:30:00,0.252,0.2533,0.2515,0.2526,31225.0
HIVEUSDT,2025-04-27 10:45:00,0.2526,0.2546,0.2526,0.2544,12572.0
HIVEUSDT,2025-04-27 11:00:00,0.2544,0.2587,0.2541,0.2565,22259.0
HIVEUSDT,2025-04-27 11:15:00,0.2565,0.2572,0.2556,0.2564,10874.0
HIVEUSDT,2025-04-27 11:30:00,0.2564,0.2588,0.256,0.2574,70858.0
HIVEUSDT,2025-04-27 11:45:00,0.2574,0.2582,0.2554,0.2554,9220.0
HIVEUSDT,2025-04-27 12:00:00,0.2554,0.2564,0.2548,0.2548,17280.0
HIVEUSDT,2025-04-27 12:15:00,0.2548,0.2562,0.2544,0.2553,147868.0
HIVEUSDT,2025-04-27 12:30:00,0.2553,0.2559,0.2539,0.2542,15776.0
HIVEUSDT,2025-04-27 12:45:00,0.2542,0.2556,0.2513,0.2516,25827.0
HIVEUSDT,2025-04-27 13:00:00,0.2516,0.2522,0.2492,0.2505,38893.0
HIVEUSDT,2025-04-27 13:15:00,0.2505,0.251,0.2498,0.2506,5096.0
HIVEUSDT,2025-04-27 13:30:00,0.2506,0.2535,0.2506,0.2534,6172.0
HIVEUSDT,2025-04-27 13:45:00,0.2534,0.2547,0.2532,0.2542,35274.0
HIVEUSDT,2025-04-27 14:00:00,0.2542,0.2552,0.2536,0.2539,9964.0
HIVEUSDT,2025-04-27 14:15:00,0.2539,0.2558,0.2539,0.2551,8651.0
HIVEUSDT,2025-04-27 14:30:00,0.2551,0.2562,0.2551,0.2553,15198.0
HIVEUSDT,2025-04-27 14:45:00,0.2553,0.2567,0.2548,0.2548,11186.0
HIVEUSDT,2025-04-27 15:00:00,0.2548,0.255,0.2536,0.2542,9070.0
HIVEUSDT,2025-04-27 15:15:00,0.2542,0.2552,0.2534,0.2534,9431.0
HIVEUSDT,2025-04-27 15:30:00,0.2534,0.2538,0.2526,0.2532,13309.0
HIVEUSDT,2025-04-27 15:45:00,0.2532,0.2539,0.2531,0.2534,18366.0
HIVEUSDT,2025-04-27 16:00:00,0.2534,0.2536,0.2532,0.2535,8760.0
HIVEUSDT,2025-04-27 16:15:00,0.2535,0.2535,0.252,0.2521,8129.0
HIVEUSDT,2025-04-27 16:30:00,0.2521,0.2523,0.2511,0.2523,9878.0
HIVEUSDT,2025-04-27 16:45:00,0.2523,0.2526,0.2507,0.2511,9098.0
HIVEUSDT,2025-04-27 17:00:00,0.2511,0.252,0.2507,0.2518,7473.0
HIVEUSDT,2025-04-27 17:15:00,0.2518,0.2526,0.2518,0.2519,6375.0
HIVEUSDT,2025-04-27 17:30:00,0.2519,0.2525,0.2514,0.2525,6436.0
HIVEUSDT,2025-04-27 17:45:00,0.2525,0.2529,0.2521,0.2521,7583.0
HIVEUSDT,2025-04-27 18:00:00,0.2521,0.2527,0.2519,0.2521,9902.0
