symbol,timestamp,open,high,low,close,volume
HNTUSDT,2025-04-25 16:30:00,4.321,4.373,4.321,4.337,1721.7
HNTUSDT,2025-04-25 16:45:00,4.337,4.359,4.315,4.343,1198.6
HNTUSDT,2025-04-25 17:00:00,4.343,4.396,4.339,4.366,1548.3
HNTUSDT,2025-04-25 17:15:00,4.366,4.382,4.292,4.293,1317.3
HNTUSDT,2025-04-25 17:30:00,4.293,4.293,4.223,4.238,2963.8
HNTUSDT,2025-04-25 17:45:00,4.238,4.238,4.157,4.164,2124.7
HNTUSDT,2025-04-25 18:00:00,4.164,4.186,4.154,4.17,2740.2
HNTUSDT,2025-04-25 18:15:00,4.17,4.21,4.169,4.2,934.0
HNTUSDT,2025-04-25 18:30:00,4.2,4.227,4.194,4.217,6766.4
HNTUSDT,2025-04-25 18:45:00,4.217,4.221,4.15,4.186,1909.8
HNTUSDT,2025-04-25 19:00:00,4.186,4.186,4.136,4.164,1604.3
HNTUSDT,2025-04-25 19:15:00,4.164,4.164,4.138,4.145,1027.9
HNTUSDT,2025-04-25 19:30:00,4.145,4.163,4.129,4.161,656.6
HNTUSDT,2025-04-25 19:45:00,4.161,4.185,4.157,4.185,654.0
HNTUSDT,2025-04-25 20:00:00,4.185,4.185,4.151,4.157,844.3
HNTUSDT,2025-04-25 20:15:00,4.157,4.237,4.149,4.228,2876.1
HNTUSDT,2025-04-25 20:30:00,4.228,4.276,4.207,4.249,1498.1
HNTUSDT,2025-04-25 20:45:00,4.249,4.298,4.249,4.288,1476.8
HNTUSDT,2025-04-25 21:00:00,4.288,4.319,4.287,4.304,749.0
HNTUSDT,2025-04-25 21:15:00,4.304,4.308,4.276,4.287,1199.2
HNTUSDT,2025-04-25 21:30:00,4.287,4.323,4.267,4.274,2285.8
HNTUSDT,2025-04-25 21:45:00,4.274,4.281,4.217,4.224,1751.1
HNTUSDT,2025-04-25 22:00:00,4.224,4.256,4.214,4.237,1148.1
HNTUSDT,2025-04-25 22:15:00,4.237,4.279,4.23,4.275,778.7
HNTUSDT,2025-04-25 22:30:00,4.275,4.321,4.266,4.315,830.0
HNTUSDT,2025-04-25 22:45:00,4.315,4.326,4.27,4.277,793.6
HNTUSDT,2025-04-25 23:00:00,4.277,4.281,4.236,4.239,898.4
HNTUSDT,2025-04-25 23:15:00,4.239,4.243,4.202,4.208,1323.0
HNTUSDT,2025-04-25 23:30:00,4.208,4.253,4.202,4.249,1410.9
HNTUSDT,2025-04-25 23:45:00,4.249,4.274,4.182,4.187,3750.7
HNTUSDT,2025-04-26 00:00:00,4.187,4.233,4.182,4.223,1500.7
HNTUSDT,2025-04-26 00:15:00,4.223,4.233,4.203,4.233,1277.2
HNTUSDT,2025-04-26 00:30:00,4.233,4.256,4.218,4.229,1932.6
HNTUSDT,2025-04-26 00:45:00,4.229,4.251,4.217,4.237,1858.9
HNTUSDT,2025-04-26 01:00:00,4.237,4.243,4.223,4.237,1097.6
HNTUSDT,2025-04-26 01:15:00,4.237,4.258,4.235,4.247,817.9
HNTUSDT,2025-04-26 01:30:00,4.247,4.294,4.247,4.28,991.2
HNTUSDT,2025-04-26 01:45:00,4.28,4.341,4.269,4.34,1672.1
HNTUSDT,2025-04-26 02:00:00,4.34,4.344,4.304,4.305,822.4
HNTUSDT,2025-04-26 02:15:00,4.305,4.327,4.298,4.322,1373.0
HNTUSDT,2025-04-26 02:30:00,4.322,4.371,4.315,4.367,1093.3
HNTUSDT,2025-04-26 02:45:00,4.367,4.39,4.339,4.363,2375.7
HNTUSDT,2025-04-26 03:00:00,4.363,4.365,4.322,4.357,2173.6
HNTUSDT,2025-04-26 03:15:00,4.357,4.361,4.332,4.337,1293.0
HNTUSDT,2025-04-26 03:30:00,4.337,4.348,4.334,4.338,738.2
HNTUSDT,2025-04-26 03:45:00,4.338,4.372,4.332,4.364,4083.9
HNTUSDT,2025-04-26 04:00:00,4.364,4.364,4.34,4.343,873.8
HNTUSDT,2025-04-26 04:15:00,4.343,4.365,4.324,4.324,594.9
HNTUSDT,2025-04-26 04:30:00,4.324,4.324,4.282,4.299,1185.0
HNTUSDT,2025-04-26 04:45:00,4.299,4.307,4.286,4.293,656.7
