symbol,timestamp,open,high,low,close,volume
ICPUSDT,2025-04-26 14:40:00,5.292,5.3,5.288,5.296,948.45
ICPUSDT,2025-04-26 14:45:00,5.296,5.307,5.287,5.299,508.3
ICPUSDT,2025-04-26 14:50:00,5.299,5.299,5.287,5.294,761.06
ICPUSDT,2025-04-26 14:55:00,5.294,5.301,5.287,5.291,539.0
ICPUSDT,2025-04-26 15:00:00,5.291,5.292,5.286,5.288,189.72
ICPUSDT,2025-04-26 15:05:00,5.288,5.304,5.288,5.302,271.29
ICPUSDT,2025-04-26 15:10:00,5.302,5.302,5.295,5.3,216.29
ICPUSDT,2025-04-26 15:15:00,5.3,5.312,5.294,5.295,1472.25
ICPUSDT,2025-04-26 15:20:00,5.295,5.3,5.291,5.298,255.39
ICPUSDT,2025-04-26 15:25:00,5.298,5.311,5.294,5.308,275.32
ICPUSDT,2025-04-26 15:30:00,5.308,5.309,5.294,5.295,422.53
ICPUSDT,2025-04-26 15:35:00,5.295,5.306,5.292,5.294,796.41
ICPUSDT,2025-04-26 15:40:00,5.294,5.305,5.294,5.305,260.01
ICPUSDT,2025-04-26 15:45:00,5.305,5.309,5.298,5.309,789.48
ICPUSDT,2025-04-26 15:50:00,5.309,5.313,5.296,5.306,17024.52
ICPUSDT,2025-04-26 15:55:00,5.306,5.311,5.301,5.303,1250.16
ICPUSDT,2025-04-26 16:00:00,5.303,5.303,5.286,5.289,373.0
ICPUSDT,2025-04-26 16:05:00,5.289,5.289,5.272,5.275,3878.67
ICPUSDT,2025-04-26 16:10:00,5.275,5.281,5.274,5.279,144.18
ICPUSDT,2025-04-26 16:15:00,5.279,5.285,5.272,5.283,636.76
ICPUSDT,2025-04-26 16:20:00,5.283,5.291,5.283,5.291,800.2
ICPUSDT,2025-04-26 16:25:00,5.291,5.298,5.288,5.288,186.61
ICPUSDT,2025-04-26 16:30:00,5.288,5.29,5.275,5.276,381.53
ICPUSDT,2025-04-26 16:35:00,5.276,5.276,5.231,5.247,57068.6
ICPUSDT,2025-04-26 16:40:00,5.247,5.248,5.231,5.234,1813.77
