symbol,timestamp,open,high,low,close,volume
IDUSDT,2025-04-25 16:30:00,0.2035,0.2042,0.2032,0.2042,5344.28
IDUSDT,2025-04-25 16:45:00,0.2042,0.2044,0.2039,0.2044,916.3
IDUSDT,2025-04-25 17:00:00,0.2044,0.2051,0.2044,0.2049,13864.22
IDUSDT,2025-04-25 17:15:00,0.2049,0.2054,0.2046,0.2046,1508.91
IDUSDT,2025-04-25 17:30:00,0.2046,0.2046,0.2015,0.2025,6419.43
IDUSDT,2025-04-25 17:45:00,0.2025,0.2025,0.2015,0.2015,6510.61
IDUSDT,2025-04-25 18:00:00,0.2015,0.2027,0.2015,0.2024,228.8
IDUSDT,2025-04-25 18:15:00,0.2024,0.203,0.2021,0.2026,7780.12
IDUSDT,2025-04-25 18:30:00,0.2026,0.2029,0.2024,0.2029,10498.12
IDUSDT,2025-04-25 18:45:00,0.2029,0.2029,0.2018,0.2018,341.8
IDUSDT,2025-04-25 19:00:00,0.2018,0.202,0.2007,0.2007,9072.36
IDUSDT,2025-04-25 19:15:00,0.2007,0.202,0.2007,0.2019,2962.18
IDUSDT,2025-04-25 19:30:00,0.2019,0.2019,0.2018,0.2018,1384.8
IDUSDT,2025-04-25 19:45:00,0.2018,0.2024,0.2017,0.2024,1428.0
IDUSDT,2025-04-25 20:00:00,0.2024,0.2028,0.2024,0.2027,905.74
IDUSDT,2025-04-25 20:15:00,0.2027,0.2028,0.2021,0.2028,6828.27
IDUSDT,2025-04-25 20:30:00,0.2028,0.2028,0.202,0.2028,1307.01
IDUSDT,2025-04-25 20:45:00,0.2028,0.2031,0.2026,0.203,3083.05
IDUSDT,2025-04-25 21:00:00,0.203,0.2039,0.203,0.2036,1072.7
IDUSDT,2025-04-25 21:15:00,0.2036,0.2036,0.2024,0.2025,2993.44
IDUSDT,2025-04-25 21:30:00,0.2025,0.2031,0.2024,0.2031,10109.51
IDUSDT,2025-04-25 21:45:00,0.2031,0.2031,0.2011,0.2013,15607.2
IDUSDT,2025-04-25 22:00:00,0.2013,0.2025,0.201,0.2025,16506.31
IDUSDT,2025-04-25 22:15:00,0.2025,0.2033,0.2025,0.2033,34405.71
IDUSDT,2025-04-25 22:30:00,0.2033,0.2051,0.203,0.2051,208971.43
IDUSDT,2025-04-25 22:45:00,0.2051,0.2055,0.2046,0.2053,47467.06
IDUSDT,2025-04-25 23:00:00,0.2053,0.2056,0.2045,0.2045,84136.47
IDUSDT,2025-04-25 23:15:00,0.2045,0.2045,0.2036,0.2041,5328.22
IDUSDT,2025-04-25 23:30:00,0.2041,0.2047,0.2039,0.2044,65586.56
IDUSDT,2025-04-25 23:45:00,0.2044,0.2044,0.2039,0.2043,30282.57
IDUSDT,2025-04-26 00:00:00,0.2043,0.2057,0.2043,0.2056,26356.75
IDUSDT,2025-04-26 00:15:00,0.2056,0.2063,0.2056,0.2063,1550.23
IDUSDT,2025-04-26 00:30:00,0.2063,0.209,0.2061,0.2085,66825.83
IDUSDT,2025-04-26 00:45:00,0.2085,0.2093,0.2081,0.2092,14245.49
IDUSDT,2025-04-26 01:00:00,0.2092,0.2106,0.2089,0.2103,16129.08
IDUSDT,2025-04-26 01:15:00,0.2103,0.2121,0.21,0.2114,20990.61
IDUSDT,2025-04-26 01:30:00,0.2114,0.215,0.2114,0.2131,31892.85
IDUSDT,2025-04-26 01:45:00,0.2131,0.2149,0.2126,0.2135,59324.86
IDUSDT,2025-04-26 02:00:00,0.2135,0.2156,0.213,0.213,40043.64
IDUSDT,2025-04-26 02:15:00,0.213,0.2133,0.2127,0.2132,11112.78
IDUSDT,2025-04-26 02:30:00,0.2132,0.2142,0.2132,0.2141,28251.96
IDUSDT,2025-04-26 02:45:00,0.2141,0.2142,0.2131,0.2133,54967.26
IDUSDT,2025-04-26 03:00:00,0.2133,0.2136,0.212,0.2134,13404.37
IDUSDT,2025-04-26 03:15:00,0.2134,0.2134,0.2113,0.2113,23232.18
IDUSDT,2025-04-26 03:30:00,0.2113,0.2124,0.2113,0.2124,13333.3
IDUSDT,2025-04-26 03:45:00,0.2124,0.2127,0.212,0.212,2027.8
IDUSDT,2025-04-26 04:00:00,0.212,0.2134,0.2117,0.2131,3083.1
IDUSDT,2025-04-26 04:15:00,0.2131,0.2131,0.2117,0.2117,4847.68
IDUSDT,2025-04-26 04:30:00,0.2117,0.2117,0.2095,0.2103,25407.66
IDUSDT,2025-04-26 04:45:00,0.2103,0.2104,0.2094,0.2097,6044.98
IDUSDT,2025-04-26 05:00:00,0.2097,0.2097,0.2085,0.2086,2798.66
IDUSDT,2025-04-26 05:15:00,0.2086,0.2089,0.2085,0.2087,22010.85
IDUSDT,2025-04-26 05:30:00,0.2087,0.2099,0.2087,0.2099,108729.31
IDUSDT,2025-04-26 05:45:00,0.2099,0.2109,0.2099,0.2107,1869.91
IDUSDT,2025-04-26 06:00:00,0.2107,0.2114,0.2104,0.2109,12535.1
IDUSDT,2025-04-26 06:15:00,0.2109,0.2111,0.2108,0.2111,9769.15
IDUSDT,2025-04-26 06:30:00,0.2111,0.2117,0.2111,0.2115,7886.33
