symbol,timestamp,open,high,low,close,volume
INJUSDT,2025-04-25 16:30:00,10.182,10.267,10.167,10.261,5582.1
INJUSDT,2025-04-25 16:45:00,10.261,10.263,10.198,10.214,7492.9
INJUSDT,2025-04-25 17:00:00,10.214,10.261,10.21,10.234,963.5
INJUSDT,2025-04-25 17:15:00,10.234,10.263,10.209,10.217,629.7
INJUSDT,2025-04-25 17:30:00,10.217,10.217,10.097,10.11,2179.9
INJUSDT,2025-04-25 17:45:00,10.11,10.135,10.056,10.079,8855.2
INJUSDT,2025-04-25 18:00:00,10.079,10.134,10.077,10.102,3873.7
INJUSDT,2025-04-25 18:15:00,10.102,10.124,10.083,10.118,2517.1
INJUSDT,2025-04-25 18:30:00,10.118,10.131,10.086,10.103,1201.9
INJUSDT,2025-04-25 18:45:00,10.103,10.107,10.011,10.023,1573.2
INJUSDT,2025-04-25 19:00:00,10.023,10.056,9.98,9.986,15592.9
INJUSDT,2025-04-25 19:15:00,9.986,10.056,9.986,10.022,2038.8
INJUSDT,2025-04-25 19:30:00,10.022,10.043,9.983,10.006,2798.6
INJUSDT,2025-04-25 19:45:00,10.006,10.06,9.991,10.05,663.0
INJUSDT,2025-04-25 20:00:00,10.05,10.08,10.039,10.065,799.2
INJUSDT,2025-04-25 20:15:00,10.065,10.078,10.039,10.052,853.5
INJUSDT,2025-04-25 20:30:00,10.052,10.072,10.031,10.047,1269.5
INJUSDT,2025-04-25 20:45:00,10.047,10.081,10.046,10.063,750.9
INJUSDT,2025-04-25 21:00:00,10.063,10.134,10.057,10.075,1441.9
INJUSDT,2025-04-25 21:15:00,10.075,10.103,10.072,10.081,830.4
INJUSDT,2025-04-25 21:30:00,10.081,10.118,10.055,10.085,10399.0
INJUSDT,2025-04-25 21:45:00,10.085,10.1,9.99,10.012,898.5
INJUSDT,2025-04-25 22:00:00,10.012,10.085,10.012,10.085,2103.6
INJUSDT,2025-04-25 22:15:00,10.085,10.142,10.069,10.137,3151.4
INJUSDT,2025-04-25 22:30:00,10.137,10.2,10.13,10.154,3936.5
INJUSDT,2025-04-25 22:45:00,10.154,10.154,10.126,10.126,1298.1
INJUSDT,2025-04-25 23:00:00,10.126,10.131,10.076,10.076,2297.5
INJUSDT,2025-04-25 23:15:00,10.076,10.076,10.028,10.051,993.8
INJUSDT,2025-04-25 23:30:00,10.051,10.068,10.022,10.042,1361.8
INJUSDT,2025-04-25 23:45:00,10.042,10.042,9.999,10.016,894.5
INJUSDT,2025-04-26 00:00:00,10.016,10.118,10.016,10.104,1399.4
INJUSDT,2025-04-26 00:15:00,10.104,10.146,10.084,10.102,271.7
INJUSDT,2025-04-26 00:30:00,10.102,10.109,10.065,10.102,417.1
INJUSDT,2025-04-26 00:45:00,10.102,10.211,10.099,10.181,1749.4
INJUSDT,2025-04-26 01:00:00,10.181,10.195,10.145,10.16,1147.8
INJUSDT,2025-04-26 01:15:00,10.16,10.243,10.147,10.24,2683.1
INJUSDT,2025-04-26 01:30:00,10.24,10.359,10.24,10.314,2821.0
INJUSDT,2025-04-26 01:45:00,10.314,10.35,10.275,10.35,1424.4
INJUSDT,2025-04-26 02:00:00,10.35,10.484,10.317,10.392,26286.1
INJUSDT,2025-04-26 02:15:00,10.392,10.461,10.371,10.458,6548.3
INJUSDT,2025-04-26 02:30:00,10.458,10.473,10.428,10.437,2617.1
INJUSDT,2025-04-26 02:45:00,10.437,10.452,10.376,10.381,596.5
INJUSDT,2025-04-26 03:00:00,10.381,10.454,10.345,10.449,21543.6
INJUSDT,2025-04-26 03:15:00,10.449,10.5,10.422,10.471,4945.3
INJUSDT,2025-04-26 03:30:00,10.471,10.543,10.454,10.53,32424.6
INJUSDT,2025-04-26 03:45:00,10.53,10.535,10.35,10.375,85158.2
INJUSDT,2025-04-26 04:00:00,10.375,10.414,10.308,10.373,6323.8
INJUSDT,2025-04-26 04:15:00,10.373,10.384,10.309,10.346,2972.3
INJUSDT,2025-04-26 04:30:00,10.346,10.346,10.241,10.269,2862.2
INJUSDT,2025-04-26 04:45:00,10.269,10.281,10.217,10.224,4187.4
INJUSDT,2025-04-26 05:00:00,10.224,10.244,10.158,10.197,3255.8
INJUSDT,2025-04-26 05:15:00,10.197,10.244,10.181,10.244,2122.3
INJUSDT,2025-04-26 05:30:00,10.244,10.244,10.178,10.222,2211.5
INJUSDT,2025-04-26 05:45:00,10.222,10.263,10.219,10.224,1248.1
INJUSDT,2025-04-26 06:00:00,10.224,10.295,10.217,10.287,1189.9
INJUSDT,2025-04-26 06:15:00,10.287,10.288,10.251,10.255,2871.6
INJUSDT,2025-04-26 06:30:00,10.255,10.322,10.255,10.322,1906.6
INJUSDT,2025-04-26 06:45:00,10.322,10.372,10.311,10.357,2651.4
INJUSDT,2025-04-26 07:00:00,10.357,10.42,10.353,10.418,7646.1
INJUSDT,2025-04-26 07:15:00,10.418,10.461,10.38,10.383,4387.8
INJUSDT,2025-04-26 07:30:00,10.383,10.428,10.376,10.401,1010.7
INJUSDT,2025-04-26 07:45:00,10.401,10.425,10.332,10.333,880.3
INJUSDT,2025-04-26 08:00:00,10.333,10.386,10.333,10.379,7874.4
INJUSDT,2025-04-26 08:15:00,10.379,10.475,10.374,10.467,13086.6
INJUSDT,2025-04-26 08:30:00,10.467,10.467,10.341,10.399,3994.7
INJUSDT,2025-04-26 08:45:00,10.399,10.399,10.294,10.33,1684.5
INJUSDT,2025-04-26 09:00:00,10.33,10.336,10.242,10.311,4781.2
INJUSDT,2025-04-26 09:15:00,10.311,10.311,10.252,10.257,665.4
INJUSDT,2025-04-26 09:30:00,10.257,10.257,10.174,10.208,7407.5
INJUSDT,2025-04-26 09:45:00,10.208,10.21,10.189,10.208,582.5
INJUSDT,2025-04-26 10:00:00,10.208,10.277,10.198,10.214,2059.6
INJUSDT,2025-04-26 10:15:00,10.214,10.29,10.214,10.279,3366.0
INJUSDT,2025-04-26 10:30:00,10.279,10.293,10.256,10.292,690.0
INJUSDT,2025-04-26 10:45:00,10.292,10.315,10.26,10.267,1001.3
INJUSDT,2025-04-26 11:00:00,10.267,10.292,10.214,10.214,1642.6
INJUSDT,2025-04-26 11:15:00,10.214,10.235,10.164,10.191,2894.7
INJUSDT,2025-04-26 11:30:00,10.191,10.251,10.132,10.162,4066.1
INJUSDT,2025-04-26 11:45:00,10.162,10.185,10.087,10.098,6815.3
INJUSDT,2025-04-26 12:00:00,10.098,10.177,10.098,10.152,1635.7
INJUSDT,2025-04-26 12:15:00,10.152,10.193,10.141,10.186,1949.8
INJUSDT,2025-04-26 12:30:00,10.186,10.197,10.134,10.157,571.4
INJUSDT,2025-04-26 12:45:00,10.157,10.202,10.132,10.143,2229.5
INJUSDT,2025-04-26 13:00:00,10.143,10.208,10.137,10.179,1895.5
INJUSDT,2025-04-26 13:15:00,10.179,10.217,10.158,10.17,1998.6
INJUSDT,2025-04-26 13:30:00,10.17,10.202,10.104,10.128,6630.6
INJUSDT,2025-04-26 13:45:00,10.128,10.202,10.068,10.202,2691.2
INJUSDT,2025-04-26 14:00:00,10.202,10.206,10.133,10.181,741.8
INJUSDT,2025-04-26 14:15:00,10.181,10.182,10.109,10.164,953.9
INJUSDT,2025-04-26 14:30:00,10.164,10.26,10.159,10.239,6586.0
INJUSDT,2025-04-26 14:45:00,10.239,10.277,10.09,10.116,8137.2
INJUSDT,2025-04-26 15:00:00,10.116,10.185,10.116,10.166,5124.6
INJUSDT,2025-04-26 15:15:00,10.166,10.213,10.124,10.211,2328.5
INJUSDT,2025-04-26 15:30:00,10.211,10.212,10.16,10.193,7132.6
INJUSDT,2025-04-26 15:45:00,10.193,10.232,10.183,10.196,8965.0
INJUSDT,2025-04-26 16:00:00,10.196,10.222,10.146,10.173,1031.7
INJUSDT,2025-04-26 16:15:00,10.173,10.206,10.153,10.198,1028.8
INJUSDT,2025-04-26 16:30:00,10.198,10.204,10.093,10.103,8680.8
INJUSDT,2025-04-26 16:45:00,10.103,10.182,10.103,10.178,539.4
INJUSDT,2025-04-26 17:00:00,10.178,10.197,10.159,10.159,962.0
INJUSDT,2025-04-26 17:15:00,10.159,10.231,10.159,10.219,1743.7
INJUSDT,2025-04-26 17:30:00,10.219,10.232,10.207,10.224,1049.3
INJUSDT,2025-04-26 17:45:00,10.224,10.231,10.163,10.172,714.5
INJUSDT,2025-04-26 18:00:00,10.172,10.214,10.134,10.173,936.5
INJUSDT,2025-04-26 18:15:00,10.173,10.231,10.173,10.214,639.8
INJUSDT,2025-04-26 18:30:00,10.214,10.222,10.195,10.206,349.9
INJUSDT,2025-04-26 18:45:00,10.206,10.224,10.165,10.169,727.8
INJUSDT,2025-04-26 19:00:00,10.169,10.199,10.152,10.169,649.4
INJUSDT,2025-04-26 19:15:00,10.169,10.222,10.16,10.219,295.1
INJUSDT,2025-04-26 19:30:00,10.219,10.239,10.201,10.22,809.5
INJUSDT,2025-04-26 19:45:00,10.22,10.275,10.22,10.267,2104.7
INJUSDT,2025-04-26 20:00:00,10.267,10.357,10.263,10.263,2557.0
INJUSDT,2025-04-26 20:15:00,10.263,10.263,10.172,10.222,2846.5
INJUSDT,2025-04-26 20:30:00,10.222,10.241,10.201,10.205,1153.0
INJUSDT,2025-04-26 20:45:00,10.205,10.245,10.193,10.193,2405.5
INJUSDT,2025-04-26 21:00:00,10.193,10.283,10.192,10.283,982.7
INJUSDT,2025-04-26 21:15:00,10.283,10.296,10.243,10.266,1711.8
INJUSDT,2025-04-26 21:30:00,10.266,10.283,10.244,10.246,298.4
INJUSDT,2025-04-26 21:45:00,10.246,10.25,10.208,10.217,1357.7
INJUSDT,2025-04-26 22:00:00,10.217,10.351,10.217,10.351,1140.4
INJUSDT,2025-04-26 22:15:00,10.351,10.356,10.292,10.292,2495.9
INJUSDT,2025-04-26 22:30:00,10.292,10.358,10.292,10.35,1138.2
INJUSDT,2025-04-26 22:45:00,10.35,10.35,10.306,10.32,2682.1
INJUSDT,2025-04-26 23:00:00,10.32,10.337,10.293,10.308,911.9
INJUSDT,2025-04-26 23:15:00,10.308,10.351,10.303,10.351,1338.5
INJUSDT,2025-04-26 23:30:00,10.351,10.358,10.325,10.33,558.1
INJUSDT,2025-04-26 23:45:00,10.33,10.341,10.282,10.295,1277.4
INJUSDT,2025-04-27 00:00:00,10.295,10.351,10.28,10.335,805.4
INJUSDT,2025-04-27 00:15:00,10.335,10.388,10.33,10.363,1441.3
INJUSDT,2025-04-27 00:30:00,10.363,10.377,10.321,10.346,957.3
INJUSDT,2025-04-27 00:45:00,10.346,10.387,10.346,10.384,1413.1
INJUSDT,2025-04-27 01:00:00,10.384,10.387,10.284,10.34,1928.5
INJUSDT,2025-04-27 01:15:00,10.34,10.343,10.141,10.208,5565.1
INJUSDT,2025-04-27 01:30:00,10.208,10.21,10.075,10.142,2614.8
INJUSDT,2025-04-27 01:45:00,10.142,10.148,10.014,10.028,9461.7
INJUSDT,2025-04-27 02:00:00,10.028,10.15,10.016,10.15,1348.7
INJUSDT,2025-04-27 02:15:00,10.15,10.174,10.115,10.15,1268.5
INJUSDT,2025-04-27 02:30:00,10.15,10.161,10.113,10.12,1463.8
INJUSDT,2025-04-27 02:45:00,10.12,10.144,10.08,10.132,336.8
INJUSDT,2025-04-27 03:00:00,10.132,10.177,10.119,10.156,2212.8
INJUSDT,2025-04-27 03:15:00,10.156,10.192,10.129,10.143,682.8
INJUSDT,2025-04-27 03:30:00,10.143,10.196,10.137,10.184,598.5
INJUSDT,2025-04-27 03:45:00,10.184,10.19,10.146,10.176,410.2
INJUSDT,2025-04-27 04:00:00,10.176,10.231,10.161,10.231,780.1
INJUSDT,2025-04-27 04:15:00,10.231,10.231,10.165,10.165,708.8
INJUSDT,2025-04-27 04:30:00,10.165,10.171,10.079,10.086,4948.2
INJUSDT,2025-04-27 04:45:00,10.086,10.108,10.039,10.06,2952.4
INJUSDT,2025-04-27 05:00:00,10.06,10.116,10.056,10.083,5138.0
INJUSDT,2025-04-27 05:15:00,10.083,10.104,9.991,10.014,5483.8
INJUSDT,2025-04-27 05:30:00,10.014,10.057,9.991,10.042,1778.3
INJUSDT,2025-04-27 05:45:00,10.042,10.052,10.01,10.025,2578.6
INJUSDT,2025-04-27 06:00:00,10.025,10.048,10.014,10.048,1508.9
INJUSDT,2025-04-27 06:15:00,10.048,10.088,10.025,10.071,2262.7
INJUSDT,2025-04-27 06:30:00,10.071,10.071,10.021,10.029,901.3
INJUSDT,2025-04-27 06:45:00,10.029,10.039,9.994,10.02,824.8
INJUSDT,2025-04-27 07:00:00,10.02,10.041,9.98,10.006,3581.9
INJUSDT,2025-04-27 07:15:00,10.006,10.077,10.006,10.077,2705.2
INJUSDT,2025-04-27 07:30:00,10.077,10.086,10.05,10.069,3033.7
INJUSDT,2025-04-27 07:45:00,10.069,10.089,10.06,10.082,759.9
INJUSDT,2025-04-27 08:00:00,10.082,10.082,10.042,10.066,1149.9
INJUSDT,2025-04-27 08:15:00,10.066,10.111,10.056,10.074,1525.3
INJUSDT,2025-04-27 08:30:00,10.074,10.086,10.05,10.085,474.9
INJUSDT,2025-04-27 08:45:00,10.085,10.126,10.076,10.079,3611.1
INJUSDT,2025-04-27 09:00:00,10.079,10.081,10.018,10.023,774.8
INJUSDT,2025-04-27 09:15:00,10.023,10.049,10.004,10.014,579.6
INJUSDT,2025-04-27 09:30:00,10.014,10.07,10.007,10.07,1032.3
INJUSDT,2025-04-27 09:45:00,10.07,10.07,10.027,10.031,343.3
INJUSDT,2025-04-27 10:00:00,10.031,10.031,9.994,9.998,4023.3
INJUSDT,2025-04-27 10:15:00,9.998,10.016,9.913,9.924,18465.0
INJUSDT,2025-04-27 10:30:00,9.924,9.969,9.923,9.954,5924.9
INJUSDT,2025-04-27 10:45:00,9.954,9.962,9.936,9.948,3077.9
INJUSDT,2025-04-27 11:00:00,9.948,9.964,9.925,9.952,477.8
INJUSDT,2025-04-27 11:15:00,9.952,9.965,9.915,9.919,613.8
INJUSDT,2025-04-27 11:30:00,9.919,9.956,9.905,9.912,1032.5
