symbol,timestamp,open,high,low,close,volume
IOTAUSDT,2025-04-26 14:40:00,0.2133,0.2145,0.2132,0.2142,43711.5
IOTAUSDT,2025-04-26 14:45:00,0.2142,0.2147,0.2142,0.2146,3580.5
IOTAUSDT,2025-04-26 14:50:00,0.2146,0.2148,0.2142,0.2148,18210.7
IOTAUSDT,2025-04-26 14:55:00,0.2148,0.2148,0.2143,0.2143,2086.5
IOTAUSDT,2025-04-26 15:00:00,0.2143,0.2147,0.2141,0.2141,36674.4
IOTAUSDT,2025-04-26 15:05:00,0.2141,0.2146,0.214,0.2142,2414.0
IOTAUSDT,2025-04-26 15:10:00,0.2142,0.2143,0.2139,0.2142,2819.2
IOTAUSDT,2025-04-26 15:15:00,0.2142,0.2146,0.2139,0.2139,1590.8
IOTAUSDT,2025-04-26 15:20:00,0.2139,0.2145,0.2139,0.2144,2814.9
IOTAUSDT,2025-04-26 15:25:00,0.2144,0.2152,0.2144,0.2152,5509.7
IOTAUSDT,2025-04-26 15:30:00,0.2152,0.2154,0.2148,0.2151,53485.4
IOTAUSDT,2025-04-26 15:35:00,0.2151,0.2154,0.215,0.2154,2186.7
IOTAUSDT,2025-04-26 15:40:00,0.2154,0.2154,0.2147,0.2151,963.9
IOTAUSDT,2025-04-26 15:45:00,0.2151,0.2151,0.2146,0.2148,1728.6
IOTAUSDT,2025-04-26 15:50:00,0.2148,0.216,0.2148,0.2154,4471.6
IOTAUSDT,2025-04-26 15:55:00,0.2154,0.2155,0.2154,0.2155,673.1
IOTAUSDT,2025-04-26 16:00:00,0.2155,0.2155,0.2145,0.2145,283.2
IOTAUSDT,2025-04-26 16:05:00,0.2145,0.2146,0.2138,0.2138,11679.3
IOTAUSDT,2025-04-26 16:10:00,0.2138,0.2138,0.2136,0.2138,379.7
IOTAUSDT,2025-04-26 16:15:00,0.2138,0.2142,0.2138,0.2142,15069.4
IOTAUSDT,2025-04-26 16:20:00,0.2142,0.2144,0.2139,0.2142,295.4
IOTAUSDT,2025-04-26 16:25:00,0.2142,0.2144,0.2142,0.2142,410.6
IOTAUSDT,2025-04-26 16:30:00,0.2142,0.2142,0.2133,0.2133,6540.2
IOTAUSDT,2025-04-26 16:35:00,0.2133,0.2135,0.2129,0.2129,487.2
IOTAUSDT,2025-04-26 16:40:00,0.2129,0.2129,0.2117,0.212,9519.6
IOTAUSDT,2025-04-26 16:45:00,0.212,0.2127,0.212,0.2127,379.8
IOTAUSDT,2025-04-26 16:50:00,0.2127,0.213,0.2124,0.2125,1682.4
IOTAUSDT,2025-04-26 16:55:00,0.2125,0.2126,0.2125,0.2126,349.1
IOTAUSDT,2025-04-26 17:00:00,0.2126,0.2126,0.2125,0.2125,230.9
IOTAUSDT,2025-04-26 17:05:00,0.2125,0.2126,0.2121,0.2124,21539.9
IOTAUSDT,2025-04-26 17:10:00,0.2124,0.2124,0.2124,0.2124,0.0
IOTAUSDT,2025-04-26 17:15:00,0.2124,0.2124,0.212,0.212,47.3
IOTAUSDT,2025-04-26 17:20:00,0.212,0.212,0.2115,0.2115,1469.5
IOTAUSDT,2025-04-26 17:25:00,0.2115,0.2126,0.2115,0.2124,734.3
IOTAUSDT,2025-04-26 17:30:00,0.2124,0.2134,0.2124,0.2134,13077.3
IOTAUSDT,2025-04-26 17:35:00,0.2134,0.2134,0.213,0.213,693.1
IOTAUSDT,2025-04-26 17:40:00,0.213,0.213,0.2123,0.2123,206.1
IOTAUSDT,2025-04-26 17:45:00,0.2123,0.2127,0.2123,0.2125,1114.9
IOTAUSDT,2025-04-26 17:50:00,0.2125,0.2125,0.2122,0.2122,2309.5
IOTAUSDT,2025-04-26 17:55:00,0.2122,0.2122,0.2119,0.2119,249.4
IOTAUSDT,2025-04-26 18:00:00,0.2119,0.2119,0.2115,0.2115,2403.1
IOTAUSDT,2025-04-26 18:05:00,0.2115,0.2124,0.2115,0.2124,1106.5
IOTAUSDT,2025-04-26 18:10:00,0.2124,0.2124,0.2119,0.212,1618.5
IOTAUSDT,2025-04-26 18:15:00,0.212,0.212,0.212,0.212,42.0
IOTAUSDT,2025-04-26 18:20:00,0.212,0.2123,0.2118,0.2123,3877.1
IOTAUSDT,2025-04-26 18:25:00,0.2123,0.2126,0.2123,0.2123,1752.5
IOTAUSDT,2025-04-26 18:30:00,0.2123,0.2123,0.2117,0.2117,1597.8
IOTAUSDT,2025-04-26 18:35:00,0.2117,0.212,0.2117,0.212,4781.1
IOTAUSDT,2025-04-26 18:40:00,0.212,0.212,0.2116,0.2116,586.3
IOTAUSDT,2025-04-26 18:45:00,0.2116,0.2119,0.2116,0.2119,2586.7
IOTAUSDT,2025-04-26 18:50:00,0.2119,0.2121,0.2118,0.2119,4982.9
IOTAUSDT,2025-04-26 18:55:00,0.2119,0.2119,0.2113,0.2113,1451.0
IOTAUSDT,2025-04-26 19:00:00,0.2113,0.2116,0.2113,0.2113,1021.0
IOTAUSDT,2025-04-26 19:05:00,0.2113,0.2115,0.2109,0.211,11138.4
IOTAUSDT,2025-04-26 19:10:00,0.211,0.2111,0.2102,0.211,101603.4
IOTAUSDT,2025-04-26 19:15:00,0.211,0.2111,0.211,0.2111,41.8
IOTAUSDT,2025-04-26 19:20:00,0.2111,0.2113,0.2111,0.2113,1558.7
IOTAUSDT,2025-04-26 19:25:00,0.2113,0.2118,0.2113,0.2118,1013.3
IOTAUSDT,2025-04-26 19:30:00,0.2118,0.2118,0.2118,0.2118,0.0
IOTAUSDT,2025-04-26 19:35:00,0.2118,0.2118,0.2115,0.2115,3444.9
IOTAUSDT,2025-04-26 19:40:00,0.2115,0.2122,0.2115,0.2118,158587.7
IOTAUSDT,2025-04-26 19:45:00,0.2118,0.2118,0.2117,0.2117,2056.8
IOTAUSDT,2025-04-26 19:50:00,0.2117,0.2119,0.2115,0.2118,1163.6
IOTAUSDT,2025-04-26 19:55:00,0.2118,0.2118,0.2118,0.2118,0.0
IOTAUSDT,2025-04-26 20:00:00,0.2118,0.2124,0.2118,0.2124,113.7
IOTAUSDT,2025-04-26 20:05:00,0.2124,0.2132,0.2124,0.2129,785.2
IOTAUSDT,2025-04-26 20:10:00,0.2129,0.213,0.2129,0.213,198.2
IOTAUSDT,2025-04-26 20:15:00,0.213,0.213,0.212,0.2121,8808.4
IOTAUSDT,2025-04-26 20:20:00,0.2121,0.2121,0.2121,0.2121,0.0
IOTAUSDT,2025-04-26 20:25:00,0.2121,0.2121,0.2117,0.2117,350.3
IOTAUSDT,2025-04-26 20:30:00,0.2117,0.2117,0.2116,0.2116,82.7
IOTAUSDT,2025-04-26 20:35:00,0.2116,0.2116,0.211,0.211,189.0
IOTAUSDT,2025-04-26 20:40:00,0.211,0.2116,0.211,0.2116,94696.9
IOTAUSDT,2025-04-26 20:45:00,0.2116,0.2116,0.2111,0.2112,2303.8
IOTAUSDT,2025-04-26 20:50:00,0.2112,0.2112,0.2099,0.2099,105977.9
IOTAUSDT,2025-04-26 20:55:00,0.2099,0.2101,0.2096,0.2096,3022.4
IOTAUSDT,2025-04-26 21:00:00,0.2096,0.2103,0.2096,0.2101,93262.8
IOTAUSDT,2025-04-26 21:05:00,0.2101,0.2101,0.2101,0.2101,76.0
IOTAUSDT,2025-04-26 21:10:00,0.2101,0.2105,0.2101,0.2105,15121.7
IOTAUSDT,2025-04-26 21:15:00,0.2105,0.2107,0.2105,0.2107,1864.0
IOTAUSDT,2025-04-26 21:20:00,0.2107,0.2107,0.2098,0.2099,2994.9
IOTAUSDT,2025-04-26 21:25:00,0.2099,0.2103,0.2098,0.2099,6795.3
IOTAUSDT,2025-04-26 21:30:00,0.2099,0.21,0.2096,0.2097,3118.8
IOTAUSDT,2025-04-26 21:35:00,0.2097,0.2099,0.2096,0.2097,3946.9
IOTAUSDT,2025-04-26 21:40:00,0.2097,0.2098,0.2097,0.2098,5465.2
IOTAUSDT,2025-04-26 21:45:00,0.2098,0.21,0.2098,0.21,2103.0
IOTAUSDT,2025-04-26 21:50:00,0.21,0.21,0.2097,0.2097,3577.8
IOTAUSDT,2025-04-26 21:55:00,0.2097,0.2097,0.2084,0.2093,126671.6
IOTAUSDT,2025-04-26 22:00:00,0.2093,0.2107,0.209,0.2107,108092.3
IOTAUSDT,2025-04-26 22:05:00,0.2107,0.2118,0.2106,0.2117,16433.9
IOTAUSDT,2025-04-26 22:10:00,0.2117,0.2117,0.2105,0.2113,37716.5
IOTAUSDT,2025-04-26 22:15:00,0.2113,0.2114,0.2112,0.2112,5743.6
IOTAUSDT,2025-04-26 22:20:00,0.2112,0.2126,0.2112,0.2125,62785.0
IOTAUSDT,2025-04-26 22:25:00,0.2125,0.2126,0.212,0.2121,1179.6
IOTAUSDT,2025-04-26 22:30:00,0.2121,0.2121,0.2117,0.212,12489.0
IOTAUSDT,2025-04-26 22:35:00,0.212,0.2122,0.2119,0.2122,1774.1
IOTAUSDT,2025-04-26 22:40:00,0.2122,0.2124,0.2122,0.2124,5684.3
IOTAUSDT,2025-04-26 22:45:00,0.2124,0.2124,0.2124,0.2124,0.0
IOTAUSDT,2025-04-26 22:50:00,0.2124,0.2124,0.2116,0.2116,2522.2
IOTAUSDT,2025-04-26 22:55:00,0.2116,0.2118,0.2115,0.2118,91.5
IOTAUSDT,2025-04-26 23:00:00,0.2118,0.2119,0.2115,0.2117,12894.3
IOTAUSDT,2025-04-26 23:05:00,0.2117,0.2117,0.2115,0.2115,464.9
IOTAUSDT,2025-04-26 23:10:00,0.2115,0.2115,0.2115,0.2115,0.0
IOTAUSDT,2025-04-26 23:15:00,0.2115,0.2115,0.2106,0.2112,11312.6
IOTAUSDT,2025-04-26 23:20:00,0.2112,0.2113,0.2111,0.2111,782.4
IOTAUSDT,2025-04-26 23:25:00,0.2111,0.2111,0.2111,0.2111,0.0
IOTAUSDT,2025-04-26 23:30:00,0.2111,0.2111,0.2106,0.211,361.2
IOTAUSDT,2025-04-26 23:35:00,0.211,0.2111,0.2105,0.2105,2642.7
IOTAUSDT,2025-04-26 23:40:00,0.2105,0.2107,0.2105,0.2107,590.4
IOTAUSDT,2025-04-26 23:45:00,0.2107,0.2107,0.2107,0.2107,1835.7
IOTAUSDT,2025-04-26 23:50:00,0.2107,0.2111,0.2107,0.2111,56.6
IOTAUSDT,2025-04-26 23:55:00,0.2111,0.2119,0.2111,0.2115,916.4
IOTAUSDT,2025-04-27 00:00:00,0.2115,0.2117,0.2108,0.2108,405.9
IOTAUSDT,2025-04-27 00:05:00,0.2108,0.212,0.2108,0.2118,5263.9
IOTAUSDT,2025-04-27 00:10:00,0.2118,0.2121,0.2118,0.212,822.9
IOTAUSDT,2025-04-27 00:15:00,0.212,0.2132,0.2118,0.2132,2768.4
IOTAUSDT,2025-04-27 00:20:00,0.2132,0.2133,0.2126,0.2126,584.2
IOTAUSDT,2025-04-27 00:25:00,0.2126,0.2129,0.2119,0.2129,1784.5
IOTAUSDT,2025-04-27 00:30:00,0.2129,0.2132,0.212,0.212,952.7
IOTAUSDT,2025-04-27 00:35:00,0.212,0.2122,0.212,0.2122,346.6
IOTAUSDT,2025-04-27 00:40:00,0.2122,0.2128,0.2122,0.2128,380.9
IOTAUSDT,2025-04-27 00:45:00,0.2128,0.2135,0.2127,0.2135,1027.1
IOTAUSDT,2025-04-27 00:50:00,0.2135,0.2141,0.2135,0.2136,13409.0
IOTAUSDT,2025-04-27 00:55:00,0.2136,0.2136,0.2134,0.2135,796.0
IOTAUSDT,2025-04-27 01:00:00,0.2135,0.2135,0.2128,0.213,555.8
IOTAUSDT,2025-04-27 01:05:00,0.213,0.2133,0.213,0.2133,122.2
IOTAUSDT,2025-04-27 01:10:00,0.2133,0.2133,0.2116,0.2124,2058.7
IOTAUSDT,2025-04-27 01:15:00,0.2124,0.2124,0.2108,0.2108,513.2
IOTAUSDT,2025-04-27 01:20:00,0.2108,0.2108,0.2081,0.2089,144414.2
IOTAUSDT,2025-04-27 01:25:00,0.2089,0.2093,0.208,0.2093,10418.1
IOTAUSDT,2025-04-27 01:30:00,0.2093,0.2097,0.2062,0.2062,321744.9
IOTAUSDT,2025-04-27 01:35:00,0.2062,0.2078,0.2062,0.2078,119188.9
IOTAUSDT,2025-04-27 01:40:00,0.2078,0.2078,0.2072,0.2072,2805.6
IOTAUSDT,2025-04-27 01:45:00,0.2072,0.2072,0.2059,0.2065,106960.7
IOTAUSDT,2025-04-27 01:50:00,0.2065,0.2072,0.2054,0.206,137717.2
IOTAUSDT,2025-04-27 01:55:00,0.206,0.2064,0.2046,0.2051,59251.0
IOTAUSDT,2025-04-27 02:00:00,0.2051,0.2061,0.2049,0.206,53466.5
IOTAUSDT,2025-04-27 02:05:00,0.206,0.206,0.2058,0.2058,678.7
IOTAUSDT,2025-04-27 02:10:00,0.2058,0.2069,0.2058,0.2069,628.9
IOTAUSDT,2025-04-27 02:15:00,0.2069,0.2069,0.2061,0.2066,3103.9
IOTAUSDT,2025-04-27 02:20:00,0.2066,0.2069,0.2066,0.2068,878.0
IOTAUSDT,2025-04-27 02:25:00,0.2068,0.2072,0.2068,0.2071,372.6
IOTAUSDT,2025-04-27 02:30:00,0.2071,0.2071,0.2066,0.2068,361.1
IOTAUSDT,2025-04-27 02:35:00,0.2068,0.2073,0.2068,0.2068,2438.6
IOTAUSDT,2025-04-27 02:40:00,0.2068,0.2072,0.2068,0.2068,343.2
IOTAUSDT,2025-04-27 02:45:00,0.2068,0.2069,0.2068,0.2069,119.5
IOTAUSDT,2025-04-27 02:50:00,0.2069,0.2072,0.2066,0.2072,2515.4
IOTAUSDT,2025-04-27 02:55:00,0.2072,0.2074,0.2072,0.2074,59.9
IOTAUSDT,2025-04-27 03:00:00,0.2074,0.2076,0.2074,0.2076,187.5
IOTAUSDT,2025-04-27 03:05:00,0.2076,0.208,0.2076,0.2079,362.9
IOTAUSDT,2025-04-27 03:10:00,0.2079,0.2079,0.2076,0.2076,231.7
IOTAUSDT,2025-04-27 03:15:00,0.2076,0.2076,0.2076,0.2076,0.0
IOTAUSDT,2025-04-27 03:20:00,0.2076,0.2076,0.2073,0.2074,1092.4
IOTAUSDT,2025-04-27 03:25:00,0.2074,0.2074,0.2063,0.2063,11690.8
IOTAUSDT,2025-04-27 03:30:00,0.2063,0.2075,0.2063,0.2074,22147.9
IOTAUSDT,2025-04-27 03:35:00,0.2074,0.2076,0.207,0.2071,3311.9
IOTAUSDT,2025-04-27 03:40:00,0.2071,0.2073,0.207,0.2071,2884.8
IOTAUSDT,2025-04-27 03:45:00,0.2071,0.2071,0.2067,0.2071,330.4
IOTAUSDT,2025-04-27 03:50:00,0.2071,0.2071,0.2066,0.2066,2713.8
IOTAUSDT,2025-04-27 03:55:00,0.2066,0.2068,0.2066,0.2068,136.3
IOTAUSDT,2025-04-27 04:00:00,0.2068,0.2069,0.2068,0.2069,84.4
IOTAUSDT,2025-04-27 04:05:00,0.2069,0.2078,0.2069,0.2078,46421.2
IOTAUSDT,2025-04-27 04:10:00,0.2078,0.2079,0.2078,0.2079,292.5
IOTAUSDT,2025-04-27 04:15:00,0.2079,0.2079,0.2079,0.2079,190.3
IOTAUSDT,2025-04-27 04:20:00,0.2079,0.2079,0.2077,0.2077,1258.1
IOTAUSDT,2025-04-27 04:25:00,0.2077,0.2077,0.2072,0.2072,851.9
IOTAUSDT,2025-04-27 04:30:00,0.2072,0.2072,0.2059,0.2059,4632.2
IOTAUSDT,2025-04-27 04:35:00,0.2059,0.2061,0.2059,0.2061,4087.0
IOTAUSDT,2025-04-27 04:40:00,0.2061,0.2061,0.2055,0.2058,581.8
IOTAUSDT,2025-04-27 04:45:00,0.2058,0.2058,0.2056,0.2056,1165.9
IOTAUSDT,2025-04-27 04:50:00,0.2056,0.2056,0.2044,0.2049,83863.0
IOTAUSDT,2025-04-27 04:55:00,0.2049,0.2055,0.2049,0.2055,277.4
IOTAUSDT,2025-04-27 05:00:00,0.2055,0.2056,0.2053,0.2056,1069.7
IOTAUSDT,2025-04-27 05:05:00,0.2056,0.2059,0.2056,0.2059,1194.8
IOTAUSDT,2025-04-27 05:10:00,0.2059,0.2059,0.2053,0.2056,13640.5
IOTAUSDT,2025-04-27 05:15:00,0.2056,0.2056,0.2056,0.2056,0.0
IOTAUSDT,2025-04-27 05:20:00,0.2056,0.2056,0.2038,0.2041,42876.1
IOTAUSDT,2025-04-27 05:25:00,0.2041,0.2041,0.2032,0.2037,48211.3
IOTAUSDT,2025-04-27 05:30:00,0.2037,0.2041,0.2036,0.2039,432.3
IOTAUSDT,2025-04-27 05:35:00,0.2039,0.2047,0.2039,0.2047,29326.9
IOTAUSDT,2025-04-27 05:40:00,0.2047,0.2047,0.2044,0.2046,3230.8
IOTAUSDT,2025-04-27 05:45:00,0.2046,0.2053,0.2046,0.2049,51073.8
IOTAUSDT,2025-04-27 05:50:00,0.2049,0.2049,0.2045,0.2047,161.6
