symbol,timestamp,open,high,low,close,volume
KAVAUSDT,2025-04-25 16:30:00,0.4648,0.4704,0.4639,0.4681,43114.7
KAVAUSDT,2025-04-25 16:45:00,0.4681,0.4694,0.4668,0.4689,13164.5
KAVAUSDT,2025-04-25 17:00:00,0.4689,0.4689,0.466,0.4661,4984.6
KAVAUSDT,2025-04-25 17:15:00,0.4661,0.4661,0.4638,0.4651,6992.8
KAVAUSDT,2025-04-25 17:30:00,0.4651,0.4651,0.4608,0.4622,9477.6
KAVAUSDT,2025-04-25 17:45:00,0.4622,0.4623,0.4607,0.4614,6714.9
KAVAUSDT,2025-04-25 18:00:00,0.4614,0.4637,0.4614,0.4635,8674.5
KAVAUSDT,2025-04-25 18:15:00,0.4635,0.4655,0.4629,0.4655,8375.7
KAVAUSDT,2025-04-25 18:30:00,0.4655,0.4656,0.4637,0.4647,5297.9
KAVAUSDT,2025-04-25 18:45:00,0.4647,0.4651,0.4627,0.4632,8583.8
KAVAUSDT,2025-04-25 19:00:00,0.4632,0.4633,0.4611,0.4611,16973.6
KAVAUSDT,2025-04-25 19:15:00,0.4611,0.4631,0.4611,0.4627,7668.5
KAVAUSDT,2025-04-25 19:30:00,0.4627,0.4637,0.4622,0.4633,7471.3
KAVAUSDT,2025-04-25 19:45:00,0.4633,0.4636,0.4629,0.4634,5670.1
KAVAUSDT,2025-04-25 20:00:00,0.4634,0.4637,0.4628,0.4635,5698.6
KAVAUSDT,2025-04-25 20:15:00,0.4635,0.4637,0.4623,0.4631,6444.2
KAVAUSDT,2025-04-25 20:30:00,0.4631,0.4634,0.4623,0.4627,8985.2
KAVAUSDT,2025-04-25 20:45:00,0.4627,0.4634,0.4624,0.4624,7598.9
KAVAUSDT,2025-04-25 21:00:00,0.4624,0.4637,0.4624,0.4628,8410.8
KAVAUSDT,2025-04-25 21:15:00,0.4628,0.4633,0.4609,0.4609,6684.4
KAVAUSDT,2025-04-25 21:30:00,0.4609,0.4629,0.4604,0.4615,9087.6
KAVAUSDT,2025-04-25 21:45:00,0.4615,0.4619,0.4593,0.4598,7030.2
KAVAUSDT,2025-04-25 22:00:00,0.4598,0.4633,0.4595,0.4633,9712.5
KAVAUSDT,2025-04-25 22:15:00,0.4633,0.4665,0.4632,0.4664,12397.9
KAVAUSDT,2025-04-25 22:30:00,0.4664,0.4673,0.4656,0.4672,8605.3
KAVAUSDT,2025-04-25 22:45:00,0.4672,0.4675,0.4663,0.4664,33775.7
KAVAUSDT,2025-04-25 23:00:00,0.4664,0.4679,0.4654,0.4676,34028.2
