symbol,timestamp,open,high,low,close,volume
KDAUSDT,2025-04-26 14:40:00,0.5795,0.5795,0.5784,0.5788,3071.0
KDAUSDT,2025-04-26 14:45:00,0.5788,0.58,0.5777,0.58,2343.0
KDAUSDT,2025-04-26 14:50:00,0.58,0.5824,0.5792,0.5818,4327.0
KDAUSDT,2025-04-26 14:55:00,0.5818,0.5819,0.5797,0.5797,4026.0
KDAUSDT,2025-04-26 15:00:00,0.5797,0.5803,0.5791,0.5791,3842.0
KDAUSDT,2025-04-26 15:05:00,0.5791,0.5822,0.5791,0.5811,3012.0
KDAUSDT,2025-04-26 15:10:00,0.5811,0.5828,0.5807,0.582,1702.0
KDAUSDT,2025-04-26 15:15:00,0.582,0.585,0.5816,0.5825,9168.0
KDAUSDT,2025-04-26 15:20:00,0.5825,0.5838,0.5823,0.5827,1947.0
KDAUSDT,2025-04-26 15:25:00,0.5827,0.5833,0.5822,0.5829,1329.0
KDAUSDT,2025-04-26 15:30:00,0.5829,0.5836,0.5816,0.5816,1840.0
KDAUSDT,2025-04-26 15:35:00,0.5816,0.5825,0.5792,0.5818,10180.0
KDAUSDT,2025-04-26 15:40:00,0.5818,0.5827,0.5807,0.5807,3951.0
KDAUSDT,2025-04-26 15:45:00,0.5807,0.5839,0.5807,0.5839,1243.0
KDAUSDT,2025-04-26 15:50:00,0.5839,0.5844,0.5836,0.5844,3067.0
KDAUSDT,2025-04-26 15:55:00,0.5844,0.5854,0.5837,0.5838,2120.0
KDAUSDT,2025-04-26 16:00:00,0.5838,0.5838,0.5822,0.5822,2066.0
KDAUSDT,2025-04-26 16:05:00,0.5822,0.5829,0.5803,0.5803,2896.0
KDAUSDT,2025-04-26 16:10:00,0.5803,0.5815,0.58,0.5815,1791.0
KDAUSDT,2025-04-26 16:15:00,0.5815,0.5819,0.5793,0.5804,2702.0
KDAUSDT,2025-04-26 16:20:00,0.5804,0.5819,0.5799,0.5817,2964.0
KDAUSDT,2025-04-26 16:25:00,0.5817,0.5821,0.581,0.581,3021.0
KDAUSDT,2025-04-26 16:30:00,0.581,0.581,0.5786,0.579,4952.0
KDAUSDT,2025-04-26 16:35:00,0.579,0.5794,0.5767,0.5769,7703.0
KDAUSDT,2025-04-26 16:40:00,0.5769,0.5772,0.5739,0.5744,4601.0
KDAUSDT,2025-04-26 16:45:00,0.5744,0.5774,0.5744,0.5774,3243.0
KDAUSDT,2025-04-26 16:50:00,0.5774,0.5786,0.5763,0.5778,2370.0
KDAUSDT,2025-04-26 16:55:00,0.5778,0.5788,0.5775,0.5782,7015.0
KDAUSDT,2025-04-26 17:00:00,0.5782,0.5789,0.5757,0.5766,26706.0
KDAUSDT,2025-04-26 17:05:00,0.5766,0.579,0.5766,0.5788,3627.0
KDAUSDT,2025-04-26 17:10:00,0.5788,0.5791,0.5756,0.5758,2097.0
KDAUSDT,2025-04-26 17:15:00,0.5758,0.5784,0.5756,0.578,1150.0
KDAUSDT,2025-04-26 17:20:00,0.578,0.5792,0.5768,0.579,1605.0
KDAUSDT,2025-04-26 17:25:00,0.579,0.5792,0.5783,0.5792,1455.0
KDAUSDT,2025-04-26 17:30:00,0.5792,0.5793,0.5786,0.579,967.0
KDAUSDT,2025-04-26 17:35:00,0.579,0.5792,0.5782,0.5782,1564.0
KDAUSDT,2025-04-26 17:40:00,0.5782,0.5793,0.5782,0.5791,1580.0
KDAUSDT,2025-04-26 17:45:00,0.5791,0.5804,0.5789,0.5799,2445.0
KDAUSDT,2025-04-26 17:50:00,0.5799,0.5805,0.579,0.5793,2376.0
KDAUSDT,2025-04-26 17:55:00,0.5793,0.5793,0.5778,0.5782,1852.0
KDAUSDT,2025-04-26 18:00:00,0.5782,0.5789,0.5761,0.5789,3467.0
KDAUSDT,2025-04-26 18:05:00,0.5789,0.58,0.5786,0.5791,2520.0
KDAUSDT,2025-04-26 18:10:00,0.5791,0.5792,0.5764,0.5764,1887.0
KDAUSDT,2025-04-26 18:15:00,0.5764,0.5768,0.5764,0.5768,1275.0
KDAUSDT,2025-04-26 18:20:00,0.5768,0.5788,0.5764,0.5786,2436.0
KDAUSDT,2025-04-26 18:25:00,0.5786,0.5799,0.5786,0.579,5304.0
KDAUSDT,2025-04-26 18:30:00,0.579,0.5798,0.5783,0.5798,1970.0
KDAUSDT,2025-04-26 18:35:00,0.5798,0.5798,0.5786,0.5788,2133.0
KDAUSDT,2025-04-26 18:40:00,0.5788,0.5824,0.5784,0.5821,6691.0
KDAUSDT,2025-04-26 18:45:00,0.5821,0.5822,0.5806,0.5813,1245.0
KDAUSDT,2025-04-26 18:50:00,0.5813,0.5814,0.5767,0.5767,1721.0
KDAUSDT,2025-04-26 18:55:00,0.5767,0.5772,0.5751,0.5761,11381.0
KDAUSDT,2025-04-26 19:00:00,0.5761,0.5768,0.5754,0.5763,4543.0
KDAUSDT,2025-04-26 19:05:00,0.5763,0.5763,0.5747,0.5749,1986.0
