symbol,timestamp,open,high,low,close,volume
KERNELUSDT,2025-04-26 14:40:00,0.1701,0.1712,0.1701,0.171,18869.0
KERNELUSDT,2025-04-26 14:45:00,0.171,0.1713,0.1705,0.1711,13537.0
KERNELUSDT,2025-04-26 14:50:00,0.1711,0.1711,0.1701,0.1702,7998.0
KERNELUSDT,2025-04-26 14:55:00,0.1702,0.1704,0.1697,0.1699,103611.0
KERNELUSDT,2025-04-26 15:00:00,0.1699,0.1704,0.1696,0.1703,37405.0
KERNELUSDT,2025-04-26 15:05:00,0.1703,0.1711,0.1702,0.1709,13566.0
KERNELUSDT,2025-04-26 15:10:00,0.1709,0.1712,0.1705,0.171,9358.0
KERNELUSDT,2025-04-26 15:15:00,0.171,0.1711,0.1704,0.1708,49411.0
KERNELUSDT,2025-04-26 15:20:00,0.1708,0.1712,0.1708,0.1711,25437.0
KERNELUSDT,2025-04-26 15:25:00,0.1711,0.1721,0.1711,0.1719,13007.0
KERNELUSDT,2025-04-26 15:30:00,0.1719,0.1722,0.1711,0.1711,18009.0
KERNELUSDT,2025-04-26 15:35:00,0.1711,0.1721,0.1711,0.1717,20570.0
KERNELUSDT,2025-04-26 15:40:00,0.1717,0.172,0.1717,0.1718,16531.0
KERNELUSDT,2025-04-26 15:45:00,0.1718,0.1723,0.1715,0.1723,4242.0
KERNELUSDT,2025-04-26 15:50:00,0.1723,0.1724,0.1719,0.1723,37969.0
KERNELUSDT,2025-04-26 15:55:00,0.1723,0.1729,0.1723,0.1725,10863.0
KERNELUSDT,2025-04-26 16:00:00,0.1725,0.173,0.1722,0.173,33283.0
KERNELUSDT,2025-04-26 16:05:00,0.173,0.1731,0.1724,0.1724,13252.0
KERNELUSDT,2025-04-26 16:10:00,0.1724,0.1742,0.1724,0.1741,15037.0
KERNELUSDT,2025-04-26 16:15:00,0.1741,0.1751,0.174,0.1742,33797.0
KERNELUSDT,2025-04-26 16:20:00,0.1742,0.1748,0.1741,0.1748,7084.0
KERNELUSDT,2025-04-26 16:25:00,0.1748,0.1754,0.1745,0.175,14424.0
KERNELUSDT,2025-04-26 16:30:00,0.175,0.1765,0.175,0.1765,15380.0
KERNELUSDT,2025-04-26 16:35:00,0.1765,0.1767,0.1759,0.1759,37449.0
KERNELUSDT,2025-04-26 16:40:00,0.1759,0.1767,0.1751,0.1767,16464.0
KERNELUSDT,2025-04-26 16:45:00,0.1767,0.1774,0.1762,0.1767,19936.0
KERNELUSDT,2025-04-26 16:50:00,0.1767,0.1769,0.1756,0.1757,37520.0
KERNELUSDT,2025-04-26 16:55:00,0.1757,0.176,0.1751,0.1758,15256.0
KERNELUSDT,2025-04-26 17:00:00,0.1758,0.1781,0.1758,0.1779,32553.0
KERNELUSDT,2025-04-26 17:05:00,0.1779,0.1811,0.1777,0.1798,263411.0
KERNELUSDT,2025-04-26 17:10:00,0.1798,0.1799,0.1789,0.1796,58402.0
KERNELUSDT,2025-04-26 17:15:00,0.1796,0.1814,0.1794,0.1814,47793.0
KERNELUSDT,2025-04-26 17:20:00,0.1814,0.1857,0.1813,0.1842,110878.0
KERNELUSDT,2025-04-26 17:25:00,0.1842,0.1842,0.1796,0.183,139920.0
KERNELUSDT,2025-04-26 17:30:00,0.183,0.186,0.183,0.1853,59485.0
KERNELUSDT,2025-04-26 17:35:00,0.1853,0.1853,0.1824,0.1833,428765.0
KERNELUSDT,2025-04-26 17:40:00,0.1833,0.1833,0.1813,0.1813,59754.0
KERNELUSDT,2025-04-26 17:45:00,0.1813,0.1829,0.1811,0.1824,16302.0
KERNELUSDT,2025-04-26 17:50:00,0.1824,0.1841,0.1824,0.1838,105274.0
KERNELUSDT,2025-04-26 17:55:00,0.1838,0.1839,0.1828,0.1831,82391.0
KERNELUSDT,2025-04-26 18:00:00,0.1831,0.1831,0.1812,0.1812,53095.0
KERNELUSDT,2025-04-26 18:05:00,0.1812,0.1823,0.1809,0.1813,65293.0
KERNELUSDT,2025-04-26 18:10:00,0.1813,0.1817,0.1795,0.1801,141765.0
KERNELUSDT,2025-04-26 18:15:00,0.1801,0.1805,0.1794,0.1798,39577.0
KERNELUSDT,2025-04-26 18:20:00,0.1798,0.1814,0.1797,0.181,26552.0
KERNELUSDT,2025-04-26 18:25:00,0.181,0.1813,0.1803,0.181,36611.0
KERNELUSDT,2025-04-26 18:30:00,0.181,0.1818,0.1808,0.1814,8205.0
KERNELUSDT,2025-04-26 18:35:00,0.1814,0.1832,0.1813,0.1827,38300.0
KERNELUSDT,2025-04-26 18:40:00,0.1827,0.1827,0.181,0.181,10528.0
KERNELUSDT,2025-04-26 18:45:00,0.181,0.1814,0.181,0.1812,1062.0
KERNELUSDT,2025-04-26 18:50:00,0.1812,0.1812,0.1801,0.1801,29939.0
KERNELUSDT,2025-04-26 18:55:00,0.1801,0.1813,0.1801,0.181,31688.0
KERNELUSDT,2025-04-26 19:00:00,0.181,0.1838,0.181,0.1834,16900.0
KERNELUSDT,2025-04-26 19:05:00,0.1834,0.1834,0.1825,0.1825,18676.0
KERNELUSDT,2025-04-26 19:10:00,0.1825,0.183,0.1819,0.1821,58635.0
KERNELUSDT,2025-04-26 19:15:00,0.1821,0.1824,0.1796,0.1804,329154.0
KERNELUSDT,2025-04-26 19:20:00,0.1804,0.1804,0.1797,0.1797,8843.0
KERNELUSDT,2025-04-26 19:25:00,0.1797,0.181,0.1797,0.181,19669.0
