symbol,timestamp,open,high,low,close,volume
KILOUSDT,2025-04-26 14:40:00,0.0409,0.0409,0.0406,0.0409,93063.0
KILOUSDT,2025-04-26 14:45:00,0.0409,0.0413,0.0408,0.0413,114012.0
KILOUSDT,2025-04-26 14:50:00,0.0413,0.0413,0.0409,0.041,40289.0
KILOUSDT,2025-04-26 14:55:00,0.041,0.041,0.041,0.041,18452.0
KILOUSDT,2025-04-26 15:00:00,0.041,0.0411,0.041,0.041,15988.0
KILOUSDT,2025-04-26 15:05:00,0.041,0.041,0.0409,0.041,23730.0
KILOUSDT,2025-04-26 15:10:00,0.041,0.041,0.0409,0.0409,17509.0
KILOUSDT,2025-04-26 15:15:00,0.0409,0.041,0.0409,0.041,22541.0
KILOUSDT,2025-04-26 15:20:00,0.041,0.0412,0.0409,0.041,29489.0
KILOUSDT,2025-04-26 15:25:00,0.041,0.041,0.0409,0.0409,23346.0
KILOUSDT,2025-04-26 15:30:00,0.0409,0.0414,0.0409,0.0411,75404.0
KILOUSDT,2025-04-26 15:35:00,0.0411,0.0412,0.041,0.0412,59329.0
KILOUSDT,2025-04-26 15:40:00,0.0412,0.0412,0.041,0.0411,31854.0
KILOUSDT,2025-04-26 15:45:00,0.0411,0.0412,0.041,0.041,26222.0
KILOUSDT,2025-04-26 15:50:00,0.041,0.0412,0.041,0.041,17947.0
KILOUSDT,2025-04-26 15:55:00,0.041,0.0416,0.041,0.0414,101882.0
KILOUSDT,2025-04-26 16:00:00,0.0414,0.0419,0.0414,0.0416,23491.0
KILOUSDT,2025-04-26 16:05:00,0.0416,0.0419,0.0414,0.0418,74724.0
KILOUSDT,2025-04-26 16:10:00,0.0418,0.0422,0.0414,0.0415,106767.0
KILOUSDT,2025-04-26 16:15:00,0.0415,0.0418,0.0415,0.0415,39218.0
KILOUSDT,2025-04-26 16:20:00,0.0415,0.0417,0.0415,0.0417,21736.0
KILOUSDT,2025-04-26 16:25:00,0.0417,0.0417,0.0415,0.0416,13860.0
KILOUSDT,2025-04-26 16:30:00,0.0416,0.0417,0.0416,0.0416,13614.0
KILOUSDT,2025-04-26 16:35:00,0.0416,0.0418,0.0415,0.0417,27341.0
KILOUSDT,2025-04-26 16:40:00,0.0417,0.0417,0.0416,0.0417,16048.0
KILOUSDT,2025-04-26 16:45:00,0.0417,0.0417,0.0416,0.0417,19100.0
KILOUSDT,2025-04-26 16:50:00,0.0417,0.0417,0.0416,0.0417,29765.0
KILOUSDT,2025-04-26 16:55:00,0.0417,0.0417,0.0416,0.0416,19791.0
KILOUSDT,2025-04-26 17:00:00,0.0416,0.0416,0.0416,0.0416,0.0
KILOUSDT,2025-04-26 17:05:00,0.0416,0.0416,0.0414,0.0414,5048.0
KILOUSDT,2025-04-26 17:10:00,0.0414,0.0414,0.0414,0.0414,0.0
KILOUSDT,2025-04-26 17:15:00,0.0414,0.0414,0.0414,0.0414,0.0
KILOUSDT,2025-04-26 17:20:00,0.0414,0.0414,0.0413,0.0413,18702.0
KILOUSDT,2025-04-26 17:25:00,0.0413,0.0413,0.0413,0.0413,29226.0
KILOUSDT,2025-04-26 17:30:00,0.0413,0.0413,0.0412,0.0413,7042.0
KILOUSDT,2025-04-26 17:35:00,0.0413,0.0413,0.0412,0.0412,35714.0
KILOUSDT,2025-04-26 17:40:00,0.0412,0.0412,0.0411,0.0411,22891.0
KILOUSDT,2025-04-26 17:45:00,0.0411,0.0411,0.0411,0.0411,16430.0
KILOUSDT,2025-04-26 17:50:00,0.0411,0.0411,0.0411,0.0411,21527.0
KILOUSDT,2025-04-26 17:55:00,0.0411,0.0411,0.0411,0.0411,10980.0
KILOUSDT,2025-04-26 18:00:00,0.0411,0.0411,0.0411,0.0411,20546.0
KILOUSDT,2025-04-26 18:05:00,0.0411,0.0411,0.0411,0.0411,12842.0
KILOUSDT,2025-04-26 18:10:00,0.0411,0.0411,0.0411,0.0411,22497.0
KILOUSDT,2025-04-26 18:15:00,0.0411,0.0412,0.0407,0.0407,48373.0
KILOUSDT,2025-04-26 18:20:00,0.0407,0.0408,0.0404,0.0405,104242.0
KILOUSDT,2025-04-26 18:25:00,0.0405,0.0405,0.0403,0.0403,127387.0
KILOUSDT,2025-04-26 18:30:00,0.0403,0.0404,0.0401,0.0404,231057.0
KILOUSDT,2025-04-26 18:35:00,0.0404,0.0405,0.0404,0.0404,42382.0
KILOUSDT,2025-04-26 18:40:00,0.0404,0.0406,0.0404,0.0404,72793.0
KILOUSDT,2025-04-26 18:45:00,0.0404,0.0406,0.0404,0.0405,10509.0
KILOUSDT,2025-04-26 18:50:00,0.0405,0.0407,0.0405,0.0407,16093.0
KILOUSDT,2025-04-26 18:55:00,0.0407,0.0407,0.0407,0.0407,12940.0
KILOUSDT,2025-04-26 19:00:00,0.0407,0.0407,0.0407,0.0407,8095.0
KILOUSDT,2025-04-26 19:05:00,0.0407,0.0409,0.0407,0.0409,21253.0
KILOUSDT,2025-04-26 19:10:00,0.0409,0.0409,0.0407,0.0407,20073.0
KILOUSDT,2025-04-26 19:15:00,0.0407,0.0407,0.0401,0.0401,88736.0
