symbol,timestamp,open,high,low,close,volume
KNCUSDT,2025-04-26 14:40:00,0.3823,0.3834,0.3823,0.3828,849.1
KNCUSDT,2025-04-26 14:45:00,0.3828,0.3833,0.3823,0.3827,806.4
KNCUSDT,2025-04-26 14:50:00,0.3827,0.3827,0.3821,0.3823,1945.8
KNCUSDT,2025-04-26 14:55:00,0.3823,0.3824,0.3812,0.3812,897.0
KNCUSDT,2025-04-26 15:00:00,0.3812,0.3822,0.3812,0.3822,999.9
KNCUSDT,2025-04-26 15:05:00,0.3822,0.3829,0.3821,0.3829,910.2
KNCUSDT,2025-04-26 15:10:00,0.3829,0.383,0.3826,0.3828,778.6
KNCUSDT,2025-04-26 15:15:00,0.3828,0.3832,0.3825,0.3825,663.0
KNCUSDT,2025-04-26 15:20:00,0.3825,0.3825,0.3823,0.3824,451.5
KNCUSDT,2025-04-26 15:25:00,0.3824,0.3834,0.3824,0.3834,1444.9
KNCUSDT,2025-04-26 15:30:00,0.3834,0.3834,0.3828,0.3829,847.4
KNCUSDT,2025-04-26 15:35:00,0.3829,0.3836,0.3826,0.3834,594.9
KNCUSDT,2025-04-26 15:40:00,0.3834,0.3836,0.3833,0.3835,817.9
KNCUSDT,2025-04-26 15:45:00,0.3835,0.3839,0.3835,0.3839,174.7
KNCUSDT,2025-04-26 15:50:00,0.3839,0.3844,0.3839,0.3843,682.9
KNCUSDT,2025-04-26 15:55:00,0.3843,0.3846,0.3841,0.3841,933.8
KNCUSDT,2025-04-26 16:00:00,0.3841,0.3844,0.3835,0.3843,1836.1
KNCUSDT,2025-04-26 16:05:00,0.3843,0.3843,0.3839,0.3839,632.8
KNCUSDT,2025-04-26 16:10:00,0.3839,0.3844,0.3836,0.3844,791.1
KNCUSDT,2025-04-26 16:15:00,0.3844,0.3848,0.3844,0.3847,841.6
KNCUSDT,2025-04-26 16:20:00,0.3847,0.3853,0.3847,0.3848,258.7
KNCUSDT,2025-04-26 16:25:00,0.3848,0.3854,0.3848,0.3851,231.7
KNCUSDT,2025-04-26 16:30:00,0.3851,0.3851,0.3843,0.3843,533.8
KNCUSDT,2025-04-26 16:35:00,0.3843,0.3843,0.383,0.383,3551.0
KNCUSDT,2025-04-26 16:40:00,0.383,0.383,0.3807,0.3816,1004.3
KNCUSDT,2025-04-26 16:45:00,0.3816,0.3828,0.3816,0.3826,347.4
KNCUSDT,2025-04-26 16:50:00,0.3826,0.3831,0.3824,0.3829,355.9
KNCUSDT,2025-04-26 16:55:00,0.3829,0.3835,0.3825,0.3827,8816.0
KNCUSDT,2025-04-26 17:00:00,0.3827,0.383,0.3819,0.3822,8438.2
KNCUSDT,2025-04-26 17:05:00,0.3822,0.3826,0.3821,0.3826,1204.1
KNCUSDT,2025-04-26 17:10:00,0.3826,0.3834,0.3823,0.3825,2960.0
KNCUSDT,2025-04-26 17:15:00,0.3825,0.3833,0.3825,0.3833,382.2
KNCUSDT,2025-04-26 17:20:00,0.3833,0.3833,0.3828,0.383,952.7
