symbol,timestamp,open,high,low,close,volume
LINKUSDT,2025-04-26 14:40:00,14.818,14.848,14.818,14.824,13413.0
LINKUSDT,2025-04-26 14:45:00,14.824,14.856,14.811,14.84,1195.0
LINKUSDT,2025-04-26 14:50:00,14.84,14.842,14.802,14.822,1618.0
LINKUSDT,2025-04-26 14:55:00,14.822,14.829,14.803,14.808,5843.0
LINKUSDT,2025-04-26 15:00:00,14.808,14.847,14.808,14.847,729.0
LINKUSDT,2025-04-26 15:05:00,14.847,14.889,14.839,14.875,7769.0
LINKUSDT,2025-04-26 15:10:00,14.875,14.884,14.816,14.867,4355.0
LINKUSDT,2025-04-26 15:15:00,14.867,14.91,14.848,14.85,4718.0
LINKUSDT,2025-04-26 15:20:00,14.85,14.87,14.849,14.868,1328.0
LINKUSDT,2025-04-26 15:25:00,14.868,14.908,14.868,14.908,1218.0
LINKUSDT,2025-04-26 15:30:00,14.908,14.908,14.876,14.879,2234.0
LINKUSDT,2025-04-26 15:35:00,14.879,14.89,14.867,14.872,1796.0
LINKUSDT,2025-04-26 15:40:00,14.872,14.882,14.869,14.879,4257.0
LINKUSDT,2025-04-26 15:45:00,14.879,14.912,14.859,14.91,647.0
LINKUSDT,2025-04-26 15:50:00,14.91,14.923,14.888,14.919,2782.0
LINKUSDT,2025-04-26 15:55:00,14.919,14.927,14.914,14.917,899.0
LINKUSDT,2025-04-26 16:00:00,14.917,14.923,14.895,14.911,3665.0
LINKUSDT,2025-04-26 16:05:00,14.911,14.927,14.878,14.878,3467.0
LINKUSDT,2025-04-26 16:10:00,14.878,14.903,14.876,14.896,8008.0
LINKUSDT,2025-04-26 16:15:00,14.896,14.908,14.878,14.905,2144.0
LINKUSDT,2025-04-26 16:20:00,14.905,14.94,14.903,14.937,1084.0
LINKUSDT,2025-04-26 16:25:00,14.937,14.953,14.937,14.937,6470.0
LINKUSDT,2025-04-26 16:30:00,14.937,14.949,14.912,14.916,1090.0
LINKUSDT,2025-04-26 16:35:00,14.916,14.922,14.879,14.88,6429.0
LINKUSDT,2025-04-26 16:40:00,14.88,14.88,14.818,14.838,8981.0
LINKUSDT,2025-04-26 16:45:00,14.838,14.874,14.823,14.872,4013.0
LINKUSDT,2025-04-26 16:50:00,14.872,14.889,14.845,14.875,2470.0
LINKUSDT,2025-04-26 16:55:00,14.875,14.888,14.872,14.881,729.0
LINKUSDT,2025-04-26 17:00:00,14.881,14.902,14.867,14.891,3317.0
LINKUSDT,2025-04-26 17:05:00,14.891,14.891,14.867,14.884,618.0
LINKUSDT,2025-04-26 17:10:00,14.884,14.888,14.844,14.844,427.0
LINKUSDT,2025-04-26 17:15:00,14.844,14.876,14.844,14.852,1391.0
LINKUSDT,2025-04-26 17:20:00,14.852,14.865,14.838,14.851,730.0
LINKUSDT,2025-04-26 17:25:00,14.851,14.904,14.849,14.893,1952.0
LINKUSDT,2025-04-26 17:30:00,14.893,14.9,14.883,14.893,651.0
LINKUSDT,2025-04-26 17:35:00,14.893,14.902,14.878,14.894,621.0
LINKUSDT,2025-04-26 17:40:00,14.894,14.911,14.885,14.911,931.0
LINKUSDT,2025-04-26 17:45:00,14.911,14.914,14.899,14.913,562.0
LINKUSDT,2025-04-26 17:50:00,14.913,14.916,14.888,14.892,519.0
LINKUSDT,2025-04-26 17:55:00,14.892,14.894,14.87,14.885,1965.0
LINKUSDT,2025-04-26 18:00:00,14.885,14.885,14.851,14.87,896.0
LINKUSDT,2025-04-26 18:05:00,14.87,14.891,14.869,14.884,2612.0
LINKUSDT,2025-04-26 18:10:00,14.884,14.886,14.832,14.839,3425.0
LINKUSDT,2025-04-26 18:15:00,14.839,14.854,14.828,14.854,3090.0
LINKUSDT,2025-04-26 18:20:00,14.854,14.857,14.833,14.856,458.0
LINKUSDT,2025-04-26 18:25:00,14.856,14.874,14.85,14.852,751.0
