symbol,timestamp,open,high,low,close,volume
LPTUSDT,2025-04-26 14:40:00,5.388,5.388,5.381,5.381,17.5
LPTUSDT,2025-04-26 14:45:00,5.381,5.398,5.372,5.397,154.3
LPTUSDT,2025-04-26 14:50:00,5.397,5.397,5.365,5.377,179.1
LPTUSDT,2025-04-26 14:55:00,5.377,5.377,5.351,5.351,176.5
LPTUSDT,2025-04-26 15:00:00,5.351,5.392,5.351,5.392,92.0
LPTUSDT,2025-04-26 15:05:00,5.392,5.411,5.392,5.407,2683.1
LPTUSDT,2025-04-26 15:10:00,5.407,5.422,5.406,5.417,204.7
LPTUSDT,2025-04-26 15:15:00,5.417,5.422,5.414,5.414,80.8
LPTUSDT,2025-04-26 15:20:00,5.414,5.429,5.414,5.421,121.5
LPTUSDT,2025-04-26 15:25:00,5.421,5.436,5.421,5.433,140.6
LPTUSDT,2025-04-26 15:30:00,5.433,5.435,5.419,5.432,1613.2
LPTUSDT,2025-04-26 15:35:00,5.432,5.442,5.427,5.432,796.9
LPTUSDT,2025-04-26 15:40:00,5.432,5.438,5.432,5.436,28.5
LPTUSDT,2025-04-26 15:45:00,5.436,5.455,5.427,5.454,167.5
LPTUSDT,2025-04-26 15:50:00,5.454,5.467,5.454,5.465,365.5
LPTUSDT,2025-04-26 15:55:00,5.465,5.471,5.463,5.464,607.3
LPTUSDT,2025-04-26 16:00:00,5.464,5.477,5.457,5.47,984.2
LPTUSDT,2025-04-26 16:05:00,5.47,5.494,5.47,5.484,505.7
LPTUSDT,2025-04-26 16:10:00,5.484,5.512,5.484,5.49,1720.5
LPTUSDT,2025-04-26 16:15:00,5.49,5.518,5.487,5.518,1367.1
LPTUSDT,2025-04-26 16:20:00,5.518,5.536,5.513,5.536,3617.7
LPTUSDT,2025-04-26 16:25:00,5.536,5.538,5.496,5.496,184.0
LPTUSDT,2025-04-26 16:30:00,5.496,5.496,5.463,5.463,642.0
LPTUSDT,2025-04-26 16:35:00,5.463,5.468,5.449,5.449,387.3
LPTUSDT,2025-04-26 16:40:00,5.449,5.449,5.42,5.424,1725.3
LPTUSDT,2025-04-26 16:45:00,5.424,5.45,5.424,5.447,1200.0
LPTUSDT,2025-04-26 16:50:00,5.447,5.453,5.438,5.449,73.1
LPTUSDT,2025-04-26 16:55:00,5.449,5.461,5.443,5.461,95.8
LPTUSDT,2025-04-26 17:00:00,5.461,5.492,5.46,5.464,1855.6
LPTUSDT,2025-04-26 17:05:00,5.464,5.478,5.464,5.464,162.6
LPTUSDT,2025-04-26 17:10:00,5.464,5.464,5.457,5.458,353.2
LPTUSDT,2025-04-26 17:15:00,5.458,5.468,5.448,5.448,96.8
LPTUSDT,2025-04-26 17:20:00,5.448,5.453,5.44,5.449,118.1
LPTUSDT,2025-04-26 17:25:00,5.449,5.465,5.447,5.458,49.1
LPTUSDT,2025-04-26 17:30:00,5.458,5.458,5.449,5.449,36.3
LPTUSDT,2025-04-26 17:35:00,5.449,5.449,5.43,5.436,420.8
LPTUSDT,2025-04-26 17:40:00,5.436,5.441,5.433,5.441,15.3
LPTUSDT,2025-04-26 17:45:00,5.441,5.441,5.435,5.435,69.8
LPTUSDT,2025-04-26 17:50:00,5.435,5.437,5.426,5.437,69.7
LPTUSDT,2025-04-26 17:55:00,5.437,5.437,5.426,5.426,24.0
LPTUSDT,2025-04-26 18:00:00,5.426,5.435,5.424,5.427,131.0
LPTUSDT,2025-04-26 18:05:00,5.427,5.454,5.427,5.454,2546.2
LPTUSDT,2025-04-26 18:10:00,5.454,5.454,5.441,5.442,62.0
LPTUSDT,2025-04-26 18:15:00,5.442,5.442,5.431,5.442,42.9
LPTUSDT,2025-04-26 18:20:00,5.442,5.445,5.429,5.429,45.4
LPTUSDT,2025-04-26 18:25:00,5.429,5.43,5.425,5.425,20.9
LPTUSDT,2025-04-26 18:30:00,5.425,5.425,5.413,5.413,127.8
LPTUSDT,2025-04-26 18:35:00,5.413,5.427,5.413,5.427,81.1
LPTUSDT,2025-04-26 18:40:00,5.427,5.434,5.427,5.43,63.3
LPTUSDT,2025-04-26 18:45:00,5.43,5.437,5.418,5.437,95.8
LPTUSDT,2025-04-26 18:50:00,5.437,5.437,5.413,5.42,589.3
LPTUSDT,2025-04-26 18:55:00,5.42,5.42,5.411,5.416,71.8
LPTUSDT,2025-04-26 19:00:00,5.416,5.421,5.415,5.421,45.6
LPTUSDT,2025-04-26 19:05:00,5.421,5.422,5.394,5.394,101.3
LPTUSDT,2025-04-26 19:10:00,5.394,5.405,5.391,5.399,82.9
LPTUSDT,2025-04-26 19:15:00,5.399,5.401,5.382,5.385,231.6
LPTUSDT,2025-04-26 19:20:00,5.385,5.389,5.38,5.38,126.5
LPTUSDT,2025-04-26 19:25:00,5.38,5.393,5.38,5.391,196.7
LPTUSDT,2025-04-26 19:30:00,5.391,5.392,5.378,5.387,236.1
LPTUSDT,2025-04-26 19:35:00,5.387,5.39,5.387,5.387,11.7
LPTUSDT,2025-04-26 19:40:00,5.387,5.418,5.387,5.414,142.3
LPTUSDT,2025-04-26 19:45:00,5.414,5.414,5.399,5.399,518.9
LPTUSDT,2025-04-26 19:50:00,5.399,5.399,5.393,5.397,100.6
LPTUSDT,2025-04-26 19:55:00,5.397,5.399,5.395,5.397,52.4
LPTUSDT,2025-04-26 20:00:00,5.397,5.411,5.397,5.411,77.6
LPTUSDT,2025-04-26 20:05:00,5.411,5.429,5.411,5.425,99.4
LPTUSDT,2025-04-26 20:10:00,5.425,5.429,5.408,5.408,155.3
LPTUSDT,2025-04-26 20:15:00,5.408,5.408,5.395,5.402,83.5
LPTUSDT,2025-04-26 20:20:00,5.402,5.402,5.388,5.391,43.3
LPTUSDT,2025-04-26 20:25:00,5.391,5.391,5.384,5.384,65.9
LPTUSDT,2025-04-26 20:30:00,5.384,5.407,5.382,5.406,271.8
LPTUSDT,2025-04-26 20:35:00,5.406,5.406,5.4,5.405,71.9
LPTUSDT,2025-04-26 20:40:00,5.405,5.407,5.403,5.406,18.1
LPTUSDT,2025-04-26 20:45:00,5.406,5.414,5.4,5.414,90.2
LPTUSDT,2025-04-26 20:50:00,5.414,5.414,5.396,5.396,746.5
LPTUSDT,2025-04-26 20:55:00,5.396,5.4,5.391,5.391,67.3
LPTUSDT,2025-04-26 21:00:00,5.391,5.395,5.388,5.39,21.0
LPTUSDT,2025-04-26 21:05:00,5.39,5.391,5.381,5.387,108.1
LPTUSDT,2025-04-26 21:10:00,5.387,5.403,5.387,5.403,121.6
LPTUSDT,2025-04-26 21:15:00,5.403,5.415,5.398,5.398,297.9
LPTUSDT,2025-04-26 21:20:00,5.398,5.415,5.38,5.415,266.8
LPTUSDT,2025-04-26 21:25:00,5.415,5.436,5.413,5.427,178.7
LPTUSDT,2025-04-26 21:30:00,5.427,5.427,5.41,5.416,192.7
LPTUSDT,2025-04-26 21:35:00,5.416,5.417,5.399,5.416,135.9
LPTUSDT,2025-04-26 21:40:00,5.416,5.416,5.394,5.401,145.0
LPTUSDT,2025-04-26 21:45:00,5.401,5.414,5.399,5.408,139.2
