symbol,timestamp,open,high,low,close,volume
LTCUSDT,2025-04-25 16:30:00,86.27,87.17,86.26,87.1,1275.9
LTCUSDT,2025-04-25 16:45:00,87.1,87.16,86.84,86.87,513.6
LTCUSDT,2025-04-25 17:00:00,86.87,87.2,86.82,86.93,6189.7
LTCUSDT,2025-04-25 17:15:00,86.93,86.97,86.71,86.71,234.8
LTCUSDT,2025-04-25 17:30:00,86.71,86.71,85.95,86.29,1509.6
LTCUSDT,2025-04-25 17:45:00,86.29,86.56,85.89,86.18,835.3
LTCUSDT,2025-04-25 18:00:00,86.18,86.59,86.18,86.59,178.6
LTCUSDT,2025-04-25 18:15:00,86.59,86.87,86.59,86.85,334.9
LTCUSDT,2025-04-25 18:30:00,86.85,87.0,86.84,86.94,664.5
LTCUSDT,2025-04-25 18:45:00,86.94,86.94,86.56,86.64,434.9
LTCUSDT,2025-04-25 19:00:00,86.64,86.83,86.46,86.48,218.3
LTCUSDT,2025-04-25 19:15:00,86.48,86.68,86.3,86.34,406.8
LTCUSDT,2025-04-25 19:30:00,86.34,86.5,86.13,86.49,226.4
LTCUSDT,2025-04-25 19:45:00,86.49,86.58,86.22,86.58,158.6
LTCUSDT,2025-04-25 20:00:00,86.58,86.62,86.43,86.43,435.9
LTCUSDT,2025-04-25 20:15:00,86.43,86.53,86.28,86.31,150.3
LTCUSDT,2025-04-25 20:30:00,86.31,86.46,86.27,86.28,231.4
LTCUSDT,2025-04-25 20:45:00,86.28,86.67,86.27,86.67,445.7
LTCUSDT,2025-04-25 21:00:00,86.67,86.91,86.67,86.79,225.6
LTCUSDT,2025-04-25 21:15:00,86.79,86.79,86.29,86.37,575.7
LTCUSDT,2025-04-25 21:30:00,86.37,86.87,86.31,86.83,380.6
LTCUSDT,2025-04-25 21:45:00,86.83,86.83,86.27,86.53,829.9
LTCUSDT,2025-04-25 22:00:00,86.53,86.86,86.5,86.7,990.3
