symbol,timestamp,open,high,low,close,volume
MAJORUSDT,2025-04-25 16:30:00,0.1947,0.1966,0.1942,0.1963,68454.0
MAJORUSDT,2025-04-25 16:45:00,0.1963,0.1973,0.196,0.1966,28514.0
MAJORUSDT,2025-04-25 17:00:00,0.1966,0.1974,0.1965,0.1966,66764.0
MAJORUSDT,2025-04-25 17:15:00,0.1966,0.1966,0.1953,0.1953,18069.0
MAJORUSDT,2025-04-25 17:30:00,0.1953,0.1965,0.1952,0.1962,106574.0
MAJORUSDT,2025-04-25 17:45:00,0.1962,0.1962,0.1956,0.196,20944.0
MAJORUSDT,2025-04-25 18:00:00,0.196,0.1964,0.1954,0.1961,25097.0
MAJORUSDT,2025-04-25 18:15:00,0.1961,0.1973,0.1959,0.1973,21978.0
MAJORUSDT,2025-04-25 18:30:00,0.1973,0.1982,0.1966,0.1981,18080.0
MAJORUSDT,2025-04-25 18:45:00,0.1981,0.1994,0.1981,0.199,11518.0
MAJORUSDT,2025-04-25 19:00:00,0.199,0.1992,0.1974,0.1981,21703.0
MAJORUSDT,2025-04-25 19:15:00,0.1981,0.1982,0.1976,0.1982,15559.0
MAJORUSDT,2025-04-25 19:30:00,0.1982,0.1982,0.197,0.1974,9007.0
MAJORUSDT,2025-04-25 19:45:00,0.1974,0.1981,0.1974,0.1979,12661.0
MAJORUSDT,2025-04-25 20:00:00,0.1979,0.1979,0.1972,0.1974,10211.0
MAJORUSDT,2025-04-25 20:15:00,0.1974,0.1974,0.1961,0.1965,8199.0
MAJORUSDT,2025-04-25 20:30:00,0.1965,0.1985,0.1965,0.1984,11663.0
MAJORUSDT,2025-04-25 20:45:00,0.1984,0.1998,0.1974,0.1983,96056.0
MAJORUSDT,2025-04-25 21:00:00,0.1983,0.1983,0.1972,0.1972,10290.0
MAJORUSDT,2025-04-25 21:15:00,0.1972,0.1977,0.1967,0.1967,23986.0
MAJORUSDT,2025-04-25 21:30:00,0.1967,0.1968,0.1954,0.1958,24937.0
MAJORUSDT,2025-04-25 21:45:00,0.1958,0.1958,0.1937,0.1939,16195.0
MAJORUSDT,2025-04-25 22:00:00,0.1939,0.1945,0.1937,0.194,22850.0
MAJORUSDT,2025-04-25 22:15:00,0.194,0.1959,0.194,0.1959,14289.0
MAJORUSDT,2025-04-25 22:30:00,0.1959,0.1967,0.1959,0.1959,21811.0
MAJORUSDT,2025-04-25 22:45:00,0.1959,0.1959,0.1948,0.1955,17339.0
MAJORUSDT,2025-04-25 23:00:00,0.1955,0.1956,0.1946,0.1956,18562.0
MAJORUSDT,2025-04-25 23:15:00,0.1956,0.196,0.1943,0.1948,13235.0
MAJORUSDT,2025-04-25 23:30:00,0.1948,0.1955,0.1946,0.1955,18700.0
MAJORUSDT,2025-04-25 23:45:00,0.1955,0.1959,0.1947,0.1948,15070.0
MAJORUSDT,2025-04-26 00:00:00,0.1948,0.1989,0.1945,0.197,27038.0
MAJORUSDT,2025-04-26 00:15:00,0.197,0.2011,0.197,0.2,111300.0
MAJORUSDT,2025-04-26 00:30:00,0.2,0.201,0.1993,0.2004,73455.0
MAJORUSDT,2025-04-26 00:45:00,0.2004,0.2013,0.2001,0.2012,20707.0
MAJORUSDT,2025-04-26 01:00:00,0.2012,0.2013,0.1994,0.201,15351.0
MAJORUSDT,2025-04-26 01:15:00,0.201,0.2015,0.1983,0.1983,44827.0
MAJORUSDT,2025-04-26 01:30:00,0.1983,0.2011,0.1983,0.2004,60235.0
MAJORUSDT,2025-04-26 01:45:00,0.2004,0.2006,0.1994,0.1997,13451.0
MAJORUSDT,2025-04-26 02:00:00,0.1997,0.1998,0.1988,0.1988,16889.0
MAJORUSDT,2025-04-26 02:15:00,0.1988,0.2001,0.1988,0.2001,13343.0
MAJORUSDT,2025-04-26 02:30:00,0.2001,0.2012,0.1999,0.2012,17013.0
MAJORUSDT,2025-04-26 02:45:00,0.2012,0.2015,0.2003,0.2004,15181.0
