symbol,timestamp,open,high,low,close,volume
MELANIAUSDT,2025-04-26 14:40:00,0.5303,0.531,0.5263,0.5263,39282.7
MELANIAUSDT,2025-04-26 14:45:00,0.5263,0.5293,0.5248,0.5279,35987.4
MELANIAUSDT,2025-04-26 14:50:00,0.5279,0.5288,0.5267,0.5278,8990.7
MELANIAUSDT,2025-04-26 14:55:00,0.5278,0.5282,0.5258,0.5272,3936.0
MELANIAUSDT,2025-04-26 15:00:00,0.5272,0.528,0.5228,0.525,49692.2
MELANIAUSDT,2025-04-26 15:05:00,0.525,0.53,0.5245,0.5274,16834.1
MELANIAUSDT,2025-04-26 15:10:00,0.5274,0.5274,0.5237,0.5241,36623.1
MELANIAUSDT,2025-04-26 15:15:00,0.5241,0.5297,0.5233,0.5241,41072.5
MELANIAUSDT,2025-04-26 15:20:00,0.5241,0.5279,0.5241,0.5273,14652.6
MELANIAUSDT,2025-04-26 15:25:00,0.5273,0.5334,0.5273,0.5334,10997.8
MELANIAUSDT,2025-04-26 15:30:00,0.5334,0.5334,0.5295,0.5302,40010.7
MELANIAUSDT,2025-04-26 15:35:00,0.5302,0.5311,0.5287,0.5298,8042.1
MELANIAUSDT,2025-04-26 15:40:00,0.5298,0.5301,0.5273,0.5275,11107.8
MELANIAUSDT,2025-04-26 15:45:00,0.5275,0.5298,0.5269,0.5298,6633.7
MELANIAUSDT,2025-04-26 15:50:00,0.5298,0.5313,0.529,0.5313,8396.0
MELANIAUSDT,2025-04-26 15:55:00,0.5313,0.5356,0.5312,0.5351,28655.0
MELANIAUSDT,2025-04-26 16:00:00,0.5351,0.5392,0.5327,0.5371,64606.5
MELANIAUSDT,2025-04-26 16:05:00,0.5371,0.5377,0.5305,0.5309,67785.3
MELANIAUSDT,2025-04-26 16:10:00,0.5309,0.5347,0.5309,0.5336,10749.5
MELANIAUSDT,2025-04-26 16:15:00,0.5336,0.5336,0.526,0.5271,49822.0
MELANIAUSDT,2025-04-26 16:20:00,0.5271,0.5312,0.5271,0.5312,6411.2
MELANIAUSDT,2025-04-26 16:25:00,0.5312,0.5324,0.5284,0.5296,16888.1
MELANIAUSDT,2025-04-26 16:30:00,0.5296,0.5307,0.5274,0.5288,11507.2
MELANIAUSDT,2025-04-26 16:35:00,0.5288,0.5298,0.5258,0.5258,15927.0
MELANIAUSDT,2025-04-26 16:40:00,0.5258,0.528,0.5206,0.522,29918.3
MELANIAUSDT,2025-04-26 16:45:00,0.522,0.5251,0.5204,0.525,22733.7
MELANIAUSDT,2025-04-26 16:50:00,0.525,0.5259,0.5223,0.5247,10910.9
MELANIAUSDT,2025-04-26 16:55:00,0.5247,0.5356,0.5247,0.5307,35994.8
MELANIAUSDT,2025-04-26 17:00:00,0.5307,0.5384,0.5306,0.5352,33591.8
MELANIAUSDT,2025-04-26 17:05:00,0.5352,0.5377,0.5333,0.5372,40120.0
MELANIAUSDT,2025-04-26 17:10:00,0.5372,0.5372,0.5325,0.534,38539.7
MELANIAUSDT,2025-04-26 17:15:00,0.534,0.5397,0.5334,0.5379,52062.2
MELANIAUSDT,2025-04-26 17:20:00,0.5379,0.543,0.5347,0.5408,73786.2
MELANIAUSDT,2025-04-26 17:25:00,0.5408,0.5408,0.5356,0.5393,10989.5
MELANIAUSDT,2025-04-26 17:30:00,0.5393,0.5394,0.534,0.5372,11965.6
MELANIAUSDT,2025-04-26 17:35:00,0.5372,0.5376,0.5353,0.5372,13087.7
MELANIAUSDT,2025-04-26 17:40:00,0.5372,0.538,0.5358,0.5379,12490.9
MELANIAUSDT,2025-04-26 17:45:00,0.5379,0.538,0.536,0.5371,10162.6
MELANIAUSDT,2025-04-26 17:50:00,0.5371,0.5371,0.5304,0.5307,14793.0
MELANIAUSDT,2025-04-26 17:55:00,0.5307,0.5307,0.5285,0.5291,25798.2
MELANIAUSDT,2025-04-26 18:00:00,0.5291,0.5291,0.5263,0.528,16428.3
MELANIAUSDT,2025-04-26 18:05:00,0.528,0.5287,0.5256,0.5261,14329.5
MELANIAUSDT,2025-04-26 18:10:00,0.5261,0.5271,0.5242,0.5245,27876.1
MELANIAUSDT,2025-04-26 18:15:00,0.5245,0.526,0.5242,0.5255,8146.9
MELANIAUSDT,2025-04-26 18:20:00,0.5255,0.5285,0.5255,0.5283,3110.9
MELANIAUSDT,2025-04-26 18:25:00,0.5283,0.5318,0.5282,0.5317,7752.1
MELANIAUSDT,2025-04-26 18:30:00,0.5317,0.5371,0.5309,0.5368,15396.5
MELANIAUSDT,2025-04-26 18:35:00,0.5368,0.5368,0.5343,0.5354,11226.8
MELANIAUSDT,2025-04-26 18:40:00,0.5354,0.5377,0.5322,0.5337,27988.7
MELANIAUSDT,2025-04-26 18:45:00,0.5337,0.5369,0.5337,0.5363,2655.4
MELANIAUSDT,2025-04-26 18:50:00,0.5363,0.5446,0.5349,0.5381,86000.0
MELANIAUSDT,2025-04-26 18:55:00,0.5381,0.5396,0.5373,0.5386,14883.2
MELANIAUSDT,2025-04-26 19:00:00,0.5386,0.5407,0.5386,0.5403,15032.8
MELANIAUSDT,2025-04-26 19:05:00,0.5403,0.5405,0.5384,0.5391,13519.9
MELANIAUSDT,2025-04-26 19:10:00,0.5391,0.5407,0.5376,0.5378,12491.5
MELANIAUSDT,2025-04-26 19:15:00,0.5378,0.5378,0.5341,0.5349,20792.5
MELANIAUSDT,2025-04-26 19:20:00,0.5349,0.5349,0.5319,0.5336,9251.3
MELANIAUSDT,2025-04-26 19:25:00,0.5336,0.5358,0.5332,0.5346,20880.0
MELANIAUSDT,2025-04-26 19:30:00,0.5346,0.5375,0.5323,0.5364,11737.1
MELANIAUSDT,2025-04-26 19:35:00,0.5364,0.5402,0.5364,0.5388,23274.7
MELANIAUSDT,2025-04-26 19:40:00,0.5388,0.5432,0.5386,0.5397,43712.4
MELANIAUSDT,2025-04-26 19:45:00,0.5397,0.5407,0.5385,0.5385,7206.3
MELANIAUSDT,2025-04-26 19:50:00,0.5385,0.5386,0.5359,0.5359,16015.7
MELANIAUSDT,2025-04-26 19:55:00,0.5359,0.536,0.5336,0.5348,18115.0
MELANIAUSDT,2025-04-26 20:00:00,0.5348,0.5376,0.5348,0.5364,15077.1
MELANIAUSDT,2025-04-26 20:05:00,0.5364,0.5385,0.5364,0.5368,2597.6
MELANIAUSDT,2025-04-26 20:10:00,0.5368,0.5368,0.5317,0.5357,12396.6
MELANIAUSDT,2025-04-26 20:15:00,0.5357,0.537,0.5343,0.537,12288.6
MELANIAUSDT,2025-04-26 20:20:00,0.537,0.537,0.5332,0.534,24817.2
MELANIAUSDT,2025-04-26 20:25:00,0.534,0.534,0.5284,0.5323,31483.7
