symbol,timestamp,open,high,low,close,volume
MEUSDT,2025-04-26 14:40:00,0.905,0.907,0.905,0.906,529.0
MEUSDT,2025-04-26 14:45:00,0.906,0.909,0.906,0.906,522.0
MEUSDT,2025-04-26 14:50:00,0.906,0.906,0.904,0.905,937.0
MEUSDT,2025-04-26 14:55:00,0.905,0.905,0.899,0.899,1005.0
MEUSDT,2025-04-26 15:00:00,0.899,0.903,0.899,0.903,868.0
MEUSDT,2025-04-26 15:05:00,0.903,0.909,0.903,0.907,1294.0
MEUSDT,2025-04-26 15:10:00,0.907,0.907,0.906,0.907,253.0
MEUSDT,2025-04-26 15:15:00,0.907,0.91,0.906,0.906,986.0
MEUSDT,2025-04-26 15:20:00,0.906,0.911,0.906,0.91,692.0
MEUSDT,2025-04-26 15:25:00,0.91,0.913,0.91,0.912,7405.0
MEUSDT,2025-04-26 15:30:00,0.912,0.913,0.908,0.909,1055.0
MEUSDT,2025-04-26 15:35:00,0.909,0.911,0.909,0.91,442.0
MEUSDT,2025-04-26 15:40:00,0.91,0.911,0.91,0.911,325.0
MEUSDT,2025-04-26 15:45:00,0.911,0.911,0.91,0.91,925.0
MEUSDT,2025-04-26 15:50:00,0.91,0.912,0.91,0.911,402.0
MEUSDT,2025-04-26 15:55:00,0.911,0.912,0.911,0.911,338.0
MEUSDT,2025-04-26 16:00:00,0.911,0.911,0.91,0.911,359.0
MEUSDT,2025-04-26 16:05:00,0.911,0.913,0.91,0.91,685.0
MEUSDT,2025-04-26 16:10:00,0.91,0.91,0.907,0.908,2052.0
MEUSDT,2025-04-26 16:15:00,0.908,0.909,0.907,0.907,383.0
MEUSDT,2025-04-26 16:20:00,0.907,0.91,0.907,0.91,174.0
MEUSDT,2025-04-26 16:25:00,0.91,0.912,0.91,0.912,324.0
MEUSDT,2025-04-26 16:30:00,0.912,0.912,0.911,0.911,185.0
MEUSDT,2025-04-26 16:35:00,0.911,0.911,0.907,0.909,505.0
MEUSDT,2025-04-26 16:40:00,0.909,0.909,0.905,0.906,578.0
MEUSDT,2025-04-26 16:45:00,0.906,0.91,0.906,0.91,660.0
MEUSDT,2025-04-26 16:50:00,0.91,0.911,0.908,0.911,1033.0
MEUSDT,2025-04-26 16:55:00,0.911,0.911,0.91,0.911,900.0
MEUSDT,2025-04-26 17:00:00,0.911,0.911,0.91,0.911,89.0
MEUSDT,2025-04-26 17:05:00,0.911,0.911,0.91,0.911,314.0
MEUSDT,2025-04-26 17:10:00,0.911,0.911,0.91,0.91,307.0
MEUSDT,2025-04-26 17:15:00,0.91,0.911,0.91,0.91,503.0
MEUSDT,2025-04-26 17:20:00,0.91,0.91,0.909,0.909,171.0
MEUSDT,2025-04-26 17:25:00,0.909,0.913,0.909,0.913,614.0
MEUSDT,2025-04-26 17:30:00,0.913,0.917,0.913,0.916,1511.0
MEUSDT,2025-04-26 17:35:00,0.916,0.916,0.914,0.914,326.0
MEUSDT,2025-04-26 17:40:00,0.914,0.915,0.914,0.915,350.0
MEUSDT,2025-04-26 17:45:00,0.915,0.915,0.914,0.915,605.0
MEUSDT,2025-04-26 17:50:00,0.915,0.915,0.915,0.915,105.0
MEUSDT,2025-04-26 17:55:00,0.915,0.915,0.913,0.914,274.0
MEUSDT,2025-04-26 18:00:00,0.914,0.914,0.911,0.911,647.0
MEUSDT,2025-04-26 18:05:00,0.911,0.913,0.911,0.913,85.0
MEUSDT,2025-04-26 18:10:00,0.913,0.916,0.912,0.912,1317.0
MEUSDT,2025-04-26 18:15:00,0.912,0.913,0.912,0.913,1276.0
MEUSDT,2025-04-26 18:20:00,0.913,0.915,0.913,0.915,546.0
MEUSDT,2025-04-26 18:25:00,0.915,0.917,0.915,0.915,666.0
MEUSDT,2025-04-26 18:30:00,0.915,0.915,0.915,0.915,274.0
MEUSDT,2025-04-26 18:35:00,0.915,0.915,0.914,0.914,192.0
MEUSDT,2025-04-26 18:40:00,0.914,0.914,0.913,0.913,547.0
MEUSDT,2025-04-26 18:45:00,0.913,0.914,0.913,0.914,671.0
MEUSDT,2025-04-26 18:50:00,0.914,0.914,0.914,0.914,991.0
MEUSDT,2025-04-26 18:55:00,0.914,0.914,0.912,0.912,562.0
MEUSDT,2025-04-26 19:00:00,0.912,0.913,0.912,0.913,364.0
MEUSDT,2025-04-26 19:05:00,0.913,0.916,0.913,0.916,375.0
MEUSDT,2025-04-26 19:10:00,0.916,0.916,0.912,0.914,360.0
MEUSDT,2025-04-26 19:15:00,0.914,0.915,0.913,0.913,1008.0
MEUSDT,2025-04-26 19:20:00,0.913,0.914,0.913,0.914,206.0
MEUSDT,2025-04-26 19:25:00,0.914,0.916,0.914,0.916,69.0
MEUSDT,2025-04-26 19:30:00,0.916,0.919,0.916,0.919,514.0
MEUSDT,2025-04-26 19:35:00,0.919,0.919,0.918,0.918,9.0
MEUSDT,2025-04-26 19:40:00,0.918,0.923,0.918,0.923,299.0
MEUSDT,2025-04-26 19:45:00,0.923,0.924,0.92,0.921,653.0
MEUSDT,2025-04-26 19:50:00,0.921,0.923,0.921,0.923,503.0
MEUSDT,2025-04-26 19:55:00,0.923,0.923,0.921,0.921,183.0
MEUSDT,2025-04-26 20:00:00,0.921,0.924,0.921,0.924,385.0
MEUSDT,2025-04-26 20:05:00,0.924,0.925,0.922,0.923,520.0
MEUSDT,2025-04-26 20:10:00,0.923,0.924,0.922,0.922,206.0
MEUSDT,2025-04-26 20:15:00,0.922,0.922,0.92,0.921,637.0
MEUSDT,2025-04-26 20:20:00,0.921,0.924,0.92,0.921,593.0
MEUSDT,2025-04-26 20:25:00,0.921,0.921,0.92,0.92,182.0
MEUSDT,2025-04-26 20:30:00,0.92,0.92,0.919,0.919,110.0
MEUSDT,2025-04-26 20:35:00,0.919,0.919,0.914,0.916,7788.0
MEUSDT,2025-04-26 20:40:00,0.916,0.916,0.916,0.916,0.0
