symbol,timestamp,open,high,low,close,volume
MILKUSDT,2025-04-29 10:00:00,0.2898,0.2899,0.1461,0.1479,3065094.0
MILKUSDT,2025-04-29 10:15:00,0.1479,0.1746,0.1388,0.1526,20853604.0
MILKUSDT,2025-04-29 10:30:00,0.1526,0.153,0.1339,0.1369,10082365.0
MILKUSDT,2025-04-29 10:45:00,0.1369,0.1435,0.131,0.1399,7424522.0
MILKUSDT,2025-04-29 11:00:00,0.1399,0.154,0.1342,0.1436,7345024.0
MILKUSDT,2025-04-29 11:15:00,0.1436,0.1487,0.1383,0.1415,4510721.0
MILKUSDT,2025-04-29 11:30:00,0.1415,0.1466,0.1354,0.1381,5572994.0
MILKUSDT,2025-04-29 11:45:00,0.1381,0.1396,0.1333,0.1345,3879585.0
MILKUSDT,2025-04-29 12:00:00,0.1345,0.1367,0.1236,0.13,6147997.0
MILKUSDT,2025-04-29 12:15:00,0.13,0.1301,0.1171,0.1193,5251485.0
MILKUSDT,2025-04-29 12:30:00,0.1193,0.1251,0.1165,0.1215,4317291.0
MILKUSDT,2025-04-29 12:45:00,0.1215,0.1298,0.1183,0.1267,3728372.0
MILKUSDT,2025-04-29 13:00:00,0.1267,0.1322,0.1241,0.1266,3651968.0
MILKUSDT,2025-04-29 13:15:00,0.1266,0.1298,0.121,0.1284,3651904.0
MILKUSDT,2025-04-29 13:30:00,0.1284,0.1298,0.1231,0.127,2362949.0
MILKUSDT,2025-04-29 13:45:00,0.127,0.1279,0.1216,0.1242,3007099.0
MILKUSDT,2025-04-29 14:00:00,0.1242,0.1268,0.1224,0.1254,1180053.0
MILKUSDT,2025-04-29 14:15:00,0.1254,0.1255,0.1215,0.1228,973981.0
MILKUSDT,2025-04-29 14:30:00,0.1228,0.1256,0.1221,0.1227,1252113.0
MILKUSDT,2025-04-29 14:45:00,0.1227,0.1259,0.1227,0.1242,814138.0
MILKUSDT,2025-04-29 15:00:00,0.1242,0.1245,0.1142,0.1208,4708192.0
MILKUSDT,2025-04-29 15:15:00,0.1208,0.1219,0.115,0.1203,2638157.0
MILKUSDT,2025-04-29 15:30:00,0.1203,0.1239,0.1172,0.1202,1626432.0
MILKUSDT,2025-04-29 15:45:00,0.1202,0.1203,0.1156,0.1162,1350129.0
MILKUSDT,2025-04-29 16:00:00,0.1162,0.1173,0.1106,0.1131,2963823.0
MILKUSDT,2025-04-29 16:15:00,0.1131,0.1131,0.1028,0.1055,5590852.0
MILKUSDT,2025-04-29 16:30:00,0.1055,0.1095,0.1006,0.1076,2944561.0
MILKUSDT,2025-04-29 16:45:00,0.1076,0.1163,0.1059,0.1125,3424903.0
MILKUSDT,2025-04-29 17:00:00,0.1125,0.1198,0.1085,0.1127,3655464.0
MILKUSDT,2025-04-29 17:15:00,0.1127,0.1155,0.1106,0.1144,1002910.0
MILKUSDT,2025-04-29 17:30:00,0.1144,0.1151,0.1125,0.1141,575373.0
MILKUSDT,2025-04-29 17:45:00,0.1141,0.1157,0.1126,0.1138,479845.0
MILKUSDT,2025-04-29 18:00:00,0.1138,0.1225,0.1138,0.1206,1536587.0
MILKUSDT,2025-04-29 18:15:00,0.1206,0.135,0.1189,0.1214,3685081.0
MILKUSDT,2025-04-29 18:30:00,0.1214,0.1284,0.121,0.1231,1424599.0
MILKUSDT,2025-04-29 18:45:00,0.1231,0.1252,0.1142,0.1192,1606439.0
MILKUSDT,2025-04-29 19:00:00,0.1192,0.1209,0.1163,0.1202,1250256.0
MILKUSDT,2025-04-29 19:15:00,0.1202,0.129,0.1192,0.127,1957414.0
MILKUSDT,2025-04-29 19:30:00,0.127,0.13,0.1237,0.1259,2889788.0
MILKUSDT,2025-04-29 19:45:00,0.1259,0.127,0.124,0.1245,505034.0
MILKUSDT,2025-04-29 20:00:00,0.1245,0.1256,0.1198,0.1236,816880.0
MILKUSDT,2025-04-29 20:15:00,0.1236,0.1255,0.1204,0.1253,429857.0
MILKUSDT,2025-04-29 20:30:00,0.1253,0.127,0.123,0.1249,927641.0
MILKUSDT,2025-04-29 20:45:00,0.1249,0.1269,0.1245,0.1259,1117681.0
MILKUSDT,2025-04-29 21:00:00,0.1259,0.1314,0.1247,0.1289,2017332.0
MILKUSDT,2025-04-29 21:15:00,0.1289,0.1305,0.1235,0.127,4847026.0
MILKUSDT,2025-04-29 21:30:00,0.127,0.1284,0.1245,0.1255,961580.0
MILKUSDT,2025-04-29 21:45:00,0.1255,0.1262,0.1183,0.125,1526215.0
MILKUSDT,2025-04-29 22:00:00,0.125,0.1275,0.1222,0.1261,1385059.0
MILKUSDT,2025-04-29 22:15:00,0.1261,0.1292,0.1229,0.1245,7044599.0
MILKUSDT,2025-04-29 22:30:00,0.1245,0.1254,0.12,0.1202,1185570.0
MILKUSDT,2025-04-29 22:45:00,0.1202,0.1257,0.1202,0.1248,1464827.0
MILKUSDT,2025-04-29 23:00:00,0.1248,0.1287,0.1226,0.1247,9170345.0
MILKUSDT,2025-04-29 23:15:00,0.1247,0.1248,0.1209,0.1233,1167628.0
MILKUSDT,2025-04-29 23:30:00,0.1233,0.1248,0.1224,0.1242,362518.0
