symbol,timestamp,open,high,low,close,volume
MOVEUSDT,2025-04-25 16:30:00,0.2342,0.2361,0.2342,0.2361,232888.0
MOVEUSDT,2025-04-25 16:45:00,0.2361,0.2365,0.2346,0.2365,119267.0
MOVEUSDT,2025-04-25 17:00:00,0.2365,0.2384,0.2365,0.2378,87937.0
MOVEUSDT,2025-04-25 17:15:00,0.2378,0.2384,0.2364,0.2364,198126.0
MOVEUSDT,2025-04-25 17:30:00,0.2364,0.2366,0.2342,0.2348,306389.0
MOVEUSDT,2025-04-25 17:45:00,0.2348,0.2351,0.2328,0.2328,514245.0
MOVEUSDT,2025-04-25 18:00:00,0.2328,0.2349,0.2321,0.2344,599171.0
MOVEUSDT,2025-04-25 18:15:00,0.2344,0.2357,0.2339,0.2357,53041.0
MOVEUSDT,2025-04-25 18:30:00,0.2357,0.2364,0.2352,0.2355,156303.0
MOVEUSDT,2025-04-25 18:45:00,0.2355,0.2355,0.2337,0.234,228135.0
MOVEUSDT,2025-04-25 19:00:00,0.234,0.2342,0.2331,0.2333,339096.0
MOVEUSDT,2025-04-25 19:15:00,0.2333,0.2343,0.2331,0.2341,251535.0
MOVEUSDT,2025-04-25 19:30:00,0.2341,0.2343,0.2332,0.2339,103448.0
MOVEUSDT,2025-04-25 19:45:00,0.2339,0.2351,0.2338,0.2347,179687.0
MOVEUSDT,2025-04-25 20:00:00,0.2347,0.2356,0.2347,0.2356,98384.0
MOVEUSDT,2025-04-25 20:15:00,0.2356,0.2357,0.2333,0.234,286967.0
MOVEUSDT,2025-04-25 20:30:00,0.234,0.2344,0.2337,0.2342,69721.0
MOVEUSDT,2025-04-25 20:45:00,0.2342,0.2359,0.2342,0.2354,123801.0
MOVEUSDT,2025-04-25 21:00:00,0.2354,0.2374,0.2353,0.2368,110239.0
MOVEUSDT,2025-04-25 21:15:00,0.2368,0.2377,0.2362,0.2368,39780.0
MOVEUSDT,2025-04-25 21:30:00,0.2368,0.2376,0.2366,0.2372,180785.0
MOVEUSDT,2025-04-25 21:45:00,0.2372,0.2373,0.2344,0.2358,733842.0
MOVEUSDT,2025-04-25 22:00:00,0.2358,0.2381,0.2358,0.2381,163574.0
MOVEUSDT,2025-04-25 22:15:00,0.2381,0.2394,0.2375,0.2394,55758.0
MOVEUSDT,2025-04-25 22:30:00,0.2394,0.2409,0.2394,0.2407,98388.0
MOVEUSDT,2025-04-25 22:45:00,0.2407,0.2412,0.2399,0.24,99586.0
MOVEUSDT,2025-04-25 23:00:00,0.24,0.24,0.2381,0.2387,319903.0
MOVEUSDT,2025-04-25 23:15:00,0.2387,0.2392,0.2377,0.239,392685.0
MOVEUSDT,2025-04-25 23:30:00,0.239,0.2392,0.2379,0.2389,104471.0
MOVEUSDT,2025-04-25 23:45:00,0.2389,0.2406,0.2388,0.2402,79874.0
MOVEUSDT,2025-04-26 00:00:00,0.2402,0.2411,0.2387,0.2396,305082.0
MOVEUSDT,2025-04-26 00:15:00,0.2396,0.2406,0.238,0.2398,309542.0
MOVEUSDT,2025-04-26 00:30:00,0.2398,0.2401,0.2388,0.24,40978.0
MOVEUSDT,2025-04-26 00:45:00,0.24,0.2417,0.2395,0.241,89460.0
MOVEUSDT,2025-04-26 01:00:00,0.241,0.2427,0.2407,0.2424,151946.0
MOVEUSDT,2025-04-26 01:15:00,0.2424,0.2446,0.2424,0.2444,380427.0
MOVEUSDT,2025-04-26 01:30:00,0.2444,0.2479,0.2441,0.246,363139.0
MOVEUSDT,2025-04-26 01:45:00,0.246,0.246,0.244,0.2456,427147.0
MOVEUSDT,2025-04-26 02:00:00,0.2456,0.2456,0.2434,0.244,125632.0
MOVEUSDT,2025-04-26 02:15:00,0.244,0.246,0.2438,0.246,363980.0
MOVEUSDT,2025-04-26 02:30:00,0.246,0.2488,0.2459,0.2479,434244.0
MOVEUSDT,2025-04-26 02:45:00,0.2479,0.2491,0.2467,0.2481,1150094.0
MOVEUSDT,2025-04-26 03:00:00,0.2481,0.2521,0.2481,0.2518,665242.0
MOVEUSDT,2025-04-26 03:15:00,0.2518,0.252,0.2465,0.2474,621429.0
MOVEUSDT,2025-04-26 03:30:00,0.2474,0.2497,0.2472,0.2482,148414.0
MOVEUSDT,2025-04-26 03:45:00,0.2482,0.2482,0.2452,0.247,134869.0
MOVEUSDT,2025-04-26 04:00:00,0.247,0.2505,0.2465,0.2501,150541.0
MOVEUSDT,2025-04-26 04:15:00,0.2501,0.2505,0.2477,0.2477,325028.0
MOVEUSDT,2025-04-26 04:30:00,0.2477,0.2479,0.2445,0.2467,599575.0
MOVEUSDT,2025-04-26 04:45:00,0.2467,0.247,0.2448,0.2456,453118.0
MOVEUSDT,2025-04-26 05:00:00,0.2456,0.2459,0.2441,0.245,177106.0
MOVEUSDT,2025-04-26 05:15:00,0.245,0.246,0.2446,0.246,103877.0
MOVEUSDT,2025-04-26 05:30:00,0.246,0.2489,0.2459,0.2481,181707.0
MOVEUSDT,2025-04-26 05:45:00,0.2481,0.2494,0.2478,0.2487,290726.0
MOVEUSDT,2025-04-26 06:00:00,0.2487,0.2502,0.2485,0.2501,256047.0
MOVEUSDT,2025-04-26 06:15:00,0.2501,0.2508,0.2485,0.2491,236334.0
MOVEUSDT,2025-04-26 06:30:00,0.2491,0.2494,0.2471,0.2483,296112.0
MOVEUSDT,2025-04-26 06:45:00,0.2483,0.2518,0.2483,0.2513,421091.0
MOVEUSDT,2025-04-26 07:00:00,0.2513,0.2518,0.2503,0.2517,262924.0
MOVEUSDT,2025-04-26 07:15:00,0.2517,0.2542,0.2506,0.2535,766294.0
MOVEUSDT,2025-04-26 07:30:00,0.2535,0.2577,0.2535,0.2573,586357.0
MOVEUSDT,2025-04-26 07:45:00,0.2573,0.258,0.2536,0.2536,1831446.0
MOVEUSDT,2025-04-26 08:00:00,0.2536,0.2574,0.2524,0.2531,2554752.0
MOVEUSDT,2025-04-26 08:15:00,0.2531,0.2535,0.2506,0.2524,1406723.0
MOVEUSDT,2025-04-26 08:30:00,0.2524,0.253,0.2507,0.2512,93945.0
MOVEUSDT,2025-04-26 08:45:00,0.2512,0.2536,0.2486,0.2507,2422561.0
MOVEUSDT,2025-04-26 09:00:00,0.2507,0.2513,0.2474,0.2495,1024271.0
MOVEUSDT,2025-04-26 09:15:00,0.2495,0.2509,0.2485,0.2493,418608.0
MOVEUSDT,2025-04-26 09:30:00,0.2493,0.2497,0.246,0.2482,372101.0
MOVEUSDT,2025-04-26 09:45:00,0.2482,0.2489,0.2474,0.2478,407011.0
MOVEUSDT,2025-04-26 10:00:00,0.2478,0.2505,0.2466,0.2493,706256.0
MOVEUSDT,2025-04-26 10:15:00,0.2493,0.2513,0.249,0.2508,85261.0
MOVEUSDT,2025-04-26 10:30:00,0.2508,0.2508,0.2478,0.2494,349260.0
MOVEUSDT,2025-04-26 10:45:00,0.2494,0.2504,0.2477,0.2483,185438.0
MOVEUSDT,2025-04-26 11:00:00,0.2483,0.2488,0.2463,0.2467,536696.0
MOVEUSDT,2025-04-26 11:15:00,0.2467,0.2469,0.2438,0.2446,402902.0
MOVEUSDT,2025-04-26 11:30:00,0.2446,0.2457,0.2422,0.2428,739936.0
MOVEUSDT,2025-04-26 11:45:00,0.2428,0.2444,0.2409,0.243,1229389.0
