symbol,timestamp,open,high,low,close,volume
MOVRUSDT,2025-04-25 16:30:00,6.355,6.402,6.346,6.4,660.58
MOVRUSDT,2025-04-25 16:45:00,6.4,6.412,6.381,6.392,1958.24
MOVRUSDT,2025-04-25 17:00:00,6.392,6.395,6.372,6.377,2502.6
MOVRUSDT,2025-04-25 17:15:00,6.377,6.41,6.377,6.389,698.12
MOVRUSDT,2025-04-25 17:30:00,6.389,6.389,6.322,6.347,701.94
MOVRUSDT,2025-04-25 17:45:00,6.347,6.347,6.309,6.313,770.78
MOVRUSDT,2025-04-25 18:00:00,6.313,6.345,6.311,6.333,1839.33
MOVRUSDT,2025-04-25 18:15:00,6.333,6.37,6.327,6.365,784.05
MOVRUSDT,2025-04-25 18:30:00,6.365,6.381,6.359,6.377,780.52
MOVRUSDT,2025-04-25 18:45:00,6.377,6.378,6.326,6.328,704.49
MOVRUSDT,2025-04-25 19:00:00,6.328,6.338,6.301,6.302,920.46
MOVRUSDT,2025-04-25 19:15:00,6.302,6.339,6.302,6.329,1547.03
MOVRUSDT,2025-04-25 19:30:00,6.329,6.336,6.31,6.322,948.74
MOVRUSDT,2025-04-25 19:45:00,6.322,6.349,6.322,6.349,718.34
MOVRUSDT,2025-04-25 20:00:00,6.349,6.355,6.337,6.339,752.26
MOVRUSDT,2025-04-25 20:15:00,6.339,6.348,6.323,6.323,806.43
MOVRUSDT,2025-04-25 20:30:00,6.323,6.34,6.323,6.331,620.36
MOVRUSDT,2025-04-25 20:45:00,6.331,6.355,6.33,6.343,746.04
MOVRUSDT,2025-04-25 21:00:00,6.343,6.356,6.33,6.356,682.11
MOVRUSDT,2025-04-25 21:15:00,6.356,6.356,6.316,6.329,794.69
MOVRUSDT,2025-04-25 21:30:00,6.329,6.346,6.319,6.331,941.68
MOVRUSDT,2025-04-25 21:45:00,6.331,6.338,6.277,6.29,864.42
MOVRUSDT,2025-04-25 22:00:00,6.29,6.309,6.283,6.309,821.94
MOVRUSDT,2025-04-25 22:15:00,6.309,6.34,6.293,6.336,800.91
MOVRUSDT,2025-04-25 22:30:00,6.336,6.36,6.329,6.356,649.46
