symbol,timestamp,open,high,low,close,volume
MTLUSDT,2025-04-25 16:30:00,0.8735,0.8779,0.8725,0.8774,4964.5
MTLUSDT,2025-04-25 16:45:00,0.8774,0.8779,0.8761,0.8773,5101.5
MTLUSDT,2025-04-25 17:00:00,0.8773,0.88,0.8771,0.8788,4863.0
MTLUSDT,2025-04-25 17:15:00,0.8788,0.8797,0.8779,0.8779,3162.1
MTLUSDT,2025-04-25 17:30:00,0.8779,0.8779,0.8711,0.8735,3942.7
MTLUSDT,2025-04-25 17:45:00,0.8735,0.8737,0.8707,0.8711,4414.8
MTLUSDT,2025-04-25 18:00:00,0.8711,0.8756,0.8711,0.8741,4072.3
MTLUSDT,2025-04-25 18:15:00,0.8741,0.8769,0.8734,0.8767,4446.4
MTLUSDT,2025-04-25 18:30:00,0.8767,0.88,0.8763,0.8798,3935.1
MTLUSDT,2025-04-25 18:45:00,0.8798,0.8799,0.8762,0.8765,3377.0
MTLUSDT,2025-04-25 19:00:00,0.8765,0.8775,0.8712,0.8712,4206.8
MTLUSDT,2025-04-25 19:15:00,0.8712,0.8752,0.8709,0.8751,4633.1
MTLUSDT,2025-04-25 19:30:00,0.8751,0.8758,0.8728,0.8746,4692.8
MTLUSDT,2025-04-25 19:45:00,0.8746,0.8751,0.8735,0.8747,5116.5
MTLUSDT,2025-04-25 20:00:00,0.8747,0.8751,0.8736,0.8745,4405.4
MTLUSDT,2025-04-25 20:15:00,0.8745,0.8752,0.872,0.8734,4611.4
MTLUSDT,2025-04-25 20:30:00,0.8734,0.8743,0.8723,0.8732,3067.6
MTLUSDT,2025-04-25 20:45:00,0.8732,0.8753,0.8732,0.8742,3955.7
MTLUSDT,2025-04-25 21:00:00,0.8742,0.8765,0.8735,0.8745,3613.1
MTLUSDT,2025-04-25 21:15:00,0.8745,0.875,0.8724,0.874,5238.7
MTLUSDT,2025-04-25 21:30:00,0.874,0.8746,0.8728,0.8745,4259.9
MTLUSDT,2025-04-25 21:45:00,0.8745,0.8747,0.8692,0.8706,7775.8
MTLUSDT,2025-04-25 22:00:00,0.8706,0.8718,0.8699,0.8712,5393.9
MTLUSDT,2025-04-25 22:15:00,0.8712,0.8748,0.871,0.8748,3863.0
MTLUSDT,2025-04-25 22:30:00,0.8748,0.8797,0.8742,0.8793,5996.2
MTLUSDT,2025-04-25 22:45:00,0.8793,0.8797,0.8769,0.8772,4810.1
MTLUSDT,2025-04-25 23:00:00,0.8772,0.8782,0.8757,0.8769,4138.5
MTLUSDT,2025-04-25 23:15:00,0.8769,0.8788,0.8756,0.8771,3718.5
MTLUSDT,2025-04-25 23:30:00,0.8771,0.879,0.875,0.8785,3728.5
MTLUSDT,2025-04-25 23:45:00,0.8785,0.8795,0.8783,0.8791,3939.6
MTLUSDT,2025-04-26 00:00:00,0.8791,0.8854,0.8786,0.8822,4426.3
MTLUSDT,2025-04-26 00:15:00,0.8822,0.8854,0.8808,0.8836,3482.5
MTLUSDT,2025-04-26 00:30:00,0.8836,0.8855,0.8828,0.8852,3665.7
MTLUSDT,2025-04-26 00:45:00,0.8852,0.8943,0.8851,0.8942,3289.2
MTLUSDT,2025-04-26 01:00:00,0.8942,0.8942,0.8904,0.8912,4511.1
MTLUSDT,2025-04-26 01:15:00,0.8912,0.9004,0.8908,0.9004,7889.9
MTLUSDT,2025-04-26 01:30:00,0.9004,0.914,0.9004,0.9064,14451.3
MTLUSDT,2025-04-26 01:45:00,0.9064,0.9064,0.9005,0.9012,3593.0
MTLUSDT,2025-04-26 02:00:00,0.9012,0.9014,0.8979,0.8983,3504.9
MTLUSDT,2025-04-26 02:15:00,0.8983,0.9058,0.8981,0.9053,5803.3
MTLUSDT,2025-04-26 02:30:00,0.9053,0.9059,0.9024,0.9049,5661.0
MTLUSDT,2025-04-26 02:45:00,0.9049,0.9049,0.9022,0.903,4192.9
MTLUSDT,2025-04-26 03:00:00,0.903,0.903,0.897,0.9003,4624.5
MTLUSDT,2025-04-26 03:15:00,0.9003,0.9007,0.8952,0.8956,5992.5
MTLUSDT,2025-04-26 03:30:00,0.8956,0.8992,0.8952,0.8961,5035.5
MTLUSDT,2025-04-26 03:45:00,0.8961,0.9014,0.8961,0.9002,4036.7
MTLUSDT,2025-04-26 04:00:00,0.9002,0.9007,0.8964,0.8974,3468.3
MTLUSDT,2025-04-26 04:15:00,0.8974,0.8982,0.8951,0.8957,4704.2
MTLUSDT,2025-04-26 04:30:00,0.8957,0.8957,0.8883,0.8925,4845.7
MTLUSDT,2025-04-26 04:45:00,0.8925,0.8938,0.8888,0.8888,4225.0
MTLUSDT,2025-04-26 05:00:00,0.8888,0.89,0.8873,0.8894,3850.0
MTLUSDT,2025-04-26 05:15:00,0.8894,0.8905,0.8864,0.8883,4909.2
MTLUSDT,2025-04-26 05:30:00,0.8883,0.8901,0.888,0.8901,5385.4
MTLUSDT,2025-04-26 05:45:00,0.8901,0.8922,0.8895,0.8899,7155.1
MTLUSDT,2025-04-26 06:00:00,0.8899,0.8929,0.8899,0.8922,3728.3
MTLUSDT,2025-04-26 06:15:00,0.8922,0.8932,0.8911,0.8927,4420.4
MTLUSDT,2025-04-26 06:30:00,0.8927,0.8967,0.8923,0.8952,5562.8
MTLUSDT,2025-04-26 06:45:00,0.8952,0.8977,0.8945,0.896,4769.2
MTLUSDT,2025-04-26 07:00:00,0.896,0.8986,0.8956,0.8979,6559.4
MTLUSDT,2025-04-26 07:15:00,0.8979,0.899,0.8971,0.8978,6407.8
MTLUSDT,2025-04-26 07:30:00,0.8978,0.8996,0.8973,0.8986,5745.6
