symbol,timestamp,open,high,low,close,volume
NCUSDT,2025-04-25 16:30:00,0.04545,0.04633,0.04527,0.04626,83818.0
NCUSDT,2025-04-25 16:45:00,0.04626,0.04626,0.04534,0.04595,117403.0
NCUSDT,2025-04-25 17:00:00,0.04595,0.04729,0.04592,0.04692,97000.0
NCUSDT,2025-04-25 17:15:00,0.04692,0.04701,0.04658,0.04663,141364.0
NCUSDT,2025-04-25 17:30:00,0.04663,0.04669,0.04581,0.04625,234050.0
NCUSDT,2025-04-25 17:45:00,0.04625,0.04625,0.04584,0.04609,577251.0
NCUSDT,2025-04-25 18:00:00,0.04609,0.04665,0.04607,0.04652,104357.0
NCUSDT,2025-04-25 18:15:00,0.04652,0.04714,0.04646,0.04699,121292.0
NCUSDT,2025-04-25 18:30:00,0.04699,0.04737,0.04691,0.04737,54817.0
NCUSDT,2025-04-25 18:45:00,0.04737,0.04751,0.04696,0.0472,63802.0
NCUSDT,2025-04-25 19:00:00,0.0472,0.04727,0.04686,0.04691,70828.0
NCUSDT,2025-04-25 19:15:00,0.04691,0.0471,0.04688,0.04696,64251.0
NCUSDT,2025-04-25 19:30:00,0.04696,0.04698,0.0463,0.04636,86795.0
NCUSDT,2025-04-25 19:45:00,0.04636,0.04648,0.04618,0.04634,98772.0
NCUSDT,2025-04-25 20:00:00,0.04634,0.0465,0.04623,0.04641,66941.0
NCUSDT,2025-04-25 20:15:00,0.04641,0.04659,0.04623,0.04644,78104.0
NCUSDT,2025-04-25 20:30:00,0.04644,0.04647,0.04624,0.04634,51104.0
NCUSDT,2025-04-25 20:45:00,0.04634,0.04652,0.04627,0.04647,70028.0
NCUSDT,2025-04-25 21:00:00,0.04647,0.04658,0.0463,0.04648,55251.0
NCUSDT,2025-04-25 21:15:00,0.04648,0.04656,0.04593,0.04595,126080.0
NCUSDT,2025-04-25 21:30:00,0.04595,0.04607,0.045,0.04519,151387.0
NCUSDT,2025-04-25 21:45:00,0.04519,0.04539,0.04498,0.04514,108592.0
NCUSDT,2025-04-25 22:00:00,0.04514,0.04553,0.04514,0.04553,75002.0
NCUSDT,2025-04-25 22:15:00,0.04553,0.04568,0.04547,0.04563,51612.0
NCUSDT,2025-04-25 22:30:00,0.04563,0.04612,0.04553,0.04611,73336.0
NCUSDT,2025-04-25 22:45:00,0.04611,0.04648,0.04604,0.04647,62859.0
NCUSDT,2025-04-25 23:00:00,0.04647,0.04694,0.04643,0.04692,65748.0
