symbol,timestamp,open,high,low,close,volume
NEARUSDT,2025-04-26 14:40:00,2.585,2.597,2.585,2.595,14948.0
NEARUSDT,2025-04-26 14:45:00,2.595,2.603,2.591,2.595,5147.0
NEARUSDT,2025-04-26 14:50:00,2.595,2.595,2.587,2.591,3453.0
NEARUSDT,2025-04-26 14:55:00,2.591,2.593,2.582,2.583,7441.0
NEARUSDT,2025-04-26 15:00:00,2.583,2.596,2.582,2.596,2739.0
NEARUSDT,2025-04-26 15:05:00,2.596,2.604,2.593,2.602,12549.0
NEARUSDT,2025-04-26 15:10:00,2.602,2.607,2.598,2.599,6115.0
NEARUSDT,2025-04-26 15:15:00,2.599,2.608,2.591,2.593,8152.0
NEARUSDT,2025-04-26 15:20:00,2.593,2.598,2.591,2.597,25563.0
NEARUSDT,2025-04-26 15:25:00,2.597,2.603,2.596,2.603,4443.0
NEARUSDT,2025-04-26 15:30:00,2.603,2.603,2.594,2.594,12431.0
NEARUSDT,2025-04-26 15:35:00,2.594,2.598,2.593,2.595,6456.0
NEARUSDT,2025-04-26 15:40:00,2.595,2.599,2.594,2.599,3473.0
NEARUSDT,2025-04-26 15:45:00,2.599,2.604,2.594,2.603,2536.0
NEARUSDT,2025-04-26 15:50:00,2.603,2.61,2.601,2.607,28610.0
NEARUSDT,2025-04-26 15:55:00,2.607,2.612,2.605,2.606,2748.0
NEARUSDT,2025-04-26 16:00:00,2.606,2.617,2.606,2.613,11927.0
NEARUSDT,2025-04-26 16:05:00,2.613,2.616,2.601,2.601,8486.0
NEARUSDT,2025-04-26 16:10:00,2.601,2.61,2.601,2.609,3018.0
NEARUSDT,2025-04-26 16:15:00,2.609,2.617,2.604,2.611,2330.0
NEARUSDT,2025-04-26 16:20:00,2.611,2.614,2.607,2.612,5340.0
NEARUSDT,2025-04-26 16:25:00,2.612,2.615,2.611,2.612,1495.0
NEARUSDT,2025-04-26 16:30:00,2.612,2.613,2.603,2.603,1740.0
NEARUSDT,2025-04-26 16:35:00,2.603,2.605,2.59,2.592,8331.0
NEARUSDT,2025-04-26 16:40:00,2.592,2.592,2.583,2.586,6731.0
NEARUSDT,2025-04-26 16:45:00,2.586,2.595,2.583,2.592,6009.0
NEARUSDT,2025-04-26 16:50:00,2.592,2.597,2.587,2.592,1520.0
NEARUSDT,2025-04-26 16:55:00,2.592,2.597,2.591,2.596,1279.0
NEARUSDT,2025-04-26 17:00:00,2.596,2.602,2.593,2.602,3179.0
NEARUSDT,2025-04-26 17:05:00,2.602,2.603,2.597,2.602,786.0
NEARUSDT,2025-04-26 17:10:00,2.602,2.603,2.592,2.593,993.0
NEARUSDT,2025-04-26 17:15:00,2.593,2.603,2.593,2.598,2303.0
NEARUSDT,2025-04-26 17:20:00,2.598,2.602,2.593,2.6,1328.0
NEARUSDT,2025-04-26 17:25:00,2.6,2.608,2.6,2.604,1312.0
NEARUSDT,2025-04-26 17:30:00,2.604,2.609,2.602,2.608,3679.0
NEARUSDT,2025-04-26 17:35:00,2.608,2.609,2.604,2.606,2057.0
NEARUSDT,2025-04-26 17:40:00,2.606,2.61,2.605,2.609,3177.0
NEARUSDT,2025-04-26 17:45:00,2.609,2.614,2.609,2.612,6823.0
NEARUSDT,2025-04-26 17:50:00,2.612,2.614,2.608,2.609,5300.0
NEARUSDT,2025-04-26 17:55:00,2.609,2.609,2.602,2.607,4831.0
NEARUSDT,2025-04-26 18:00:00,2.607,2.607,2.6,2.607,10506.0
NEARUSDT,2025-04-26 18:05:00,2.607,2.613,2.607,2.612,3148.0
NEARUSDT,2025-04-26 18:10:00,2.612,2.613,2.601,2.601,1283.0
NEARUSDT,2025-04-26 18:15:00,2.601,2.606,2.6,2.605,2058.0
NEARUSDT,2025-04-26 18:20:00,2.605,2.608,2.602,2.608,1013.0
NEARUSDT,2025-04-26 18:25:00,2.608,2.613,2.606,2.612,2750.0
NEARUSDT,2025-04-26 18:30:00,2.612,2.616,2.61,2.616,1804.0
NEARUSDT,2025-04-26 18:35:00,2.616,2.616,2.613,2.616,2018.0
NEARUSDT,2025-04-26 18:40:00,2.616,2.617,2.613,2.614,1314.0
NEARUSDT,2025-04-26 18:45:00,2.614,2.615,2.609,2.611,1036.0
NEARUSDT,2025-04-26 18:50:00,2.611,2.614,2.607,2.607,1464.0
NEARUSDT,2025-04-26 18:55:00,2.607,2.61,2.604,2.604,1639.0
NEARUSDT,2025-04-26 19:00:00,2.604,2.612,2.604,2.611,3626.0
NEARUSDT,2025-04-26 19:05:00,2.611,2.612,2.602,2.602,1107.0
NEARUSDT,2025-04-26 19:10:00,2.602,2.609,2.601,2.607,3820.0
NEARUSDT,2025-04-26 19:15:00,2.607,2.611,2.603,2.607,1496.0
NEARUSDT,2025-04-26 19:20:00,2.607,2.607,2.6,2.604,750.0
NEARUSDT,2025-04-26 19:25:00,2.604,2.613,2.604,2.612,591.0
NEARUSDT,2025-04-26 19:30:00,2.612,2.613,2.607,2.611,1154.0
NEARUSDT,2025-04-26 19:35:00,2.611,2.617,2.609,2.614,695.0
NEARUSDT,2025-04-26 19:40:00,2.614,2.617,2.612,2.616,809.0
NEARUSDT,2025-04-26 19:45:00,2.616,2.62,2.611,2.611,3312.0
NEARUSDT,2025-04-26 19:50:00,2.611,2.616,2.609,2.614,12119.0
NEARUSDT,2025-04-26 19:55:00,2.614,2.619,2.612,2.618,927.0
NEARUSDT,2025-04-26 20:00:00,2.618,2.623,2.617,2.62,5153.0
NEARUSDT,2025-04-26 20:05:00,2.62,2.63,2.618,2.623,5681.0
NEARUSDT,2025-04-26 20:10:00,2.623,2.627,2.617,2.618,8212.0
