symbol,timestamp,open,high,low,close,volume
NEIROCTOUSDT,2025-04-26 14:40:00,0.0002531,0.0002535,0.0002519,0.0002519,10957054.0
NEIROCTOUSDT,2025-04-26 14:45:00,0.0002519,0.000253,0.0002517,0.0002529,5325911.0
NEIROCTOUSDT,2025-04-26 14:50:00,0.0002529,0.0002534,0.0002526,0.000253,17528669.0
NEIROCTOUSDT,2025-04-26 14:55:00,0.000253,0.0002538,0.000253,0.0002535,2560086.0
NEIROCTOUSDT,2025-04-26 15:00:00,0.0002535,0.0002551,0.0002535,0.0002546,26169349.0
NEIROCTOUSDT,2025-04-26 15:05:00,0.0002546,0.0002566,0.0002546,0.0002559,42864895.0
NEIROCTOUSDT,2025-04-26 15:10:00,0.0002559,0.0002569,0.0002557,0.000256,9017597.0
NEIROCTOUSDT,2025-04-26 15:15:00,0.000256,0.0002595,0.0002559,0.0002589,43972073.0
NEIROCTOUSDT,2025-04-26 15:20:00,0.0002589,0.0002592,0.0002587,0.0002587,3376447.0
NEIROCTOUSDT,2025-04-26 15:25:00,0.0002587,0.0002604,0.0002587,0.00026,9914380.0
NEIROCTOUSDT,2025-04-26 15:30:00,0.00026,0.00026,0.0002581,0.0002581,9603727.0
NEIROCTOUSDT,2025-04-26 15:35:00,0.0002581,0.0002595,0.0002577,0.000259,17632929.0
NEIROCTOUSDT,2025-04-26 15:40:00,0.000259,0.00026,0.0002589,0.0002599,5114271.0
NEIROCTOUSDT,2025-04-26 15:45:00,0.0002599,0.0002605,0.0002593,0.0002605,5073747.0
NEIROCTOUSDT,2025-04-26 15:50:00,0.0002605,0.0002619,0.0002605,0.0002614,14904583.0
NEIROCTOUSDT,2025-04-26 15:55:00,0.0002614,0.0002634,0.0002609,0.0002631,30533922.0
NEIROCTOUSDT,2025-04-26 16:00:00,0.0002631,0.0002649,0.0002608,0.0002616,49870377.0
NEIROCTOUSDT,2025-04-26 16:05:00,0.0002616,0.0002623,0.000257,0.0002586,163755547.0
NEIROCTOUSDT,2025-04-26 16:10:00,0.0002586,0.0002604,0.0002585,0.0002591,8763882.0
NEIROCTOUSDT,2025-04-26 16:15:00,0.0002591,0.0002598,0.0002575,0.0002589,22281931.0
NEIROCTOUSDT,2025-04-26 16:20:00,0.0002589,0.0002591,0.0002577,0.0002591,7153905.0
NEIROCTOUSDT,2025-04-26 16:25:00,0.0002591,0.0002591,0.0002583,0.0002583,41149483.0
NEIROCTOUSDT,2025-04-26 16:30:00,0.0002583,0.0002594,0.0002579,0.0002582,479881729.0
NEIROCTOUSDT,2025-04-26 16:35:00,0.0002582,0.0002593,0.0002568,0.0002572,85455231.0
NEIROCTOUSDT,2025-04-26 16:40:00,0.0002572,0.0002578,0.0002565,0.0002565,20137197.0
NEIROCTOUSDT,2025-04-26 16:45:00,0.0002565,0.0002576,0.0002551,0.0002576,27026752.0
NEIROCTOUSDT,2025-04-26 16:50:00,0.0002576,0.0002579,0.0002572,0.0002578,3021170.0
NEIROCTOUSDT,2025-04-26 16:55:00,0.0002578,0.0002591,0.0002578,0.0002584,15929659.0
