symbol,timestamp,open,high,low,close,volume
NEIROETHUSDT,2025-04-26 14:40:00,0.0756,0.0758,0.07546,0.07553,109882.0
NEIROETHUSDT,2025-04-26 14:45:00,0.07553,0.07577,0.07515,0.07562,141587.0
NEIROETHUSDT,2025-04-26 14:50:00,0.07562,0.07562,0.07523,0.07536,28343.0
NEIROETHUSDT,2025-04-26 14:55:00,0.07536,0.07562,0.07503,0.07562,52955.0
NEIROETHUSDT,2025-04-26 15:00:00,0.07562,0.07596,0.07483,0.0749,180273.0
NEIROETHUSDT,2025-04-26 15:05:00,0.0749,0.07507,0.0742,0.07442,191236.0
NEIROETHUSDT,2025-04-26 15:10:00,0.07442,0.07465,0.07416,0.07442,175467.0
NEIROETHUSDT,2025-04-26 15:15:00,0.07442,0.07478,0.07405,0.07417,234476.0
NEIROETHUSDT,2025-04-26 15:20:00,0.07417,0.075,0.074,0.07468,125956.0
NEIROETHUSDT,2025-04-26 15:25:00,0.07468,0.07507,0.07458,0.07459,117730.0
NEIROETHUSDT,2025-04-26 15:30:00,0.07459,0.07459,0.07361,0.07396,248486.0
NEIROETHUSDT,2025-04-26 15:35:00,0.07396,0.07438,0.07382,0.07421,109075.0
NEIROETHUSDT,2025-04-26 15:40:00,0.07421,0.07421,0.07341,0.07345,134732.0
NEIROETHUSDT,2025-04-26 15:45:00,0.07345,0.07367,0.07333,0.0734,94087.0
NEIROETHUSDT,2025-04-26 15:50:00,0.0734,0.07351,0.07323,0.07349,83436.0
NEIROETHUSDT,2025-04-26 15:55:00,0.07349,0.07349,0.07309,0.07314,514616.0
NEIROETHUSDT,2025-04-26 16:00:00,0.07314,0.07362,0.07268,0.07328,236559.0
NEIROETHUSDT,2025-04-26 16:05:00,0.07328,0.0747,0.07328,0.07435,1118016.0
NEIROETHUSDT,2025-04-26 16:10:00,0.07435,0.07435,0.07378,0.07402,236677.0
NEIROETHUSDT,2025-04-26 16:15:00,0.07402,0.07402,0.073,0.07343,109319.0
NEIROETHUSDT,2025-04-26 16:20:00,0.07343,0.07423,0.07283,0.07423,146965.0
NEIROETHUSDT,2025-04-26 16:25:00,0.07423,0.07423,0.07337,0.07337,271406.0
NEIROETHUSDT,2025-04-26 16:30:00,0.07337,0.07381,0.07244,0.07285,262574.0
NEIROETHUSDT,2025-04-26 16:35:00,0.07285,0.07461,0.07285,0.07436,359699.0
NEIROETHUSDT,2025-04-26 16:40:00,0.07436,0.07456,0.07388,0.07433,363642.0
NEIROETHUSDT,2025-04-26 16:45:00,0.07433,0.07442,0.07384,0.07394,85029.0
NEIROETHUSDT,2025-04-26 16:50:00,0.07394,0.07404,0.07351,0.07404,275614.0
NEIROETHUSDT,2025-04-26 16:55:00,0.07404,0.07425,0.07388,0.07401,242571.0
NEIROETHUSDT,2025-04-26 17:00:00,0.07401,0.07453,0.07374,0.07422,359427.0
NEIROETHUSDT,2025-04-26 17:05:00,0.07422,0.0747,0.07399,0.07415,302483.0
NEIROETHUSDT,2025-04-26 17:10:00,0.07415,0.07458,0.07397,0.07458,63714.0
NEIROETHUSDT,2025-04-26 17:15:00,0.07458,0.07483,0.07387,0.07441,45030.0
NEIROETHUSDT,2025-04-26 17:20:00,0.07441,0.07445,0.07404,0.07436,36999.0
NEIROETHUSDT,2025-04-26 17:25:00,0.07436,0.07456,0.07425,0.07456,19543.0
NEIROETHUSDT,2025-04-26 17:30:00,0.07456,0.07466,0.07428,0.07428,16185.0
NEIROETHUSDT,2025-04-26 17:35:00,0.07428,0.07445,0.07402,0.07413,42777.0
NEIROETHUSDT,2025-04-26 17:40:00,0.07413,0.07418,0.07373,0.07374,48359.0
NEIROETHUSDT,2025-04-26 17:45:00,0.07374,0.07402,0.07358,0.07374,77648.0
NEIROETHUSDT,2025-04-26 17:50:00,0.07374,0.07386,0.07339,0.07347,60949.0
NEIROETHUSDT,2025-04-26 17:55:00,0.07347,0.07372,0.07333,0.07358,53476.0
NEIROETHUSDT,2025-04-26 18:00:00,0.07358,0.07369,0.07305,0.07325,121285.0
NEIROETHUSDT,2025-04-26 18:05:00,0.07325,0.07377,0.07325,0.07377,17198.0
NEIROETHUSDT,2025-04-26 18:10:00,0.07377,0.07444,0.07377,0.07426,336507.0
NEIROETHUSDT,2025-04-26 18:15:00,0.07426,0.07431,0.07402,0.07426,18585.0
NEIROETHUSDT,2025-04-26 18:20:00,0.07426,0.07426,0.07372,0.07372,70064.0
NEIROETHUSDT,2025-04-26 18:25:00,0.07372,0.07395,0.07372,0.07385,33212.0
NEIROETHUSDT,2025-04-26 18:30:00,0.07385,0.07426,0.07381,0.07392,28388.0
NEIROETHUSDT,2025-04-26 18:35:00,0.07392,0.0742,0.07392,0.07417,11770.0
NEIROETHUSDT,2025-04-26 18:40:00,0.07417,0.07417,0.07372,0.07395,18772.0
NEIROETHUSDT,2025-04-26 18:45:00,0.07395,0.0742,0.0738,0.07411,32285.0
NEIROETHUSDT,2025-04-26 18:50:00,0.07411,0.07411,0.07349,0.07359,42726.0
NEIROETHUSDT,2025-04-26 18:55:00,0.07359,0.0738,0.07351,0.07368,99392.0
NEIROETHUSDT,2025-04-26 19:00:00,0.07368,0.07371,0.07332,0.07351,130847.0
NEIROETHUSDT,2025-04-26 19:05:00,0.07351,0.07368,0.07311,0.07325,136151.0
NEIROETHUSDT,2025-04-26 19:10:00,0.07325,0.07348,0.07317,0.07348,59239.0
NEIROETHUSDT,2025-04-26 19:15:00,0.07348,0.07348,0.07294,0.07295,62663.0
NEIROETHUSDT,2025-04-26 19:20:00,0.07295,0.07319,0.07282,0.07304,312570.0
NEIROETHUSDT,2025-04-26 19:25:00,0.07304,0.07335,0.07301,0.07314,174244.0
NEIROETHUSDT,2025-04-26 19:30:00,0.07314,0.07314,0.07271,0.07299,29820.0
NEIROETHUSDT,2025-04-26 19:35:00,0.07299,0.07333,0.07299,0.0731,29881.0
NEIROETHUSDT,2025-04-26 19:40:00,0.0731,0.07346,0.07309,0.0733,63811.0
NEIROETHUSDT,2025-04-26 19:45:00,0.0733,0.07394,0.0733,0.07353,128377.0
NEIROETHUSDT,2025-04-26 19:50:00,0.07353,0.07406,0.07353,0.07387,135967.0
NEIROETHUSDT,2025-04-26 19:55:00,0.07387,0.07441,0.07375,0.07427,253793.0
NEIROETHUSDT,2025-04-26 20:00:00,0.07427,0.07491,0.07418,0.07422,811229.0
NEIROETHUSDT,2025-04-26 20:05:00,0.07422,0.07502,0.07422,0.07464,410774.0
NEIROETHUSDT,2025-04-26 20:10:00,0.07464,0.07586,0.07464,0.07585,275393.0
NEIROETHUSDT,2025-04-26 20:15:00,0.07585,0.07666,0.07562,0.07598,558496.0
NEIROETHUSDT,2025-04-26 20:20:00,0.07598,0.07653,0.07576,0.07631,166870.0
NEIROETHUSDT,2025-04-26 20:25:00,0.07631,0.07676,0.07631,0.07654,99703.0
NEIROETHUSDT,2025-04-26 20:30:00,0.07654,0.07664,0.07614,0.07656,168555.0
NEIROETHUSDT,2025-04-26 20:35:00,0.07656,0.07665,0.07591,0.07596,559868.0
NEIROETHUSDT,2025-04-26 20:40:00,0.07596,0.07638,0.07596,0.07605,329185.0
NEIROETHUSDT,2025-04-26 20:45:00,0.07605,0.07642,0.07587,0.07587,36987.0
NEIROETHUSDT,2025-04-26 20:50:00,0.07587,0.07983,0.07584,0.07779,2816546.0
NEIROETHUSDT,2025-04-26 20:55:00,0.07779,0.07878,0.07752,0.0783,672012.0
NEIROETHUSDT,2025-04-26 21:00:00,0.0783,0.07925,0.07802,0.07851,225425.0
NEIROETHUSDT,2025-04-26 21:05:00,0.07851,0.07868,0.07777,0.07837,181669.0
NEIROETHUSDT,2025-04-26 21:10:00,0.07837,0.07837,0.07722,0.07747,168384.0
NEIROETHUSDT,2025-04-26 21:15:00,0.07747,0.07781,0.07653,0.07655,104980.0
NEIROETHUSDT,2025-04-26 21:20:00,0.07655,0.07715,0.07621,0.0768,195737.0
NEIROETHUSDT,2025-04-26 21:25:00,0.0768,0.07727,0.07668,0.07697,52681.0
NEIROETHUSDT,2025-04-26 21:30:00,0.07697,0.07728,0.07668,0.07688,47891.0
NEIROETHUSDT,2025-04-26 21:35:00,0.07688,0.07717,0.07667,0.07689,49318.0
NEIROETHUSDT,2025-04-26 21:40:00,0.07689,0.07694,0.07668,0.07679,45247.0
NEIROETHUSDT,2025-04-26 21:45:00,0.07679,0.07725,0.07674,0.07695,67462.0
NEIROETHUSDT,2025-04-26 21:50:00,0.07695,0.07734,0.0765,0.07729,186253.0
NEIROETHUSDT,2025-04-26 21:55:00,0.07729,0.07729,0.07654,0.07654,377109.0
NEIROETHUSDT,2025-04-26 22:00:00,0.07654,0.07712,0.07652,0.077,370565.0
NEIROETHUSDT,2025-04-26 22:05:00,0.077,0.07721,0.07675,0.07695,63687.0
NEIROETHUSDT,2025-04-26 22:10:00,0.07695,0.07719,0.07665,0.07688,45665.0
NEIROETHUSDT,2025-04-26 22:15:00,0.07688,0.07771,0.07688,0.07754,83654.0
NEIROETHUSDT,2025-04-26 22:20:00,0.07754,0.07754,0.07695,0.07695,78895.0
NEIROETHUSDT,2025-04-26 22:25:00,0.07695,0.07855,0.07695,0.07819,405997.0
NEIROETHUSDT,2025-04-26 22:30:00,0.07819,0.07869,0.07773,0.07783,474094.0
NEIROETHUSDT,2025-04-26 22:35:00,0.07783,0.07804,0.07752,0.07752,151429.0
NEIROETHUSDT,2025-04-26 22:40:00,0.07752,0.07813,0.07739,0.07786,91034.0
NEIROETHUSDT,2025-04-26 22:45:00,0.07786,0.07808,0.0777,0.0779,43481.0
NEIROETHUSDT,2025-04-26 22:50:00,0.0779,0.07968,0.07777,0.07951,1124061.0
NEIROETHUSDT,2025-04-26 22:55:00,0.07951,0.07969,0.07818,0.07835,386870.0
NEIROETHUSDT,2025-04-26 23:00:00,0.07835,0.07879,0.07824,0.07862,77072.0
NEIROETHUSDT,2025-04-26 23:05:00,0.07862,0.07931,0.07832,0.07891,191056.0
NEIROETHUSDT,2025-04-26 23:10:00,0.07891,0.07965,0.07884,0.07942,184809.0
NEIROETHUSDT,2025-04-26 23:15:00,0.07942,0.07975,0.07935,0.07948,91086.0
NEIROETHUSDT,2025-04-26 23:20:00,0.07948,0.07957,0.07873,0.07885,115013.0
NEIROETHUSDT,2025-04-26 23:25:00,0.07885,0.07896,0.07811,0.07822,136275.0
NEIROETHUSDT,2025-04-26 23:30:00,0.07822,0.0784,0.07797,0.07809,107939.0
NEIROETHUSDT,2025-04-26 23:35:00,0.07809,0.07895,0.07809,0.07841,711459.0
NEIROETHUSDT,2025-04-26 23:40:00,0.07841,0.08029,0.0783,0.07965,1569532.0
NEIROETHUSDT,2025-04-26 23:45:00,0.07965,0.07965,0.07866,0.07893,156159.0
NEIROETHUSDT,2025-04-26 23:50:00,0.07893,0.07965,0.07893,0.07962,139089.0
NEIROETHUSDT,2025-04-26 23:55:00,0.07962,0.07969,0.07883,0.07916,657218.0
NEIROETHUSDT,2025-04-27 00:00:00,0.07916,0.07984,0.07886,0.07886,331856.0
NEIROETHUSDT,2025-04-27 00:05:00,0.07886,0.07931,0.07839,0.07839,81892.0
NEIROETHUSDT,2025-04-27 00:10:00,0.07839,0.0787,0.07789,0.0782,234725.0
NEIROETHUSDT,2025-04-27 00:15:00,0.0782,0.07889,0.07807,0.0784,440166.0
NEIROETHUSDT,2025-04-27 00:20:00,0.0784,0.07851,0.0778,0.07851,57350.0
NEIROETHUSDT,2025-04-27 00:25:00,0.07851,0.07851,0.07714,0.07752,271145.0
NEIROETHUSDT,2025-04-27 00:30:00,0.07752,0.0784,0.07748,0.07821,214728.0
NEIROETHUSDT,2025-04-27 00:35:00,0.07821,0.07829,0.07782,0.07801,104337.0
NEIROETHUSDT,2025-04-27 00:40:00,0.07801,0.07803,0.07677,0.07688,803354.0
NEIROETHUSDT,2025-04-27 00:45:00,0.07688,0.0772,0.07642,0.07684,106726.0
NEIROETHUSDT,2025-04-27 00:50:00,0.07684,0.07736,0.07664,0.07716,149034.0
NEIROETHUSDT,2025-04-27 00:55:00,0.07716,0.07728,0.077,0.07722,65801.0
NEIROETHUSDT,2025-04-27 01:00:00,0.07722,0.07843,0.07722,0.07821,419559.0
NEIROETHUSDT,2025-04-27 01:05:00,0.07821,0.07841,0.07744,0.07782,210090.0
NEIROETHUSDT,2025-04-27 01:10:00,0.07782,0.07795,0.07661,0.07779,525664.0
NEIROETHUSDT,2025-04-27 01:15:00,0.07779,0.07779,0.07672,0.07674,100961.0
NEIROETHUSDT,2025-04-27 01:20:00,0.07674,0.07687,0.07602,0.0765,330757.0
NEIROETHUSDT,2025-04-27 01:25:00,0.0765,0.07752,0.07619,0.07745,324002.0
NEIROETHUSDT,2025-04-27 01:30:00,0.07745,0.0787,0.07715,0.07812,242844.0
NEIROETHUSDT,2025-04-27 01:35:00,0.07812,0.07868,0.07802,0.07802,504122.0
NEIROETHUSDT,2025-04-27 01:40:00,0.07802,0.07802,0.07714,0.07714,111486.0
NEIROETHUSDT,2025-04-27 01:45:00,0.07714,0.07715,0.07625,0.07638,434875.0
NEIROETHUSDT,2025-04-27 01:50:00,0.07638,0.07647,0.07459,0.07492,1448346.0
NEIROETHUSDT,2025-04-27 01:55:00,0.07492,0.07502,0.0738,0.07435,504066.0
NEIROETHUSDT,2025-04-27 02:00:00,0.07435,0.07499,0.07424,0.07457,514602.0
NEIROETHUSDT,2025-04-27 02:05:00,0.07457,0.0747,0.07324,0.07362,1045664.0
