symbol,timestamp,open,high,low,close,volume
NFPUSDT,2025-04-25 16:30:00,0.08158,0.08187,0.08123,0.08175,24713.0
NFPUSDT,2025-04-25 16:45:00,0.08175,0.08207,0.08162,0.08198,27258.0
NFPUSDT,2025-04-25 17:00:00,0.08198,0.08248,0.08197,0.08229,27902.0
NFPUSDT,2025-04-25 17:15:00,0.08229,0.08249,0.08203,0.08203,38110.0
NFPUSDT,2025-04-25 17:30:00,0.08203,0.08212,0.0813,0.08163,38075.4
NFPUSDT,2025-04-25 17:45:00,0.08163,0.08176,0.08125,0.0813,36358.0
NFPUSDT,2025-04-25 18:00:00,0.0813,0.08169,0.08124,0.08145,34960.3
NFPUSDT,2025-04-25 18:15:00,0.08145,0.08192,0.08129,0.08188,128813.8
NFPUSDT,2025-04-25 18:30:00,0.08188,0.08206,0.08173,0.08194,20649.0
NFPUSDT,2025-04-25 18:45:00,0.08194,0.08198,0.08142,0.08147,23131.0
NFPUSDT,2025-04-25 19:00:00,0.08147,0.0816,0.08103,0.08112,126968.8
NFPUSDT,2025-04-25 19:15:00,0.08112,0.08174,0.08112,0.08168,17829.0
NFPUSDT,2025-04-25 19:30:00,0.08168,0.08173,0.08133,0.08158,17100.0
NFPUSDT,2025-04-25 19:45:00,0.08158,0.08187,0.08156,0.08158,14563.8
NFPUSDT,2025-04-25 20:00:00,0.08158,0.08165,0.08132,0.0815,20874.0
NFPUSDT,2025-04-25 20:15:00,0.0815,0.08163,0.08113,0.08143,35979.0
NFPUSDT,2025-04-25 20:30:00,0.08143,0.08147,0.0811,0.0811,39097.0
NFPUSDT,2025-04-25 20:45:00,0.0811,0.08149,0.0811,0.08132,39151.0
NFPUSDT,2025-04-25 21:00:00,0.08132,0.08169,0.08124,0.08149,141098.0
NFPUSDT,2025-04-25 21:15:00,0.08149,0.0816,0.08119,0.0814,15152.0
NFPUSDT,2025-04-25 21:30:00,0.0814,0.0816,0.0813,0.08156,47042.0
NFPUSDT,2025-04-25 21:45:00,0.08156,0.08159,0.08077,0.08091,44423.8
NFPUSDT,2025-04-25 22:00:00,0.08091,0.08132,0.08085,0.08126,18461.2
NFPUSDT,2025-04-25 22:15:00,0.08126,0.08183,0.0812,0.08173,20113.2
NFPUSDT,2025-04-25 22:30:00,0.08173,0.08239,0.08172,0.08239,17212.0
NFPUSDT,2025-04-25 22:45:00,0.08239,0.08239,0.08204,0.08213,19735.0
NFPUSDT,2025-04-25 23:00:00,0.08213,0.08248,0.08202,0.08223,26638.0
NFPUSDT,2025-04-25 23:15:00,0.08223,0.08223,0.08167,0.08197,31098.0
