symbol,timestamp,open,high,low,close,volume
NMRUSDT,2025-04-25 16:30:00,9.22,9.248,9.203,9.232,352.1
NMRUSDT,2025-04-25 16:45:00,9.232,9.234,9.187,9.215,306.8
NMRUSDT,2025-04-25 17:00:00,9.215,9.283,9.208,9.267,396.0
NMRUSDT,2025-04-25 17:15:00,9.267,9.302,9.259,9.284,306.6
NMRUSDT,2025-04-25 17:30:00,9.284,9.284,9.16,9.191,1005.9
NMRUSDT,2025-04-25 17:45:00,9.191,9.202,9.152,9.183,579.3
NMRUSDT,2025-04-25 18:00:00,9.183,9.224,9.178,9.221,289.9
NMRUSDT,2025-04-25 18:15:00,9.221,9.236,9.203,9.205,319.5
NMRUSDT,2025-04-25 18:30:00,9.205,9.241,9.192,9.226,340.7
NMRUSDT,2025-04-25 18:45:00,9.226,9.236,9.185,9.186,336.7
NMRUSDT,2025-04-25 19:00:00,9.186,9.228,9.176,9.182,396.4
NMRUSDT,2025-04-25 19:15:00,9.182,9.249,9.182,9.24,299.5
NMRUSDT,2025-04-25 19:30:00,9.24,9.24,9.21,9.214,320.1
NMRUSDT,2025-04-25 19:45:00,9.214,9.253,9.212,9.25,377.9
NMRUSDT,2025-04-25 20:00:00,9.25,9.264,9.237,9.249,395.3
NMRUSDT,2025-04-25 20:15:00,9.249,9.257,9.205,9.232,427.2
NMRUSDT,2025-04-25 20:30:00,9.232,9.242,9.183,9.215,902.5
NMRUSDT,2025-04-25 20:45:00,9.215,9.253,9.213,9.246,444.2
NMRUSDT,2025-04-25 21:00:00,9.246,9.293,9.239,9.281,383.4
NMRUSDT,2025-04-25 21:15:00,9.281,9.294,9.221,9.221,341.5
NMRUSDT,2025-04-25 21:30:00,9.221,9.232,9.192,9.208,500.1
NMRUSDT,2025-04-25 21:45:00,9.208,9.208,9.152,9.167,319.9
NMRUSDT,2025-04-25 22:00:00,9.167,9.228,9.166,9.228,605.8
NMRUSDT,2025-04-25 22:15:00,9.228,9.25,9.214,9.243,431.3
NMRUSDT,2025-04-25 22:30:00,9.243,9.295,9.239,9.293,344.9
NMRUSDT,2025-04-25 22:45:00,9.293,9.293,9.268,9.272,366.4
NMRUSDT,2025-04-25 23:00:00,9.272,9.311,9.255,9.292,324.4
NMRUSDT,2025-04-25 23:15:00,9.292,9.293,9.254,9.293,292.7
NMRUSDT,2025-04-25 23:30:00,9.293,9.293,9.239,9.262,285.8
NMRUSDT,2025-04-25 23:45:00,9.262,9.262,9.238,9.248,285.7
NMRUSDT,2025-04-26 00:00:00,9.248,9.296,9.248,9.281,333.1
NMRUSDT,2025-04-26 00:15:00,9.281,9.317,9.273,9.282,322.8
NMRUSDT,2025-04-26 00:30:00,9.282,9.33,9.25,9.33,555.8
NMRUSDT,2025-04-26 00:45:00,9.33,9.406,9.321,9.369,887.1
NMRUSDT,2025-04-26 01:00:00,9.369,9.374,9.335,9.348,417.3
NMRUSDT,2025-04-26 01:15:00,9.348,9.431,9.334,9.409,712.6
NMRUSDT,2025-04-26 01:30:00,9.409,9.588,9.406,9.575,3415.8
NMRUSDT,2025-04-26 01:45:00,9.575,9.586,9.552,9.572,552.3
NMRUSDT,2025-04-26 02:00:00,9.572,9.582,9.456,9.47,980.0
NMRUSDT,2025-04-26 02:15:00,9.47,9.514,9.463,9.513,336.3
NMRUSDT,2025-04-26 02:30:00,9.513,9.607,9.502,9.595,484.1
NMRUSDT,2025-04-26 02:45:00,9.595,9.595,9.531,9.535,282.2
NMRUSDT,2025-04-26 03:00:00,9.535,9.546,9.461,9.515,1126.8
NMRUSDT,2025-04-26 03:15:00,9.515,9.516,9.449,9.449,879.7
NMRUSDT,2025-04-26 03:30:00,9.449,9.502,9.438,9.502,789.3
NMRUSDT,2025-04-26 03:45:00,9.502,9.58,9.5,9.562,783.6
NMRUSDT,2025-04-26 04:00:00,9.562,9.622,9.549,9.557,976.5
NMRUSDT,2025-04-26 04:15:00,9.557,9.565,9.525,9.543,348.9
NMRUSDT,2025-04-26 04:30:00,9.543,9.543,9.453,9.497,307.8
NMRUSDT,2025-04-26 04:45:00,9.497,9.52,9.468,9.487,302.5
NMRUSDT,2025-04-26 05:00:00,9.487,9.498,9.427,9.428,372.6
NMRUSDT,2025-04-26 05:15:00,9.428,9.467,9.404,9.444,475.6
NMRUSDT,2025-04-26 05:30:00,9.444,9.472,9.426,9.472,264.8
NMRUSDT,2025-04-26 05:45:00,9.472,9.495,9.465,9.465,238.4
NMRUSDT,2025-04-26 06:00:00,9.465,9.483,9.451,9.459,409.5
NMRUSDT,2025-04-26 06:15:00,9.459,9.486,9.452,9.486,900.7
NMRUSDT,2025-04-26 06:30:00,9.486,9.511,9.471,9.484,514.3
NMRUSDT,2025-04-26 06:45:00,9.484,9.553,9.484,9.524,683.7
NMRUSDT,2025-04-26 07:00:00,9.524,9.534,9.482,9.507,374.9
NMRUSDT,2025-04-26 07:15:00,9.507,9.516,9.476,9.476,355.2
NMRUSDT,2025-04-26 07:30:00,9.476,9.482,9.439,9.459,3597.7
NMRUSDT,2025-04-26 07:45:00,9.459,9.459,9.394,9.394,3057.2
NMRUSDT,2025-04-26 08:00:00,9.394,9.438,9.39,9.426,565.5
