symbol,timestamp,open,high,low,close,volume
NXPCUSDT,2025-05-15 06:30:00,2.5442,3.2746,2.5442,3.115,1020386.0
NXPCUSDT,2025-05-15 06:45:00,3.115,3.1258,2.6769,2.7832,2884756.0
NXPCUSDT,2025-05-15 07:00:00,2.7832,3.2276,2.7379,3.0111,2340319.0
NXPCUSDT,2025-05-15 07:15:00,3.0111,3.444,3.0106,3.1522,2982548.0
NXPCUSDT,2025-05-15 07:30:00,3.1522,3.3769,2.8573,3.3229,3539485.0
NXPCUSDT,2025-05-15 07:45:00,3.3229,3.3669,2.9541,2.9965,2330676.0
NXPCUSDT,2025-05-15 08:00:00,2.9965,3.161,2.86,3.0518,2586917.0
NXPCUSDT,2025-05-15 08:15:00,3.0518,3.1162,2.8972,3.0206,1694032.0
NXPCUSDT,2025-05-15 08:30:00,3.0206,3.2297,2.9725,3.2072,2508472.0
NXPCUSDT,2025-05-15 08:45:00,3.2072,3.5786,3.1983,3.561,3890342.0
NXPCUSDT,2025-05-15 09:00:00,3.561,3.6132,3.3775,3.5335,3208681.0
NXPCUSDT,2025-05-15 09:15:00,3.5335,3.5381,3.2445,3.2915,3072088.0
NXPCUSDT,2025-05-15 09:30:00,3.2915,3.3979,3.0854,3.3548,4234993.0
NXPCUSDT,2025-05-15 09:45:00,3.3548,3.3837,3.1338,3.1703,2378940.0
NXPCUSDT,2025-05-15 10:00:00,3.1703,3.3105,3.1331,3.1971,1678041.0
NXPCUSDT,2025-05-15 10:15:00,3.1971,3.2452,3.1147,3.2007,1245083.0
NXPCUSDT,2025-05-15 10:30:00,3.2007,3.2151,3.032,3.041,2132255.0
NXPCUSDT,2025-05-15 10:45:00,3.041,3.1408,3.0404,3.1233,1379845.0
NXPCUSDT,2025-05-15 11:00:00,3.1233,3.216,3.1005,3.1228,1445828.0
NXPCUSDT,2025-05-15 11:15:00,3.1228,3.159,3.06,3.1028,991221.0
NXPCUSDT,2025-05-15 11:30:00,3.1028,3.1365,3.0761,3.1169,717825.0
NXPCUSDT,2025-05-15 11:45:00,3.1169,3.1372,3.0764,3.0827,874708.0
NXPCUSDT,2025-05-15 12:00:00,3.0827,3.0827,2.7224,2.817,4391949.0
NXPCUSDT,2025-05-15 12:15:00,2.817,2.8315,2.6051,2.6837,2827707.0
NXPCUSDT,2025-05-15 12:30:00,2.6837,2.8053,2.65,2.6624,2183966.0
NXPCUSDT,2025-05-15 12:45:00,2.6624,2.7159,2.5416,2.5704,2194131.0
NXPCUSDT,2025-05-15 13:00:00,2.5704,2.6123,2.4764,2.5144,2307895.0
NXPCUSDT,2025-05-15 13:15:00,2.5144,2.6598,2.4966,2.6462,3258112.0
NXPCUSDT,2025-05-15 13:30:00,2.6462,2.6536,2.5715,2.6154,1458646.0
NXPCUSDT,2025-05-15 13:45:00,2.6154,2.6195,2.478,2.549,1968658.0
NXPCUSDT,2025-05-15 14:00:00,2.549,2.7378,2.5475,2.6833,2677088.0
NXPCUSDT,2025-05-15 14:15:00,2.6833,2.754,2.6517,2.6919,1759915.0
NXPCUSDT,2025-05-15 14:30:00,2.6919,2.7478,2.5746,2.6124,2086920.0
NXPCUSDT,2025-05-15 14:45:00,2.6124,2.633,2.5455,2.5957,1313349.0
NXPCUSDT,2025-05-15 15:00:00,2.5957,2.7091,2.5846,2.6121,1506989.0
NXPCUSDT,2025-05-15 15:15:00,2.6121,2.66,2.5793,2.6109,977602.0
NXPCUSDT,2025-05-15 15:30:00,2.6109,2.6346,2.5561,2.6034,1065995.0
NXPCUSDT,2025-05-15 15:45:00,2.6034,2.6143,2.4,2.421,1914829.0
NXPCUSDT,2025-05-15 16:00:00,2.421,2.5416,2.4153,2.5374,1432997.0
NXPCUSDT,2025-05-15 16:15:00,2.5374,2.56,2.5014,2.5175,928822.0
NXPCUSDT,2025-05-15 16:30:00,2.5175,2.6153,2.5008,2.6132,1058052.0
NXPCUSDT,2025-05-15 16:45:00,2.6132,2.6542,2.5434,2.5707,1354295.0
NXPCUSDT,2025-05-15 17:00:00,2.5707,2.7496,2.5633,2.6998,2004460.0
NXPCUSDT,2025-05-15 17:15:00,2.6998,2.8022,2.6855,2.7307,1511478.0
NXPCUSDT,2025-05-15 17:30:00,2.7307,2.7825,2.7081,2.7484,971727.0
NXPCUSDT,2025-05-15 17:45:00,2.7484,2.7778,2.656,2.6898,1001457.0
