symbol,timestamp,open,high,low,close,volume
OBTUSDT,2025-04-25 16:30:00,0.01251,0.01262,0.01241,0.01262,1241400.0
OBTUSDT,2025-04-25 16:45:00,0.01262,0.01268,0.01243,0.01251,747100.0
OBTUSDT,2025-04-25 17:00:00,0.01251,0.01282,0.01251,0.01278,1084600.0
OBTUSDT,2025-04-25 17:15:00,0.01278,0.01288,0.01256,0.01256,751800.0
OBTUSDT,2025-04-25 17:30:00,0.01256,0.01269,0.01242,0.01244,1071900.0
OBTUSDT,2025-04-25 17:45:00,0.01244,0.01262,0.01235,0.01253,574600.0
OBTUSDT,2025-04-25 18:00:00,0.01253,0.01271,0.01253,0.01255,1335500.0
OBTUSDT,2025-04-25 18:15:00,0.01255,0.01267,0.01248,0.01257,2045600.0
OBTUSDT,2025-04-25 18:30:00,0.01257,0.01266,0.01252,0.01263,1130200.0
OBTUSDT,2025-04-25 18:45:00,0.01263,0.01268,0.01258,0.01264,529800.0
OBTUSDT,2025-04-25 19:00:00,0.01264,0.01294,0.01263,0.01286,1290200.0
OBTUSDT,2025-04-25 19:15:00,0.01286,0.01321,0.01285,0.01303,2763500.0
OBTUSDT,2025-04-25 19:30:00,0.01303,0.01307,0.01297,0.01302,338200.0
OBTUSDT,2025-04-25 19:45:00,0.01302,0.01302,0.01276,0.01295,525900.0
OBTUSDT,2025-04-25 20:00:00,0.01295,0.01304,0.01283,0.01298,724200.0
OBTUSDT,2025-04-25 20:15:00,0.01298,0.01298,0.01276,0.01278,641700.0
OBTUSDT,2025-04-25 20:30:00,0.01278,0.01302,0.01272,0.01299,1311400.0
OBTUSDT,2025-04-25 20:45:00,0.01299,0.01303,0.0129,0.01294,494600.0
OBTUSDT,2025-04-25 21:00:00,0.01294,0.01296,0.01285,0.01288,782300.0
OBTUSDT,2025-04-25 21:15:00,0.01288,0.01292,0.01282,0.01283,433200.0
OBTUSDT,2025-04-25 21:30:00,0.01283,0.01287,0.01273,0.01276,678200.0
OBTUSDT,2025-04-25 21:45:00,0.01276,0.01281,0.01263,0.01263,1198000.0
OBTUSDT,2025-04-25 22:00:00,0.01263,0.01279,0.01262,0.01272,1561200.0
OBTUSDT,2025-04-25 22:15:00,0.01272,0.01277,0.01267,0.01269,605600.0
OBTUSDT,2025-04-25 22:30:00,0.01269,0.01276,0.01269,0.01276,278500.0
OBTUSDT,2025-04-25 22:45:00,0.01276,0.01276,0.01272,0.01274,191100.0
OBTUSDT,2025-04-25 23:00:00,0.01274,0.01274,0.01253,0.0127,866700.0
OBTUSDT,2025-04-25 23:15:00,0.0127,0.0131,0.01262,0.01284,11594500.0
OBTUSDT,2025-04-25 23:30:00,0.01284,0.01287,0.01267,0.0128,2013300.0
OBTUSDT,2025-04-25 23:45:00,0.0128,0.01293,0.01263,0.0127,10595300.0
OBTUSDT,2025-04-26 00:00:00,0.0127,0.01276,0.01266,0.0127,457100.0
OBTUSDT,2025-04-26 00:15:00,0.0127,0.01275,0.01268,0.01271,425500.0
OBTUSDT,2025-04-26 00:30:00,0.01271,0.01272,0.01265,0.0127,232700.0
