symbol,timestamp,open,high,low,close,volume
OGUSDT,2025-04-26 14:40:00,4.1287,4.1339,4.1219,4.1295,308.0
OGUSDT,2025-04-26 14:45:00,4.1295,4.1372,4.1237,4.1246,249.7
OGUSDT,2025-04-26 14:50:00,4.1246,4.1305,4.1215,4.128,322.1
OGUSDT,2025-04-26 14:55:00,4.128,4.1298,4.1175,4.1243,206.9
OGUSDT,2025-04-26 15:00:00,4.1243,4.1311,4.1184,4.1257,280.4
OGUSDT,2025-04-26 15:05:00,4.1257,4.1336,4.1244,4.1311,366.8
OGUSDT,2025-04-26 15:10:00,4.1311,4.1477,4.1183,4.1466,448.6
OGUSDT,2025-04-26 15:15:00,4.1466,4.152,4.1335,4.1376,714.9
OGUSDT,2025-04-26 15:20:00,4.1376,4.1439,4.1376,4.1417,301.2
OGUSDT,2025-04-26 15:25:00,4.1417,4.153,4.134,4.1466,367.4
OGUSDT,2025-04-26 15:30:00,4.1466,4.1527,4.1464,4.1505,202.6
OGUSDT,2025-04-26 15:35:00,4.1505,4.1505,4.1437,4.1483,256.6
OGUSDT,2025-04-26 15:40:00,4.1483,4.1502,4.1432,4.1432,260.8
OGUSDT,2025-04-26 15:45:00,4.1432,4.148,4.1396,4.1474,174.0
OGUSDT,2025-04-26 15:50:00,4.1474,4.1526,4.1356,4.1436,220.4
OGUSDT,2025-04-26 15:55:00,4.1436,4.1509,4.1409,4.1414,274.9
OGUSDT,2025-04-26 16:00:00,4.1414,4.1527,4.1382,4.1527,296.2
OGUSDT,2025-04-26 16:05:00,4.1527,4.1528,4.1443,4.1443,248.0
OGUSDT,2025-04-26 16:10:00,4.1443,4.1468,4.1376,4.1451,313.6
OGUSDT,2025-04-26 16:15:00,4.1451,4.1496,4.1417,4.1448,227.6
OGUSDT,2025-04-26 16:20:00,4.1448,4.1621,4.1403,4.151,689.9
OGUSDT,2025-04-26 16:25:00,4.151,4.1545,4.1474,4.1541,447.7
OGUSDT,2025-04-26 16:30:00,4.1541,4.1541,4.1397,4.1446,320.7
OGUSDT,2025-04-26 16:35:00,4.1446,4.1448,4.1373,4.1424,292.1
OGUSDT,2025-04-26 16:40:00,4.1424,4.1447,4.14,4.14,318.9
OGUSDT,2025-04-26 16:45:00,4.14,4.1434,4.1387,4.1389,280.5
OGUSDT,2025-04-26 16:50:00,4.1389,4.1441,4.1292,4.1338,257.2
OGUSDT,2025-04-26 16:55:00,4.1338,4.1413,4.1314,4.1357,255.4
OGUSDT,2025-04-26 17:00:00,4.1357,4.146,4.1357,4.1408,254.5
OGUSDT,2025-04-26 17:05:00,4.1408,4.1435,4.1364,4.1407,179.3
OGUSDT,2025-04-26 17:10:00,4.1407,4.1439,4.1352,4.1359,222.0
OGUSDT,2025-04-26 17:15:00,4.1359,4.1422,4.1359,4.1412,450.3
OGUSDT,2025-04-26 17:20:00,4.1412,4.1412,4.1251,4.135,230.7
OGUSDT,2025-04-26 17:25:00,4.135,4.1365,4.1227,4.1262,228.0
OGUSDT,2025-04-26 17:30:00,4.1262,4.1325,4.1262,4.1265,260.8
OGUSDT,2025-04-26 17:35:00,4.1265,4.13,4.1219,4.1267,212.1
OGUSDT,2025-04-26 17:40:00,4.1267,4.1394,4.1267,4.1348,323.9
OGUSDT,2025-04-26 17:45:00,4.1348,4.1398,4.1331,4.1375,261.7
OGUSDT,2025-04-26 17:50:00,4.1375,4.1401,4.1343,4.1344,199.4
OGUSDT,2025-04-26 17:55:00,4.1344,4.1398,4.1344,4.1345,219.3
OGUSDT,2025-04-26 18:00:00,4.1345,4.1446,4.1345,4.1408,283.5
OGUSDT,2025-04-26 18:05:00,4.1408,4.1466,4.1408,4.1425,219.3
OGUSDT,2025-04-26 18:10:00,4.1425,4.1447,4.1329,4.1403,298.4
OGUSDT,2025-04-26 18:15:00,4.1403,4.142,4.1341,4.1381,278.8
OGUSDT,2025-04-26 18:20:00,4.1381,4.1453,4.1348,4.1371,231.3
OGUSDT,2025-04-26 18:25:00,4.1371,4.1444,4.1358,4.1444,267.8
OGUSDT,2025-04-26 18:30:00,4.1444,4.1445,4.1387,4.1405,254.2
OGUSDT,2025-04-26 18:35:00,4.1405,4.1438,4.1397,4.142,224.4
OGUSDT,2025-04-26 18:40:00,4.142,4.146,4.1379,4.1448,281.9
OGUSDT,2025-04-26 18:45:00,4.1448,4.1451,4.139,4.1391,306.7
OGUSDT,2025-04-26 18:50:00,4.1391,4.1446,4.1375,4.1375,330.8
OGUSDT,2025-04-26 18:55:00,4.1375,4.14,4.1271,4.1298,340.5
OGUSDT,2025-04-26 19:00:00,4.1298,4.1366,4.1298,4.1364,217.1
OGUSDT,2025-04-26 19:05:00,4.1364,4.1364,4.13,4.1303,275.2
OGUSDT,2025-04-26 19:10:00,4.1303,4.1337,4.1285,4.1293,234.9
OGUSDT,2025-04-26 19:15:00,4.1293,4.1377,4.1282,4.134,337.2
OGUSDT,2025-04-26 19:20:00,4.134,4.1419,4.134,4.1414,384.9
OGUSDT,2025-04-26 19:25:00,4.1414,4.149,4.1373,4.1483,330.7
OGUSDT,2025-04-26 19:30:00,4.1483,4.1492,4.1429,4.1434,324.0
OGUSDT,2025-04-26 19:35:00,4.1434,4.1481,4.1381,4.1455,293.2
OGUSDT,2025-04-26 19:40:00,4.1455,4.1461,4.1412,4.1451,256.6
OGUSDT,2025-04-26 19:45:00,4.1451,4.151,4.1369,4.1369,413.7
OGUSDT,2025-04-26 19:50:00,4.1369,4.1491,4.1369,4.1438,354.6
OGUSDT,2025-04-26 19:55:00,4.1438,4.1529,4.1432,4.1529,338.3
OGUSDT,2025-04-26 20:00:00,4.1529,4.156,4.139,4.1476,254.3
OGUSDT,2025-04-26 20:05:00,4.1476,4.1571,4.1447,4.1497,240.4
OGUSDT,2025-04-26 20:10:00,4.1497,4.1542,4.1442,4.1532,248.2
OGUSDT,2025-04-26 20:15:00,4.1532,4.1541,4.1489,4.1527,319.9
OGUSDT,2025-04-26 20:20:00,4.1527,4.1559,4.1416,4.1481,264.8
OGUSDT,2025-04-26 20:25:00,4.1481,4.1575,4.1481,4.155,248.5
OGUSDT,2025-04-26 20:30:00,4.155,4.1571,4.1443,4.154,262.9
OGUSDT,2025-04-26 20:35:00,4.154,4.157,4.1483,4.1529,312.6
OGUSDT,2025-04-26 20:40:00,4.1529,4.1543,4.1431,4.1517,233.9
OGUSDT,2025-04-26 20:45:00,4.1517,4.1543,4.1505,4.1542,354.4
OGUSDT,2025-04-26 20:50:00,4.1542,4.1542,4.142,4.1484,216.8
OGUSDT,2025-04-26 20:55:00,4.1484,4.154,4.144,4.1527,257.5
OGUSDT,2025-04-26 21:00:00,4.1527,4.1542,4.1413,4.152,236.0
OGUSDT,2025-04-26 21:05:00,4.152,4.159,4.1454,4.1454,228.7
OGUSDT,2025-04-26 21:10:00,4.1454,4.1571,4.1454,4.154,214.7
OGUSDT,2025-04-26 21:15:00,4.154,4.1557,4.1458,4.1527,251.8
OGUSDT,2025-04-26 21:20:00,4.1527,4.1527,4.1404,4.1442,244.6
OGUSDT,2025-04-26 21:25:00,4.1442,4.167,4.141,4.166,789.7
