symbol,timestamp,open,high,low,close,volume
ONTUSDT,2025-04-25 16:30:00,0.159,0.16,0.1589,0.16,13082.8
ONTUSDT,2025-04-25 16:45:00,0.16,0.1601,0.1597,0.1598,9364.6
ONTUSDT,2025-04-25 17:00:00,0.1598,0.1602,0.1597,0.1601,7199.9
ONTUSDT,2025-04-25 17:15:00,0.1601,0.1603,0.16,0.16,6235.0
ONTUSDT,2025-04-25 17:30:00,0.16,0.16,0.1585,0.1589,11565.6
ONTUSDT,2025-04-25 17:45:00,0.1589,0.1589,0.1582,0.1583,8296.0
ONTUSDT,2025-04-25 18:00:00,0.1583,0.1594,0.1583,0.1593,13158.8
ONTUSDT,2025-04-25 18:15:00,0.1593,0.1597,0.1591,0.1596,15549.3
ONTUSDT,2025-04-25 18:30:00,0.1596,0.16,0.1595,0.1598,9663.6
ONTUSDT,2025-04-25 18:45:00,0.1598,0.1598,0.1585,0.1585,9416.6
ONTUSDT,2025-04-25 19:00:00,0.1585,0.159,0.1582,0.1582,13554.2
ONTUSDT,2025-04-25 19:15:00,0.1582,0.1589,0.1582,0.1589,7333.2
ONTUSDT,2025-04-25 19:30:00,0.1589,0.1592,0.1589,0.159,9744.2
ONTUSDT,2025-04-25 19:45:00,0.159,0.1593,0.159,0.1593,10556.1
ONTUSDT,2025-04-25 20:00:00,0.1593,0.1595,0.1592,0.1593,11897.2
ONTUSDT,2025-04-25 20:15:00,0.1593,0.1594,0.1588,0.159,12126.2
ONTUSDT,2025-04-25 20:30:00,0.159,0.1591,0.1589,0.159,7026.9
ONTUSDT,2025-04-25 20:45:00,0.159,0.1594,0.159,0.1592,9214.5
ONTUSDT,2025-04-25 21:00:00,0.1592,0.1597,0.1591,0.1593,12618.9
ONTUSDT,2025-04-25 21:15:00,0.1593,0.1593,0.1587,0.1587,13714.9
ONTUSDT,2025-04-25 21:30:00,0.1587,0.1593,0.1587,0.1588,21490.1
ONTUSDT,2025-04-25 21:45:00,0.1588,0.1588,0.1581,0.1585,10789.0
ONTUSDT,2025-04-25 22:00:00,0.1585,0.1598,0.1584,0.1598,6300.5
ONTUSDT,2025-04-25 22:15:00,0.1598,0.1601,0.1597,0.16,4508.5
ONTUSDT,2025-04-25 22:30:00,0.16,0.1602,0.1599,0.1599,4406.1
ONTUSDT,2025-04-25 22:45:00,0.1599,0.16,0.1597,0.16,15912.1
ONTUSDT,2025-04-25 23:00:00,0.16,0.1601,0.1596,0.1599,13980.1
ONTUSDT,2025-04-25 23:15:00,0.1599,0.1599,0.1595,0.1599,13983.3
ONTUSDT,2025-04-25 23:30:00,0.1599,0.1599,0.1595,0.1596,10023.5
ONTUSDT,2025-04-25 23:45:00,0.1596,0.16,0.1596,0.1599,10128.7
ONTUSDT,2025-04-26 00:00:00,0.1599,0.1603,0.1598,0.1602,8382.5
ONTUSDT,2025-04-26 00:15:00,0.1602,0.1607,0.1599,0.1604,9761.9
ONTUSDT,2025-04-26 00:30:00,0.1604,0.1606,0.1602,0.1605,11804.3
ONTUSDT,2025-04-26 00:45:00,0.1605,0.1615,0.1605,0.1615,16079.1
ONTUSDT,2025-04-26 01:00:00,0.1615,0.1618,0.1611,0.1617,7912.9
ONTUSDT,2025-04-26 01:15:00,0.1617,0.1628,0.1617,0.1625,7052.3
ONTUSDT,2025-04-26 01:30:00,0.1625,0.1646,0.1625,0.1636,21676.7
ONTUSDT,2025-04-26 01:45:00,0.1636,0.1637,0.1632,0.1637,6945.3
ONTUSDT,2025-04-26 02:00:00,0.1637,0.1639,0.1633,0.1633,8458.2
ONTUSDT,2025-04-26 02:15:00,0.1633,0.1636,0.1631,0.1633,11832.1
ONTUSDT,2025-04-26 02:30:00,0.1633,0.1641,0.1633,0.1639,14693.1
ONTUSDT,2025-04-26 02:45:00,0.1639,0.1643,0.1637,0.1638,7746.9
ONTUSDT,2025-04-26 03:00:00,0.1638,0.1641,0.1634,0.1635,6769.8
ONTUSDT,2025-04-26 03:15:00,0.1635,0.1636,0.1628,0.163,9642.1
ONTUSDT,2025-04-26 03:30:00,0.163,0.1637,0.163,0.1637,6887.3
ONTUSDT,2025-04-26 03:45:00,0.1637,0.1639,0.1633,0.1636,11206.5
ONTUSDT,2025-04-26 04:00:00,0.1636,0.1638,0.1632,0.1637,9527.4
ONTUSDT,2025-04-26 04:15:00,0.1637,0.1638,0.1631,0.1631,14702.7
ONTUSDT,2025-04-26 04:30:00,0.1631,0.1631,0.1622,0.1624,7071.4
ONTUSDT,2025-04-26 04:45:00,0.1624,0.1627,0.1624,0.1625,11472.2
ONTUSDT,2025-04-26 05:00:00,0.1625,0.1629,0.1619,0.1621,8878.5
ONTUSDT,2025-04-26 05:15:00,0.1621,0.1625,0.1619,0.1625,12829.2
ONTUSDT,2025-04-26 05:30:00,0.1625,0.1626,0.1623,0.1626,13098.7
ONTUSDT,2025-04-26 05:45:00,0.1626,0.1629,0.1625,0.1625,11208.2
ONTUSDT,2025-04-26 06:00:00,0.1625,0.163,0.1625,0.163,13375.5
ONTUSDT,2025-04-26 06:15:00,0.163,0.1632,0.1627,0.1628,15692.5
ONTUSDT,2025-04-26 06:30:00,0.1628,0.1632,0.1628,0.1629,13838.3
ONTUSDT,2025-04-26 06:45:00,0.1629,0.1633,0.1627,0.1633,10401.0
ONTUSDT,2025-04-26 07:00:00,0.1633,0.1637,0.1632,0.1637,10732.4
ONTUSDT,2025-04-26 07:15:00,0.1637,0.164,0.1634,0.1635,11049.2
ONTUSDT,2025-04-26 07:30:00,0.1635,0.1635,0.1633,0.1635,10230.1
ONTUSDT,2025-04-26 07:45:00,0.1635,0.1635,0.1626,0.1626,8349.6
ONTUSDT,2025-04-26 08:00:00,0.1626,0.1626,0.1617,0.162,5783.4
ONTUSDT,2025-04-26 08:15:00,0.162,0.1632,0.162,0.1631,5079.6
ONTUSDT,2025-04-26 08:30:00,0.1631,0.1631,0.1613,0.1616,7365.2
ONTUSDT,2025-04-26 08:45:00,0.1616,0.1616,0.1606,0.1611,9667.4
ONTUSDT,2025-04-26 09:00:00,0.1611,0.1611,0.1601,0.1605,17495.5
ONTUSDT,2025-04-26 09:15:00,0.1605,0.1606,0.1598,0.16,10912.3
ONTUSDT,2025-04-26 09:30:00,0.16,0.16,0.1592,0.1592,16283.0
ONTUSDT,2025-04-26 09:45:00,0.1592,0.1596,0.1592,0.1596,18644.6
ONTUSDT,2025-04-26 10:00:00,0.1596,0.1604,0.1596,0.1602,15233.1
ONTUSDT,2025-04-26 10:15:00,0.1602,0.1606,0.1601,0.1603,13750.8
ONTUSDT,2025-04-26 10:30:00,0.1603,0.1608,0.1602,0.1606,15107.2
ONTUSDT,2025-04-26 10:45:00,0.1606,0.1607,0.1599,0.1599,10479.1
ONTUSDT,2025-04-26 11:00:00,0.1599,0.1607,0.1599,0.1601,8303.2
ONTUSDT,2025-04-26 11:15:00,0.1601,0.1603,0.1595,0.1596,6255.3
ONTUSDT,2025-04-26 11:30:00,0.1596,0.16,0.159,0.1591,6301.3
ONTUSDT,2025-04-26 11:45:00,0.1591,0.1593,0.1583,0.1584,11064.9
ONTUSDT,2025-04-26 12:00:00,0.1584,0.1597,0.1584,0.1597,16479.4
ONTUSDT,2025-04-26 12:15:00,0.1597,0.16,0.1593,0.1598,8439.3
ONTUSDT,2025-04-26 12:30:00,0.1598,0.1599,0.1593,0.1596,15816.1
ONTUSDT,2025-04-26 12:45:00,0.1596,0.1597,0.1593,0.1595,11667.2
ONTUSDT,2025-04-26 13:00:00,0.1595,0.1597,0.1593,0.1595,12720.1
ONTUSDT,2025-04-26 13:15:00,0.1595,0.1597,0.1585,0.1585,14892.3
ONTUSDT,2025-04-26 13:30:00,0.1585,0.1589,0.1577,0.1585,10220.0
ONTUSDT,2025-04-26 13:45:00,0.1585,0.1588,0.1575,0.1588,7779.3
ONTUSDT,2025-04-26 14:00:00,0.1588,0.1591,0.1585,0.159,7284.4
ONTUSDT,2025-04-26 14:15:00,0.159,0.1595,0.1584,0.1595,10318.8
ONTUSDT,2025-04-26 14:30:00,0.1595,0.1601,0.1595,0.1599,8780.4
ONTUSDT,2025-04-26 14:45:00,0.1599,0.16,0.1595,0.1595,12384.1
ONTUSDT,2025-04-26 15:00:00,0.1595,0.1601,0.1595,0.1598,17036.0
