symbol,timestamp,open,high,low,close,volume
OPUSDT,2025-04-25 16:30:00,0.8063,0.8119,0.8039,0.8114,19656.9
OPUSDT,2025-04-25 16:45:00,0.8114,0.8114,0.805,0.8063,15465.4
OPUSDT,2025-04-25 17:00:00,0.8063,0.8092,0.8055,0.8078,6801.7
OPUSDT,2025-04-25 17:15:00,0.8078,0.8104,0.8063,0.8077,11536.4
OPUSDT,2025-04-25 17:30:00,0.8077,0.8077,0.7994,0.8014,10117.8
OPUSDT,2025-04-25 17:45:00,0.8014,0.8028,0.798,0.8001,17801.1
OPUSDT,2025-04-25 18:00:00,0.8001,0.8047,0.8,0.8038,8652.4
OPUSDT,2025-04-25 18:15:00,0.8038,0.8081,0.8025,0.8071,4519.9
OPUSDT,2025-04-25 18:30:00,0.8071,0.8086,0.8048,0.8073,19694.0
OPUSDT,2025-04-25 18:45:00,0.8073,0.8078,0.8047,0.8051,5484.3
OPUSDT,2025-04-25 19:00:00,0.8051,0.8052,0.8013,0.8015,29229.6
OPUSDT,2025-04-25 19:15:00,0.8015,0.8045,0.8015,0.8034,4236.4
OPUSDT,2025-04-25 19:30:00,0.8034,0.8044,0.7998,0.8037,67631.2
OPUSDT,2025-04-25 19:45:00,0.8037,0.807,0.8023,0.807,6913.5
OPUSDT,2025-04-25 20:00:00,0.807,0.8092,0.8054,0.8079,12482.4
OPUSDT,2025-04-25 20:15:00,0.8079,0.8123,0.8073,0.8085,3223.8
OPUSDT,2025-04-25 20:30:00,0.8085,0.8121,0.8084,0.8101,3869.6
OPUSDT,2025-04-25 20:45:00,0.8101,0.815,0.8101,0.8118,37823.2
OPUSDT,2025-04-25 21:00:00,0.8118,0.8201,0.8116,0.8197,20638.1
OPUSDT,2025-04-25 21:15:00,0.8197,0.8197,0.8153,0.8154,12561.0
OPUSDT,2025-04-25 21:30:00,0.8154,0.8178,0.8136,0.8157,12265.0
OPUSDT,2025-04-25 21:45:00,0.8157,0.8158,0.8081,0.8091,14655.4
OPUSDT,2025-04-25 22:00:00,0.8091,0.8129,0.8091,0.8116,3893.4
OPUSDT,2025-04-25 22:15:00,0.8116,0.817,0.8103,0.8162,5426.2
OPUSDT,2025-04-25 22:30:00,0.8162,0.8208,0.8159,0.8187,23477.2
OPUSDT,2025-04-25 22:45:00,0.8187,0.8194,0.8172,0.8182,46716.6
OPUSDT,2025-04-25 23:00:00,0.8182,0.8186,0.8135,0.8135,5308.6
OPUSDT,2025-04-25 23:15:00,0.8135,0.8135,0.8096,0.8121,18568.5
OPUSDT,2025-04-25 23:30:00,0.8121,0.8121,0.8088,0.8094,18842.1
OPUSDT,2025-04-25 23:45:00,0.8094,0.8095,0.806,0.8077,16204.9
OPUSDT,2025-04-26 00:00:00,0.8077,0.8119,0.8072,0.8109,14785.8
OPUSDT,2025-04-26 00:15:00,0.8109,0.8167,0.8097,0.8146,3043.5
OPUSDT,2025-04-26 00:30:00,0.8146,0.816,0.8117,0.8156,13880.8
OPUSDT,2025-04-26 00:45:00,0.8156,0.8214,0.8156,0.82,17819.3
OPUSDT,2025-04-26 01:00:00,0.82,0.8214,0.8181,0.8195,11273.4
OPUSDT,2025-04-26 01:15:00,0.8195,0.8324,0.8188,0.8321,118596.3
OPUSDT,2025-04-26 01:30:00,0.8321,0.8415,0.8313,0.8396,90453.7
OPUSDT,2025-04-26 01:45:00,0.8396,0.8417,0.8352,0.84,26705.0
OPUSDT,2025-04-26 02:00:00,0.84,0.8414,0.8353,0.8373,10283.1
OPUSDT,2025-04-26 02:15:00,0.8373,0.8389,0.834,0.8344,31508.1
OPUSDT,2025-04-26 02:30:00,0.8344,0.8415,0.8338,0.8391,54309.3
OPUSDT,2025-04-26 02:45:00,0.8391,0.8391,0.8352,0.8366,46549.3
OPUSDT,2025-04-26 03:00:00,0.8366,0.8391,0.8322,0.8365,49926.7
OPUSDT,2025-04-26 03:15:00,0.8365,0.8369,0.8291,0.8299,14973.6
OPUSDT,2025-04-26 03:30:00,0.8299,0.8332,0.8293,0.8332,9449.9
OPUSDT,2025-04-26 03:45:00,0.8332,0.8348,0.8292,0.8306,10805.8
OPUSDT,2025-04-26 04:00:00,0.8306,0.8313,0.8272,0.8297,9563.1
