symbol,timestamp,open,high,low,close,volume
ORDIUSDT,2025-04-26 14:40:00,8.707,8.72,8.686,8.697,2385.0
ORDIUSDT,2025-04-26 14:45:00,8.697,8.742,8.685,8.722,655.17
ORDIUSDT,2025-04-26 14:50:00,8.722,8.722,8.692,8.704,1177.84
ORDIUSDT,2025-04-26 14:55:00,8.704,8.73,8.699,8.718,1054.64
ORDIUSDT,2025-04-26 15:00:00,8.718,8.743,8.718,8.734,2085.32
ORDIUSDT,2025-04-26 15:05:00,8.734,8.734,8.699,8.703,2653.04
ORDIUSDT,2025-04-26 15:10:00,8.703,8.703,8.645,8.646,3607.52
ORDIUSDT,2025-04-26 15:15:00,8.646,8.69,8.644,8.662,6687.01
ORDIUSDT,2025-04-26 15:20:00,8.662,8.684,8.662,8.68,1402.35
ORDIUSDT,2025-04-26 15:25:00,8.68,8.736,8.678,8.73,2438.35
ORDIUSDT,2025-04-26 15:30:00,8.73,8.76,8.715,8.736,1464.85
ORDIUSDT,2025-04-26 15:35:00,8.736,8.761,8.736,8.746,1695.25
ORDIUSDT,2025-04-26 15:40:00,8.746,8.761,8.737,8.746,940.58
ORDIUSDT,2025-04-26 15:45:00,8.746,8.785,8.746,8.781,4254.87
ORDIUSDT,2025-04-26 15:50:00,8.781,8.814,8.781,8.809,1621.39
ORDIUSDT,2025-04-26 15:55:00,8.809,8.827,8.798,8.801,1553.2
ORDIUSDT,2025-04-26 16:00:00,8.801,8.845,8.777,8.825,5575.1
ORDIUSDT,2025-04-26 16:05:00,8.825,8.856,8.817,8.822,2275.9
ORDIUSDT,2025-04-26 16:10:00,8.822,8.92,8.822,8.92,5677.1
ORDIUSDT,2025-04-26 16:15:00,8.92,9.332,8.92,9.185,50261.29
ORDIUSDT,2025-04-26 16:20:00,9.185,9.189,8.933,9.054,18912.59
ORDIUSDT,2025-04-26 16:25:00,9.054,9.067,8.9,8.932,6567.04
ORDIUSDT,2025-04-26 16:30:00,8.932,8.932,8.836,8.889,9376.27
ORDIUSDT,2025-04-26 16:35:00,8.889,8.897,8.798,8.832,9317.69
ORDIUSDT,2025-04-26 16:40:00,8.832,8.832,8.711,8.771,15783.37
ORDIUSDT,2025-04-26 16:45:00,8.771,8.812,8.717,8.806,11609.91
ORDIUSDT,2025-04-26 16:50:00,8.806,8.847,8.794,8.809,5563.93
ORDIUSDT,2025-04-26 16:55:00,8.809,8.81,8.751,8.787,2943.04
ORDIUSDT,2025-04-26 17:00:00,8.787,8.855,8.774,8.809,2759.51
ORDIUSDT,2025-04-26 17:05:00,8.809,8.811,8.743,8.753,2693.94
ORDIUSDT,2025-04-26 17:10:00,8.753,8.753,8.69,8.707,9623.79
ORDIUSDT,2025-04-26 17:15:00,8.707,8.726,8.702,8.714,224.84
ORDIUSDT,2025-04-26 17:20:00,8.714,8.728,8.67,8.7,1213.56
