symbol,timestamp,open,high,low,close,volume
PARTIUSDT,2025-04-25 16:30:00,0.1723,0.1729,0.1715,0.1729,9936.0
PARTIUSDT,2025-04-25 16:45:00,0.1729,0.1729,0.1718,0.1728,21390.0
PARTIUSDT,2025-04-25 17:00:00,0.1728,0.174,0.1728,0.1732,9298.0
PARTIUSDT,2025-04-25 17:15:00,0.1732,0.1734,0.1726,0.1726,15078.0
PARTIUSDT,2025-04-25 17:30:00,0.1726,0.1726,0.1707,0.1713,86543.0
PARTIUSDT,2025-04-25 17:45:00,0.1713,0.1713,0.1703,0.1705,37941.0
PARTIUSDT,2025-04-25 18:00:00,0.1705,0.171,0.1702,0.1707,18777.0
PARTIUSDT,2025-04-25 18:15:00,0.1707,0.1711,0.1706,0.1711,13678.0
PARTIUSDT,2025-04-25 18:30:00,0.1711,0.1712,0.1708,0.1712,17952.0
PARTIUSDT,2025-04-25 18:45:00,0.1712,0.1712,0.1698,0.17,43525.0
PARTIUSDT,2025-04-25 19:00:00,0.17,0.1706,0.1699,0.1699,19537.0
PARTIUSDT,2025-04-25 19:15:00,0.1699,0.1707,0.1699,0.1704,14799.0
PARTIUSDT,2025-04-25 19:30:00,0.1704,0.1705,0.1699,0.1702,8067.0
PARTIUSDT,2025-04-25 19:45:00,0.1702,0.1703,0.1702,0.1702,3439.0
PARTIUSDT,2025-04-25 20:00:00,0.1702,0.1704,0.1692,0.1697,26660.0
PARTIUSDT,2025-04-25 20:15:00,0.1697,0.1699,0.169,0.1694,25595.0
PARTIUSDT,2025-04-25 20:30:00,0.1694,0.1694,0.1689,0.169,25045.0
PARTIUSDT,2025-04-25 20:45:00,0.169,0.1693,0.1689,0.169,20562.0
PARTIUSDT,2025-04-25 21:00:00,0.169,0.1702,0.169,0.1702,16049.0
PARTIUSDT,2025-04-25 21:15:00,0.1702,0.1702,0.1688,0.1692,7465.0
PARTIUSDT,2025-04-25 21:30:00,0.1692,0.1696,0.169,0.1695,16260.0
PARTIUSDT,2025-04-25 21:45:00,0.1695,0.1697,0.1683,0.1686,36513.0
PARTIUSDT,2025-04-25 22:00:00,0.1686,0.1692,0.1685,0.1692,34813.0
PARTIUSDT,2025-04-25 22:15:00,0.1692,0.1698,0.1691,0.1698,11783.0
PARTIUSDT,2025-04-25 22:30:00,0.1698,0.1715,0.1697,0.1709,15358.0
PARTIUSDT,2025-04-25 22:45:00,0.1709,0.1722,0.1709,0.1719,17877.0
PARTIUSDT,2025-04-25 23:00:00,0.1719,0.1719,0.1714,0.1714,70260.0
PARTIUSDT,2025-04-25 23:15:00,0.1714,0.1716,0.1707,0.1713,12006.0
PARTIUSDT,2025-04-25 23:30:00,0.1713,0.1718,0.1708,0.1717,27528.0
PARTIUSDT,2025-04-25 23:45:00,0.1717,0.1724,0.1717,0.1724,20764.0
PARTIUSDT,2025-04-26 00:00:00,0.1724,0.1736,0.1723,0.1726,42931.0
PARTIUSDT,2025-04-26 00:15:00,0.1726,0.1754,0.1722,0.1753,30576.0
PARTIUSDT,2025-04-26 00:30:00,0.1753,0.1762,0.1748,0.1762,13736.0
PARTIUSDT,2025-04-26 00:45:00,0.1762,0.1772,0.1762,0.177,36022.0
PARTIUSDT,2025-04-26 01:00:00,0.177,0.1792,0.1767,0.1777,22145.0
PARTIUSDT,2025-04-26 01:15:00,0.1777,0.1789,0.177,0.1789,10674.0
PARTIUSDT,2025-04-26 01:30:00,0.1789,0.1806,0.1786,0.1792,23772.0
PARTIUSDT,2025-04-26 01:45:00,0.1792,0.1808,0.1789,0.1804,37267.0
PARTIUSDT,2025-04-26 02:00:00,0.1804,0.1804,0.1791,0.1799,32021.0
PARTIUSDT,2025-04-26 02:15:00,0.1799,0.1806,0.1795,0.1799,10389.0
PARTIUSDT,2025-04-26 02:30:00,0.1799,0.1815,0.1794,0.1811,77163.0
PARTIUSDT,2025-04-26 02:45:00,0.1811,0.1814,0.1808,0.1814,13032.0
PARTIUSDT,2025-04-26 03:00:00,0.1814,0.1815,0.1791,0.1795,20113.0
PARTIUSDT,2025-04-26 03:15:00,0.1795,0.1798,0.1784,0.1784,28661.0
PARTIUSDT,2025-04-26 03:30:00,0.1784,0.1795,0.1784,0.1789,18872.0
PARTIUSDT,2025-04-26 03:45:00,0.1789,0.1792,0.1778,0.178,13449.0
PARTIUSDT,2025-04-26 04:00:00,0.178,0.178,0.1768,0.1769,34187.0
PARTIUSDT,2025-04-26 04:15:00,0.1769,0.1773,0.1767,0.1767,11066.0
PARTIUSDT,2025-04-26 04:30:00,0.1767,0.1767,0.1749,0.1753,88462.0
PARTIUSDT,2025-04-26 04:45:00,0.1753,0.1755,0.1748,0.1748,220659.0
PARTIUSDT,2025-04-26 05:00:00,0.1748,0.1751,0.174,0.1742,57615.0
PARTIUSDT,2025-04-26 05:15:00,0.1742,0.1747,0.1735,0.1741,34315.0
PARTIUSDT,2025-04-26 05:30:00,0.1741,0.1749,0.1741,0.1749,44124.0
PARTIUSDT,2025-04-26 05:45:00,0.1749,0.1757,0.1747,0.1748,32684.0
PARTIUSDT,2025-04-26 06:00:00,0.1748,0.177,0.1748,0.1757,49538.0
PARTIUSDT,2025-04-26 06:15:00,0.1757,0.177,0.1757,0.177,12067.0
PARTIUSDT,2025-04-26 06:30:00,0.177,0.177,0.1756,0.1758,49849.0
PARTIUSDT,2025-04-26 06:45:00,0.1758,0.1764,0.1758,0.1759,13743.0
PARTIUSDT,2025-04-26 07:00:00,0.1759,0.1763,0.1753,0.1762,33955.0
PARTIUSDT,2025-04-26 07:15:00,0.1762,0.1762,0.1755,0.1757,25847.0
PARTIUSDT,2025-04-26 07:30:00,0.1757,0.1757,0.1745,0.1752,102108.0
PARTIUSDT,2025-04-26 07:45:00,0.1752,0.1761,0.1752,0.1755,9056.0
PARTIUSDT,2025-04-26 08:00:00,0.1755,0.1759,0.1749,0.1754,17851.0
PARTIUSDT,2025-04-26 08:15:00,0.1754,0.1764,0.1751,0.1764,22826.0
PARTIUSDT,2025-04-26 08:30:00,0.1764,0.1764,0.1741,0.1745,13476.0
PARTIUSDT,2025-04-26 08:45:00,0.1745,0.1746,0.1738,0.174,60565.0
PARTIUSDT,2025-04-26 09:00:00,0.174,0.1742,0.1726,0.1735,109980.0
PARTIUSDT,2025-04-26 09:15:00,0.1735,0.1746,0.1734,0.1737,12433.0
PARTIUSDT,2025-04-26 09:30:00,0.1737,0.1737,0.1715,0.1726,37439.0
PARTIUSDT,2025-04-26 09:45:00,0.1726,0.1728,0.1723,0.1725,14765.0
PARTIUSDT,2025-04-26 10:00:00,0.1725,0.1728,0.1719,0.1719,85292.0
PARTIUSDT,2025-04-26 10:15:00,0.1719,0.1746,0.1718,0.1718,224086.0
PARTIUSDT,2025-04-26 10:30:00,0.1718,0.173,0.1716,0.173,61402.0
PARTIUSDT,2025-04-26 10:45:00,0.173,0.1732,0.172,0.172,27403.0
PARTIUSDT,2025-04-26 11:00:00,0.172,0.173,0.1716,0.1729,53424.0
PARTIUSDT,2025-04-26 11:15:00,0.1729,0.1733,0.1722,0.1729,11396.0
PARTIUSDT,2025-04-26 11:30:00,0.1729,0.1735,0.172,0.1721,65826.0
PARTIUSDT,2025-04-26 11:45:00,0.1721,0.1728,0.1713,0.1716,135060.0
PARTIUSDT,2025-04-26 12:00:00,0.1716,0.1731,0.1716,0.1727,27956.0
PARTIUSDT,2025-04-26 12:15:00,0.1727,0.1732,0.1722,0.1726,9290.0
PARTIUSDT,2025-04-26 12:30:00,0.1726,0.1728,0.1719,0.172,9452.0
PARTIUSDT,2025-04-26 12:45:00,0.172,0.1728,0.1718,0.1722,11285.0
PARTIUSDT,2025-04-26 13:00:00,0.1722,0.1747,0.1719,0.1746,51139.0
PARTIUSDT,2025-04-26 13:15:00,0.1746,0.176,0.1746,0.175,56429.0
PARTIUSDT,2025-04-26 13:30:00,0.175,0.175,0.1727,0.1732,78871.0
PARTIUSDT,2025-04-26 13:45:00,0.1732,0.1742,0.1717,0.1742,69815.0
PARTIUSDT,2025-04-26 14:00:00,0.1742,0.1746,0.1727,0.1739,82816.0
