symbol,timestamp,open,high,low,close,volume
PIPPINUSDT,2025-04-25 16:30:00,0.01889,0.01899,0.01871,0.01884,530672.0
PIPPINUSDT,2025-04-25 16:45:00,0.01884,0.01884,0.01829,0.0185,1131508.0
PIPPINUSDT,2025-04-25 17:00:00,0.0185,0.01897,0.01849,0.01888,668445.0
PIPPINUSDT,2025-04-25 17:15:00,0.01888,0.01903,0.01867,0.01867,537088.0
PIPPINUSDT,2025-04-25 17:30:00,0.01867,0.01867,0.01817,0.01832,1340770.0
PIPPINUSDT,2025-04-25 17:45:00,0.01832,0.01845,0.01806,0.01832,1319416.0
PIPPINUSDT,2025-04-25 18:00:00,0.01832,0.01844,0.01824,0.01844,937038.0
PIPPINUSDT,2025-04-25 18:15:00,0.01844,0.01879,0.01835,0.01873,693490.0
PIPPINUSDT,2025-04-25 18:30:00,0.01873,0.01897,0.01859,0.01876,818418.0
PIPPINUSDT,2025-04-25 18:45:00,0.01876,0.01881,0.0184,0.01853,911911.0
PIPPINUSDT,2025-04-25 19:00:00,0.01853,0.01893,0.0184,0.01877,881765.0
PIPPINUSDT,2025-04-25 19:15:00,0.01877,0.01895,0.01874,0.01894,715098.0
PIPPINUSDT,2025-04-25 19:30:00,0.01894,0.01924,0.01892,0.01906,1272604.0
PIPPINUSDT,2025-04-25 19:45:00,0.01906,0.0193,0.01906,0.01927,486150.0
PIPPINUSDT,2025-04-25 20:00:00,0.01927,0.01927,0.01908,0.01919,557791.0
PIPPINUSDT,2025-04-25 20:15:00,0.01919,0.0193,0.01902,0.01928,592204.0
PIPPINUSDT,2025-04-25 20:30:00,0.01928,0.01929,0.01907,0.01924,456087.0
PIPPINUSDT,2025-04-25 20:45:00,0.01924,0.01931,0.01898,0.01919,686944.0
PIPPINUSDT,2025-04-25 21:00:00,0.01919,0.01955,0.01911,0.01942,1069576.0
PIPPINUSDT,2025-04-25 21:15:00,0.01942,0.01951,0.01936,0.01951,204353.0
PIPPINUSDT,2025-04-25 21:30:00,0.01951,0.02006,0.0195,0.01958,1542579.0
PIPPINUSDT,2025-04-25 21:45:00,0.01958,0.01962,0.01891,0.01899,1988006.0
PIPPINUSDT,2025-04-25 22:00:00,0.01899,0.01943,0.01894,0.01943,526075.0
PIPPINUSDT,2025-04-25 22:15:00,0.01943,0.01975,0.01941,0.0195,507537.0
PIPPINUSDT,2025-04-25 22:30:00,0.0195,0.01966,0.01947,0.01966,826698.0
PIPPINUSDT,2025-04-25 22:45:00,0.01966,0.01974,0.01958,0.01958,354667.0
PIPPINUSDT,2025-04-25 23:00:00,0.01958,0.0196,0.01939,0.01942,394114.0
PIPPINUSDT,2025-04-25 23:15:00,0.01942,0.01945,0.01929,0.01941,344221.0
PIPPINUSDT,2025-04-25 23:30:00,0.01941,0.01958,0.01934,0.01954,615114.0
PIPPINUSDT,2025-04-25 23:45:00,0.01954,0.01959,0.01941,0.01941,347397.0
PIPPINUSDT,2025-04-26 00:00:00,0.01941,0.01942,0.01921,0.01927,1071289.0
PIPPINUSDT,2025-04-26 00:15:00,0.01927,0.01937,0.01919,0.01921,563917.0
PIPPINUSDT,2025-04-26 00:30:00,0.01921,0.01921,0.01889,0.01902,658480.0
PIPPINUSDT,2025-04-26 00:45:00,0.01902,0.01926,0.019,0.01921,424882.0
PIPPINUSDT,2025-04-26 01:00:00,0.01921,0.01958,0.01911,0.01955,357100.0
PIPPINUSDT,2025-04-26 01:15:00,0.01955,0.01983,0.01951,0.01973,765634.0
PIPPINUSDT,2025-04-26 01:30:00,0.01973,0.02031,0.01969,0.02015,1183507.0
PIPPINUSDT,2025-04-26 01:45:00,0.02015,0.02028,0.01992,0.01998,675513.0
PIPPINUSDT,2025-04-26 02:00:00,0.01998,0.01998,0.0198,0.0199,350867.0
PIPPINUSDT,2025-04-26 02:15:00,0.0199,0.02025,0.0199,0.02015,514474.0
PIPPINUSDT,2025-04-26 02:30:00,0.02015,0.02157,0.02015,0.0212,1753952.0
PIPPINUSDT,2025-04-26 02:45:00,0.0212,0.0212,0.02076,0.02085,463087.0
PIPPINUSDT,2025-04-26 03:00:00,0.02085,0.02093,0.02043,0.02092,854232.0
PIPPINUSDT,2025-04-26 03:15:00,0.02092,0.02092,0.02061,0.02063,762794.0
PIPPINUSDT,2025-04-26 03:30:00,0.02063,0.02073,0.0203,0.0204,763131.0
PIPPINUSDT,2025-04-26 03:45:00,0.0204,0.02055,0.02015,0.02036,591586.0
PIPPINUSDT,2025-04-26 04:00:00,0.02036,0.02041,0.02022,0.02022,326913.0
PIPPINUSDT,2025-04-26 04:15:00,0.02022,0.02042,0.02022,0.02033,524408.0
PIPPINUSDT,2025-04-26 04:30:00,0.02033,0.02033,0.01942,0.01959,1067971.0
PIPPINUSDT,2025-04-26 04:45:00,0.01959,0.01961,0.0193,0.0193,583460.0
PIPPINUSDT,2025-04-26 05:00:00,0.0193,0.01943,0.01923,0.01927,404663.0
PIPPINUSDT,2025-04-26 05:15:00,0.01927,0.01933,0.01908,0.01926,358141.0
PIPPINUSDT,2025-04-26 05:30:00,0.01926,0.0195,0.01921,0.0195,414834.0
PIPPINUSDT,2025-04-26 05:45:00,0.0195,0.01992,0.01948,0.01986,2114988.0
PIPPINUSDT,2025-04-26 06:00:00,0.01986,0.01995,0.01983,0.01992,558646.0
PIPPINUSDT,2025-04-26 06:15:00,0.01992,0.02011,0.01988,0.02005,671470.0
PIPPINUSDT,2025-04-26 06:30:00,0.02005,0.02021,0.02001,0.02015,1236388.0
PIPPINUSDT,2025-04-26 06:45:00,0.02015,0.02022,0.01999,0.02011,990441.0
PIPPINUSDT,2025-04-26 07:00:00,0.02011,0.02018,0.02002,0.02018,316959.0
PIPPINUSDT,2025-04-26 07:15:00,0.02018,0.02052,0.02014,0.02048,1055743.0
PIPPINUSDT,2025-04-26 07:30:00,0.02048,0.02059,0.0203,0.02051,450244.0
PIPPINUSDT,2025-04-26 07:45:00,0.02051,0.02087,0.02036,0.0204,903457.0
PIPPINUSDT,2025-04-26 08:00:00,0.0204,0.02048,0.02015,0.02045,1707072.0
PIPPINUSDT,2025-04-26 08:15:00,0.02045,0.02057,0.02003,0.02027,1134779.0
PIPPINUSDT,2025-04-26 08:30:00,0.02027,0.02027,0.01875,0.01931,2649450.0
PIPPINUSDT,2025-04-26 08:45:00,0.01931,0.01969,0.01924,0.01969,708720.0
PIPPINUSDT,2025-04-26 09:00:00,0.01969,0.01998,0.01965,0.01981,845141.0
PIPPINUSDT,2025-04-26 09:15:00,0.01981,0.02015,0.01974,0.01999,473427.0
PIPPINUSDT,2025-04-26 09:30:00,0.01999,0.02002,0.0188,0.01908,2057112.0
PIPPINUSDT,2025-04-26 09:45:00,0.01908,0.01936,0.01892,0.01898,979046.0
PIPPINUSDT,2025-04-26 10:00:00,0.01898,0.01927,0.01892,0.01892,407675.0
PIPPINUSDT,2025-04-26 10:15:00,0.01892,0.0191,0.01892,0.01896,628459.0
PIPPINUSDT,2025-04-26 10:30:00,0.01896,0.01899,0.01824,0.0188,1268210.0
PIPPINUSDT,2025-04-26 10:45:00,0.0188,0.01882,0.01861,0.01871,412647.0
PIPPINUSDT,2025-04-26 11:00:00,0.01871,0.0188,0.01861,0.01871,352104.0
PIPPINUSDT,2025-04-26 11:15:00,0.01871,0.0189,0.01841,0.01855,489112.0
PIPPINUSDT,2025-04-26 11:30:00,0.01855,0.01874,0.01815,0.01827,664165.0
PIPPINUSDT,2025-04-26 11:45:00,0.01827,0.0183,0.01749,0.01793,2902352.0
PIPPINUSDT,2025-04-26 12:00:00,0.01793,0.01809,0.01781,0.01787,1048983.0
PIPPINUSDT,2025-04-26 12:15:00,0.01787,0.01787,0.0176,0.0178,2456062.0
PIPPINUSDT,2025-04-26 12:30:00,0.0178,0.0179,0.01763,0.01775,1864574.0
PIPPINUSDT,2025-04-26 12:45:00,0.01775,0.01811,0.01768,0.01804,1501369.0
PIPPINUSDT,2025-04-26 13:00:00,0.01804,0.01827,0.0179,0.01815,1307699.0
PIPPINUSDT,2025-04-26 13:15:00,0.01815,0.01815,0.01785,0.01791,617694.0
PIPPINUSDT,2025-04-26 13:30:00,0.01791,0.01791,0.0172,0.01727,2159222.0
PIPPINUSDT,2025-04-26 13:45:00,0.01727,0.01744,0.01717,0.01744,1303690.0
PIPPINUSDT,2025-04-26 14:00:00,0.01744,0.01759,0.01741,0.01753,526460.0
PIPPINUSDT,2025-04-26 14:15:00,0.01753,0.01767,0.01733,0.01767,995284.0
PIPPINUSDT,2025-04-26 14:30:00,0.01767,0.018,0.01756,0.0179,1081271.0
PIPPINUSDT,2025-04-26 14:45:00,0.0179,0.01792,0.01759,0.01766,379732.0
PIPPINUSDT,2025-04-26 15:00:00,0.01766,0.01782,0.01753,0.01777,905562.0
PIPPINUSDT,2025-04-26 15:15:00,0.01777,0.01828,0.01775,0.01817,772047.0
PIPPINUSDT,2025-04-26 15:30:00,0.01817,0.01826,0.0181,0.01825,805075.0
PIPPINUSDT,2025-04-26 15:45:00,0.01825,0.01854,0.01817,0.0185,550584.0
PIPPINUSDT,2025-04-26 16:00:00,0.0185,0.01929,0.01849,0.01916,1662344.0
PIPPINUSDT,2025-04-26 16:15:00,0.01916,0.01934,0.01879,0.01879,1723016.0
PIPPINUSDT,2025-04-26 16:30:00,0.01879,0.01879,0.01854,0.01865,805962.0
PIPPINUSDT,2025-04-26 16:45:00,0.01865,0.0187,0.01849,0.0185,416397.0
PIPPINUSDT,2025-04-26 17:00:00,0.0185,0.01865,0.01846,0.01865,526444.0
PIPPINUSDT,2025-04-26 17:15:00,0.01865,0.01903,0.01857,0.01882,642681.0
PIPPINUSDT,2025-04-26 17:30:00,0.01882,0.01899,0.01879,0.01889,196657.0
PIPPINUSDT,2025-04-26 17:45:00,0.01889,0.01889,0.01875,0.01875,221707.0
PIPPINUSDT,2025-04-26 18:00:00,0.01875,0.01878,0.01854,0.01858,222846.0
PIPPINUSDT,2025-04-26 18:15:00,0.01858,0.0187,0.01852,0.01866,207434.0
PIPPINUSDT,2025-04-26 18:30:00,0.01866,0.01867,0.01854,0.01857,113650.0
PIPPINUSDT,2025-04-26 18:45:00,0.01857,0.0187,0.01851,0.01851,139058.0
PIPPINUSDT,2025-04-26 19:00:00,0.01851,0.01864,0.01848,0.01862,153223.0
PIPPINUSDT,2025-04-26 19:15:00,0.01862,0.01866,0.0185,0.01864,356842.0
PIPPINUSDT,2025-04-26 19:30:00,0.01864,0.01884,0.01854,0.01884,125828.0
PIPPINUSDT,2025-04-26 19:45:00,0.01884,0.01885,0.01869,0.01874,238017.0
PIPPINUSDT,2025-04-26 20:00:00,0.01874,0.01888,0.01866,0.01867,183427.0
PIPPINUSDT,2025-04-26 20:15:00,0.01867,0.0189,0.01867,0.01885,121955.0
PIPPINUSDT,2025-04-26 20:30:00,0.01885,0.01885,0.01874,0.01881,252091.0
PIPPINUSDT,2025-04-26 20:45:00,0.01881,0.01884,0.01862,0.01864,290274.0
PIPPINUSDT,2025-04-26 21:00:00,0.01864,0.0187,0.01859,0.01867,279284.0
PIPPINUSDT,2025-04-26 21:15:00,0.01867,0.01874,0.01859,0.01869,110625.0
PIPPINUSDT,2025-04-26 21:30:00,0.01869,0.01882,0.01866,0.01881,119497.0
PIPPINUSDT,2025-04-26 21:45:00,0.01881,0.01929,0.01858,0.01891,2744138.0
PIPPINUSDT,2025-04-26 22:00:00,0.01891,0.01914,0.01881,0.01908,1378858.0
PIPPINUSDT,2025-04-26 22:15:00,0.01908,0.01931,0.01903,0.01921,341055.0
PIPPINUSDT,2025-04-26 22:30:00,0.01921,0.01966,0.01921,0.01957,1469580.0
PIPPINUSDT,2025-04-26 22:45:00,0.01957,0.01957,0.01918,0.01922,947337.0
PIPPINUSDT,2025-04-26 23:00:00,0.01922,0.01928,0.01902,0.01926,595447.0
PIPPINUSDT,2025-04-26 23:15:00,0.01926,0.01969,0.01922,0.01969,349969.0
PIPPINUSDT,2025-04-26 23:30:00,0.01969,0.02001,0.01952,0.01995,574525.0
PIPPINUSDT,2025-04-26 23:45:00,0.01995,0.02008,0.01976,0.01981,426251.0
PIPPINUSDT,2025-04-27 00:00:00,0.01981,0.01983,0.01868,0.01934,1203989.0
PIPPINUSDT,2025-04-27 00:15:00,0.01934,0.01951,0.01907,0.01919,580205.0
PIPPINUSDT,2025-04-27 00:30:00,0.01919,0.0193,0.01874,0.01902,1864390.0
