symbol,timestamp,open,high,low,close,volume
PIUSDT,2025-04-26 14:40:00,0.6453,0.6457,0.6448,0.6448,38624.0
PIUSDT,2025-04-26 14:45:00,0.6448,0.6461,0.6444,0.646,67389.0
PIUSDT,2025-04-26 14:50:00,0.646,0.6462,0.6446,0.6449,51631.0
PIUSDT,2025-04-26 14:55:00,0.6449,0.6461,0.6449,0.6461,14381.0
PIUSDT,2025-04-26 15:00:00,0.6461,0.6473,0.6457,0.6473,59818.0
PIUSDT,2025-04-26 15:05:00,0.6473,0.6482,0.6472,0.6476,44514.0
PIUSDT,2025-04-26 15:10:00,0.6476,0.6476,0.647,0.647,37674.0
PIUSDT,2025-04-26 15:15:00,0.647,0.647,0.6461,0.6461,18187.0
PIUSDT,2025-04-26 15:20:00,0.6461,0.6465,0.6458,0.6465,26368.0
PIUSDT,2025-04-26 15:25:00,0.6465,0.6472,0.6461,0.6468,95995.0
PIUSDT,2025-04-26 15:30:00,0.6468,0.647,0.6455,0.6458,29964.0
PIUSDT,2025-04-26 15:35:00,0.6458,0.6461,0.6452,0.6458,22778.0
PIUSDT,2025-04-26 15:40:00,0.6458,0.6462,0.6457,0.646,22848.0
PIUSDT,2025-04-26 15:45:00,0.646,0.6469,0.6459,0.6468,9950.0
PIUSDT,2025-04-26 15:50:00,0.6468,0.6478,0.6468,0.6474,41062.0
PIUSDT,2025-04-26 15:55:00,0.6474,0.6478,0.6471,0.6476,35114.0
PIUSDT,2025-04-26 16:00:00,0.6476,0.6479,0.6468,0.647,10999.0
PIUSDT,2025-04-26 16:05:00,0.647,0.6474,0.646,0.646,34123.0
PIUSDT,2025-04-26 16:10:00,0.646,0.6471,0.646,0.6467,10266.0
PIUSDT,2025-04-26 16:15:00,0.6467,0.6477,0.6467,0.6477,30050.0
PIUSDT,2025-04-26 16:20:00,0.6477,0.6481,0.6476,0.648,24098.0
PIUSDT,2025-04-26 16:25:00,0.648,0.6486,0.648,0.6486,15701.0
PIUSDT,2025-04-26 16:30:00,0.6486,0.6486,0.6466,0.6472,35668.0
PIUSDT,2025-04-26 16:35:00,0.6472,0.6472,0.6463,0.647,56836.0
PIUSDT,2025-04-26 16:40:00,0.647,0.647,0.6459,0.646,9679.0
PIUSDT,2025-04-26 16:45:00,0.646,0.6477,0.6459,0.6474,40491.0
PIUSDT,2025-04-26 16:50:00,0.6474,0.6478,0.6466,0.6471,90804.0
PIUSDT,2025-04-26 16:55:00,0.6471,0.6477,0.6466,0.647,107740.0
PIUSDT,2025-04-26 17:00:00,0.647,0.6472,0.6457,0.6464,48364.0
PIUSDT,2025-04-26 17:05:00,0.6464,0.6465,0.6461,0.6462,8063.0
PIUSDT,2025-04-26 17:10:00,0.6462,0.6465,0.6446,0.6457,74676.0
PIUSDT,2025-04-26 17:15:00,0.6457,0.6465,0.6456,0.6462,40947.0
PIUSDT,2025-04-26 17:20:00,0.6462,0.6467,0.6458,0.6464,22403.0
PIUSDT,2025-04-26 17:25:00,0.6464,0.6472,0.6463,0.6466,14891.0
PIUSDT,2025-04-26 17:30:00,0.6466,0.6473,0.6466,0.6473,10670.0
PIUSDT,2025-04-26 17:35:00,0.6473,0.6475,0.647,0.6471,3140.0
PIUSDT,2025-04-26 17:40:00,0.6471,0.6478,0.6471,0.6478,18920.0
PIUSDT,2025-04-26 17:45:00,0.6478,0.6481,0.6476,0.6478,40814.0
PIUSDT,2025-04-26 17:50:00,0.6478,0.6481,0.6474,0.6481,12338.0
PIUSDT,2025-04-26 17:55:00,0.6481,0.6485,0.6479,0.6483,23122.0
PIUSDT,2025-04-26 18:00:00,0.6483,0.6485,0.648,0.6484,35013.0
PIUSDT,2025-04-26 18:05:00,0.6484,0.6494,0.6484,0.649,27191.0
PIUSDT,2025-04-26 18:10:00,0.649,0.6491,0.6476,0.6476,47688.0
PIUSDT,2025-04-26 18:15:00,0.6476,0.6481,0.6475,0.6481,9904.0
PIUSDT,2025-04-26 18:20:00,0.6481,0.6483,0.648,0.6482,9517.0
PIUSDT,2025-04-26 18:25:00,0.6482,0.6488,0.6482,0.6482,12012.0
PIUSDT,2025-04-26 18:30:00,0.6482,0.6485,0.6482,0.6485,3165.0
PIUSDT,2025-04-26 18:35:00,0.6485,0.6486,0.648,0.6481,11089.0
PIUSDT,2025-04-26 18:40:00,0.6481,0.6481,0.6471,0.6471,5400.0
PIUSDT,2025-04-26 18:45:00,0.6471,0.6473,0.647,0.647,11341.0
