symbol,timestamp,open,high,low,close,volume
PLUMEUSDT,2025-04-26 14:40:00,0.1674,0.1679,0.1674,0.1676,5790.0
PLUMEUSDT,2025-04-26 14:45:00,0.1676,0.1692,0.1676,0.1691,32740.0
PLUMEUSDT,2025-04-26 14:50:00,0.1691,0.1691,0.1682,0.1682,4360.0
PLUMEUSDT,2025-04-26 14:55:00,0.1682,0.1682,0.1678,0.1679,18240.0
PLUMEUSDT,2025-04-26 15:00:00,0.1679,0.1682,0.1678,0.168,5890.0
PLUMEUSDT,2025-04-26 15:05:00,0.168,0.1682,0.1671,0.1675,189250.0
PLUMEUSDT,2025-04-26 15:10:00,0.1675,0.1675,0.1667,0.1672,69010.0
PLUMEUSDT,2025-04-26 15:15:00,0.1672,0.1678,0.1671,0.1674,10930.0
PLUMEUSDT,2025-04-26 15:20:00,0.1674,0.1675,0.1672,0.1674,5900.0
PLUMEUSDT,2025-04-26 15:25:00,0.1674,0.1677,0.1674,0.1677,6800.0
PLUMEUSDT,2025-04-26 15:30:00,0.1677,0.168,0.1677,0.1678,8310.0
PLUMEUSDT,2025-04-26 15:35:00,0.1678,0.1679,0.1676,0.1679,6620.0
PLUMEUSDT,2025-04-26 15:40:00,0.1679,0.1683,0.1679,0.1681,11010.0
PLUMEUSDT,2025-04-26 15:45:00,0.1681,0.1689,0.1681,0.1689,3820.0
PLUMEUSDT,2025-04-26 15:50:00,0.1689,0.1695,0.1688,0.169,20890.0
PLUMEUSDT,2025-04-26 15:55:00,0.169,0.1696,0.169,0.1694,27250.0
PLUMEUSDT,2025-04-26 16:00:00,0.1694,0.1694,0.1687,0.1687,5260.0
PLUMEUSDT,2025-04-26 16:05:00,0.1687,0.1695,0.1687,0.1695,12480.0
PLUMEUSDT,2025-04-26 16:10:00,0.1695,0.1695,0.1692,0.1692,2900.0
PLUMEUSDT,2025-04-26 16:15:00,0.1692,0.1694,0.1689,0.1691,4410.0
PLUMEUSDT,2025-04-26 16:20:00,0.1691,0.17,0.1691,0.17,5360.0
PLUMEUSDT,2025-04-26 16:25:00,0.17,0.17,0.1698,0.17,5160.0
PLUMEUSDT,2025-04-26 16:30:00,0.17,0.17,0.169,0.169,3040.0
PLUMEUSDT,2025-04-26 16:35:00,0.169,0.169,0.1683,0.1686,4610.0
PLUMEUSDT,2025-04-26 16:40:00,0.1686,0.1686,0.1682,0.1683,8100.0
PLUMEUSDT,2025-04-26 16:45:00,0.1683,0.1686,0.1682,0.1686,3520.0
PLUMEUSDT,2025-04-26 16:50:00,0.1686,0.1686,0.1681,0.1684,63690.0
PLUMEUSDT,2025-04-26 16:55:00,0.1684,0.1685,0.1682,0.1683,3260.0
PLUMEUSDT,2025-04-26 17:00:00,0.1683,0.169,0.1683,0.1689,5410.0
PLUMEUSDT,2025-04-26 17:05:00,0.1689,0.1689,0.1687,0.1688,3130.0
PLUMEUSDT,2025-04-26 17:10:00,0.1688,0.1688,0.1684,0.1684,26570.0
PLUMEUSDT,2025-04-26 17:15:00,0.1684,0.1689,0.1684,0.1687,5050.0
PLUMEUSDT,2025-04-26 17:20:00,0.1687,0.1687,0.1684,0.1684,6790.0
PLUMEUSDT,2025-04-26 17:25:00,0.1684,0.1688,0.1684,0.1688,3950.0
PLUMEUSDT,2025-04-26 17:30:00,0.1688,0.1688,0.1686,0.1687,4800.0
PLUMEUSDT,2025-04-26 17:35:00,0.1687,0.1687,0.1685,0.1685,5590.0
PLUMEUSDT,2025-04-26 17:40:00,0.1685,0.1689,0.1685,0.1689,4930.0
PLUMEUSDT,2025-04-26 17:45:00,0.1689,0.1693,0.1689,0.1692,7060.0
PLUMEUSDT,2025-04-26 17:50:00,0.1692,0.1695,0.1686,0.1686,22340.0
PLUMEUSDT,2025-04-26 17:55:00,0.1686,0.1686,0.1678,0.1682,29600.0
PLUMEUSDT,2025-04-26 18:00:00,0.1682,0.1682,0.1675,0.1676,6930.0
PLUMEUSDT,2025-04-26 18:05:00,0.1676,0.1678,0.1676,0.1677,2360.0
PLUMEUSDT,2025-04-26 18:10:00,0.1677,0.1677,0.1671,0.1671,3260.0
PLUMEUSDT,2025-04-26 18:15:00,0.1671,0.1671,0.1666,0.1668,5140.0
PLUMEUSDT,2025-04-26 18:20:00,0.1668,0.1675,0.1668,0.1675,1870.0
PLUMEUSDT,2025-04-26 18:25:00,0.1675,0.168,0.1675,0.1679,2070.0
PLUMEUSDT,2025-04-26 18:30:00,0.1679,0.168,0.1679,0.168,2630.0
PLUMEUSDT,2025-04-26 18:35:00,0.168,0.168,0.1678,0.1678,4690.0
PLUMEUSDT,2025-04-26 18:40:00,0.1678,0.1688,0.1672,0.1685,19950.0
PLUMEUSDT,2025-04-26 18:45:00,0.1685,0.1685,0.1682,0.1685,5800.0
PLUMEUSDT,2025-04-26 18:50:00,0.1685,0.1685,0.1682,0.1682,3110.0
PLUMEUSDT,2025-04-26 18:55:00,0.1682,0.1685,0.1682,0.1683,4790.0
PLUMEUSDT,2025-04-26 19:00:00,0.1683,0.1686,0.1683,0.1686,1030.0
PLUMEUSDT,2025-04-26 19:05:00,0.1686,0.1689,0.1685,0.1687,6420.0
PLUMEUSDT,2025-04-26 19:10:00,0.1687,0.1688,0.1685,0.1688,7890.0
PLUMEUSDT,2025-04-26 19:15:00,0.1688,0.1689,0.1685,0.1688,3350.0
PLUMEUSDT,2025-04-26 19:20:00,0.1688,0.1688,0.1686,0.1687,4470.0
PLUMEUSDT,2025-04-26 19:25:00,0.1687,0.169,0.1687,0.1688,6760.0
PLUMEUSDT,2025-04-26 19:30:00,0.1688,0.1688,0.1686,0.1688,2210.0
PLUMEUSDT,2025-04-26 19:35:00,0.1688,0.1691,0.1688,0.1691,4660.0
PLUMEUSDT,2025-04-26 19:40:00,0.1691,0.1694,0.1691,0.1693,2100.0
PLUMEUSDT,2025-04-26 19:45:00,0.1693,0.1693,0.169,0.1691,4930.0
PLUMEUSDT,2025-04-26 19:50:00,0.1691,0.1692,0.169,0.169,7390.0
PLUMEUSDT,2025-04-26 19:55:00,0.169,0.169,0.1688,0.1688,6590.0
PLUMEUSDT,2025-04-26 20:00:00,0.1688,0.1692,0.1688,0.1692,1640.0
PLUMEUSDT,2025-04-26 20:05:00,0.1692,0.1693,0.169,0.1692,4320.0
PLUMEUSDT,2025-04-26 20:10:00,0.1692,0.1694,0.169,0.169,2510.0
PLUMEUSDT,2025-04-26 20:15:00,0.169,0.1691,0.1688,0.169,6550.0
PLUMEUSDT,2025-04-26 20:20:00,0.169,0.1693,0.169,0.1691,2960.0
PLUMEUSDT,2025-04-26 20:25:00,0.1691,0.1691,0.1688,0.169,7780.0
PLUMEUSDT,2025-04-26 20:30:00,0.169,0.1693,0.169,0.1691,8210.0
PLUMEUSDT,2025-04-26 20:35:00,0.1691,0.1691,0.1688,0.1688,3920.0
PLUMEUSDT,2025-04-26 20:40:00,0.1688,0.169,0.1688,0.1689,2070.0
PLUMEUSDT,2025-04-26 20:45:00,0.1689,0.1689,0.1688,0.1688,2090.0
PLUMEUSDT,2025-04-26 20:50:00,0.1688,0.1688,0.1685,0.1685,6140.0
PLUMEUSDT,2025-04-26 20:55:00,0.1685,0.1685,0.1683,0.1683,5610.0
PLUMEUSDT,2025-04-26 21:00:00,0.1683,0.1687,0.1683,0.1686,3630.0
PLUMEUSDT,2025-04-26 21:05:00,0.1686,0.1687,0.1686,0.1687,3630.0
PLUMEUSDT,2025-04-26 21:10:00,0.1687,0.1689,0.1686,0.1688,4750.0
PLUMEUSDT,2025-04-26 21:15:00,0.1688,0.169,0.1687,0.169,4210.0
PLUMEUSDT,2025-04-26 21:20:00,0.169,0.169,0.1687,0.1689,7690.0
PLUMEUSDT,2025-04-26 21:25:00,0.1689,0.169,0.1686,0.1687,9550.0
PLUMEUSDT,2025-04-26 21:30:00,0.1687,0.169,0.1685,0.1685,6090.0
PLUMEUSDT,2025-04-26 21:35:00,0.1685,0.169,0.1685,0.1685,6430.0
PLUMEUSDT,2025-04-26 21:40:00,0.1685,0.169,0.1684,0.1689,3610.0
PLUMEUSDT,2025-04-26 21:45:00,0.1689,0.169,0.1688,0.1689,5940.0
PLUMEUSDT,2025-04-26 21:50:00,0.1689,0.1689,0.1688,0.1688,5190.0
PLUMEUSDT,2025-04-26 21:55:00,0.1688,0.1688,0.1684,0.1684,4090.0
PLUMEUSDT,2025-04-26 22:00:00,0.1684,0.1687,0.1683,0.1687,4990.0
PLUMEUSDT,2025-04-26 22:05:00,0.1687,0.1692,0.1686,0.1691,8070.0
PLUMEUSDT,2025-04-26 22:10:00,0.1691,0.1692,0.1689,0.1692,8650.0
PLUMEUSDT,2025-04-26 22:15:00,0.1692,0.1698,0.1692,0.1695,17090.0
PLUMEUSDT,2025-04-26 22:20:00,0.1695,0.1695,0.1689,0.1689,2570.0
PLUMEUSDT,2025-04-26 22:25:00,0.1689,0.1696,0.1686,0.1691,19700.0
