symbol,timestamp,open,high,low,close,volume
POPCATUSDT,2025-04-26 14:40:00,0.3877,0.3908,0.3876,0.3908,63157.0
POPCATUSDT,2025-04-26 14:45:00,0.3908,0.3909,0.3891,0.3907,43570.0
POPCATUSDT,2025-04-26 14:50:00,0.3907,0.3909,0.3864,0.388,67471.0
POPCATUSDT,2025-04-26 14:55:00,0.388,0.3892,0.3873,0.3885,41137.0
POPCATUSDT,2025-04-26 15:00:00,0.3885,0.3918,0.3885,0.3918,42619.0
POPCATUSDT,2025-04-26 15:05:00,0.3918,0.394,0.3906,0.394,33518.0
POPCATUSDT,2025-04-26 15:10:00,0.394,0.3944,0.3923,0.3944,15467.0
POPCATUSDT,2025-04-26 15:15:00,0.3944,0.3955,0.3921,0.3921,151997.0
POPCATUSDT,2025-04-26 15:20:00,0.3921,0.3948,0.3918,0.3948,8578.0
POPCATUSDT,2025-04-26 15:25:00,0.3948,0.397,0.3948,0.3969,44080.0
POPCATUSDT,2025-04-26 15:30:00,0.3969,0.3991,0.3955,0.3982,193326.0
POPCATUSDT,2025-04-26 15:35:00,0.3982,0.4003,0.3982,0.3997,57809.0
POPCATUSDT,2025-04-26 15:40:00,0.3997,0.4009,0.3994,0.4004,26555.0
POPCATUSDT,2025-04-26 15:45:00,0.4004,0.4022,0.3962,0.4018,214486.0
POPCATUSDT,2025-04-26 15:50:00,0.4018,0.4026,0.4,0.4022,63851.0
POPCATUSDT,2025-04-26 15:55:00,0.4022,0.4034,0.4004,0.4005,82915.0
POPCATUSDT,2025-04-26 16:00:00,0.4005,0.4021,0.3987,0.4021,228763.0
POPCATUSDT,2025-04-26 16:05:00,0.4021,0.4036,0.4,0.4013,126211.0
POPCATUSDT,2025-04-26 16:10:00,0.4013,0.4013,0.3988,0.3996,95355.0
POPCATUSDT,2025-04-26 16:15:00,0.3996,0.3996,0.3975,0.399,56904.0
POPCATUSDT,2025-04-26 16:20:00,0.399,0.4082,0.3985,0.4071,342638.0
POPCATUSDT,2025-04-26 16:25:00,0.4071,0.4072,0.4031,0.4053,83754.0
POPCATUSDT,2025-04-26 16:30:00,0.4053,0.4053,0.4006,0.4011,56112.0
POPCATUSDT,2025-04-26 16:35:00,0.4011,0.4028,0.4005,0.4019,17602.0
POPCATUSDT,2025-04-26 16:40:00,0.4019,0.4019,0.3959,0.3992,135670.0
POPCATUSDT,2025-04-26 16:45:00,0.3992,0.4014,0.3981,0.4009,96926.0
POPCATUSDT,2025-04-26 16:50:00,0.4009,0.4021,0.3991,0.4014,62506.0
POPCATUSDT,2025-04-26 16:55:00,0.4014,0.4042,0.4014,0.4028,55338.0
POPCATUSDT,2025-04-26 17:00:00,0.4028,0.4054,0.4028,0.4051,47937.0
POPCATUSDT,2025-04-26 17:05:00,0.4051,0.4052,0.4047,0.4047,20551.0
POPCATUSDT,2025-04-26 17:10:00,0.4047,0.4047,0.4016,0.4016,52779.0
POPCATUSDT,2025-04-26 17:15:00,0.4016,0.4042,0.4016,0.4033,12741.0
POPCATUSDT,2025-04-26 17:20:00,0.4033,0.4039,0.4017,0.4034,24501.0
POPCATUSDT,2025-04-26 17:25:00,0.4034,0.4059,0.4026,0.4031,33537.0
POPCATUSDT,2025-04-26 17:30:00,0.4031,0.4034,0.4009,0.4017,73089.0
POPCATUSDT,2025-04-26 17:35:00,0.4017,0.4024,0.4008,0.4019,9264.0
POPCATUSDT,2025-04-26 17:40:00,0.4019,0.402,0.4012,0.402,28704.0
POPCATUSDT,2025-04-26 17:45:00,0.402,0.402,0.3973,0.3991,66137.0
POPCATUSDT,2025-04-26 17:50:00,0.3991,0.4001,0.3971,0.3975,49018.0
POPCATUSDT,2025-04-26 17:55:00,0.3975,0.3985,0.3966,0.3985,9152.0
POPCATUSDT,2025-04-26 18:00:00,0.3985,0.3995,0.398,0.3995,7311.0
POPCATUSDT,2025-04-26 18:05:00,0.3995,0.4007,0.3994,0.4006,11811.0
POPCATUSDT,2025-04-26 18:10:00,0.4006,0.401,0.3994,0.3997,276.0
POPCATUSDT,2025-04-26 18:15:00,0.3997,0.4002,0.3962,0.3965,41391.0
POPCATUSDT,2025-04-26 18:20:00,0.3965,0.3982,0.3965,0.3982,3852.0
POPCATUSDT,2025-04-26 18:25:00,0.3982,0.4023,0.3982,0.4023,7026.0
POPCATUSDT,2025-04-26 18:30:00,0.4023,0.4023,0.4004,0.4004,9402.0
POPCATUSDT,2025-04-26 18:35:00,0.4004,0.4009,0.3991,0.3991,1848.0
POPCATUSDT,2025-04-26 18:40:00,0.3991,0.4,0.3989,0.4,1768.0
POPCATUSDT,2025-04-26 18:45:00,0.4,0.4005,0.3992,0.3992,30319.0
POPCATUSDT,2025-04-26 18:50:00,0.3992,0.3992,0.3983,0.3983,3496.0
POPCATUSDT,2025-04-26 18:55:00,0.3983,0.3988,0.3975,0.398,58228.0
POPCATUSDT,2025-04-26 19:00:00,0.398,0.3996,0.3979,0.3992,37103.0
POPCATUSDT,2025-04-26 19:05:00,0.3992,0.3992,0.3952,0.3956,27647.0
POPCATUSDT,2025-04-26 19:10:00,0.3956,0.3956,0.3926,0.3948,176266.0
POPCATUSDT,2025-04-26 19:15:00,0.3948,0.3954,0.3938,0.3938,61619.0
POPCATUSDT,2025-04-26 19:20:00,0.3938,0.3942,0.3931,0.3931,15823.0
POPCATUSDT,2025-04-26 19:25:00,0.3931,0.3955,0.3931,0.3951,1618.0
POPCATUSDT,2025-04-26 19:30:00,0.3951,0.3966,0.3942,0.3966,47446.0
