symbol,timestamp,open,high,low,close,volume
PRCLUSDT,2025-04-25 16:30:00,0.073,0.0738,0.0727,0.0737,75270.0
PRCLUSDT,2025-04-25 16:45:00,0.0737,0.0738,0.0727,0.0731,124468.0
PRCLUSDT,2025-04-25 17:00:00,0.0731,0.0736,0.0731,0.0733,53377.0
PRCLUSDT,2025-04-25 17:15:00,0.0733,0.0738,0.073,0.0735,100377.0
PRCLUSDT,2025-04-25 17:30:00,0.0735,0.0735,0.0722,0.0728,170128.0
PRCLUSDT,2025-04-25 17:45:00,0.0728,0.0731,0.0723,0.0725,132704.0
PRCLUSDT,2025-04-25 18:00:00,0.0725,0.0731,0.0721,0.0723,125679.0
PRCLUSDT,2025-04-25 18:15:00,0.0723,0.0727,0.0718,0.0726,124453.0
PRCLUSDT,2025-04-25 18:30:00,0.0726,0.0732,0.0725,0.0732,89609.0
PRCLUSDT,2025-04-25 18:45:00,0.0732,0.0733,0.0728,0.0731,67255.0
PRCLUSDT,2025-04-25 19:00:00,0.0731,0.0736,0.0728,0.0732,87586.0
PRCLUSDT,2025-04-25 19:15:00,0.0732,0.0734,0.073,0.0733,69519.0
PRCLUSDT,2025-04-25 19:30:00,0.0733,0.0736,0.073,0.0732,114169.0
PRCLUSDT,2025-04-25 19:45:00,0.0732,0.0738,0.073,0.0736,94970.0
PRCLUSDT,2025-04-25 20:00:00,0.0736,0.0736,0.073,0.0731,57929.0
PRCLUSDT,2025-04-25 20:15:00,0.0731,0.0733,0.0728,0.0732,70593.0
PRCLUSDT,2025-04-25 20:30:00,0.0732,0.0735,0.073,0.073,106414.0
PRCLUSDT,2025-04-25 20:45:00,0.073,0.0735,0.0728,0.0733,91507.0
PRCLUSDT,2025-04-25 21:00:00,0.0733,0.0734,0.073,0.0731,56129.0
PRCLUSDT,2025-04-25 21:15:00,0.0731,0.0733,0.0726,0.0732,118127.0
PRCLUSDT,2025-04-25 21:30:00,0.0732,0.0734,0.0728,0.073,148890.0
PRCLUSDT,2025-04-25 21:45:00,0.073,0.0732,0.0725,0.0728,64003.0
PRCLUSDT,2025-04-25 22:00:00,0.0728,0.0729,0.071,0.0712,114238.0
PRCLUSDT,2025-04-25 22:15:00,0.0712,0.0713,0.0703,0.071,248473.0
PRCLUSDT,2025-04-25 22:30:00,0.071,0.0722,0.0709,0.0718,282433.0
PRCLUSDT,2025-04-25 22:45:00,0.0718,0.0729,0.0715,0.0726,1851199.0
