symbol,timestamp,open,high,low,close,volume
PROMUSDT,2025-04-25 16:30:00,5.89,5.9033,5.886,5.8999,540.3
PROMUSDT,2025-04-25 16:45:00,5.8999,5.9026,5.892,5.8945,466.6
PROMUSDT,2025-04-25 17:00:00,5.8945,5.9004,5.886,5.8909,680.6
PROMUSDT,2025-04-25 17:15:00,5.8909,5.9001,5.886,5.8914,701.2
PROMUSDT,2025-04-25 17:30:00,5.8914,5.8914,5.8703,5.8882,592.3
PROMUSDT,2025-04-25 17:45:00,5.8882,5.8943,5.878,5.884,482.8
PROMUSDT,2025-04-25 18:00:00,5.884,5.8882,5.8753,5.8775,542.9
PROMUSDT,2025-04-25 18:15:00,5.8775,5.888,5.8753,5.8847,423.1
PROMUSDT,2025-04-25 18:30:00,5.8847,5.8934,5.8758,5.886,560.4
PROMUSDT,2025-04-25 18:45:00,5.886,5.8892,5.8703,5.8703,702.9
PROMUSDT,2025-04-25 19:00:00,5.8703,5.8785,5.8518,5.8586,593.3
PROMUSDT,2025-04-25 19:15:00,5.8586,5.8777,5.8586,5.8686,635.6
PROMUSDT,2025-04-25 19:30:00,5.8686,5.874,5.86,5.8663,557.3
PROMUSDT,2025-04-25 19:45:00,5.8663,5.88,5.8644,5.877,959.6
PROMUSDT,2025-04-25 20:00:00,5.877,5.887,5.8714,5.88,1584.4
PROMUSDT,2025-04-25 20:15:00,5.88,5.8839,5.8625,5.8683,518.9
PROMUSDT,2025-04-25 20:30:00,5.8683,5.875,5.852,5.8665,695.0
PROMUSDT,2025-04-25 20:45:00,5.8665,5.873,5.857,5.867,496.8
PROMUSDT,2025-04-25 21:00:00,5.867,5.8711,5.858,5.863,855.6
PROMUSDT,2025-04-25 21:15:00,5.863,5.873,5.855,5.864,455.8
PROMUSDT,2025-04-25 21:30:00,5.864,5.866,5.8519,5.862,500.8
PROMUSDT,2025-04-25 21:45:00,5.862,5.862,5.838,5.843,596.4
PROMUSDT,2025-04-25 22:00:00,5.843,5.876,5.84,5.8751,392.1
PROMUSDT,2025-04-25 22:15:00,5.8751,5.877,5.864,5.864,650.5
PROMUSDT,2025-04-25 22:30:00,5.864,5.891,5.864,5.89,481.7
PROMUSDT,2025-04-25 22:45:00,5.89,5.8941,5.8776,5.8797,648.3
PROMUSDT,2025-04-25 23:00:00,5.8797,5.8985,5.8752,5.8777,416.0
PROMUSDT,2025-04-25 23:15:00,5.8777,5.8835,5.8685,5.8761,958.8
PROMUSDT,2025-04-25 23:30:00,5.8761,5.8778,5.8622,5.875,583.0
