symbol,timestamp,open,high,low,close,volume
PYTHUSDT,2025-04-25 16:30:00,0.163,0.1638,0.1625,0.1638,12160.0
PYTHUSDT,2025-04-25 16:45:00,0.1638,0.164,0.1631,0.1637,19459.0
PYTHUSDT,2025-04-25 17:00:00,0.1637,0.1649,0.1637,0.1645,17930.0
PYTHUSDT,2025-04-25 17:15:00,0.1645,0.1646,0.1642,0.1644,18740.0
PYTHUSDT,2025-04-25 17:30:00,0.1644,0.1644,0.1622,0.1628,33119.0
PYTHUSDT,2025-04-25 17:45:00,0.1628,0.1629,0.1621,0.1623,40931.0
PYTHUSDT,2025-04-25 18:00:00,0.1623,0.1627,0.1622,0.1625,18160.0
PYTHUSDT,2025-04-25 18:15:00,0.1625,0.1627,0.1621,0.1626,14564.0
PYTHUSDT,2025-04-25 18:30:00,0.1626,0.1632,0.1625,0.163,43655.0
PYTHUSDT,2025-04-25 18:45:00,0.163,0.163,0.1618,0.1618,20260.0
PYTHUSDT,2025-04-25 19:00:00,0.1618,0.1618,0.1606,0.1606,109914.0
PYTHUSDT,2025-04-25 19:15:00,0.1606,0.1612,0.1605,0.1611,133932.0
PYTHUSDT,2025-04-25 19:30:00,0.1611,0.1613,0.1607,0.1609,16505.0
PYTHUSDT,2025-04-25 19:45:00,0.1609,0.1613,0.1607,0.1613,6185.0
PYTHUSDT,2025-04-25 20:00:00,0.1613,0.1622,0.1613,0.1621,8740.0
PYTHUSDT,2025-04-25 20:15:00,0.1621,0.1624,0.1618,0.1619,13785.0
PYTHUSDT,2025-04-25 20:30:00,0.1619,0.1622,0.1615,0.1621,12914.0
PYTHUSDT,2025-04-25 20:45:00,0.1621,0.1629,0.1621,0.1626,18050.0
PYTHUSDT,2025-04-25 21:00:00,0.1626,0.1634,0.1621,0.1631,10467.0
PYTHUSDT,2025-04-25 21:15:00,0.1631,0.1631,0.1619,0.162,18346.0
PYTHUSDT,2025-04-25 21:30:00,0.162,0.1625,0.1616,0.1617,20747.0
PYTHUSDT,2025-04-25 21:45:00,0.1617,0.1618,0.1603,0.1607,28045.0
PYTHUSDT,2025-04-25 22:00:00,0.1607,0.1624,0.1607,0.1624,11079.0
PYTHUSDT,2025-04-25 22:15:00,0.1624,0.1633,0.1624,0.1633,8975.0
PYTHUSDT,2025-04-25 22:30:00,0.1633,0.1642,0.1632,0.1641,9344.0
PYTHUSDT,2025-04-25 22:45:00,0.1641,0.1644,0.164,0.1642,12591.0
PYTHUSDT,2025-04-25 23:00:00,0.1642,0.1645,0.1639,0.1641,9540.0
PYTHUSDT,2025-04-25 23:15:00,0.1641,0.1641,0.1632,0.1636,25641.0
PYTHUSDT,2025-04-25 23:30:00,0.1636,0.1636,0.1632,0.1634,10682.0
PYTHUSDT,2025-04-25 23:45:00,0.1634,0.1635,0.163,0.1632,7983.0
PYTHUSDT,2025-04-26 00:00:00,0.1632,0.1641,0.1632,0.1637,14473.0
PYTHUSDT,2025-04-26 00:15:00,0.1637,0.1641,0.1634,0.1637,4122.0
PYTHUSDT,2025-04-26 00:30:00,0.1637,0.1644,0.1635,0.1638,19108.0
PYTHUSDT,2025-04-26 00:45:00,0.1638,0.1648,0.1638,0.1642,6764.0
PYTHUSDT,2025-04-26 01:00:00,0.1642,0.1642,0.1632,0.1638,72503.0
PYTHUSDT,2025-04-26 01:15:00,0.1638,0.1655,0.1638,0.165,458595.0
PYTHUSDT,2025-04-26 01:30:00,0.165,0.1682,0.165,0.1664,313863.0
PYTHUSDT,2025-04-26 01:45:00,0.1664,0.1673,0.1662,0.1671,401893.0
PYTHUSDT,2025-04-26 02:00:00,0.1671,0.1673,0.1658,0.1658,86001.0
PYTHUSDT,2025-04-26 02:15:00,0.1658,0.1663,0.1652,0.1661,144825.0
PYTHUSDT,2025-04-26 02:30:00,0.1661,0.1668,0.1658,0.1664,249894.0
PYTHUSDT,2025-04-26 02:45:00,0.1664,0.1665,0.1659,0.1661,252580.0
PYTHUSDT,2025-04-26 03:00:00,0.1661,0.1661,0.165,0.1656,22923.0
PYTHUSDT,2025-04-26 03:15:00,0.1656,0.1657,0.1648,0.165,5619.0
PYTHUSDT,2025-04-26 03:30:00,0.165,0.166,0.165,0.166,13308.0
PYTHUSDT,2025-04-26 03:45:00,0.166,0.1665,0.1654,0.1659,39325.0
PYTHUSDT,2025-04-26 04:00:00,0.1659,0.1662,0.1654,0.1658,9144.0
PYTHUSDT,2025-04-26 04:15:00,0.1658,0.1659,0.1651,0.1651,17885.0
PYTHUSDT,2025-04-26 04:30:00,0.1651,0.1651,0.1641,0.1648,324261.0
PYTHUSDT,2025-04-26 04:45:00,0.1648,0.1649,0.1639,0.1641,11277.0
PYTHUSDT,2025-04-26 05:00:00,0.1641,0.1641,0.1634,0.1638,17610.0
PYTHUSDT,2025-04-26 05:15:00,0.1638,0.164,0.1632,0.1638,12441.0
PYTHUSDT,2025-04-26 05:30:00,0.1638,0.164,0.1633,0.1637,323642.0
PYTHUSDT,2025-04-26 05:45:00,0.1637,0.1642,0.1637,0.1639,68207.0
PYTHUSDT,2025-04-26 06:00:00,0.1639,0.1652,0.1639,0.165,9608.0
PYTHUSDT,2025-04-26 06:15:00,0.165,0.1656,0.165,0.1656,28591.0
PYTHUSDT,2025-04-26 06:30:00,0.1656,0.1665,0.1655,0.1661,17572.0
PYTHUSDT,2025-04-26 06:45:00,0.1661,0.1673,0.1661,0.1668,22305.0
PYTHUSDT,2025-04-26 07:00:00,0.1668,0.1674,0.1666,0.1673,34502.0
PYTHUSDT,2025-04-26 07:15:00,0.1673,0.1678,0.1669,0.1674,159861.0
PYTHUSDT,2025-04-26 07:30:00,0.1674,0.1674,0.1665,0.1668,14041.0
PYTHUSDT,2025-04-26 07:45:00,0.1668,0.1671,0.1659,0.1659,27526.0
PYTHUSDT,2025-04-26 08:00:00,0.1659,0.1661,0.1646,0.165,35786.0
PYTHUSDT,2025-04-26 08:15:00,0.165,0.1666,0.1647,0.1665,32152.0
PYTHUSDT,2025-04-26 08:30:00,0.1665,0.1665,0.164,0.1643,35069.0
PYTHUSDT,2025-04-26 08:45:00,0.1643,0.1647,0.1637,0.1639,50920.0
PYTHUSDT,2025-04-26 09:00:00,0.1639,0.1641,0.1631,0.1639,88009.0
PYTHUSDT,2025-04-26 09:15:00,0.1639,0.1648,0.1638,0.164,19435.0
PYTHUSDT,2025-04-26 09:30:00,0.164,0.164,0.1617,0.1626,105299.0
PYTHUSDT,2025-04-26 09:45:00,0.1626,0.1631,0.1622,0.1631,12222.0
PYTHUSDT,2025-04-26 10:00:00,0.1631,0.1638,0.1628,0.1628,56346.0
PYTHUSDT,2025-04-26 10:15:00,0.1628,0.1635,0.1628,0.1629,25734.0
PYTHUSDT,2025-04-26 10:30:00,0.1629,0.1641,0.1628,0.1641,9174.0
PYTHUSDT,2025-04-26 10:45:00,0.1641,0.1641,0.1628,0.1628,8152.0
PYTHUSDT,2025-04-26 11:00:00,0.1628,0.1636,0.1624,0.1626,11930.0
PYTHUSDT,2025-04-26 11:15:00,0.1626,0.1634,0.1615,0.1618,31853.0
PYTHUSDT,2025-04-26 11:30:00,0.1618,0.1622,0.1604,0.1607,104399.0
PYTHUSDT,2025-04-26 11:45:00,0.1607,0.1611,0.1593,0.1597,175380.0
PYTHUSDT,2025-04-26 12:00:00,0.1597,0.1612,0.1597,0.1612,101827.0
PYTHUSDT,2025-04-26 12:15:00,0.1612,0.1612,0.1603,0.1611,12688.0
PYTHUSDT,2025-04-26 12:30:00,0.1611,0.1612,0.1606,0.161,56900.0
PYTHUSDT,2025-04-26 12:45:00,0.161,0.1612,0.1604,0.1609,12551.0
PYTHUSDT,2025-04-26 13:00:00,0.1609,0.1616,0.1608,0.1611,33876.0
PYTHUSDT,2025-04-26 13:15:00,0.1611,0.1612,0.1598,0.16,75916.0
PYTHUSDT,2025-04-26 13:30:00,0.16,0.1603,0.159,0.1599,130016.0
PYTHUSDT,2025-04-26 13:45:00,0.1599,0.1603,0.159,0.1603,42096.0
PYTHUSDT,2025-04-26 14:00:00,0.1603,0.1605,0.1595,0.1598,17220.0
PYTHUSDT,2025-04-26 14:15:00,0.1598,0.1605,0.1591,0.1603,111640.0
PYTHUSDT,2025-04-26 14:30:00,0.1603,0.1607,0.1602,0.1606,40148.0
PYTHUSDT,2025-04-26 14:45:00,0.1606,0.1611,0.1603,0.1603,22322.0
PYTHUSDT,2025-04-26 15:00:00,0.1603,0.1617,0.1603,0.1615,146260.0
PYTHUSDT,2025-04-26 15:15:00,0.1615,0.1626,0.1615,0.1626,13623.0
PYTHUSDT,2025-04-26 15:30:00,0.1626,0.1627,0.1621,0.1624,66450.0
PYTHUSDT,2025-04-26 15:45:00,0.1624,0.1634,0.1622,0.1631,130723.0
PYTHUSDT,2025-04-26 16:00:00,0.1631,0.1636,0.1628,0.1628,18101.0
PYTHUSDT,2025-04-26 16:15:00,0.1628,0.163,0.1623,0.1626,17574.0
PYTHUSDT,2025-04-26 16:30:00,0.1626,0.1626,0.1604,0.1609,106591.0
PYTHUSDT,2025-04-26 16:45:00,0.1609,0.1616,0.1609,0.1616,6543.0
PYTHUSDT,2025-04-26 17:00:00,0.1616,0.1619,0.1612,0.1613,6846.0
PYTHUSDT,2025-04-26 17:15:00,0.1613,0.162,0.1609,0.1618,12726.0
