symbol,timestamp,open,high,low,close,volume
QNTUSDT,2025-04-25 16:30:00,75.51,76.02,75.28,75.94,109.84
QNTUSDT,2025-04-25 16:45:00,75.94,75.94,75.61,75.69,56.81
QNTUSDT,2025-04-25 17:00:00,75.69,76.01,75.69,75.79,65.08
QNTUSDT,2025-04-25 17:15:00,75.79,75.83,75.54,75.6,261.65
QNTUSDT,2025-04-25 17:30:00,75.6,75.6,74.86,74.98,48.06
QNTUSDT,2025-04-25 17:45:00,74.98,75.04,74.76,74.99,48.74
QNTUSDT,2025-04-25 18:00:00,74.99,75.38,74.88,75.3,57.46
QNTUSDT,2025-04-25 18:15:00,75.3,75.38,75.16,75.21,57.82
QNTUSDT,2025-04-25 18:30:00,75.21,75.47,75.15,75.41,61.72
QNTUSDT,2025-04-25 18:45:00,75.41,75.44,74.95,74.95,47.34
QNTUSDT,2025-04-25 19:00:00,74.95,74.99,74.57,74.57,70.79
QNTUSDT,2025-04-25 19:15:00,74.57,75.08,74.56,74.99,60.75
QNTUSDT,2025-04-25 19:30:00,74.99,75.03,74.74,74.83,49.51
QNTUSDT,2025-04-25 19:45:00,74.83,74.9,74.73,74.9,50.01
QNTUSDT,2025-04-25 20:00:00,74.9,75.18,74.84,75.17,58.71
QNTUSDT,2025-04-25 20:15:00,75.17,75.32,75.0,75.09,79.23
QNTUSDT,2025-04-25 20:30:00,75.09,75.15,74.93,74.93,69.56
QNTUSDT,2025-04-25 20:45:00,74.93,75.25,74.93,75.11,42.09
QNTUSDT,2025-04-25 21:00:00,75.11,75.35,75.04,75.29,38.31
QNTUSDT,2025-04-25 21:15:00,75.29,75.29,75.02,75.12,34.63
QNTUSDT,2025-04-25 21:30:00,75.12,75.18,75.05,75.17,51.42
QNTUSDT,2025-04-25 21:45:00,75.17,75.17,74.69,74.8,68.28
QNTUSDT,2025-04-25 22:00:00,74.8,75.06,74.8,75.03,76.11
QNTUSDT,2025-04-25 22:15:00,75.03,75.34,75.01,75.31,76.32
QNTUSDT,2025-04-25 22:30:00,75.31,75.63,75.25,75.63,39.31
QNTUSDT,2025-04-25 22:45:00,75.63,75.69,75.07,75.18,46.09
QNTUSDT,2025-04-25 23:00:00,75.18,75.22,74.9,74.91,60.27
QNTUSDT,2025-04-25 23:15:00,74.91,74.91,74.62,74.83,24.27
QNTUSDT,2025-04-25 23:30:00,74.83,74.84,74.44,74.55,49.07
QNTUSDT,2025-04-25 23:45:00,74.55,74.71,74.4,74.51,45.61
QNTUSDT,2025-04-26 00:00:00,74.51,75.15,74.51,74.82,98.1
QNTUSDT,2025-04-26 00:15:00,74.82,75.04,74.68,75.04,96.77
QNTUSDT,2025-04-26 00:30:00,75.04,75.04,74.72,74.85,52.84
QNTUSDT,2025-04-26 00:45:00,74.85,75.22,74.85,75.12,63.3
QNTUSDT,2025-04-26 01:00:00,75.12,75.17,74.84,75.16,57.9
QNTUSDT,2025-04-26 01:15:00,75.16,75.62,75.01,75.55,89.65
QNTUSDT,2025-04-26 01:30:00,75.55,76.52,75.47,76.41,218.82
QNTUSDT,2025-04-26 01:45:00,76.41,76.55,76.28,76.52,70.07
QNTUSDT,2025-04-26 02:00:00,76.52,76.6,76.3,76.41,101.09
QNTUSDT,2025-04-26 02:15:00,76.41,76.49,76.29,76.44,60.36
QNTUSDT,2025-04-26 02:30:00,76.44,76.96,76.42,76.96,65.52
QNTUSDT,2025-04-26 02:45:00,76.96,77.04,76.81,77.04,77.7
QNTUSDT,2025-04-26 03:00:00,77.04,77.05,76.73,76.77,71.05
QNTUSDT,2025-04-26 03:15:00,76.77,76.78,76.15,76.21,84.65
QNTUSDT,2025-04-26 03:30:00,76.21,76.63,76.19,76.62,70.44
QNTUSDT,2025-04-26 03:45:00,76.62,76.7,76.2,76.35,57.32
QNTUSDT,2025-04-26 04:00:00,76.35,76.35,76.03,76.03,39.3
QNTUSDT,2025-04-26 04:15:00,76.03,76.03,75.78,75.78,60.6
QNTUSDT,2025-04-26 04:30:00,75.78,75.83,75.4,75.74,101.37
QNTUSDT,2025-04-26 04:45:00,75.74,75.85,75.54,75.6,68.67
QNTUSDT,2025-04-26 05:00:00,75.6,75.75,75.37,75.43,34.84
QNTUSDT,2025-04-26 05:15:00,75.43,75.55,75.05,75.33,46.26
QNTUSDT,2025-04-26 05:30:00,75.33,75.57,75.26,75.49,50.39
QNTUSDT,2025-04-26 05:45:00,75.49,75.65,75.49,75.53,53.81
QNTUSDT,2025-04-26 06:00:00,75.53,75.7,75.46,75.64,56.56
QNTUSDT,2025-04-26 06:15:00,75.64,75.66,75.51,75.59,61.09
QNTUSDT,2025-04-26 06:30:00,75.59,76.0,75.59,75.84,55.0
QNTUSDT,2025-04-26 06:45:00,75.84,76.09,75.79,75.91,58.55
QNTUSDT,2025-04-26 07:00:00,75.91,76.06,75.84,76.06,61.67
QNTUSDT,2025-04-26 07:15:00,76.06,76.15,75.98,76.1,63.08
