symbol,timestamp,open,high,low,close,volume
REDUSDT,2025-04-26 14:40:00,0.4203,0.4211,0.4199,0.4206,3525.4
REDUSDT,2025-04-26 14:45:00,0.4206,0.4218,0.42,0.4211,5918.2
REDUSDT,2025-04-26 14:50:00,0.4211,0.4211,0.4191,0.4191,11597.2
REDUSDT,2025-04-26 14:55:00,0.4191,0.4191,0.4179,0.4191,3396.5
REDUSDT,2025-04-26 15:00:00,0.4191,0.4202,0.419,0.4196,2480.8
REDUSDT,2025-04-26 15:05:00,0.4196,0.4221,0.419,0.4214,8827.3
REDUSDT,2025-04-26 15:10:00,0.4214,0.4216,0.4203,0.4208,5951.5
REDUSDT,2025-04-26 15:15:00,0.4208,0.4223,0.4206,0.4208,2115.2
REDUSDT,2025-04-26 15:20:00,0.4208,0.4217,0.4207,0.4215,2028.2
REDUSDT,2025-04-26 15:25:00,0.4215,0.423,0.4215,0.4227,1673.2
REDUSDT,2025-04-26 15:30:00,0.4227,0.4233,0.4216,0.4224,2105.9
REDUSDT,2025-04-26 15:35:00,0.4224,0.4246,0.4224,0.4238,3299.2
REDUSDT,2025-04-26 15:40:00,0.4238,0.4238,0.4216,0.4217,2380.9
REDUSDT,2025-04-26 15:45:00,0.4217,0.4223,0.4206,0.422,2252.4
REDUSDT,2025-04-26 15:50:00,0.422,0.4222,0.4213,0.4219,2584.1
REDUSDT,2025-04-26 15:55:00,0.4219,0.4225,0.4219,0.4222,2348.5
REDUSDT,2025-04-26 16:00:00,0.4222,0.4226,0.4218,0.4218,15598.0
REDUSDT,2025-04-26 16:05:00,0.4218,0.4218,0.4197,0.4197,8227.9
REDUSDT,2025-04-26 16:10:00,0.4197,0.4215,0.4185,0.4215,18249.4
REDUSDT,2025-04-26 16:15:00,0.4215,0.4219,0.42,0.4212,2126.3
REDUSDT,2025-04-26 16:20:00,0.4212,0.4227,0.4212,0.4227,6835.4
REDUSDT,2025-04-26 16:25:00,0.4227,0.4227,0.4216,0.4225,1421.3
REDUSDT,2025-04-26 16:30:00,0.4225,0.4225,0.4204,0.4204,3350.3
REDUSDT,2025-04-26 16:35:00,0.4204,0.4208,0.4191,0.4191,1508.2
REDUSDT,2025-04-26 16:40:00,0.4191,0.4191,0.416,0.4175,2359.1
REDUSDT,2025-04-26 16:45:00,0.4175,0.4183,0.416,0.4182,3364.6
REDUSDT,2025-04-26 16:50:00,0.4182,0.4185,0.4176,0.4182,2596.6
REDUSDT,2025-04-26 16:55:00,0.4182,0.4189,0.4178,0.4182,6060.4
REDUSDT,2025-04-26 17:00:00,0.4182,0.4202,0.4182,0.4192,1662.7
REDUSDT,2025-04-26 17:05:00,0.4192,0.4201,0.4192,0.4198,2123.7
REDUSDT,2025-04-26 17:10:00,0.4198,0.4198,0.4178,0.4187,3067.0
REDUSDT,2025-04-26 17:15:00,0.4187,0.4202,0.4187,0.4195,2356.7
REDUSDT,2025-04-26 17:20:00,0.4195,0.4199,0.4189,0.4197,2786.2
REDUSDT,2025-04-26 17:25:00,0.4197,0.4217,0.4197,0.4216,1488.5
REDUSDT,2025-04-26 17:30:00,0.4216,0.4222,0.4212,0.4216,2852.5
REDUSDT,2025-04-26 17:35:00,0.4216,0.4224,0.4216,0.4224,4829.1
REDUSDT,2025-04-26 17:40:00,0.4224,0.4224,0.4214,0.4222,18213.4
REDUSDT,2025-04-26 17:45:00,0.4222,0.4223,0.4217,0.4221,2050.7
REDUSDT,2025-04-26 17:50:00,0.4221,0.4222,0.4213,0.4213,3050.4
REDUSDT,2025-04-26 17:55:00,0.4213,0.4213,0.4206,0.4213,2632.4
REDUSDT,2025-04-26 18:00:00,0.4213,0.4213,0.4191,0.4201,6636.7
REDUSDT,2025-04-26 18:05:00,0.4201,0.4212,0.4201,0.4207,3272.8
REDUSDT,2025-04-26 18:10:00,0.4207,0.4209,0.4179,0.4181,2949.5
REDUSDT,2025-04-26 18:15:00,0.4181,0.4191,0.418,0.4191,2583.1
REDUSDT,2025-04-26 18:20:00,0.4191,0.4197,0.4191,0.4197,1803.9
REDUSDT,2025-04-26 18:25:00,0.4197,0.4201,0.4192,0.4192,2589.5
REDUSDT,2025-04-26 18:30:00,0.4192,0.4193,0.4172,0.4181,1910.4
REDUSDT,2025-04-26 18:35:00,0.4181,0.4182,0.4171,0.4174,1425.6
REDUSDT,2025-04-26 18:40:00,0.4174,0.4174,0.4165,0.417,2299.4
REDUSDT,2025-04-26 18:45:00,0.417,0.4177,0.417,0.4177,2478.8
REDUSDT,2025-04-26 18:50:00,0.4177,0.4179,0.4166,0.4166,3755.5
REDUSDT,2025-04-26 18:55:00,0.4166,0.4172,0.4165,0.4165,1750.4
REDUSDT,2025-04-26 19:00:00,0.4165,0.4177,0.4165,0.4177,4326.7
REDUSDT,2025-04-26 19:05:00,0.4177,0.4186,0.4165,0.4169,3247.6
REDUSDT,2025-04-26 19:10:00,0.4169,0.4177,0.4164,0.4177,5112.0
REDUSDT,2025-04-26 19:15:00,0.4177,0.4178,0.4166,0.4178,3585.5
REDUSDT,2025-04-26 19:20:00,0.4178,0.4185,0.4173,0.4178,2486.9
REDUSDT,2025-04-26 19:25:00,0.4178,0.4196,0.4178,0.4195,3481.3
REDUSDT,2025-04-26 19:30:00,0.4195,0.4197,0.4182,0.4194,2986.2
REDUSDT,2025-04-26 19:35:00,0.4194,0.4195,0.4187,0.4189,3799.1
REDUSDT,2025-04-26 19:40:00,0.4189,0.4192,0.4184,0.4186,3080.1
REDUSDT,2025-04-26 19:45:00,0.4186,0.4187,0.4182,0.4182,2553.6
REDUSDT,2025-04-26 19:50:00,0.4182,0.4191,0.4179,0.4185,2288.4
REDUSDT,2025-04-26 19:55:00,0.4185,0.4191,0.4182,0.4191,2955.3
REDUSDT,2025-04-26 20:00:00,0.4191,0.4193,0.4184,0.4184,2012.2
REDUSDT,2025-04-26 20:05:00,0.4184,0.419,0.4181,0.4182,3379.6
REDUSDT,2025-04-26 20:10:00,0.4182,0.4187,0.4174,0.4178,1786.1
REDUSDT,2025-04-26 20:15:00,0.4178,0.4189,0.4175,0.4189,2028.7
REDUSDT,2025-04-26 20:20:00,0.4189,0.4214,0.4189,0.4205,6578.0
REDUSDT,2025-04-26 20:25:00,0.4205,0.4205,0.4195,0.4197,2794.5
REDUSDT,2025-04-26 20:30:00,0.4197,0.4212,0.4197,0.4211,2891.2
REDUSDT,2025-04-26 20:35:00,0.4211,0.4211,0.4203,0.4208,3035.2
REDUSDT,2025-04-26 20:40:00,0.4208,0.4209,0.4203,0.4206,1244.4
REDUSDT,2025-04-26 20:45:00,0.4206,0.4221,0.4204,0.4221,1725.4
REDUSDT,2025-04-26 20:50:00,0.4221,0.4222,0.4207,0.4207,3755.9
REDUSDT,2025-04-26 20:55:00,0.4207,0.4211,0.4203,0.4203,6550.5
REDUSDT,2025-04-26 21:00:00,0.4203,0.4216,0.4203,0.4212,2697.7
REDUSDT,2025-04-26 21:05:00,0.4212,0.4214,0.4203,0.4205,2573.2
REDUSDT,2025-04-26 21:10:00,0.4205,0.4226,0.4205,0.4226,2713.2
REDUSDT,2025-04-26 21:15:00,0.4226,0.4226,0.4215,0.4215,5099.7
REDUSDT,2025-04-26 21:20:00,0.4215,0.4218,0.4204,0.4218,2096.1
REDUSDT,2025-04-26 21:25:00,0.4218,0.4227,0.4214,0.4217,2700.5
REDUSDT,2025-04-26 21:30:00,0.4217,0.4217,0.4211,0.4211,2215.7
REDUSDT,2025-04-26 21:35:00,0.4211,0.4213,0.4198,0.4199,2242.6
REDUSDT,2025-04-26 21:40:00,0.4199,0.4209,0.4193,0.4206,2659.2
REDUSDT,2025-04-26 21:45:00,0.4206,0.4208,0.4195,0.4206,8010.1
REDUSDT,2025-04-26 21:50:00,0.4206,0.4206,0.4199,0.4199,1857.0
REDUSDT,2025-04-26 21:55:00,0.4199,0.4202,0.4187,0.4189,7363.1
REDUSDT,2025-04-26 22:00:00,0.4189,0.4211,0.4189,0.4211,4875.3
REDUSDT,2025-04-26 22:05:00,0.4211,0.4219,0.4206,0.4219,1993.0
REDUSDT,2025-04-26 22:10:00,0.4219,0.4227,0.4217,0.4226,5589.3
REDUSDT,2025-04-26 22:15:00,0.4226,0.4233,0.4224,0.4233,3172.3
REDUSDT,2025-04-26 22:20:00,0.4233,0.4233,0.4224,0.4226,1760.4
REDUSDT,2025-04-26 22:25:00,0.4226,0.4227,0.4213,0.4215,3681.1
REDUSDT,2025-04-26 22:30:00,0.4215,0.423,0.4215,0.422,2813.7
REDUSDT,2025-04-26 22:35:00,0.422,0.4236,0.422,0.4236,2301.4
REDUSDT,2025-04-26 22:40:00,0.4236,0.4242,0.4233,0.4235,2937.4
REDUSDT,2025-04-26 22:45:00,0.4235,0.4237,0.4231,0.4232,2969.2
REDUSDT,2025-04-26 22:50:00,0.4232,0.4241,0.423,0.423,2256.5
REDUSDT,2025-04-26 22:55:00,0.423,0.4234,0.4227,0.423,2501.2
REDUSDT,2025-04-26 23:00:00,0.423,0.4238,0.4225,0.4225,2105.6
REDUSDT,2025-04-26 23:05:00,0.4225,0.4239,0.4222,0.4238,2495.3
REDUSDT,2025-04-26 23:10:00,0.4238,0.4242,0.4236,0.4239,2013.9
REDUSDT,2025-04-26 23:15:00,0.4239,0.4298,0.4238,0.4285,818354.4
REDUSDT,2025-04-26 23:20:00,0.4285,0.43,0.4259,0.4285,794377.6
REDUSDT,2025-04-26 23:25:00,0.4285,0.4286,0.4272,0.4275,15927.9
REDUSDT,2025-04-26 23:30:00,0.4275,0.428,0.4267,0.4279,13678.0
REDUSDT,2025-04-26 23:35:00,0.4279,0.4301,0.4279,0.4294,7436.6
REDUSDT,2025-04-26 23:40:00,0.4294,0.43,0.4284,0.43,2766.0
REDUSDT,2025-04-26 23:45:00,0.43,0.43,0.4288,0.4291,3197.5
REDUSDT,2025-04-26 23:50:00,0.4291,0.4306,0.4284,0.4305,3848.7
REDUSDT,2025-04-26 23:55:00,0.4305,0.4315,0.4292,0.4293,66231.6
REDUSDT,2025-04-27 00:00:00,0.4293,0.43,0.4282,0.4282,12361.6
REDUSDT,2025-04-27 00:05:00,0.4282,0.4282,0.4237,0.4245,49812.9
REDUSDT,2025-04-27 00:10:00,0.4245,0.4278,0.4242,0.4268,9229.7
REDUSDT,2025-04-27 00:15:00,0.4268,0.4282,0.4255,0.4255,3919.1
REDUSDT,2025-04-27 00:20:00,0.4255,0.4272,0.4255,0.4255,3341.1
REDUSDT,2025-04-27 00:25:00,0.4255,0.4259,0.424,0.4253,2517.1
REDUSDT,2025-04-27 00:30:00,0.4253,0.426,0.4217,0.4226,75470.9
REDUSDT,2025-04-27 00:35:00,0.4226,0.4241,0.4226,0.4235,2688.3
REDUSDT,2025-04-27 00:40:00,0.4235,0.4242,0.4223,0.4228,4703.7
REDUSDT,2025-04-27 00:45:00,0.4228,0.4228,0.4199,0.4212,7880.0
REDUSDT,2025-04-27 00:50:00,0.4212,0.4223,0.4211,0.4221,3890.4
REDUSDT,2025-04-27 00:55:00,0.4221,0.4221,0.4211,0.4214,4094.1
REDUSDT,2025-04-27 01:00:00,0.4214,0.4216,0.4202,0.4207,1702.0
REDUSDT,2025-04-27 01:05:00,0.4207,0.4207,0.4171,0.4181,2420.2
REDUSDT,2025-04-27 01:10:00,0.4181,0.4191,0.4161,0.4186,2910.5
REDUSDT,2025-04-27 01:15:00,0.4186,0.4191,0.416,0.416,7496.4
REDUSDT,2025-04-27 01:20:00,0.416,0.416,0.4101,0.4104,32803.4
REDUSDT,2025-04-27 01:25:00,0.4104,0.4111,0.4088,0.4105,6731.0
REDUSDT,2025-04-27 01:30:00,0.4105,0.4113,0.4033,0.4033,43266.0
REDUSDT,2025-04-27 01:35:00,0.4033,0.4071,0.4032,0.4066,8224.6
REDUSDT,2025-04-27 01:40:00,0.4066,0.4066,0.4052,0.4065,14085.5
REDUSDT,2025-04-27 01:45:00,0.4065,0.4065,0.4035,0.404,9418.5
REDUSDT,2025-04-27 01:50:00,0.404,0.4042,0.402,0.4028,2932.2
REDUSDT,2025-04-27 01:55:00,0.4028,0.4034,0.3999,0.4007,34073.4
REDUSDT,2025-04-27 02:00:00,0.4007,0.4024,0.4005,0.4017,13074.8
REDUSDT,2025-04-27 02:05:00,0.4017,0.402,0.401,0.4018,6537.2
REDUSDT,2025-04-27 02:10:00,0.4018,0.4037,0.4014,0.4037,3400.5
REDUSDT,2025-04-27 02:15:00,0.4037,0.4051,0.4021,0.4034,7974.7
REDUSDT,2025-04-27 02:20:00,0.4034,0.4045,0.4034,0.4044,11135.3
REDUSDT,2025-04-27 02:25:00,0.4044,0.4064,0.4044,0.4064,4577.9
REDUSDT,2025-04-27 02:30:00,0.4064,0.4064,0.4036,0.404,8827.8
REDUSDT,2025-04-27 02:35:00,0.404,0.4059,0.4038,0.4041,3871.5
REDUSDT,2025-04-27 02:40:00,0.4041,0.4046,0.4032,0.404,3104.8
REDUSDT,2025-04-27 02:45:00,0.404,0.404,0.4027,0.4029,3236.1
REDUSDT,2025-04-27 02:50:00,0.4029,0.4062,0.4029,0.4062,3491.6
REDUSDT,2025-04-27 02:55:00,0.4062,0.4073,0.4062,0.4064,8132.7
REDUSDT,2025-04-27 03:00:00,0.4064,0.4072,0.4062,0.4067,2928.2
REDUSDT,2025-04-27 03:05:00,0.4067,0.4075,0.4064,0.4071,2310.1
REDUSDT,2025-04-27 03:10:00,0.4071,0.4073,0.4034,0.4034,6290.9
REDUSDT,2025-04-27 03:15:00,0.4034,0.4043,0.4033,0.4039,2477.7
REDUSDT,2025-04-27 03:20:00,0.4039,0.4051,0.4039,0.4051,2382.6
REDUSDT,2025-04-27 03:25:00,0.4051,0.4054,0.4041,0.4041,2128.2
REDUSDT,2025-04-27 03:30:00,0.4041,0.4064,0.404,0.4062,17006.2
REDUSDT,2025-04-27 03:35:00,0.4062,0.4071,0.4056,0.4071,2257.9
REDUSDT,2025-04-27 03:40:00,0.4071,0.4071,0.4059,0.4062,12386.2
REDUSDT,2025-04-27 03:45:00,0.4062,0.4086,0.4061,0.4083,3230.1
REDUSDT,2025-04-27 03:50:00,0.4083,0.4087,0.4073,0.4074,2564.1
REDUSDT,2025-04-27 03:55:00,0.4074,0.4083,0.4074,0.4078,10060.5
REDUSDT,2025-04-27 04:00:00,0.4078,0.4086,0.4075,0.4075,2539.0
REDUSDT,2025-04-27 04:05:00,0.4075,0.4082,0.407,0.4082,1672.5
REDUSDT,2025-04-27 04:10:00,0.4082,0.4087,0.4075,0.4087,1699.8
