symbol,timestamp,open,high,low,close,volume
ROAMUSDT,2025-04-26 14:40:00,0.2801,0.2811,0.28,0.2803,12284.5
ROAMUSDT,2025-04-26 14:45:00,0.2803,0.2813,0.2803,0.2807,5474.4
ROAMUSDT,2025-04-26 14:50:00,0.2807,0.2809,0.2805,0.2805,5110.9
ROAMUSDT,2025-04-26 14:55:00,0.2805,0.2821,0.2805,0.2817,5317.9
ROAMUSDT,2025-04-26 15:00:00,0.2817,0.2819,0.2813,0.2813,6899.6
ROAMUSDT,2025-04-26 15:05:00,0.2813,0.2819,0.2811,0.2819,4859.7
ROAMUSDT,2025-04-26 15:10:00,0.2819,0.2841,0.2817,0.2837,19586.3
ROAMUSDT,2025-04-26 15:15:00,0.2837,0.2842,0.2836,0.2838,6294.2
ROAMUSDT,2025-04-26 15:20:00,0.2838,0.2839,0.2822,0.2824,13872.4
ROAMUSDT,2025-04-26 15:25:00,0.2824,0.283,0.2823,0.2826,2931.2
ROAMUSDT,2025-04-26 15:30:00,0.2826,0.2831,0.2822,0.2824,4672.9
ROAMUSDT,2025-04-26 15:35:00,0.2824,0.2825,0.2816,0.2818,145553.0
ROAMUSDT,2025-04-26 15:40:00,0.2818,0.2819,0.2812,0.2815,3702.9
ROAMUSDT,2025-04-26 15:45:00,0.2815,0.2825,0.2815,0.2822,5101.1
ROAMUSDT,2025-04-26 15:50:00,0.2822,0.2825,0.2818,0.2818,5978.8
ROAMUSDT,2025-04-26 15:55:00,0.2818,0.2826,0.2818,0.2821,4481.3
ROAMUSDT,2025-04-26 16:00:00,0.2821,0.2825,0.2814,0.2823,6819.7
ROAMUSDT,2025-04-26 16:05:00,0.2823,0.2827,0.2818,0.2819,3423.8
ROAMUSDT,2025-04-26 16:10:00,0.2819,0.283,0.2819,0.2823,6077.3
ROAMUSDT,2025-04-26 16:15:00,0.2823,0.2824,0.2821,0.2821,4138.2
ROAMUSDT,2025-04-26 16:20:00,0.2821,0.2821,0.2806,0.2806,2654.6
ROAMUSDT,2025-04-26 16:25:00,0.2806,0.2813,0.2806,0.2808,3693.9
ROAMUSDT,2025-04-26 16:30:00,0.2808,0.2813,0.28,0.2802,4730.5
ROAMUSDT,2025-04-26 16:35:00,0.2802,0.2807,0.2802,0.2807,3337.2
ROAMUSDT,2025-04-26 16:40:00,0.2807,0.2809,0.2803,0.2803,2972.2
ROAMUSDT,2025-04-26 16:45:00,0.2803,0.2808,0.2803,0.2808,3350.6
ROAMUSDT,2025-04-26 16:50:00,0.2808,0.2809,0.28,0.2807,5107.8
ROAMUSDT,2025-04-26 16:55:00,0.2807,0.2807,0.2801,0.2807,3907.4
ROAMUSDT,2025-04-26 17:00:00,0.2807,0.2818,0.2801,0.2812,6879.3
ROAMUSDT,2025-04-26 17:05:00,0.2812,0.2822,0.2808,0.2822,5855.5
ROAMUSDT,2025-04-26 17:10:00,0.2822,0.2822,0.2805,0.2805,9377.3
ROAMUSDT,2025-04-26 17:15:00,0.2805,0.2813,0.2805,0.281,3413.7
ROAMUSDT,2025-04-26 17:20:00,0.281,0.281,0.2805,0.2806,4288.5
ROAMUSDT,2025-04-26 17:25:00,0.2806,0.2811,0.2805,0.2805,3900.8
ROAMUSDT,2025-04-26 17:30:00,0.2805,0.2812,0.2805,0.2806,4696.2
ROAMUSDT,2025-04-26 17:35:00,0.2806,0.2811,0.2806,0.2809,2699.7
ROAMUSDT,2025-04-26 17:40:00,0.2809,0.2809,0.2805,0.2805,2942.8
ROAMUSDT,2025-04-26 17:45:00,0.2805,0.2812,0.2805,0.2812,3917.0
ROAMUSDT,2025-04-26 17:50:00,0.2812,0.2812,0.2805,0.2806,2460.4
ROAMUSDT,2025-04-26 17:55:00,0.2806,0.2806,0.2803,0.2803,3043.3
ROAMUSDT,2025-04-26 18:00:00,0.2803,0.2805,0.2792,0.2792,4536.1
ROAMUSDT,2025-04-26 18:05:00,0.2792,0.2794,0.2788,0.2788,5492.0
ROAMUSDT,2025-04-26 18:10:00,0.2788,0.2788,0.2782,0.2786,2981.9
ROAMUSDT,2025-04-26 18:15:00,0.2786,0.2786,0.2779,0.2786,5723.4
