symbol,timestamp,open,high,low,close,volume
RONUSDT,2025-04-26 14:40:00,0.5726,0.5729,0.5717,0.5724,1678.0
RONUSDT,2025-04-26 14:45:00,0.5724,0.5727,0.5716,0.5723,1764.0
RONUSDT,2025-04-26 14:50:00,0.5723,0.5725,0.5705,0.5719,2682.0
RONUSDT,2025-04-26 14:55:00,0.5719,0.5723,0.5715,0.5717,2724.0
RONUSDT,2025-04-26 15:00:00,0.5717,0.5727,0.5708,0.5718,2219.0
RONUSDT,2025-04-26 15:05:00,0.5718,0.5739,0.5715,0.5735,2146.0
RONUSDT,2025-04-26 15:10:00,0.5735,0.5742,0.5735,0.574,1980.0
RONUSDT,2025-04-26 15:15:00,0.574,0.5753,0.5723,0.5727,3032.0
RONUSDT,2025-04-26 15:20:00,0.5727,0.5734,0.57,0.571,6666.0
RONUSDT,2025-04-26 15:25:00,0.571,0.5718,0.571,0.5718,2633.0
RONUSDT,2025-04-26 15:30:00,0.5718,0.5718,0.5705,0.5705,3361.0
RONUSDT,2025-04-26 15:35:00,0.5705,0.5717,0.5705,0.571,1767.0
RONUSDT,2025-04-26 15:40:00,0.571,0.5717,0.5704,0.5713,3428.0
RONUSDT,2025-04-26 15:45:00,0.5713,0.5724,0.5713,0.5723,2001.0
RONUSDT,2025-04-26 15:50:00,0.5723,0.5744,0.5723,0.5744,2959.0
RONUSDT,2025-04-26 15:55:00,0.5744,0.5746,0.5739,0.5739,2575.0
RONUSDT,2025-04-26 16:00:00,0.5739,0.5741,0.5726,0.573,2822.0
RONUSDT,2025-04-26 16:05:00,0.573,0.573,0.5714,0.5719,1743.0
RONUSDT,2025-04-26 16:10:00,0.5719,0.5722,0.5713,0.5715,3716.0
RONUSDT,2025-04-26 16:15:00,0.5715,0.5722,0.5713,0.572,2072.0
RONUSDT,2025-04-26 16:20:00,0.572,0.5722,0.5713,0.5722,4184.0
RONUSDT,2025-04-26 16:25:00,0.5722,0.5729,0.5722,0.5728,1399.0
RONUSDT,2025-04-26 16:30:00,0.5728,0.5728,0.5713,0.5713,2085.0
RONUSDT,2025-04-26 16:35:00,0.5713,0.5716,0.5704,0.5704,1913.0
RONUSDT,2025-04-26 16:40:00,0.5704,0.5704,0.568,0.5681,3492.0
RONUSDT,2025-04-26 16:45:00,0.5681,0.5705,0.5681,0.5699,1651.0
RONUSDT,2025-04-26 16:50:00,0.5699,0.5707,0.5696,0.5699,2387.0
RONUSDT,2025-04-26 16:55:00,0.5699,0.5721,0.5699,0.5721,2197.0
RONUSDT,2025-04-26 17:00:00,0.5721,0.5725,0.5711,0.5719,2518.0
RONUSDT,2025-04-26 17:05:00,0.5719,0.5725,0.5717,0.5724,1681.0
RONUSDT,2025-04-26 17:10:00,0.5724,0.5726,0.5709,0.5711,3813.0
RONUSDT,2025-04-26 17:15:00,0.5711,0.5722,0.5711,0.5718,1768.0
RONUSDT,2025-04-26 17:20:00,0.5718,0.5726,0.571,0.5725,2146.0
RONUSDT,2025-04-26 17:25:00,0.5725,0.5732,0.5722,0.573,915.0
RONUSDT,2025-04-26 17:30:00,0.573,0.5735,0.5729,0.573,1451.0
RONUSDT,2025-04-26 17:35:00,0.573,0.5732,0.5725,0.5726,1907.0
RONUSDT,2025-04-26 17:40:00,0.5726,0.573,0.572,0.573,1790.0
RONUSDT,2025-04-26 17:45:00,0.573,0.5732,0.5727,0.5727,1647.0
RONUSDT,2025-04-26 17:50:00,0.5727,0.5727,0.572,0.5725,940.0
RONUSDT,2025-04-26 17:55:00,0.5725,0.5727,0.5715,0.5715,1722.0
RONUSDT,2025-04-26 18:00:00,0.5715,0.5717,0.5703,0.571,2460.0
RONUSDT,2025-04-26 18:05:00,0.571,0.5721,0.571,0.5719,1696.0
RONUSDT,2025-04-26 18:10:00,0.5719,0.5719,0.5699,0.57,1651.0
RONUSDT,2025-04-26 18:15:00,0.57,0.5711,0.5698,0.5709,1681.0
RONUSDT,2025-04-26 18:20:00,0.5709,0.5717,0.5708,0.5717,1869.0
RONUSDT,2025-04-26 18:25:00,0.5717,0.5726,0.5717,0.5724,1926.0
RONUSDT,2025-04-26 18:30:00,0.5724,0.5726,0.5721,0.5723,2379.0
RONUSDT,2025-04-26 18:35:00,0.5723,0.5726,0.5715,0.5715,2195.0
RONUSDT,2025-04-26 18:40:00,0.5715,0.5715,0.5711,0.5714,3217.0
RONUSDT,2025-04-26 18:45:00,0.5714,0.5723,0.5714,0.5723,1838.0
RONUSDT,2025-04-26 18:50:00,0.5723,0.5727,0.5714,0.5714,1636.0
RONUSDT,2025-04-26 18:55:00,0.5714,0.5716,0.5705,0.5705,2089.0
RONUSDT,2025-04-26 19:00:00,0.5705,0.5712,0.5704,0.5712,2229.0
RONUSDT,2025-04-26 19:05:00,0.5712,0.5719,0.5706,0.5708,2070.0
RONUSDT,2025-04-26 19:10:00,0.5708,0.5709,0.57,0.5709,1667.0
RONUSDT,2025-04-26 19:15:00,0.5709,0.5713,0.5706,0.5713,1735.0
RONUSDT,2025-04-26 19:20:00,0.5713,0.5724,0.5711,0.5723,1119.0
RONUSDT,2025-04-26 19:25:00,0.5723,0.5733,0.5723,0.5729,1434.0
RONUSDT,2025-04-26 19:30:00,0.5729,0.5732,0.5712,0.5724,1697.0
RONUSDT,2025-04-26 19:35:00,0.5724,0.5725,0.5721,0.5725,1522.0
RONUSDT,2025-04-26 19:40:00,0.5725,0.5728,0.5721,0.5728,1513.0
RONUSDT,2025-04-26 19:45:00,0.5728,0.5733,0.5722,0.5722,1359.0
RONUSDT,2025-04-26 19:50:00,0.5722,0.573,0.572,0.5723,2198.0
RONUSDT,2025-04-26 19:55:00,0.5723,0.5727,0.5721,0.5727,1455.0
RONUSDT,2025-04-26 20:00:00,0.5727,0.5738,0.5727,0.5735,1684.0
RONUSDT,2025-04-26 20:05:00,0.5735,0.5742,0.573,0.5733,1835.0
RONUSDT,2025-04-26 20:10:00,0.5733,0.5735,0.5721,0.5722,1492.0
RONUSDT,2025-04-26 20:15:00,0.5722,0.5732,0.5722,0.5728,1713.0
RONUSDT,2025-04-26 20:20:00,0.5728,0.5732,0.5725,0.5725,2143.0
RONUSDT,2025-04-26 20:25:00,0.5725,0.5726,0.5722,0.5726,1383.0
RONUSDT,2025-04-26 20:30:00,0.5726,0.5728,0.5721,0.5726,1597.0
RONUSDT,2025-04-26 20:35:00,0.5726,0.5727,0.5717,0.5717,1615.0
RONUSDT,2025-04-26 20:40:00,0.5717,0.5722,0.5714,0.572,1340.0
RONUSDT,2025-04-26 20:45:00,0.572,0.5731,0.572,0.573,937.0
RONUSDT,2025-04-26 20:50:00,0.573,0.573,0.572,0.572,1479.0
RONUSDT,2025-04-26 20:55:00,0.572,0.572,0.5712,0.5712,2005.0
RONUSDT,2025-04-26 21:00:00,0.5712,0.573,0.5712,0.573,775.0
RONUSDT,2025-04-26 21:05:00,0.573,0.5734,0.5723,0.573,1225.0
RONUSDT,2025-04-26 21:10:00,0.573,0.5745,0.573,0.5745,1975.0
RONUSDT,2025-04-26 21:15:00,0.5745,0.5752,0.5741,0.5746,1432.0
RONUSDT,2025-04-26 21:20:00,0.5746,0.5763,0.5745,0.5763,1823.0
RONUSDT,2025-04-26 21:25:00,0.5763,0.5769,0.5757,0.5757,2276.0
RONUSDT,2025-04-26 21:30:00,0.5757,0.576,0.5747,0.5756,2050.0
RONUSDT,2025-04-26 21:35:00,0.5756,0.5761,0.5746,0.5751,2066.0
RONUSDT,2025-04-26 21:40:00,0.5751,0.5751,0.574,0.574,2053.0
RONUSDT,2025-04-26 21:45:00,0.574,0.5744,0.5736,0.5736,1974.0
RONUSDT,2025-04-26 21:50:00,0.5736,0.5743,0.5736,0.5737,1927.0
RONUSDT,2025-04-26 21:55:00,0.5737,0.5743,0.5736,0.5739,1800.0
RONUSDT,2025-04-26 22:00:00,0.5739,0.5752,0.5739,0.5752,1485.0
RONUSDT,2025-04-26 22:05:00,0.5752,0.5761,0.5748,0.5758,1850.0
RONUSDT,2025-04-26 22:10:00,0.5758,0.5777,0.5753,0.5777,1863.0
RONUSDT,2025-04-26 22:15:00,0.5777,0.5788,0.5773,0.5783,2000.0
RONUSDT,2025-04-26 22:20:00,0.5783,0.5783,0.5771,0.5775,2079.0
RONUSDT,2025-04-26 22:25:00,0.5775,0.5776,0.5751,0.5755,1612.0
RONUSDT,2025-04-26 22:30:00,0.5755,0.5761,0.5749,0.5752,2385.0
RONUSDT,2025-04-26 22:35:00,0.5752,0.5769,0.5749,0.5761,2389.0
RONUSDT,2025-04-26 22:40:00,0.5761,0.5761,0.5753,0.5758,1693.0
RONUSDT,2025-04-26 22:45:00,0.5758,0.5759,0.5746,0.5746,2669.0
RONUSDT,2025-04-26 22:50:00,0.5746,0.5752,0.5741,0.5741,1327.0
RONUSDT,2025-04-26 22:55:00,0.5741,0.5745,0.574,0.5744,2145.0
RONUSDT,2025-04-26 23:00:00,0.5744,0.5757,0.5744,0.5746,2021.0
RONUSDT,2025-04-26 23:05:00,0.5746,0.5751,0.5742,0.5747,1627.0
RONUSDT,2025-04-26 23:10:00,0.5747,0.575,0.5743,0.5743,2120.0
RONUSDT,2025-04-26 23:15:00,0.5743,0.5757,0.5742,0.5755,804.0
RONUSDT,2025-04-26 23:20:00,0.5755,0.5758,0.5748,0.5756,1421.0
RONUSDT,2025-04-26 23:25:00,0.5756,0.5765,0.5751,0.5762,1328.0
RONUSDT,2025-04-26 23:30:00,0.5762,0.5762,0.5751,0.5761,1884.0
RONUSDT,2025-04-26 23:35:00,0.5761,0.5764,0.5757,0.5758,1136.0
RONUSDT,2025-04-26 23:40:00,0.5758,0.5765,0.5754,0.5765,1933.0
RONUSDT,2025-04-26 23:45:00,0.5765,0.5774,0.5761,0.5772,44242.0
RONUSDT,2025-04-26 23:50:00,0.5772,0.578,0.5769,0.578,1612.0
RONUSDT,2025-04-26 23:55:00,0.578,0.578,0.5773,0.5775,1578.0
RONUSDT,2025-04-27 00:00:00,0.5775,0.5781,0.5772,0.5775,1544.0
RONUSDT,2025-04-27 00:05:00,0.5775,0.5793,0.5772,0.5776,2618.0
RONUSDT,2025-04-27 00:10:00,0.5776,0.579,0.5776,0.5783,2373.0
RONUSDT,2025-04-27 00:15:00,0.5783,0.5808,0.5782,0.5808,2892.0
RONUSDT,2025-04-27 00:20:00,0.5808,0.581,0.5781,0.5787,2125.0
RONUSDT,2025-04-27 00:25:00,0.5787,0.5799,0.5776,0.5793,2261.0
RONUSDT,2025-04-27 00:30:00,0.5793,0.5803,0.5783,0.5783,1986.0
RONUSDT,2025-04-27 00:35:00,0.5783,0.5791,0.5774,0.5791,1787.0
RONUSDT,2025-04-27 00:40:00,0.5791,0.5798,0.5781,0.5797,2222.0
RONUSDT,2025-04-27 00:45:00,0.5797,0.5801,0.5786,0.5788,2276.0
RONUSDT,2025-04-27 00:50:00,0.5788,0.5802,0.5785,0.5792,2567.0
RONUSDT,2025-04-27 00:55:00,0.5792,0.5796,0.5789,0.579,2136.0
RONUSDT,2025-04-27 01:00:00,0.579,0.5795,0.5779,0.5785,2820.0
RONUSDT,2025-04-27 01:05:00,0.5785,0.5789,0.5773,0.5781,1883.0
RONUSDT,2025-04-27 01:10:00,0.5781,0.5805,0.5777,0.5805,2015.0
RONUSDT,2025-04-27 01:15:00,0.5805,0.5805,0.577,0.577,3249.0
RONUSDT,2025-04-27 01:20:00,0.577,0.577,0.5723,0.5738,3600.0
RONUSDT,2025-04-27 01:25:00,0.5738,0.5752,0.5724,0.5752,2560.0
RONUSDT,2025-04-27 01:30:00,0.5752,0.5756,0.5694,0.5694,2293.0
RONUSDT,2025-04-27 01:35:00,0.5694,0.5723,0.5693,0.5723,2657.0
RONUSDT,2025-04-27 01:40:00,0.5723,0.5725,0.5713,0.5717,2830.0
RONUSDT,2025-04-27 01:45:00,0.5717,0.5717,0.5685,0.5688,4301.0
RONUSDT,2025-04-27 01:50:00,0.5688,0.5704,0.5674,0.5695,4789.0
RONUSDT,2025-04-27 01:55:00,0.5695,0.5702,0.5656,0.5661,5363.0
RONUSDT,2025-04-27 02:00:00,0.5661,0.5691,0.5659,0.5678,4979.0
RONUSDT,2025-04-27 02:05:00,0.5678,0.5696,0.5678,0.5696,3501.0
RONUSDT,2025-04-27 02:10:00,0.5696,0.5706,0.5692,0.5703,3228.0
RONUSDT,2025-04-27 02:15:00,0.5703,0.5709,0.5683,0.5698,2630.0
RONUSDT,2025-04-27 02:20:00,0.5698,0.5704,0.5695,0.5704,4184.0
RONUSDT,2025-04-27 02:25:00,0.5704,0.5708,0.5701,0.5703,1247.0
RONUSDT,2025-04-27 02:30:00,0.5703,0.5708,0.57,0.5703,2377.0
RONUSDT,2025-04-27 02:35:00,0.5703,0.5713,0.5702,0.5704,1891.0
RONUSDT,2025-04-27 02:40:00,0.5704,0.5718,0.5702,0.5707,1879.0
RONUSDT,2025-04-27 02:45:00,0.5707,0.5707,0.5686,0.5686,1668.0
RONUSDT,2025-04-27 02:50:00,0.5686,0.5707,0.5686,0.5707,2531.0
RONUSDT,2025-04-27 02:55:00,0.5707,0.5707,0.57,0.5701,2618.0
RONUSDT,2025-04-27 03:00:00,0.5701,0.5714,0.5701,0.5712,1744.0
RONUSDT,2025-04-27 03:05:00,0.5712,0.5721,0.5712,0.5713,2126.0
RONUSDT,2025-04-27 03:10:00,0.5713,0.5718,0.5701,0.5701,1964.0
