symbol,timestamp,open,high,low,close,volume
SCRUSDT,2025-04-25 16:30:00,0.3074,0.3095,0.3068,0.3094,10430.4
SCRUSDT,2025-04-25 16:45:00,0.3094,0.3094,0.3068,0.3076,13906.0
SCRUSDT,2025-04-25 17:00:00,0.3076,0.309,0.3073,0.3083,12564.1
SCRUSDT,2025-04-25 17:15:00,0.3083,0.3095,0.308,0.3081,10291.8
SCRUSDT,2025-04-25 17:30:00,0.3081,0.3081,0.3038,0.305,37494.4
SCRUSDT,2025-04-25 17:45:00,0.305,0.3052,0.3035,0.3044,19037.5
SCRUSDT,2025-04-25 18:00:00,0.3044,0.3048,0.3031,0.3038,17736.8
SCRUSDT,2025-04-25 18:15:00,0.3038,0.3055,0.3028,0.3051,22875.7
SCRUSDT,2025-04-25 18:30:00,0.3051,0.3072,0.3047,0.3069,16989.7
SCRUSDT,2025-04-25 18:45:00,0.3069,0.3072,0.3044,0.3046,14582.7
SCRUSDT,2025-04-25 19:00:00,0.3046,0.3054,0.3033,0.3033,30453.6
SCRUSDT,2025-04-25 19:15:00,0.3033,0.3054,0.3033,0.3052,16235.2
SCRUSDT,2025-04-25 19:30:00,0.3052,0.3052,0.3026,0.3037,22739.8
SCRUSDT,2025-04-25 19:45:00,0.3037,0.3041,0.303,0.3033,12174.2
SCRUSDT,2025-04-25 20:00:00,0.3033,0.3058,0.3033,0.3047,12181.8
SCRUSDT,2025-04-25 20:15:00,0.3047,0.3047,0.3013,0.3024,29103.4
SCRUSDT,2025-04-25 20:30:00,0.3024,0.3029,0.3015,0.3021,13984.4
SCRUSDT,2025-04-25 20:45:00,0.3021,0.3039,0.3021,0.3032,12684.3
SCRUSDT,2025-04-25 21:00:00,0.3032,0.3047,0.303,0.3046,8409.2
SCRUSDT,2025-04-25 21:15:00,0.3046,0.3046,0.3037,0.3039,8253.0
SCRUSDT,2025-04-25 21:30:00,0.3039,0.3097,0.3035,0.3041,26138.3
SCRUSDT,2025-04-25 21:45:00,0.3041,0.3041,0.3016,0.3027,15869.0
SCRUSDT,2025-04-25 22:00:00,0.3027,0.3055,0.3025,0.3051,9372.9
SCRUSDT,2025-04-25 22:15:00,0.3051,0.3061,0.3049,0.3056,9402.4
SCRUSDT,2025-04-25 22:30:00,0.3056,0.3077,0.3056,0.3074,9578.6
SCRUSDT,2025-04-25 22:45:00,0.3074,0.308,0.3071,0.3074,9478.1
SCRUSDT,2025-04-25 23:00:00,0.3074,0.3081,0.3064,0.3072,9069.9
SCRUSDT,2025-04-25 23:15:00,0.3072,0.3072,0.3055,0.3064,11894.0
SCRUSDT,2025-04-25 23:30:00,0.3064,0.3064,0.3042,0.3043,21640.6
SCRUSDT,2025-04-25 23:45:00,0.3043,0.3044,0.3037,0.3044,10202.4
SCRUSDT,2025-04-26 00:00:00,0.3044,0.3077,0.3044,0.3069,12966.2
SCRUSDT,2025-04-26 00:15:00,0.3069,0.3099,0.3062,0.3086,29352.9
SCRUSDT,2025-04-26 00:30:00,0.3086,0.309,0.3074,0.3087,16717.8
SCRUSDT,2025-04-26 00:45:00,0.3087,0.3105,0.3065,0.3065,55937.4
SCRUSDT,2025-04-26 01:00:00,0.3065,0.3072,0.3054,0.3072,17590.4
SCRUSDT,2025-04-26 01:15:00,0.3072,0.3101,0.3068,0.3097,29686.4
SCRUSDT,2025-04-26 01:30:00,0.3097,0.3154,0.3096,0.3127,25311.3
SCRUSDT,2025-04-26 01:45:00,0.3127,0.3135,0.3124,0.3135,12560.8
SCRUSDT,2025-04-26 02:00:00,0.3135,0.3135,0.3088,0.3093,34551.1
SCRUSDT,2025-04-26 02:15:00,0.3093,0.3112,0.3088,0.3112,10560.7
SCRUSDT,2025-04-26 02:30:00,0.3112,0.3134,0.3108,0.3127,8453.0
SCRUSDT,2025-04-26 02:45:00,0.3127,0.3139,0.3122,0.3129,11663.5
SCRUSDT,2025-04-26 03:00:00,0.3129,0.3133,0.3103,0.3117,9791.7
SCRUSDT,2025-04-26 03:15:00,0.3117,0.3117,0.3087,0.3089,9404.8
SCRUSDT,2025-04-26 03:30:00,0.3089,0.3098,0.3084,0.3096,6851.9
SCRUSDT,2025-04-26 03:45:00,0.3096,0.3114,0.3096,0.3106,7707.0
SCRUSDT,2025-04-26 04:00:00,0.3106,0.3108,0.3096,0.3102,7882.1
SCRUSDT,2025-04-26 04:15:00,0.3102,0.3111,0.3092,0.3096,6604.6
SCRUSDT,2025-04-26 04:30:00,0.3096,0.3096,0.3063,0.3066,10950.9
SCRUSDT,2025-04-26 04:45:00,0.3066,0.3083,0.3066,0.3067,6692.1
SCRUSDT,2025-04-26 05:00:00,0.3067,0.3075,0.3047,0.3054,6807.6
SCRUSDT,2025-04-26 05:15:00,0.3054,0.3065,0.3049,0.3062,6793.3
SCRUSDT,2025-04-26 05:30:00,0.3062,0.3085,0.3062,0.3083,15400.7
SCRUSDT,2025-04-26 05:45:00,0.3083,0.3099,0.3083,0.3087,9331.7
SCRUSDT,2025-04-26 06:00:00,0.3087,0.3115,0.3087,0.3114,8179.7
SCRUSDT,2025-04-26 06:15:00,0.3114,0.3116,0.3105,0.3108,9260.1
SCRUSDT,2025-04-26 06:30:00,0.3108,0.3122,0.3103,0.3113,57486.1
SCRUSDT,2025-04-26 06:45:00,0.3113,0.3128,0.3113,0.3117,12842.0
SCRUSDT,2025-04-26 07:00:00,0.3117,0.3145,0.3112,0.3138,15571.5
SCRUSDT,2025-04-26 07:15:00,0.3138,0.3147,0.3138,0.3145,7699.2
SCRUSDT,2025-04-26 07:30:00,0.3145,0.3159,0.3137,0.3159,8989.4
SCRUSDT,2025-04-26 07:45:00,0.3159,0.3159,0.3114,0.3119,9701.9
SCRUSDT,2025-04-26 08:00:00,0.3119,0.3146,0.3119,0.3134,17550.7
SCRUSDT,2025-04-26 08:15:00,0.3134,0.318,0.3134,0.3162,24935.2
SCRUSDT,2025-04-26 08:30:00,0.3162,0.3164,0.3111,0.3118,66743.5
SCRUSDT,2025-04-26 08:45:00,0.3118,0.3118,0.3093,0.3105,19819.0
SCRUSDT,2025-04-26 09:00:00,0.3105,0.3124,0.3091,0.3124,16670.9
SCRUSDT,2025-04-26 09:15:00,0.3124,0.3145,0.3116,0.3124,18856.7
SCRUSDT,2025-04-26 09:30:00,0.3124,0.3124,0.3083,0.3103,12145.0
SCRUSDT,2025-04-26 09:45:00,0.3103,0.3126,0.31,0.3126,7589.2
SCRUSDT,2025-04-26 10:00:00,0.3126,0.3148,0.3125,0.3134,9325.7
SCRUSDT,2025-04-26 10:15:00,0.3134,0.3158,0.3132,0.3144,43935.2
SCRUSDT,2025-04-26 10:30:00,0.3144,0.3158,0.314,0.3158,7722.0
SCRUSDT,2025-04-26 10:45:00,0.3158,0.316,0.3138,0.3143,22671.4
SCRUSDT,2025-04-26 11:00:00,0.3143,0.3178,0.3137,0.3137,10433.4
SCRUSDT,2025-04-26 11:15:00,0.3137,0.3153,0.3126,0.3131,11006.8
