symbol,timestamp,open,high,low,close,volume
SERAPHUSDT,2025-04-25 16:30:00,0.16991,0.1704,0.16929,0.17039,32399.0
SERAPHUSDT,2025-04-25 16:45:00,0.17039,0.17041,0.16907,0.1696,30599.0
SERAPHUSDT,2025-04-25 17:00:00,0.1696,0.16978,0.16921,0.16939,33498.0
SERAPHUSDT,2025-04-25 17:15:00,0.16939,0.17058,0.16939,0.16957,59860.0
SERAPHUSDT,2025-04-25 17:30:00,0.16957,0.16959,0.1678,0.16825,74488.0
SERAPHUSDT,2025-04-25 17:45:00,0.16825,0.16847,0.16789,0.16813,39425.0
SERAPHUSDT,2025-04-25 18:00:00,0.16813,0.16929,0.16813,0.16901,28251.0
SERAPHUSDT,2025-04-25 18:15:00,0.16901,0.16928,0.16872,0.16924,26328.0
SERAPHUSDT,2025-04-25 18:30:00,0.16924,0.17118,0.16911,0.17118,31027.0
SERAPHUSDT,2025-04-25 18:45:00,0.17118,0.1719,0.17081,0.17088,28242.0
SERAPHUSDT,2025-04-25 19:00:00,0.17088,0.17118,0.17081,0.17083,24147.0
SERAPHUSDT,2025-04-25 19:15:00,0.17083,0.17123,0.17082,0.17111,22034.0
SERAPHUSDT,2025-04-25 19:30:00,0.17111,0.17111,0.17031,0.17076,22521.0
SERAPHUSDT,2025-04-25 19:45:00,0.17076,0.17089,0.17032,0.17072,24686.0
SERAPHUSDT,2025-04-25 20:00:00,0.17072,0.17105,0.17027,0.17049,27100.0
SERAPHUSDT,2025-04-25 20:15:00,0.17049,0.17094,0.17032,0.17075,27904.0
SERAPHUSDT,2025-04-25 20:30:00,0.17075,0.17098,0.17047,0.17076,24894.0
SERAPHUSDT,2025-04-25 20:45:00,0.17076,0.17085,0.17047,0.17061,24883.0
SERAPHUSDT,2025-04-25 21:00:00,0.17061,0.17088,0.17025,0.17052,29464.0
SERAPHUSDT,2025-04-25 21:15:00,0.17052,0.17076,0.17014,0.17076,29871.0
SERAPHUSDT,2025-04-25 21:30:00,0.17076,0.17076,0.17015,0.17068,32660.0
SERAPHUSDT,2025-04-25 21:45:00,0.17068,0.17075,0.17025,0.17037,37074.0
SERAPHUSDT,2025-04-25 22:00:00,0.17037,0.17037,0.1698,0.17008,28349.0
SERAPHUSDT,2025-04-25 22:15:00,0.17008,0.17009,0.16971,0.16989,19086.0
SERAPHUSDT,2025-04-25 22:30:00,0.16989,0.1703,0.16981,0.17016,20631.0
SERAPHUSDT,2025-04-25 22:45:00,0.17016,0.17026,0.16971,0.16972,19299.0
SERAPHUSDT,2025-04-25 23:00:00,0.16972,0.17005,0.16971,0.16978,17914.0
SERAPHUSDT,2025-04-25 23:15:00,0.16978,0.16981,0.16971,0.16971,19471.0
SERAPHUSDT,2025-04-25 23:30:00,0.16971,0.16972,0.16921,0.16929,25287.0
SERAPHUSDT,2025-04-25 23:45:00,0.16929,0.16944,0.16888,0.16907,24334.0
SERAPHUSDT,2025-04-26 00:00:00,0.16907,0.16949,0.16907,0.16941,21347.0
SERAPHUSDT,2025-04-26 00:15:00,0.16941,0.16941,0.16877,0.16878,18122.0
SERAPHUSDT,2025-04-26 00:30:00,0.16878,0.16916,0.16869,0.16888,18399.0
SERAPHUSDT,2025-04-26 00:45:00,0.16888,0.1694,0.16888,0.16916,22273.0
SERAPHUSDT,2025-04-26 01:00:00,0.16916,0.16947,0.16888,0.1693,18174.0
SERAPHUSDT,2025-04-26 01:15:00,0.1693,0.17011,0.16916,0.16989,22445.0
SERAPHUSDT,2025-04-26 01:30:00,0.16989,0.17078,0.1698,0.17073,17920.0
SERAPHUSDT,2025-04-26 01:45:00,0.17073,0.17076,0.17003,0.17016,17058.0
SERAPHUSDT,2025-04-26 02:00:00,0.17016,0.17046,0.16998,0.1702,19537.0
SERAPHUSDT,2025-04-26 02:15:00,0.1702,0.17078,0.1702,0.17054,16563.0
SERAPHUSDT,2025-04-26 02:30:00,0.17054,0.17168,0.17043,0.1711,20695.0
SERAPHUSDT,2025-04-26 02:45:00,0.1711,0.17142,0.17107,0.17126,19577.0
SERAPHUSDT,2025-04-26 03:00:00,0.17126,0.17145,0.17089,0.1711,20628.0
SERAPHUSDT,2025-04-26 03:15:00,0.1711,0.17125,0.17033,0.17035,22653.0
SERAPHUSDT,2025-04-26 03:30:00,0.17035,0.17059,0.17031,0.17035,22193.0
SERAPHUSDT,2025-04-26 03:45:00,0.17035,0.1705,0.17031,0.17041,17590.0
SERAPHUSDT,2025-04-26 04:00:00,0.17041,0.17105,0.17032,0.17057,21321.0
SERAPHUSDT,2025-04-26 04:15:00,0.17057,0.17079,0.17032,0.17047,22051.0
SERAPHUSDT,2025-04-26 04:30:00,0.17047,0.17071,0.17033,0.17067,19137.0
SERAPHUSDT,2025-04-26 04:45:00,0.17067,0.17068,0.17032,0.17045,26731.0
SERAPHUSDT,2025-04-26 05:00:00,0.17045,0.17066,0.17033,0.17042,23794.0
SERAPHUSDT,2025-04-26 05:15:00,0.17042,0.17081,0.17041,0.17051,26172.0
SERAPHUSDT,2025-04-26 05:30:00,0.17051,0.17178,0.17051,0.17145,30797.0
SERAPHUSDT,2025-04-26 05:45:00,0.17145,0.17159,0.17048,0.17059,32652.0
SERAPHUSDT,2025-04-26 06:00:00,0.17059,0.17168,0.17042,0.17138,26852.0
SERAPHUSDT,2025-04-26 06:15:00,0.17138,0.17173,0.17043,0.17069,32469.0
SERAPHUSDT,2025-04-26 06:30:00,0.17069,0.17148,0.17054,0.17145,28749.0
SERAPHUSDT,2025-04-26 06:45:00,0.17145,0.17146,0.17038,0.17056,26228.0
SERAPHUSDT,2025-04-26 07:00:00,0.17056,0.17258,0.17038,0.17192,22852.0
SERAPHUSDT,2025-04-26 07:15:00,0.17192,0.17247,0.17102,0.17239,26169.0
SERAPHUSDT,2025-04-26 07:30:00,0.17239,0.17248,0.17142,0.17168,20599.0
SERAPHUSDT,2025-04-26 07:45:00,0.17168,0.1718,0.17085,0.171,22896.0
SERAPHUSDT,2025-04-26 08:00:00,0.171,0.17116,0.17081,0.17098,18245.0
SERAPHUSDT,2025-04-26 08:15:00,0.17098,0.1718,0.17081,0.1715,16146.0
SERAPHUSDT,2025-04-26 08:30:00,0.1715,0.17218,0.1715,0.1716,20344.0
SERAPHUSDT,2025-04-26 08:45:00,0.1716,0.17171,0.17082,0.17082,23685.0
SERAPHUSDT,2025-04-26 09:00:00,0.17082,0.17108,0.17081,0.17089,16146.0
SERAPHUSDT,2025-04-26 09:15:00,0.17089,0.17124,0.17082,0.17082,23192.0
SERAPHUSDT,2025-04-26 09:30:00,0.17082,0.17093,0.17033,0.17045,17012.0
SERAPHUSDT,2025-04-26 09:45:00,0.17045,0.17064,0.17033,0.17044,19444.0
SERAPHUSDT,2025-04-26 10:00:00,0.17044,0.17052,0.16986,0.17,20502.0
SERAPHUSDT,2025-04-26 10:15:00,0.17,0.17067,0.16985,0.17046,16530.0
