symbol,timestamp,open,high,low,close,volume
SHMUSDT,2025-05-15 06:30:00,0.2217,0.2224,0.2207,0.2216,86046.0
SHMUSDT,2025-05-15 06:45:00,0.2216,0.2216,0.2177,0.2188,104626.0
SHMUSDT,2025-05-15 07:00:00,0.2188,0.2199,0.2159,0.2171,67130.0
SHMUSDT,2025-05-15 07:15:00,0.2171,0.221,0.2131,0.2134,116972.0
SHMUSDT,2025-05-15 07:30:00,0.2134,0.216,0.2094,0.2133,107586.0
SHMUSDT,2025-05-15 07:45:00,0.2133,0.215,0.1962,0.1972,207354.0
SHMUSDT,2025-05-15 08:00:00,0.1972,0.2003,0.1947,0.1964,126076.0
SHMUSDT,2025-05-15 08:15:00,0.1964,0.1968,0.187,0.1887,208812.0
SHMUSDT,2025-05-15 08:30:00,0.1887,0.1987,0.1886,0.198,133357.0
SHMUSDT,2025-05-15 08:45:00,0.198,0.1982,0.1914,0.1937,110225.0
SHMUSDT,2025-05-15 09:00:00,0.1937,0.1952,0.1898,0.192,78313.0
SHMUSDT,2025-05-15 09:15:00,0.192,0.1921,0.1884,0.1896,71282.0
SHMUSDT,2025-05-15 09:30:00,0.1896,0.1901,0.1883,0.1885,122915.0
SHMUSDT,2025-05-15 09:45:00,0.1885,0.1901,0.1859,0.1877,196160.0
SHMUSDT,2025-05-15 10:00:00,0.1877,0.1885,0.178,0.178,314136.0
SHMUSDT,2025-05-15 10:15:00,0.178,0.179,0.1729,0.1741,211001.0
SHMUSDT,2025-05-15 10:30:00,0.1741,0.1747,0.1616,0.1616,259053.0
SHMUSDT,2025-05-15 10:45:00,0.1616,0.1641,0.1592,0.1623,250057.0
SHMUSDT,2025-05-15 11:00:00,0.1623,0.171,0.1608,0.1663,217857.0
SHMUSDT,2025-05-15 11:15:00,0.1663,0.1725,0.1655,0.1666,109396.0
SHMUSDT,2025-05-15 11:30:00,0.1666,0.168,0.1611,0.1624,140190.0
SHMUSDT,2025-05-15 11:45:00,0.1624,0.1639,0.1607,0.1626,176404.0
SHMUSDT,2025-05-15 12:00:00,0.1626,0.1645,0.1615,0.1643,224232.0
SHMUSDT,2025-05-15 12:15:00,0.1643,0.166,0.1627,0.164,212068.0
SHMUSDT,2025-05-15 12:30:00,0.164,0.1665,0.1633,0.1644,131565.0
SHMUSDT,2025-05-15 12:45:00,0.1644,0.1661,0.1627,0.163,132691.0
SHMUSDT,2025-05-15 13:00:00,0.163,0.1691,0.1629,0.1641,380158.0
SHMUSDT,2025-05-15 13:15:00,0.1641,0.1656,0.163,0.164,116576.0
SHMUSDT,2025-05-15 13:30:00,0.164,0.1648,0.1539,0.16,418048.0
SHMUSDT,2025-05-15 13:45:00,0.16,0.1627,0.1552,0.1603,277949.0
SHMUSDT,2025-05-15 14:00:00,0.1603,0.1607,0.157,0.158,153929.0
SHMUSDT,2025-05-15 14:15:00,0.158,0.159,0.1512,0.1567,530351.0
SHMUSDT,2025-05-15 14:30:00,0.1567,0.1585,0.155,0.1571,139912.0
SHMUSDT,2025-05-15 14:45:00,0.1571,0.1577,0.1505,0.1553,492714.0
SHMUSDT,2025-05-15 15:00:00,0.1553,0.1581,0.1546,0.1573,111460.0
SHMUSDT,2025-05-15 15:15:00,0.1573,0.1595,0.1569,0.1576,125691.0
SHMUSDT,2025-05-15 15:30:00,0.1576,0.1591,0.1551,0.1563,131417.0
SHMUSDT,2025-05-15 15:45:00,0.1563,0.1593,0.1552,0.1576,214926.0
SHMUSDT,2025-05-15 16:00:00,0.1576,0.1595,0.1566,0.1582,180694.0
SHMUSDT,2025-05-15 16:15:00,0.1582,0.1587,0.1568,0.1578,130704.0
SHMUSDT,2025-05-15 16:30:00,0.1578,0.16,0.1565,0.1577,158675.0
SHMUSDT,2025-05-15 16:45:00,0.1577,0.1579,0.1564,0.1572,65514.0
SHMUSDT,2025-05-15 17:00:00,0.1572,0.1585,0.1566,0.1578,64051.0
SHMUSDT,2025-05-15 17:15:00,0.1578,0.1578,0.1552,0.1571,125713.0
SHMUSDT,2025-05-15 17:30:00,0.1571,0.158,0.1562,0.1567,139349.0
SHMUSDT,2025-05-15 17:45:00,0.1567,0.1569,0.1538,0.1566,215933.0
SHMUSDT,2025-05-15 18:00:00,0.1566,0.1566,0.1552,0.156,58701.0
SHMUSDT,2025-05-15 18:15:00,0.156,0.1565,0.1552,0.1556,45311.0
SHMUSDT,2025-05-15 18:30:00,0.1556,0.1556,0.1458,0.1501,338009.0
SHMUSDT,2025-05-15 18:45:00,0.1501,0.1516,0.148,0.1493,152753.0
SHMUSDT,2025-05-15 19:00:00,0.1493,0.1523,0.1492,0.1523,74711.0
SHMUSDT,2025-05-15 19:15:00,0.1523,0.1526,0.1505,0.1505,52333.0
SHMUSDT,2025-05-15 19:30:00,0.1505,0.1539,0.1493,0.1528,112305.0
SHMUSDT,2025-05-15 19:45:00,0.1528,0.1532,0.148,0.1484,159682.0
SHMUSDT,2025-05-15 20:00:00,0.1484,0.1509,0.1484,0.1492,98136.0
SHMUSDT,2025-05-15 20:15:00,0.1492,0.1511,0.1489,0.15,48726.0
SHMUSDT,2025-05-15 20:30:00,0.15,0.1516,0.1491,0.1511,60214.0
SHMUSDT,2025-05-15 20:45:00,0.1511,0.1522,0.1502,0.1512,65688.0
SHMUSDT,2025-05-15 21:00:00,0.1512,0.152,0.1493,0.151,74797.0
SHMUSDT,2025-05-15 21:15:00,0.151,0.1512,0.1497,0.1506,65609.0
SHMUSDT,2025-05-15 21:30:00,0.1506,0.1518,0.1499,0.151,87768.0
