symbol,timestamp,open,high,low,close,volume
SKYAIUSDT,2025-05-13 07:30:00,0.06185,0.07272,0.06131,0.07272,5780.0
SKYAIUSDT,2025-05-13 07:35:00,0.07272,0.07272,0.06036,0.06036,23514.0
SKYAIUSDT,2025-05-13 07:40:00,0.06036,0.06108,0.05723,0.06108,63348.0
SKYAIUSDT,2025-05-13 07:45:00,0.06108,0.06108,0.05945,0.0604,44826.0
SKYAIUSDT,2025-05-13 07:50:00,0.0604,0.06175,0.0604,0.0615,52746.0
SKYAIUSDT,2025-05-13 07:55:00,0.0615,0.06264,0.06126,0.06182,24477.0
SKYAIUSDT,2025-05-13 08:00:00,0.06182,0.06213,0.06073,0.06193,61656.0
SKYAIUSDT,2025-05-13 08:05:00,0.06193,0.06193,0.06022,0.06035,64416.0
SKYAIUSDT,2025-05-13 08:10:00,0.06035,0.06079,0.05848,0.05885,52296.0
SKYAIUSDT,2025-05-13 08:15:00,0.05885,0.05951,0.0579,0.05825,52391.0
SKYAIUSDT,2025-05-13 08:20:00,0.05825,0.05862,0.05669,0.05742,48161.0
SKYAIUSDT,2025-05-13 08:25:00,0.05742,0.05763,0.0568,0.0568,40704.0
SKYAIUSDT,2025-05-13 08:30:00,0.0568,0.0572,0.05466,0.05482,81774.0
SKYAIUSDT,2025-05-13 08:35:00,0.05482,0.05521,0.05314,0.05335,91584.0
SKYAIUSDT,2025-05-13 08:40:00,0.05335,0.05818,0.05265,0.05818,74490.0
SKYAIUSDT,2025-05-13 08:45:00,0.05818,0.05818,0.05572,0.05572,94986.0
SKYAIUSDT,2025-05-13 08:50:00,0.05572,0.05711,0.05548,0.05663,58848.0
SKYAIUSDT,2025-05-13 08:55:00,0.05663,0.05748,0.05663,0.05723,81330.0
SKYAIUSDT,2025-05-13 09:00:00,0.05723,0.05793,0.05654,0.05654,65274.0
SKYAIUSDT,2025-05-13 09:05:00,0.05654,0.05735,0.0562,0.05635,69954.0
SKYAIUSDT,2025-05-13 09:10:00,0.05635,0.05717,0.05635,0.05703,58428.0
SKYAIUSDT,2025-05-13 09:15:00,0.05703,0.05739,0.05664,0.05713,76164.0
SKYAIUSDT,2025-05-13 09:20:00,0.05713,0.05755,0.05664,0.05723,80178.0
SKYAIUSDT,2025-05-13 09:25:00,0.05723,0.05762,0.05676,0.05757,110418.0
SKYAIUSDT,2025-05-13 09:30:00,0.05757,0.05767,0.05666,0.05723,93498.0
SKYAIUSDT,2025-05-13 09:35:00,0.05723,0.0573,0.05666,0.05721,101517.0
SKYAIUSDT,2025-05-13 09:40:00,0.05721,0.05937,0.05679,0.05857,298718.0
SKYAIUSDT,2025-05-13 09:45:00,0.05857,0.06055,0.05706,0.05976,6199618.0
SKYAIUSDT,2025-05-13 09:50:00,0.05976,0.06,0.05836,0.05951,2822841.0
SKYAIUSDT,2025-05-13 09:55:00,0.05951,0.0605,0.059,0.06034,3700214.0
SKYAIUSDT,2025-05-13 10:00:00,0.06034,0.0617,0.05981,0.06126,5233397.0
SKYAIUSDT,2025-05-13 10:05:00,0.06126,0.0626,0.06071,0.06123,3935745.0
SKYAIUSDT,2025-05-13 10:10:00,0.06123,0.06128,0.05959,0.06005,3177932.0
SKYAIUSDT,2025-05-13 10:15:00,0.06005,0.0608,0.05935,0.06053,1771132.0
SKYAIUSDT,2025-05-13 10:20:00,0.06053,0.06127,0.06026,0.06081,1407083.0
SKYAIUSDT,2025-05-13 10:25:00,0.06081,0.06266,0.06081,0.06161,2343420.0
SKYAIUSDT,2025-05-13 10:30:00,0.06161,0.0622,0.06044,0.06128,1944078.0
SKYAIUSDT,2025-05-13 10:35:00,0.06128,0.06289,0.06069,0.06236,1912345.0
SKYAIUSDT,2025-05-13 10:40:00,0.06236,0.06276,0.06182,0.06263,1236804.0
SKYAIUSDT,2025-05-13 10:45:00,0.06263,0.06311,0.06168,0.06245,1741264.0
SKYAIUSDT,2025-05-13 10:50:00,0.06245,0.06255,0.06193,0.062,512017.0
SKYAIUSDT,2025-05-13 10:55:00,0.062,0.06225,0.06161,0.06171,411408.0
SKYAIUSDT,2025-05-13 11:00:00,0.06171,0.06171,0.06028,0.06075,3004081.0
SKYAIUSDT,2025-05-13 11:05:00,0.06075,0.06384,0.06074,0.06358,4114060.0
SKYAIUSDT,2025-05-13 11:10:00,0.06358,0.06364,0.06288,0.06352,1648273.0
SKYAIUSDT,2025-05-13 11:15:00,0.06352,0.06393,0.06091,0.06171,3409265.0
SKYAIUSDT,2025-05-13 11:20:00,0.06171,0.06264,0.06159,0.06208,993448.0
SKYAIUSDT,2025-05-13 11:25:00,0.06208,0.06352,0.06208,0.06261,3060520.0
SKYAIUSDT,2025-05-13 11:30:00,0.06261,0.06298,0.06212,0.06286,780785.0
SKYAIUSDT,2025-05-13 11:35:00,0.06286,0.06391,0.06244,0.06382,876406.0
SKYAIUSDT,2025-05-13 11:40:00,0.06382,0.06439,0.06343,0.0637,1090370.0
SKYAIUSDT,2025-05-13 11:45:00,0.0637,0.06373,0.06238,0.06353,3166279.0
SKYAIUSDT,2025-05-13 11:50:00,0.06353,0.06388,0.063,0.06331,995165.0
SKYAIUSDT,2025-05-13 11:55:00,0.06331,0.06333,0.06271,0.06297,990132.0
SKYAIUSDT,2025-05-13 12:00:00,0.06297,0.06308,0.06267,0.06303,735232.0
SKYAIUSDT,2025-05-13 12:05:00,0.06303,0.06379,0.06303,0.06333,968463.0
SKYAIUSDT,2025-05-13 12:10:00,0.06333,0.06354,0.06287,0.06313,549478.0
SKYAIUSDT,2025-05-13 12:15:00,0.06313,0.06394,0.06264,0.06321,953506.0
SKYAIUSDT,2025-05-13 12:20:00,0.06321,0.0637,0.06303,0.0633,966885.0
SKYAIUSDT,2025-05-13 12:25:00,0.0633,0.06356,0.06285,0.06321,702236.0
SKYAIUSDT,2025-05-13 12:30:00,0.06321,0.0635,0.06262,0.06273,601302.0
SKYAIUSDT,2025-05-13 12:35:00,0.06273,0.06273,0.06141,0.0621,1692191.0
SKYAIUSDT,2025-05-13 12:40:00,0.0621,0.06396,0.06205,0.06276,1340924.0
SKYAIUSDT,2025-05-13 12:45:00,0.06276,0.06276,0.06192,0.06226,951156.0
SKYAIUSDT,2025-05-13 12:50:00,0.06226,0.06232,0.06161,0.06192,662803.0
SKYAIUSDT,2025-05-13 12:55:00,0.06192,0.06192,0.06051,0.06103,1236193.0
SKYAIUSDT,2025-05-13 13:00:00,0.06103,0.06191,0.06102,0.06155,1054552.0
SKYAIUSDT,2025-05-13 13:05:00,0.06155,0.06203,0.06155,0.06185,251531.0
SKYAIUSDT,2025-05-13 13:10:00,0.06185,0.06239,0.06179,0.06234,215114.0
SKYAIUSDT,2025-05-13 13:15:00,0.06234,0.06239,0.06122,0.06179,225103.0
SKYAIUSDT,2025-05-13 13:20:00,0.06179,0.06204,0.06158,0.06174,176928.0
SKYAIUSDT,2025-05-13 13:25:00,0.06174,0.06208,0.06172,0.06195,185247.0
SKYAIUSDT,2025-05-13 13:30:00,0.06195,0.06214,0.06185,0.0619,206288.0
SKYAIUSDT,2025-05-13 13:35:00,0.0619,0.06239,0.0617,0.062,437003.0
SKYAIUSDT,2025-05-13 13:40:00,0.062,0.06231,0.06192,0.06197,312987.0
SKYAIUSDT,2025-05-13 13:45:00,0.06197,0.06204,0.06121,0.06159,555245.0
SKYAIUSDT,2025-05-13 13:50:00,0.06159,0.06197,0.06159,0.06169,336565.0
SKYAIUSDT,2025-05-13 13:55:00,0.06169,0.06205,0.06169,0.06182,215919.0
SKYAIUSDT,2025-05-13 14:00:00,0.06182,0.06182,0.06124,0.06161,445489.0
SKYAIUSDT,2025-05-13 14:05:00,0.06161,0.06161,0.06119,0.0612,226678.0
SKYAIUSDT,2025-05-13 14:10:00,0.0612,0.06129,0.06075,0.06088,625743.0
SKYAIUSDT,2025-05-13 14:15:00,0.06088,0.0609,0.0599,0.06038,1912698.0
SKYAIUSDT,2025-05-13 14:20:00,0.06038,0.06142,0.06038,0.06096,853023.0
SKYAIUSDT,2025-05-13 14:25:00,0.06096,0.06119,0.06058,0.0611,353400.0
SKYAIUSDT,2025-05-13 14:30:00,0.0611,0.0611,0.06086,0.0609,65671.0
SKYAIUSDT,2025-05-13 14:35:00,0.0609,0.06102,0.06066,0.06096,172818.0
SKYAIUSDT,2025-05-13 14:40:00,0.06096,0.06096,0.06035,0.06049,755315.0
SKYAIUSDT,2025-05-13 14:45:00,0.06049,0.06062,0.06036,0.06044,212182.0
SKYAIUSDT,2025-05-13 14:50:00,0.06044,0.06105,0.06044,0.06095,460408.0
SKYAIUSDT,2025-05-13 14:55:00,0.06095,0.06113,0.06082,0.06096,152887.0
SKYAIUSDT,2025-05-13 15:00:00,0.06096,0.0611,0.06073,0.06101,683509.0
SKYAIUSDT,2025-05-13 15:05:00,0.06101,0.06651,0.06091,0.06496,3849316.0
SKYAIUSDT,2025-05-13 15:10:00,0.06496,0.06543,0.06345,0.06402,1114037.0
SKYAIUSDT,2025-05-13 15:15:00,0.06402,0.06433,0.06359,0.06398,1036301.0
SKYAIUSDT,2025-05-13 15:20:00,0.06398,0.06408,0.06267,0.06308,982683.0
SKYAIUSDT,2025-05-13 15:25:00,0.06308,0.06329,0.06277,0.0629,374719.0
SKYAIUSDT,2025-05-13 15:30:00,0.0629,0.06517,0.0629,0.06446,1182813.0
SKYAIUSDT,2025-05-13 15:35:00,0.06446,0.06471,0.06389,0.06437,574936.0
SKYAIUSDT,2025-05-13 15:40:00,0.06437,0.06512,0.06437,0.06486,343390.0
SKYAIUSDT,2025-05-13 15:45:00,0.06486,0.06543,0.06435,0.06501,444889.0
SKYAIUSDT,2025-05-13 15:50:00,0.06501,0.06508,0.06434,0.06498,439460.0
SKYAIUSDT,2025-05-13 15:55:00,0.06498,0.06509,0.06451,0.06464,287283.0
SKYAIUSDT,2025-05-13 16:00:00,0.06464,0.06484,0.06309,0.06346,765367.0
SKYAIUSDT,2025-05-13 16:05:00,0.06346,0.06393,0.06344,0.06384,299907.0
SKYAIUSDT,2025-05-13 16:10:00,0.06384,0.06406,0.06268,0.06312,1495217.0
SKYAIUSDT,2025-05-13 16:15:00,0.06312,0.06321,0.0617,0.06269,1340291.0
SKYAIUSDT,2025-05-13 16:20:00,0.06269,0.06275,0.0622,0.06256,180610.0
SKYAIUSDT,2025-05-13 16:25:00,0.06256,0.0635,0.06252,0.06336,337643.0
SKYAIUSDT,2025-05-13 16:30:00,0.06336,0.06354,0.06302,0.0634,199483.0
SKYAIUSDT,2025-05-13 16:35:00,0.0634,0.06346,0.06294,0.06306,453435.0
SKYAIUSDT,2025-05-13 16:40:00,0.06306,0.06306,0.06167,0.06245,349890.0
SKYAIUSDT,2025-05-13 16:45:00,0.06245,0.06295,0.06244,0.06268,166611.0
