symbol,timestamp,open,high,low,close,volume
SNXUSDT,2025-04-26 14:40:00,0.7564,0.7579,0.7555,0.7555,1453.7
SNXUSDT,2025-04-26 14:45:00,0.7555,0.7568,0.7545,0.7561,1360.0
SNXUSDT,2025-04-26 14:50:00,0.7561,0.7564,0.7539,0.7558,1485.4
SNXUSDT,2025-04-26 14:55:00,0.7558,0.7558,0.7526,0.7533,1673.4
SNXUSDT,2025-04-26 15:00:00,0.7533,0.7559,0.7533,0.7559,1563.6
SNXUSDT,2025-04-26 15:05:00,0.7559,0.7568,0.7547,0.7557,1045.5
SNXUSDT,2025-04-26 15:10:00,0.7557,0.7579,0.7553,0.7579,792.4
SNXUSDT,2025-04-26 15:15:00,0.7579,0.7589,0.7562,0.7562,1606.4
SNXUSDT,2025-04-26 15:20:00,0.7562,0.7578,0.7562,0.7578,1216.1
SNXUSDT,2025-04-26 15:25:00,0.7578,0.76,0.7576,0.7594,1445.5
SNXUSDT,2025-04-26 15:30:00,0.7594,0.761,0.7594,0.7598,7858.1
SNXUSDT,2025-04-26 15:35:00,0.7598,0.763,0.7595,0.7625,1798.1
SNXUSDT,2025-04-26 15:40:00,0.7625,0.7644,0.7624,0.7637,2140.4
SNXUSDT,2025-04-26 15:45:00,0.7637,0.7648,0.7624,0.7646,1843.7
SNXUSDT,2025-04-26 15:50:00,0.7646,0.7659,0.7633,0.7645,1507.7
SNXUSDT,2025-04-26 15:55:00,0.7645,0.7649,0.7631,0.7631,1328.4
SNXUSDT,2025-04-26 16:00:00,0.7631,0.7641,0.7624,0.7634,965.2
SNXUSDT,2025-04-26 16:05:00,0.7634,0.7634,0.7604,0.7605,1760.6
SNXUSDT,2025-04-26 16:10:00,0.7605,0.7618,0.7595,0.7612,788.5
SNXUSDT,2025-04-26 16:15:00,0.7612,0.7638,0.7612,0.7627,1015.1
SNXUSDT,2025-04-26 16:20:00,0.7627,0.7645,0.7625,0.7645,1370.2
SNXUSDT,2025-04-26 16:25:00,0.7645,0.7658,0.7645,0.7648,1309.3
SNXUSDT,2025-04-26 16:30:00,0.7648,0.7648,0.7626,0.7627,1180.4
SNXUSDT,2025-04-26 16:35:00,0.7627,0.7639,0.7604,0.7604,1195.5
SNXUSDT,2025-04-26 16:40:00,0.7604,0.7608,0.7573,0.7575,1042.9
SNXUSDT,2025-04-26 16:45:00,0.7575,0.7608,0.7564,0.7606,1354.6
SNXUSDT,2025-04-26 16:50:00,0.7606,0.7618,0.7594,0.7614,1377.5
SNXUSDT,2025-04-26 16:55:00,0.7614,0.7618,0.7607,0.7607,1409.1
SNXUSDT,2025-04-26 17:00:00,0.7607,0.7628,0.7605,0.7621,1834.4
SNXUSDT,2025-04-26 17:05:00,0.7621,0.7621,0.7605,0.7616,1168.3
SNXUSDT,2025-04-26 17:10:00,0.7616,0.7619,0.7603,0.7603,1025.5
SNXUSDT,2025-04-26 17:15:00,0.7603,0.7623,0.7603,0.7613,1432.6
SNXUSDT,2025-04-26 17:20:00,0.7613,0.7619,0.7604,0.7616,1125.4
SNXUSDT,2025-04-26 17:25:00,0.7616,0.7637,0.7613,0.7631,1308.7
SNXUSDT,2025-04-26 17:30:00,0.7631,0.7635,0.7624,0.7628,1383.5
SNXUSDT,2025-04-26 17:35:00,0.7628,0.7638,0.7625,0.7635,1521.1
SNXUSDT,2025-04-26 17:40:00,0.7635,0.7668,0.7634,0.7668,1375.8
