symbol,timestamp,open,high,low,close,volume
SOONUSDT,2025-05-23 07:30:00,0.4999,0.509,0.4813,0.5012,197.0
SOONUSDT,2025-05-23 07:35:00,0.5012,0.5014,0.501,0.501,88.0
SOONUSDT,2025-05-23 07:40:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 07:45:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 07:50:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 07:55:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:00:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:05:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:10:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:15:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:20:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:25:00,0.501,0.501,0.501,0.501,0.0
SOONUSDT,2025-05-23 08:30:00,0.501,0.53,0.501,0.5113,12567.0
SOONUSDT,2025-05-23 08:35:00,0.5113,0.5248,0.5106,0.5173,21983.0
SOONUSDT,2025-05-23 08:40:00,0.5173,0.5348,0.517,0.5257,141711.0
SOONUSDT,2025-05-23 08:45:00,0.5257,0.5424,0.517,0.5365,1631068.0
SOONUSDT,2025-05-23 08:50:00,0.5365,0.568,0.53,0.5604,2173435.0
SOONUSDT,2025-05-23 08:55:00,0.5604,0.5616,0.5414,0.543,1482830.0
SOONUSDT,2025-05-23 09:00:00,0.543,0.5517,0.5375,0.5484,928051.0
SOONUSDT,2025-05-23 09:05:00,0.5484,0.5506,0.5303,0.5398,1233155.0
SOONUSDT,2025-05-23 09:10:00,0.5398,0.5398,0.5294,0.537,1077114.0
SOONUSDT,2025-05-23 09:15:00,0.537,0.5418,0.53,0.5397,629274.0
SOONUSDT,2025-05-23 09:20:00,0.5397,0.5474,0.5361,0.5464,399694.0
SOONUSDT,2025-05-23 09:25:00,0.5464,0.564,0.5429,0.5631,765173.0
SOONUSDT,2025-05-23 09:30:00,0.5631,0.5749,0.5567,0.5592,1257943.0
SOONUSDT,2025-05-23 09:35:00,0.5592,0.5888,0.5585,0.5871,1130580.0
SOONUSDT,2025-05-23 09:40:00,0.5871,0.6101,0.5852,0.6027,1795813.0
SOONUSDT,2025-05-23 09:45:00,0.6027,0.6332,0.5994,0.6194,2261081.0
SOONUSDT,2025-05-23 09:50:00,0.6194,0.6353,0.6137,0.6154,1755901.0
SOONUSDT,2025-05-23 09:55:00,0.6154,0.6268,0.6073,0.6164,1433975.0
SOONUSDT,2025-05-23 10:00:00,0.6164,0.6385,0.609,0.6356,1356523.0
SOONUSDT,2025-05-23 10:05:00,0.6356,0.643,0.626,0.6324,1658938.0
SOONUSDT,2025-05-23 10:10:00,0.6324,0.64,0.6138,0.6204,1795394.0
SOONUSDT,2025-05-23 10:15:00,0.6204,0.6243,0.5868,0.5945,2906259.0
SOONUSDT,2025-05-23 10:20:00,0.5945,0.6034,0.5821,0.5912,1662674.0
SOONUSDT,2025-05-23 10:25:00,0.5912,0.5929,0.5828,0.5893,742285.0
SOONUSDT,2025-05-23 10:30:00,0.5893,0.6172,0.5834,0.6107,2364089.0
SOONUSDT,2025-05-23 10:35:00,0.6107,0.6115,0.566,0.5779,2394204.0
SOONUSDT,2025-05-23 10:40:00,0.5779,0.5826,0.5654,0.5761,1437679.0
SOONUSDT,2025-05-23 10:45:00,0.5761,0.5904,0.5653,0.5757,2036429.0
SOONUSDT,2025-05-23 10:50:00,0.5757,0.5863,0.5755,0.5838,1317908.0
SOONUSDT,2025-05-23 10:55:00,0.5838,0.586,0.5645,0.5804,1790806.0
SOONUSDT,2025-05-23 11:00:00,0.5804,0.5814,0.5533,0.5636,3679266.0
SOONUSDT,2025-05-23 11:05:00,0.5636,0.59,0.5607,0.5783,4094947.0
SOONUSDT,2025-05-23 11:10:00,0.5783,0.5865,0.5714,0.581,2042954.0
SOONUSDT,2025-05-23 11:15:00,0.581,0.5837,0.5662,0.57,2098440.0
SOONUSDT,2025-05-23 11:20:00,0.57,0.5747,0.5616,0.5735,1729660.0
SOONUSDT,2025-05-23 11:25:00,0.5735,0.5746,0.5571,0.5612,1958540.0
SOONUSDT,2025-05-23 11:30:00,0.5612,0.5712,0.5599,0.5666,1280362.0
SOONUSDT,2025-05-23 11:35:00,0.5666,0.5782,0.5659,0.5741,1952540.0
SOONUSDT,2025-05-23 11:40:00,0.5741,0.5766,0.5669,0.5694,914223.0
SOONUSDT,2025-05-23 11:45:00,0.5694,0.5738,0.541,0.545,2887319.0
SOONUSDT,2025-05-23 11:50:00,0.545,0.5508,0.5307,0.5427,3192724.0
SOONUSDT,2025-05-23 11:55:00,0.5427,0.5523,0.5425,0.5473,1503161.0
SOONUSDT,2025-05-23 12:00:00,0.5473,0.5623,0.5472,0.5486,1812171.0
SOONUSDT,2025-05-23 12:05:00,0.5486,0.5782,0.5461,0.5658,1831112.0
SOONUSDT,2025-05-23 12:10:00,0.5658,0.5671,0.5576,0.5609,954903.0
SOONUSDT,2025-05-23 12:15:00,0.5609,0.5743,0.558,0.5704,1397586.0
SOONUSDT,2025-05-23 12:20:00,0.5704,0.5816,0.5611,0.5731,1166417.0
SOONUSDT,2025-05-23 12:25:00,0.5731,0.5777,0.5654,0.5712,1043758.0
SOONUSDT,2025-05-23 12:30:00,0.5712,0.5733,0.5657,0.5692,565111.0
SOONUSDT,2025-05-23 12:35:00,0.5692,0.5721,0.5597,0.5601,601009.0
SOONUSDT,2025-05-23 12:40:00,0.5601,0.5628,0.5501,0.5523,1519039.0
SOONUSDT,2025-05-23 12:45:00,0.5523,0.5648,0.55,0.5601,783317.0
SOONUSDT,2025-05-23 12:50:00,0.5601,0.5644,0.5527,0.5572,596753.0
SOONUSDT,2025-05-23 12:55:00,0.5572,0.5596,0.5547,0.5595,383237.0
SOONUSDT,2025-05-23 13:00:00,0.5595,0.5629,0.5541,0.5552,579736.0
SOONUSDT,2025-05-23 13:05:00,0.5552,0.56,0.5548,0.5589,376069.0
SOONUSDT,2025-05-23 13:10:00,0.5589,0.5712,0.5583,0.5661,1244668.0
SOONUSDT,2025-05-23 13:15:00,0.5661,0.5704,0.5635,0.5647,506327.0
