symbol,timestamp,open,high,low,close,volume
SPXUSDT,2025-04-25 16:30:00,0.6323,0.6376,0.6287,0.6375,54352.0
SPXUSDT,2025-04-25 16:45:00,0.6375,0.6394,0.6292,0.6319,38063.0
SPXUSDT,2025-04-25 17:00:00,0.6319,0.6386,0.63,0.6371,40013.0
SPXUSDT,2025-04-25 17:15:00,0.6371,0.6372,0.6223,0.6232,60484.0
SPXUSDT,2025-04-25 17:30:00,0.6232,0.6233,0.6083,0.6117,85160.0
SPXUSDT,2025-04-25 17:45:00,0.6117,0.6117,0.596,0.6007,119219.0
SPXUSDT,2025-04-25 18:00:00,0.6007,0.6013,0.5948,0.5986,67713.0
SPXUSDT,2025-04-25 18:15:00,0.5986,0.6024,0.5986,0.6016,26515.0
SPXUSDT,2025-04-25 18:30:00,0.6016,0.6073,0.6007,0.6055,18142.0
SPXUSDT,2025-04-25 18:45:00,0.6055,0.6091,0.5968,0.5991,80123.0
SPXUSDT,2025-04-25 19:00:00,0.5991,0.6015,0.595,0.5961,22287.0
SPXUSDT,2025-04-25 19:15:00,0.5961,0.6017,0.5961,0.6016,16014.0
SPXUSDT,2025-04-25 19:30:00,0.6016,0.6016,0.598,0.5995,7524.0
SPXUSDT,2025-04-25 19:45:00,0.5995,0.6032,0.5969,0.6026,28418.0
SPXUSDT,2025-04-25 20:00:00,0.6026,0.6034,0.5993,0.5993,30899.0
SPXUSDT,2025-04-25 20:15:00,0.5993,0.5996,0.5948,0.5962,14061.0
SPXUSDT,2025-04-25 20:30:00,0.5962,0.5982,0.5888,0.5968,81610.0
SPXUSDT,2025-04-25 20:45:00,0.5968,0.5999,0.5944,0.5944,11499.0
SPXUSDT,2025-04-25 21:00:00,0.5944,0.5995,0.5933,0.5961,27185.0
SPXUSDT,2025-04-25 21:15:00,0.5961,0.5961,0.589,0.5901,15398.0
SPXUSDT,2025-04-25 21:30:00,0.5901,0.5928,0.5874,0.5886,28575.0
SPXUSDT,2025-04-25 21:45:00,0.5886,0.5886,0.5804,0.583,128138.0
SPXUSDT,2025-04-25 22:00:00,0.583,0.5879,0.5823,0.5869,86736.0
SPXUSDT,2025-04-25 22:15:00,0.5869,0.592,0.5868,0.5919,9268.0
SPXUSDT,2025-04-25 22:30:00,0.5919,0.5965,0.5916,0.5957,25354.0
SPXUSDT,2025-04-25 22:45:00,0.5957,0.5975,0.5951,0.5955,11528.0
SPXUSDT,2025-04-25 23:00:00,0.5955,0.5979,0.5932,0.5937,11177.0
