symbol,timestamp,open,high,low,close,volume
SSVUSDT,2025-04-25 16:30:00,6.456,6.485,6.429,6.484,427.33
SSVUSDT,2025-04-25 16:45:00,6.484,6.496,6.445,6.494,320.75
SSVUSDT,2025-04-25 17:00:00,6.494,6.523,6.483,6.517,324.92
SSVUSDT,2025-04-25 17:15:00,6.517,6.532,6.485,6.489,269.54
SSVUSDT,2025-04-25 17:30:00,6.489,6.489,6.38,6.42,857.09
SSVUSDT,2025-04-25 17:45:00,6.42,6.42,6.356,6.363,1026.81
SSVUSDT,2025-04-25 18:00:00,6.363,6.397,6.359,6.388,463.16
SSVUSDT,2025-04-25 18:15:00,6.388,6.45,6.381,6.446,465.48
SSVUSDT,2025-04-25 18:30:00,6.446,6.479,6.424,6.466,429.09
SSVUSDT,2025-04-25 18:45:00,6.466,6.466,6.395,6.406,481.4
SSVUSDT,2025-04-25 19:00:00,6.406,6.414,6.367,6.37,416.58
SSVUSDT,2025-04-25 19:15:00,6.37,6.421,6.37,6.414,473.32
SSVUSDT,2025-04-25 19:30:00,6.414,6.416,6.379,6.398,454.62
SSVUSDT,2025-04-25 19:45:00,6.398,6.426,6.392,6.426,541.5
SSVUSDT,2025-04-25 20:00:00,6.426,6.434,6.399,6.419,543.48
SSVUSDT,2025-04-25 20:15:00,6.419,6.437,6.392,6.414,388.67
SSVUSDT,2025-04-25 20:30:00,6.414,6.431,6.393,6.405,528.73
SSVUSDT,2025-04-25 20:45:00,6.405,6.43,6.394,6.4,642.93
SSVUSDT,2025-04-25 21:00:00,6.4,6.451,6.385,6.433,478.09
SSVUSDT,2025-04-25 21:15:00,6.433,6.442,6.39,6.39,336.75
SSVUSDT,2025-04-25 21:30:00,6.39,6.453,6.389,6.449,467.53
SSVUSDT,2025-04-25 21:45:00,6.449,6.449,6.365,6.379,649.69
SSVUSDT,2025-04-25 22:00:00,6.379,6.448,6.377,6.44,1423.12
SSVUSDT,2025-04-25 22:15:00,6.44,6.471,6.434,6.462,499.39
SSVUSDT,2025-04-25 22:30:00,6.462,6.498,6.461,6.495,506.44
SSVUSDT,2025-04-25 22:45:00,6.495,6.504,6.481,6.486,422.07
SSVUSDT,2025-04-25 23:00:00,6.486,6.486,6.447,6.447,219.68
SSVUSDT,2025-04-25 23:15:00,6.447,6.45,6.415,6.445,241.09
SSVUSDT,2025-04-25 23:30:00,6.445,6.445,6.381,6.416,265.59
SSVUSDT,2025-04-25 23:45:00,6.416,6.416,6.361,6.374,870.85
SSVUSDT,2025-04-26 00:00:00,6.374,6.41,6.355,6.405,1066.63
SSVUSDT,2025-04-26 00:15:00,6.405,6.463,6.38,6.442,487.73
SSVUSDT,2025-04-26 00:30:00,6.442,6.462,6.412,6.453,634.55
SSVUSDT,2025-04-26 00:45:00,6.453,6.528,6.452,6.523,547.33
SSVUSDT,2025-04-26 01:00:00,6.523,6.532,6.475,6.495,282.69
SSVUSDT,2025-04-26 01:15:00,6.495,6.591,6.49,6.571,352.49
SSVUSDT,2025-04-26 01:30:00,6.571,6.721,6.57,6.711,2400.84
SSVUSDT,2025-04-26 01:45:00,6.711,6.72,6.681,6.702,440.32
SSVUSDT,2025-04-26 02:00:00,6.702,6.702,6.621,6.632,364.61
SSVUSDT,2025-04-26 02:15:00,6.632,6.717,6.632,6.7,328.62
SSVUSDT,2025-04-26 02:30:00,6.7,6.806,6.688,6.777,1063.93
SSVUSDT,2025-04-26 02:45:00,6.777,6.8,6.75,6.775,569.56
SSVUSDT,2025-04-26 03:00:00,6.775,6.801,6.717,6.719,483.53
SSVUSDT,2025-04-26 03:15:00,6.719,6.727,6.642,6.642,314.47
SSVUSDT,2025-04-26 03:30:00,6.642,6.657,6.631,6.641,1375.61
SSVUSDT,2025-04-26 03:45:00,6.641,6.698,6.641,6.677,308.69
SSVUSDT,2025-04-26 04:00:00,6.677,6.691,6.67,6.68,210.43
SSVUSDT,2025-04-26 04:15:00,6.68,6.687,6.623,6.658,228.72
SSVUSDT,2025-04-26 04:30:00,6.658,6.658,6.581,6.6,366.75
SSVUSDT,2025-04-26 04:45:00,6.6,6.625,6.539,6.561,451.39
SSVUSDT,2025-04-26 05:00:00,6.561,6.597,6.516,6.545,360.81
SSVUSDT,2025-04-26 05:15:00,6.545,6.564,6.512,6.549,354.25
SSVUSDT,2025-04-26 05:30:00,6.549,6.592,6.546,6.586,288.42
SSVUSDT,2025-04-26 05:45:00,6.586,6.615,6.579,6.593,345.62
SSVUSDT,2025-04-26 06:00:00,6.593,6.621,6.58,6.61,410.9
SSVUSDT,2025-04-26 06:15:00,6.61,6.612,6.59,6.606,347.55
SSVUSDT,2025-04-26 06:30:00,6.606,6.635,6.586,6.625,414.54
SSVUSDT,2025-04-26 06:45:00,6.625,6.667,6.621,6.644,509.1
SSVUSDT,2025-04-26 07:00:00,6.644,6.719,6.636,6.712,317.68
SSVUSDT,2025-04-26 07:15:00,6.712,6.732,6.703,6.706,516.89
SSVUSDT,2025-04-26 07:30:00,6.706,6.745,6.688,6.713,843.46
SSVUSDT,2025-04-26 07:45:00,6.713,6.735,6.657,6.658,582.53
SSVUSDT,2025-04-26 08:00:00,6.658,6.69,6.657,6.676,380.23
SSVUSDT,2025-04-26 08:15:00,6.676,6.747,6.654,6.734,4517.54
SSVUSDT,2025-04-26 08:30:00,6.734,6.734,6.651,6.661,1017.94
SSVUSDT,2025-04-26 08:45:00,6.661,6.665,6.619,6.656,1248.78
SSVUSDT,2025-04-26 09:00:00,6.656,6.67,6.595,6.653,752.11
SSVUSDT,2025-04-26 09:15:00,6.653,6.701,6.631,6.64,533.74
