symbol,timestamp,open,high,low,close,volume
STGUSDT,2025-04-25 16:30:00,0.2071,0.2079,0.207,0.2079,47057.0
STGUSDT,2025-04-25 16:45:00,0.2079,0.208,0.2075,0.208,3402.0
STGUSDT,2025-04-25 17:00:00,0.208,0.2084,0.2079,0.2084,4892.0
STGUSDT,2025-04-25 17:15:00,0.2084,0.2089,0.2084,0.2084,8019.0
STGUSDT,2025-04-25 17:30:00,0.2084,0.2084,0.2077,0.2077,6048.0
STGUSDT,2025-04-25 17:45:00,0.2077,0.2078,0.2069,0.2077,10733.0
STGUSDT,2025-04-25 18:00:00,0.2077,0.2081,0.2077,0.2079,3426.0
STGUSDT,2025-04-25 18:15:00,0.2079,0.2089,0.2079,0.2086,7868.0
STGUSDT,2025-04-25 18:30:00,0.2086,0.2092,0.2082,0.2091,10893.0
STGUSDT,2025-04-25 18:45:00,0.2091,0.2092,0.2085,0.2085,4204.0
STGUSDT,2025-04-25 19:00:00,0.2085,0.2085,0.2073,0.2074,3039.0
STGUSDT,2025-04-25 19:15:00,0.2074,0.2084,0.2072,0.2084,2986.0
STGUSDT,2025-04-25 19:30:00,0.2084,0.2084,0.2078,0.2078,1237.0
STGUSDT,2025-04-25 19:45:00,0.2078,0.2085,0.2078,0.2085,1161.0
STGUSDT,2025-04-25 20:00:00,0.2085,0.2086,0.2085,0.2085,3459.0
STGUSDT,2025-04-25 20:15:00,0.2085,0.2086,0.208,0.208,3465.0
STGUSDT,2025-04-25 20:30:00,0.208,0.2081,0.208,0.2081,1959.0
STGUSDT,2025-04-25 20:45:00,0.2081,0.2089,0.208,0.2087,2777.0
STGUSDT,2025-04-25 21:00:00,0.2087,0.2087,0.2084,0.2084,463.0
STGUSDT,2025-04-25 21:15:00,0.2084,0.2092,0.2084,0.2089,6800.0
STGUSDT,2025-04-25 21:30:00,0.2089,0.2093,0.2089,0.2091,10037.0
STGUSDT,2025-04-25 21:45:00,0.2091,0.2091,0.2077,0.2079,11828.0
STGUSDT,2025-04-25 22:00:00,0.2079,0.2084,0.2079,0.2084,7237.0
STGUSDT,2025-04-25 22:15:00,0.2084,0.2087,0.2084,0.2087,1718.0
STGUSDT,2025-04-25 22:30:00,0.2087,0.2091,0.2087,0.2091,3709.0
STGUSDT,2025-04-25 22:45:00,0.2091,0.2096,0.2091,0.2093,9439.0
STGUSDT,2025-04-25 23:00:00,0.2093,0.2096,0.2089,0.2096,7003.0
STGUSDT,2025-04-25 23:15:00,0.2096,0.2096,0.2091,0.2094,2666.0
STGUSDT,2025-04-25 23:30:00,0.2094,0.2099,0.2089,0.2099,4377.0
STGUSDT,2025-04-25 23:45:00,0.2099,0.2099,0.2092,0.2092,6575.0
STGUSDT,2025-04-26 00:00:00,0.2092,0.2096,0.2092,0.2094,5943.0
STGUSDT,2025-04-26 00:15:00,0.2094,0.2102,0.2092,0.2097,8844.0
STGUSDT,2025-04-26 00:30:00,0.2097,0.2103,0.2095,0.2102,4313.0
STGUSDT,2025-04-26 00:45:00,0.2102,0.2106,0.2102,0.2104,8882.0
STGUSDT,2025-04-26 01:00:00,0.2104,0.211,0.2102,0.2109,7544.0
STGUSDT,2025-04-26 01:15:00,0.2109,0.2124,0.2108,0.2123,10999.0
STGUSDT,2025-04-26 01:30:00,0.2123,0.215,0.2123,0.2142,23447.0
STGUSDT,2025-04-26 01:45:00,0.2142,0.2147,0.2142,0.2146,3781.0
STGUSDT,2025-04-26 02:00:00,0.2146,0.2146,0.2139,0.2139,4593.0
STGUSDT,2025-04-26 02:15:00,0.2139,0.2139,0.2134,0.2134,26204.0
STGUSDT,2025-04-26 02:30:00,0.2134,0.2139,0.2133,0.2138,9353.0
STGUSDT,2025-04-26 02:45:00,0.2138,0.2138,0.2135,0.2136,882.0
STGUSDT,2025-04-26 03:00:00,0.2136,0.2136,0.213,0.2132,1198.0
STGUSDT,2025-04-26 03:15:00,0.2132,0.2133,0.2127,0.2127,31733.0
STGUSDT,2025-04-26 03:30:00,0.2127,0.2143,0.2126,0.2141,9567.0
STGUSDT,2025-04-26 03:45:00,0.2141,0.2141,0.2135,0.2137,4611.0
STGUSDT,2025-04-26 04:00:00,0.2137,0.2145,0.2137,0.2143,6709.0
STGUSDT,2025-04-26 04:15:00,0.2143,0.2145,0.2125,0.2125,20813.0
STGUSDT,2025-04-26 04:30:00,0.2125,0.2125,0.2121,0.2122,3911.0
STGUSDT,2025-04-26 04:45:00,0.2122,0.2123,0.2113,0.2115,42052.0
STGUSDT,2025-04-26 05:00:00,0.2115,0.2116,0.2113,0.2115,6853.0
