symbol,timestamp,open,high,low,close,volume
SUNDOGUSDT,2025-04-25 16:30:00,0.0548,0.0556,0.0548,0.0556,489509.0
SUNDOGUSDT,2025-04-25 16:45:00,0.0556,0.0556,0.0549,0.0551,478235.0
SUNDOGUSDT,2025-04-25 17:00:00,0.0551,0.0551,0.0549,0.055,127430.0
SUNDOGUSDT,2025-04-25 17:15:00,0.055,0.0551,0.0549,0.0549,33521.0
SUNDOGUSDT,2025-04-25 17:30:00,0.0549,0.0549,0.0515,0.0533,2399179.0
SUNDOGUSDT,2025-04-25 17:45:00,0.0533,0.0534,0.0529,0.0531,799639.0
SUNDOGUSDT,2025-04-25 18:00:00,0.0531,0.0533,0.0531,0.0532,15045.0
SUNDOGUSDT,2025-04-25 18:15:00,0.0532,0.0537,0.0532,0.0536,59745.0
SUNDOGUSDT,2025-04-25 18:30:00,0.0536,0.0538,0.0535,0.0538,35025.0
SUNDOGUSDT,2025-04-25 18:45:00,0.0538,0.0541,0.0534,0.0535,67105.0
SUNDOGUSDT,2025-04-25 19:00:00,0.0535,0.0538,0.0534,0.0536,25385.0
SUNDOGUSDT,2025-04-25 19:15:00,0.0536,0.0538,0.0536,0.0537,55592.0
SUNDOGUSDT,2025-04-25 19:30:00,0.0537,0.0539,0.0537,0.0537,6230.0
SUNDOGUSDT,2025-04-25 19:45:00,0.0537,0.0538,0.0537,0.0538,41196.0
SUNDOGUSDT,2025-04-25 20:00:00,0.0538,0.0543,0.0537,0.054,303116.0
SUNDOGUSDT,2025-04-25 20:15:00,0.054,0.0542,0.0539,0.0539,2803.0
SUNDOGUSDT,2025-04-25 20:30:00,0.0539,0.0541,0.0539,0.054,8612.0
SUNDOGUSDT,2025-04-25 20:45:00,0.054,0.054,0.054,0.054,0.0
SUNDOGUSDT,2025-04-25 21:00:00,0.054,0.0541,0.054,0.0541,8807.0
SUNDOGUSDT,2025-04-25 21:15:00,0.0541,0.0541,0.0538,0.0538,110185.0
SUNDOGUSDT,2025-04-25 21:30:00,0.0538,0.054,0.0535,0.0535,463249.0
SUNDOGUSDT,2025-04-25 21:45:00,0.0535,0.0535,0.0531,0.0535,250736.0
SUNDOGUSDT,2025-04-25 22:00:00,0.0535,0.0535,0.0532,0.0535,57541.0
SUNDOGUSDT,2025-04-25 22:15:00,0.0535,0.0537,0.0534,0.0537,452871.0
SUNDOGUSDT,2025-04-25 22:30:00,0.0537,0.054,0.0537,0.0539,115646.0
SUNDOGUSDT,2025-04-25 22:45:00,0.0539,0.0543,0.0539,0.054,157435.0
SUNDOGUSDT,2025-04-25 23:00:00,0.054,0.0543,0.054,0.0541,22157.0
SUNDOGUSDT,2025-04-25 23:15:00,0.0541,0.0544,0.0537,0.0541,10632.0
SUNDOGUSDT,2025-04-25 23:30:00,0.0541,0.0541,0.0539,0.054,33278.0
SUNDOGUSDT,2025-04-25 23:45:00,0.054,0.0547,0.0539,0.0545,5609.0
SUNDOGUSDT,2025-04-26 00:00:00,0.0545,0.0548,0.0541,0.0542,18572.0
SUNDOGUSDT,2025-04-26 00:15:00,0.0542,0.0542,0.0537,0.0539,51862.0
SUNDOGUSDT,2025-04-26 00:30:00,0.0539,0.0539,0.0539,0.0539,363.0
SUNDOGUSDT,2025-04-26 00:45:00,0.0539,0.0543,0.0539,0.0543,43371.0
SUNDOGUSDT,2025-04-26 01:00:00,0.0543,0.0543,0.0539,0.0539,2992.0
SUNDOGUSDT,2025-04-26 01:15:00,0.0539,0.0551,0.0539,0.0551,103571.0
SUNDOGUSDT,2025-04-26 01:30:00,0.0551,0.0569,0.0551,0.0563,160596.0
SUNDOGUSDT,2025-04-26 01:45:00,0.0563,0.0573,0.056,0.0572,147597.0
SUNDOGUSDT,2025-04-26 02:00:00,0.0572,0.0577,0.0566,0.0567,566191.0
SUNDOGUSDT,2025-04-26 02:15:00,0.0567,0.0567,0.0541,0.0561,877699.0
SUNDOGUSDT,2025-04-26 02:30:00,0.0561,0.0569,0.0557,0.0568,105016.0
SUNDOGUSDT,2025-04-26 02:45:00,0.0568,0.0573,0.0565,0.0572,96199.0
SUNDOGUSDT,2025-04-26 03:00:00,0.0572,0.0582,0.0565,0.0569,102241.0
SUNDOGUSDT,2025-04-26 03:15:00,0.0569,0.0571,0.0564,0.0567,72726.0
SUNDOGUSDT,2025-04-26 03:30:00,0.0567,0.0569,0.0566,0.0569,46090.0
SUNDOGUSDT,2025-04-26 03:45:00,0.0569,0.0571,0.0565,0.0565,1331.0
SUNDOGUSDT,2025-04-26 04:00:00,0.0565,0.0565,0.0562,0.0564,1865.0
SUNDOGUSDT,2025-04-26 04:15:00,0.0564,0.0564,0.0563,0.0563,3973.0
SUNDOGUSDT,2025-04-26 04:30:00,0.0563,0.0564,0.0558,0.0561,24510.0
SUNDOGUSDT,2025-04-26 04:45:00,0.0561,0.0565,0.0559,0.0563,32736.0
SUNDOGUSDT,2025-04-26 05:00:00,0.0563,0.0563,0.0557,0.0558,12253.0
SUNDOGUSDT,2025-04-26 05:15:00,0.0558,0.0558,0.0558,0.0558,94.0
SUNDOGUSDT,2025-04-26 05:30:00,0.0558,0.0562,0.0558,0.056,23806.0
SUNDOGUSDT,2025-04-26 05:45:00,0.056,0.0562,0.056,0.0562,644.0
SUNDOGUSDT,2025-04-26 06:00:00,0.0562,0.0564,0.0562,0.0563,7409.0
SUNDOGUSDT,2025-04-26 06:15:00,0.0563,0.0569,0.0563,0.0568,52314.0
SUNDOGUSDT,2025-04-26 06:30:00,0.0568,0.0569,0.0566,0.0567,123992.0
