symbol,timestamp,open,high,low,close,volume
SUPERUSDT,2025-04-25 16:30:00,0.7073,0.7091,0.701,0.7091,6291.0
SUPERUSDT,2025-04-25 16:45:00,0.7091,0.7091,0.7009,0.7043,9004.0
SUPERUSDT,2025-04-25 17:00:00,0.7043,0.7165,0.704,0.7165,11012.0
SUPERUSDT,2025-04-25 17:15:00,0.7165,0.7243,0.7141,0.7147,10379.0
SUPERUSDT,2025-04-25 17:30:00,0.7147,0.7154,0.7019,0.7042,16438.0
SUPERUSDT,2025-04-25 17:45:00,0.7042,0.7042,0.6942,0.6961,30910.0
SUPERUSDT,2025-04-25 18:00:00,0.6961,0.7002,0.6951,0.6983,12411.0
SUPERUSDT,2025-04-25 18:15:00,0.6983,0.7036,0.6968,0.7029,11737.0
SUPERUSDT,2025-04-25 18:30:00,0.7029,0.7081,0.7019,0.7068,5375.0
SUPERUSDT,2025-04-25 18:45:00,0.7068,0.7068,0.7004,0.7005,5875.0
SUPERUSDT,2025-04-25 19:00:00,0.7005,0.7005,0.6941,0.6946,6739.0
SUPERUSDT,2025-04-25 19:15:00,0.6946,0.6984,0.6946,0.6974,4360.0
SUPERUSDT,2025-04-25 19:30:00,0.6974,0.6979,0.6942,0.6962,3263.0
SUPERUSDT,2025-04-25 19:45:00,0.6962,0.7003,0.6957,0.7003,5281.0
SUPERUSDT,2025-04-25 20:00:00,0.7003,0.7003,0.6955,0.6956,5094.0
SUPERUSDT,2025-04-25 20:15:00,0.6956,0.6972,0.6922,0.6934,5112.0
SUPERUSDT,2025-04-25 20:30:00,0.6934,0.6953,0.6908,0.691,6445.0
SUPERUSDT,2025-04-25 20:45:00,0.691,0.6935,0.691,0.6921,3213.0
SUPERUSDT,2025-04-25 21:00:00,0.6921,0.7003,0.6913,0.6994,4588.0
SUPERUSDT,2025-04-25 21:15:00,0.6994,0.6994,0.6927,0.6933,19408.0
SUPERUSDT,2025-04-25 21:30:00,0.6933,0.696,0.6928,0.6952,6590.0
SUPERUSDT,2025-04-25 21:45:00,0.6952,0.6956,0.6875,0.6897,8806.0
SUPERUSDT,2025-04-25 22:00:00,0.6897,0.6967,0.6892,0.6967,11666.0
SUPERUSDT,2025-04-25 22:15:00,0.6967,0.6995,0.6957,0.6975,4608.0
SUPERUSDT,2025-04-25 22:30:00,0.6975,0.7012,0.6974,0.6999,10490.0
SUPERUSDT,2025-04-25 22:45:00,0.6999,0.7014,0.6976,0.6983,3094.0
SUPERUSDT,2025-04-25 23:00:00,0.6983,0.6986,0.6951,0.6959,2337.0
SUPERUSDT,2025-04-25 23:15:00,0.6959,0.6959,0.6927,0.694,2403.0
SUPERUSDT,2025-04-25 23:30:00,0.694,0.694,0.6913,0.6926,3215.0
SUPERUSDT,2025-04-25 23:45:00,0.6926,0.6926,0.6901,0.691,3512.0
SUPERUSDT,2025-04-26 00:00:00,0.691,0.6986,0.6905,0.6983,4527.0
SUPERUSDT,2025-04-26 00:15:00,0.6983,0.6999,0.6962,0.6971,3542.0
SUPERUSDT,2025-04-26 00:30:00,0.6971,0.6986,0.695,0.6968,4546.0
SUPERUSDT,2025-04-26 00:45:00,0.6968,0.7073,0.6968,0.7064,21050.0
SUPERUSDT,2025-04-26 01:00:00,0.7064,0.7074,0.7022,0.7074,5701.0
SUPERUSDT,2025-04-26 01:15:00,0.7074,0.7146,0.7055,0.7134,8302.0
SUPERUSDT,2025-04-26 01:30:00,0.7134,0.735,0.7134,0.7293,31814.0
SUPERUSDT,2025-04-26 01:45:00,0.7293,0.733,0.7246,0.7256,7101.0
SUPERUSDT,2025-04-26 02:00:00,0.7256,0.728,0.7207,0.7233,8646.0
SUPERUSDT,2025-04-26 02:15:00,0.7233,0.7264,0.7221,0.7253,5010.0
SUPERUSDT,2025-04-26 02:30:00,0.7253,0.7274,0.7243,0.7264,5777.0
SUPERUSDT,2025-04-26 02:45:00,0.7264,0.7294,0.7239,0.7242,4948.0
SUPERUSDT,2025-04-26 03:00:00,0.7242,0.7296,0.7233,0.7282,4697.0
SUPERUSDT,2025-04-26 03:15:00,0.7282,0.7297,0.7254,0.7256,8997.0
SUPERUSDT,2025-04-26 03:30:00,0.7256,0.7282,0.7255,0.7262,8067.0
SUPERUSDT,2025-04-26 03:45:00,0.7262,0.7294,0.7218,0.7293,9031.0
SUPERUSDT,2025-04-26 04:00:00,0.7293,0.7318,0.7278,0.7278,7760.0
SUPERUSDT,2025-04-26 04:15:00,0.7278,0.7289,0.7235,0.7235,5317.0
SUPERUSDT,2025-04-26 04:30:00,0.7235,0.7235,0.7127,0.714,10515.0
SUPERUSDT,2025-04-26 04:45:00,0.714,0.7152,0.7112,0.7113,10018.0
SUPERUSDT,2025-04-26 05:00:00,0.7113,0.7119,0.707,0.7086,5617.0
SUPERUSDT,2025-04-26 05:15:00,0.7086,0.7098,0.7057,0.7098,5551.0
SUPERUSDT,2025-04-26 05:30:00,0.7098,0.7098,0.7078,0.7098,18367.0
SUPERUSDT,2025-04-26 05:45:00,0.7098,0.7149,0.7098,0.7122,6517.0
SUPERUSDT,2025-04-26 06:00:00,0.7122,0.7149,0.7111,0.7139,14035.0
SUPERUSDT,2025-04-26 06:15:00,0.7139,0.7161,0.7134,0.7161,9228.0
SUPERUSDT,2025-04-26 06:30:00,0.7161,0.7194,0.7143,0.7188,7646.0
SUPERUSDT,2025-04-26 06:45:00,0.7188,0.7222,0.7185,0.7185,3746.0
SUPERUSDT,2025-04-26 07:00:00,0.7185,0.719,0.7165,0.7174,4251.0
SUPERUSDT,2025-04-26 07:15:00,0.7174,0.7188,0.7153,0.7155,7455.0
SUPERUSDT,2025-04-26 07:30:00,0.7155,0.718,0.714,0.7175,3942.0
SUPERUSDT,2025-04-26 07:45:00,0.7175,0.7175,0.7076,0.7078,19331.0
SUPERUSDT,2025-04-26 08:00:00,0.7078,0.7087,0.7043,0.7068,10830.0
SUPERUSDT,2025-04-26 08:15:00,0.7068,0.7134,0.7055,0.7107,8316.0
SUPERUSDT,2025-04-26 08:30:00,0.7107,0.711,0.7035,0.7052,7410.0
SUPERUSDT,2025-04-26 08:45:00,0.7052,0.7052,0.7007,0.7019,5408.0
SUPERUSDT,2025-04-26 09:00:00,0.7019,0.7019,0.6958,0.7006,16516.0
SUPERUSDT,2025-04-26 09:15:00,0.7006,0.7026,0.6976,0.6978,3975.0
SUPERUSDT,2025-04-26 09:30:00,0.6978,0.6978,0.6912,0.6923,7972.0
SUPERUSDT,2025-04-26 09:45:00,0.6923,0.6945,0.6914,0.694,4948.0
SUPERUSDT,2025-04-26 10:00:00,0.694,0.6972,0.6922,0.693,5065.0
SUPERUSDT,2025-04-26 10:15:00,0.693,0.6955,0.6928,0.6941,4407.0
SUPERUSDT,2025-04-26 10:30:00,0.6941,0.6968,0.6926,0.6968,3616.0
SUPERUSDT,2025-04-26 10:45:00,0.6968,0.6977,0.694,0.6941,8690.0
SUPERUSDT,2025-04-26 11:00:00,0.6941,0.6971,0.6928,0.696,7080.0
SUPERUSDT,2025-04-26 11:15:00,0.696,0.6978,0.6896,0.6896,12185.0
SUPERUSDT,2025-04-26 11:30:00,0.6896,0.6921,0.6845,0.6865,6430.0
SUPERUSDT,2025-04-26 11:45:00,0.6865,0.6876,0.6831,0.6856,12758.0
SUPERUSDT,2025-04-26 12:00:00,0.6856,0.6919,0.6849,0.6906,3442.0
SUPERUSDT,2025-04-26 12:15:00,0.6906,0.693,0.6884,0.6901,3003.0
SUPERUSDT,2025-04-26 12:30:00,0.6901,0.6901,0.6861,0.6881,2619.0
SUPERUSDT,2025-04-26 12:45:00,0.6881,0.6893,0.6862,0.6885,3191.0
SUPERUSDT,2025-04-26 13:00:00,0.6885,0.6942,0.6869,0.6934,3450.0
SUPERUSDT,2025-04-26 13:15:00,0.6934,0.6946,0.6869,0.6869,6861.0
SUPERUSDT,2025-04-26 13:30:00,0.6869,0.6869,0.6766,0.6774,19936.0
SUPERUSDT,2025-04-26 13:45:00,0.6774,0.6815,0.6729,0.6813,11557.0
SUPERUSDT,2025-04-26 14:00:00,0.6813,0.6819,0.6776,0.6817,5268.0
SUPERUSDT,2025-04-26 14:15:00,0.6817,0.6817,0.6745,0.6786,4050.0
SUPERUSDT,2025-04-26 14:30:00,0.6786,0.6811,0.6779,0.6797,3940.0
