symbol,timestamp,open,high,low,close,volume
SYRUPUSDT,2025-05-15 06:30:00,0.3037,0.304,0.2981,0.3018,161190.0
SYRUPUSDT,2025-05-15 06:45:00,0.3018,0.3039,0.2987,0.3002,103540.0
SYRUPUSDT,2025-05-15 07:00:00,0.3002,0.3028,0.2967,0.2968,139170.0
SYRUPUSDT,2025-05-15 07:15:00,0.2968,0.3045,0.2968,0.3005,155800.0
SYRUPUSDT,2025-05-15 07:30:00,0.3005,0.3016,0.2909,0.2951,304040.0
SYRUPUSDT,2025-05-15 07:45:00,0.2951,0.2999,0.2941,0.2953,131850.0
SYRUPUSDT,2025-05-15 08:00:00,0.2953,0.3007,0.293,0.2949,123970.0
SYRUPUSDT,2025-05-15 08:15:00,0.2949,0.2972,0.2932,0.2942,38280.0
SYRUPUSDT,2025-05-15 08:30:00,0.2942,0.2963,0.2853,0.2876,121270.0
SYRUPUSDT,2025-05-15 08:45:00,0.2876,0.2876,0.2672,0.2718,405030.0
SYRUPUSDT,2025-05-15 09:00:00,0.2718,0.2721,0.2646,0.2679,207150.0
SYRUPUSDT,2025-05-15 09:15:00,0.2679,0.2743,0.2679,0.2738,109830.0
SYRUPUSDT,2025-05-15 09:30:00,0.2738,0.2738,0.2687,0.271,38900.0
SYRUPUSDT,2025-05-15 09:45:00,0.271,0.2737,0.2707,0.2718,53340.0
SYRUPUSDT,2025-05-15 10:00:00,0.2718,0.2772,0.2718,0.275,52010.0
SYRUPUSDT,2025-05-15 10:15:00,0.275,0.2775,0.2726,0.2727,40330.0
SYRUPUSDT,2025-05-15 10:30:00,0.2727,0.273,0.268,0.2711,43380.0
SYRUPUSDT,2025-05-15 10:45:00,0.2711,0.2731,0.2686,0.2708,33430.0
SYRUPUSDT,2025-05-15 11:00:00,0.2708,0.273,0.2701,0.2705,39420.0
SYRUPUSDT,2025-05-15 11:15:00,0.2705,0.2705,0.2681,0.2681,27120.0
SYRUPUSDT,2025-05-15 11:30:00,0.2681,0.2697,0.2659,0.2684,77850.0
SYRUPUSDT,2025-05-15 11:45:00,0.2684,0.2704,0.2673,0.2704,26330.0
SYRUPUSDT,2025-05-15 12:00:00,0.2704,0.2704,0.2644,0.2648,147600.0
SYRUPUSDT,2025-05-15 12:15:00,0.2648,0.2661,0.2621,0.2654,151030.0
SYRUPUSDT,2025-05-15 12:30:00,0.2654,0.2723,0.2654,0.2718,66770.0
SYRUPUSDT,2025-05-15 12:45:00,0.2718,0.2718,0.2637,0.2659,51820.0
SYRUPUSDT,2025-05-15 13:00:00,0.2659,0.2692,0.264,0.2684,57190.0
SYRUPUSDT,2025-05-15 13:15:00,0.2684,0.2686,0.2654,0.2671,30800.0
SYRUPUSDT,2025-05-15 13:30:00,0.2671,0.2678,0.2625,0.2672,112870.0
SYRUPUSDT,2025-05-15 13:45:00,0.2672,0.2715,0.2628,0.2714,83650.0
SYRUPUSDT,2025-05-15 14:00:00,0.2714,0.2802,0.2703,0.2768,229860.0
SYRUPUSDT,2025-05-15 14:15:00,0.2768,0.2806,0.2762,0.2788,64770.0
SYRUPUSDT,2025-05-15 14:30:00,0.2788,0.2804,0.2772,0.2801,191780.0
SYRUPUSDT,2025-05-15 14:45:00,0.2801,0.283,0.2795,0.2819,93610.0
SYRUPUSDT,2025-05-15 15:00:00,0.2819,0.2856,0.2815,0.2834,60930.0
SYRUPUSDT,2025-05-15 15:15:00,0.2834,0.2871,0.2832,0.2842,250530.0
SYRUPUSDT,2025-05-15 15:30:00,0.2842,0.2879,0.2842,0.2871,51760.0
SYRUPUSDT,2025-05-15 15:45:00,0.2871,0.2994,0.2869,0.2955,145690.0
SYRUPUSDT,2025-05-15 16:00:00,0.2955,0.2981,0.2908,0.2971,78700.0
SYRUPUSDT,2025-05-15 16:15:00,0.2971,0.3073,0.2971,0.3022,143510.0
SYRUPUSDT,2025-05-15 16:30:00,0.3022,0.3115,0.3013,0.3074,305120.0
SYRUPUSDT,2025-05-15 16:45:00,0.3074,0.3075,0.3013,0.3045,207950.0
SYRUPUSDT,2025-05-15 17:00:00,0.3045,0.3068,0.3015,0.3029,53580.0
SYRUPUSDT,2025-05-15 17:15:00,0.3029,0.3089,0.3029,0.3079,284180.0
