symbol,timestamp,open,high,low,close,volume
TAIKOUSDT,2025-04-25 16:30:00,0.6518,0.6557,0.65,0.6551,5310.0
TAIKOUSDT,2025-04-25 16:45:00,0.6551,0.6556,0.6543,0.655,14359.0
TAIKOUSDT,2025-04-25 17:00:00,0.655,0.6569,0.655,0.6562,6099.0
TAIKOUSDT,2025-04-25 17:15:00,0.6562,0.6564,0.6551,0.6551,14881.0
TAIKOUSDT,2025-04-25 17:30:00,0.6551,0.6551,0.6487,0.6518,21592.0
TAIKOUSDT,2025-04-25 17:45:00,0.6518,0.6518,0.6489,0.6499,8277.0
TAIKOUSDT,2025-04-25 18:00:00,0.6499,0.6516,0.6498,0.6505,6908.0
TAIKOUSDT,2025-04-25 18:15:00,0.6505,0.6526,0.6501,0.6526,6907.0
TAIKOUSDT,2025-04-25 18:30:00,0.6526,0.6535,0.6522,0.6532,4750.0
TAIKOUSDT,2025-04-25 18:45:00,0.6532,0.6536,0.651,0.6512,6883.0
TAIKOUSDT,2025-04-25 19:00:00,0.6512,0.6533,0.6497,0.6497,5881.0
TAIKOUSDT,2025-04-25 19:15:00,0.6497,0.6522,0.6496,0.6517,8970.0
TAIKOUSDT,2025-04-25 19:30:00,0.6517,0.6517,0.6494,0.6505,7381.0
TAIKOUSDT,2025-04-25 19:45:00,0.6505,0.6517,0.6498,0.6514,6049.0
TAIKOUSDT,2025-04-25 20:00:00,0.6514,0.6527,0.6514,0.6515,5359.0
TAIKOUSDT,2025-04-25 20:15:00,0.6515,0.652,0.6502,0.6511,12415.0
TAIKOUSDT,2025-04-25 20:30:00,0.6511,0.6528,0.6511,0.6519,6099.0
TAIKOUSDT,2025-04-25 20:45:00,0.6519,0.6533,0.6504,0.6509,5091.0
TAIKOUSDT,2025-04-25 21:00:00,0.6509,0.6531,0.6502,0.6518,7677.0
TAIKOUSDT,2025-04-25 21:15:00,0.6518,0.6518,0.6492,0.6505,8489.0
TAIKOUSDT,2025-04-25 21:30:00,0.6505,0.6518,0.6494,0.651,10785.0
TAIKOUSDT,2025-04-25 21:45:00,0.651,0.6525,0.6495,0.6508,9922.0
TAIKOUSDT,2025-04-25 22:00:00,0.6508,0.6518,0.6496,0.6509,8754.0
TAIKOUSDT,2025-04-25 22:15:00,0.6509,0.6538,0.6509,0.6537,16370.0
TAIKOUSDT,2025-04-25 22:30:00,0.6537,0.6597,0.6531,0.6597,16896.0
TAIKOUSDT,2025-04-25 22:45:00,0.6597,0.6615,0.6593,0.66,61135.0
TAIKOUSDT,2025-04-25 23:00:00,0.66,0.6613,0.656,0.6566,13145.0
TAIKOUSDT,2025-04-25 23:15:00,0.6566,0.6596,0.6562,0.6589,14735.0
TAIKOUSDT,2025-04-25 23:30:00,0.6589,0.6622,0.6578,0.6613,7770.0
TAIKOUSDT,2025-04-25 23:45:00,0.6613,0.6618,0.6599,0.6617,11904.0
TAIKOUSDT,2025-04-26 00:00:00,0.6617,0.673,0.6613,0.664,134738.0
TAIKOUSDT,2025-04-26 00:15:00,0.664,0.6645,0.6595,0.6601,19300.0
TAIKOUSDT,2025-04-26 00:30:00,0.6601,0.6603,0.6582,0.6593,43855.0
TAIKOUSDT,2025-04-26 00:45:00,0.6593,0.6646,0.6593,0.6637,10581.0
TAIKOUSDT,2025-04-26 01:00:00,0.6637,0.6674,0.6617,0.6657,10456.0
TAIKOUSDT,2025-04-26 01:15:00,0.6657,0.6774,0.6656,0.6737,13836.0
TAIKOUSDT,2025-04-26 01:30:00,0.6737,0.6891,0.6737,0.6796,42770.0
TAIKOUSDT,2025-04-26 01:45:00,0.6796,0.6798,0.6758,0.679,9920.0
TAIKOUSDT,2025-04-26 02:00:00,0.679,0.6791,0.6711,0.6718,13068.0
TAIKOUSDT,2025-04-26 02:15:00,0.6718,0.6774,0.67,0.6769,7393.0
