symbol,timestamp,open,high,low,close,volume
TAOUSDT,2025-04-26 14:40:00,341.01,341.76,340.59,341.54,74.955
TAOUSDT,2025-04-26 14:45:00,341.54,342.48,341.12,341.45,99.372
TAOUSDT,2025-04-26 14:50:00,341.45,341.46,340.8,341.46,45.478
TAOUSDT,2025-04-26 14:55:00,341.46,342.56,341.08,341.58,228.781
TAOUSDT,2025-04-26 15:00:00,341.58,344.04,341.21,343.61,84.478
TAOUSDT,2025-04-26 15:05:00,343.61,344.9,342.93,344.41,82.926
TAOUSDT,2025-04-26 15:10:00,344.41,344.89,343.91,344.16,57.491
TAOUSDT,2025-04-26 15:15:00,344.16,345.79,344.16,344.7,253.463
TAOUSDT,2025-04-26 15:20:00,344.7,345.99,344.7,345.98,168.096
TAOUSDT,2025-04-26 15:25:00,345.98,347.28,345.98,347.11,98.953
TAOUSDT,2025-04-26 15:30:00,347.11,347.13,345.38,345.75,211.194
TAOUSDT,2025-04-26 15:35:00,345.75,346.39,345.43,346.0,19.883
TAOUSDT,2025-04-26 15:40:00,346.0,346.0,344.8,345.94,107.428
TAOUSDT,2025-04-26 15:45:00,345.94,346.66,345.3,346.66,55.469
TAOUSDT,2025-04-26 15:50:00,346.66,347.83,346.66,347.37,253.504
TAOUSDT,2025-04-26 15:55:00,347.37,347.72,346.92,347.1,144.024
TAOUSDT,2025-04-26 16:00:00,347.1,348.1,346.32,347.4,234.546
TAOUSDT,2025-04-26 16:05:00,347.4,347.4,345.12,345.4,210.137
TAOUSDT,2025-04-26 16:10:00,345.4,346.37,345.0,345.72,194.404
TAOUSDT,2025-04-26 16:15:00,345.72,345.72,344.44,345.24,211.031
TAOUSDT,2025-04-26 16:20:00,345.24,346.07,344.84,345.95,97.049
TAOUSDT,2025-04-26 16:25:00,345.95,347.13,345.95,346.85,341.577
TAOUSDT,2025-04-26 16:30:00,346.85,346.98,344.01,344.63,493.751
TAOUSDT,2025-04-26 16:35:00,344.63,345.0,344.21,344.21,75.614
TAOUSDT,2025-04-26 16:40:00,344.21,344.52,342.38,343.3,132.1
TAOUSDT,2025-04-26 16:45:00,343.3,344.21,342.77,344.17,69.508
TAOUSDT,2025-04-26 16:50:00,344.17,344.43,343.19,343.47,44.234
TAOUSDT,2025-04-26 16:55:00,343.47,343.87,343.24,343.44,27.451
TAOUSDT,2025-04-26 17:00:00,343.44,344.37,343.2,344.37,38.04
TAOUSDT,2025-04-26 17:05:00,344.37,345.34,344.07,345.09,94.661
TAOUSDT,2025-04-26 17:10:00,345.09,345.11,343.91,343.95,49.108
TAOUSDT,2025-04-26 17:15:00,343.95,345.49,343.95,345.0,226.975
TAOUSDT,2025-04-26 17:20:00,345.0,345.42,344.36,345.11,11.36
TAOUSDT,2025-04-26 17:25:00,345.11,346.03,345.11,345.51,52.902
TAOUSDT,2025-04-26 17:30:00,345.51,346.32,345.51,345.67,22.349
TAOUSDT,2025-04-26 17:35:00,345.67,346.19,345.02,345.02,23.031
TAOUSDT,2025-04-26 17:40:00,345.02,345.48,343.84,344.23,59.807
TAOUSDT,2025-04-26 17:45:00,344.23,344.97,343.9,344.42,25.87
TAOUSDT,2025-04-26 17:50:00,344.42,344.47,343.16,343.32,40.725
TAOUSDT,2025-04-26 17:55:00,343.32,343.36,342.86,343.3,128.945
TAOUSDT,2025-04-26 18:00:00,343.3,343.47,342.45,343.47,51.31
TAOUSDT,2025-04-26 18:05:00,343.47,344.11,343.31,343.84,66.519
TAOUSDT,2025-04-26 18:10:00,343.84,344.0,342.61,342.62,127.337
TAOUSDT,2025-04-26 18:15:00,342.62,343.54,342.62,343.54,56.856
TAOUSDT,2025-04-26 18:20:00,343.54,344.02,343.3,343.9,13.818
TAOUSDT,2025-04-26 18:25:00,343.9,344.53,343.57,343.58,34.406
TAOUSDT,2025-04-26 18:30:00,343.58,343.58,342.86,342.86,20.559
TAOUSDT,2025-04-26 18:35:00,342.86,343.42,342.78,343.42,42.772
TAOUSDT,2025-04-26 18:40:00,343.42,344.13,343.16,344.13,14.312
TAOUSDT,2025-04-26 18:45:00,344.13,344.21,343.6,343.75,15.677
TAOUSDT,2025-04-26 18:50:00,343.75,343.98,343.21,343.21,15.129
TAOUSDT,2025-04-26 18:55:00,343.21,344.53,343.21,344.25,110.869
TAOUSDT,2025-04-26 19:00:00,344.25,346.12,344.07,346.12,86.841
TAOUSDT,2025-04-26 19:05:00,346.12,346.31,344.81,344.99,120.814
TAOUSDT,2025-04-26 19:10:00,344.99,345.04,344.15,344.61,42.26
TAOUSDT,2025-04-26 19:15:00,344.61,344.93,344.37,344.64,11.112
TAOUSDT,2025-04-26 19:20:00,344.64,345.6,344.58,345.2,86.926
TAOUSDT,2025-04-26 19:25:00,345.2,346.32,345.2,346.1,95.388
TAOUSDT,2025-04-26 19:30:00,346.1,346.19,345.09,345.87,41.583
TAOUSDT,2025-04-26 19:35:00,345.87,346.8,345.58,346.66,45.028
TAOUSDT,2025-04-26 19:40:00,346.66,347.07,346.1,346.53,83.199
TAOUSDT,2025-04-26 19:45:00,346.53,347.76,346.51,347.26,59.157
TAOUSDT,2025-04-26 19:50:00,347.26,347.71,346.74,346.97,130.663
TAOUSDT,2025-04-26 19:55:00,346.97,348.04,346.97,347.77,109.119
TAOUSDT,2025-04-26 20:00:00,347.77,350.81,347.77,350.73,518.576
TAOUSDT,2025-04-26 20:05:00,350.73,351.81,349.86,351.04,384.415
TAOUSDT,2025-04-26 20:10:00,351.04,352.43,349.97,349.97,284.492
TAOUSDT,2025-04-26 20:15:00,349.97,349.97,348.56,348.56,105.05
TAOUSDT,2025-04-26 20:20:00,348.56,348.9,347.94,347.98,72.98
TAOUSDT,2025-04-26 20:25:00,347.98,348.38,347.33,348.29,62.267
TAOUSDT,2025-04-26 20:30:00,348.29,348.96,347.37,347.5,66.225
TAOUSDT,2025-04-26 20:35:00,347.5,347.51,346.27,346.4,68.655
TAOUSDT,2025-04-26 20:40:00,346.4,346.97,346.31,346.37,46.593
TAOUSDT,2025-04-26 20:45:00,346.37,348.67,346.31,347.61,117.805
TAOUSDT,2025-04-26 20:50:00,347.61,350.59,347.61,349.46,187.004
TAOUSDT,2025-04-26 20:55:00,349.46,350.1,347.63,347.64,104.706
TAOUSDT,2025-04-26 21:00:00,347.64,349.92,347.59,349.19,217.292
TAOUSDT,2025-04-26 21:05:00,349.19,350.38,348.6,349.22,275.761
TAOUSDT,2025-04-26 21:10:00,349.22,350.07,348.76,348.97,101.206
TAOUSDT,2025-04-26 21:15:00,348.97,349.56,348.08,348.77,103.771
TAOUSDT,2025-04-26 21:20:00,348.77,349.69,348.73,349.65,41.255
TAOUSDT,2025-04-26 21:25:00,349.65,349.65,348.92,349.21,25.763
TAOUSDT,2025-04-26 21:30:00,349.21,349.69,348.82,349.69,65.6
TAOUSDT,2025-04-26 21:35:00,349.69,350.27,348.89,348.89,136.952
TAOUSDT,2025-04-26 21:40:00,348.89,349.24,348.89,349.01,16.887
TAOUSDT,2025-04-26 21:45:00,349.01,349.52,348.86,348.98,19.404
TAOUSDT,2025-04-26 21:50:00,348.98,349.03,348.51,349.03,87.144
TAOUSDT,2025-04-26 21:55:00,349.03,349.03,348.34,348.77,59.495
TAOUSDT,2025-04-26 22:00:00,348.77,349.62,348.77,349.55,32.688
TAOUSDT,2025-04-26 22:05:00,349.55,349.73,348.8,349.32,68.933
TAOUSDT,2025-04-26 22:10:00,349.32,350.07,349.06,350.07,91.4
TAOUSDT,2025-04-26 22:15:00,350.07,350.07,348.93,349.14,82.156
TAOUSDT,2025-04-26 22:20:00,349.14,349.17,348.45,348.74,56.118
TAOUSDT,2025-04-26 22:25:00,348.74,349.18,348.53,348.57,39.694
TAOUSDT,2025-04-26 22:30:00,348.57,348.88,347.2,347.31,125.824
TAOUSDT,2025-04-26 22:35:00,347.31,347.79,347.08,347.35,36.549
TAOUSDT,2025-04-26 22:40:00,347.35,348.45,347.24,348.31,21.028
TAOUSDT,2025-04-26 22:45:00,348.31,349.86,347.99,349.81,2136.094
TAOUSDT,2025-04-26 22:50:00,349.81,349.9,348.92,348.94,98.469
TAOUSDT,2025-04-26 22:55:00,348.94,349.87,348.92,349.55,118.893
TAOUSDT,2025-04-26 23:00:00,349.55,350.0,348.5,348.57,1930.833
TAOUSDT,2025-04-26 23:05:00,348.57,349.54,348.02,349.54,70.536
TAOUSDT,2025-04-26 23:10:00,349.54,349.77,348.7,349.49,204.596
TAOUSDT,2025-04-26 23:15:00,349.49,350.91,349.14,350.03,136.025
TAOUSDT,2025-04-26 23:20:00,350.03,350.03,349.23,349.48,60.794
TAOUSDT,2025-04-26 23:25:00,349.48,350.11,349.48,349.89,31.951
TAOUSDT,2025-04-26 23:30:00,349.89,349.96,348.84,349.15,46.54
TAOUSDT,2025-04-26 23:35:00,349.15,349.54,348.66,348.84,65.08
TAOUSDT,2025-04-26 23:40:00,348.84,348.84,348.01,348.21,130.582
TAOUSDT,2025-04-26 23:45:00,348.21,349.04,348.21,348.45,14.832
TAOUSDT,2025-04-26 23:50:00,348.45,348.77,348.18,348.77,83.384
TAOUSDT,2025-04-26 23:55:00,348.77,348.95,348.49,348.74,31.96
TAOUSDT,2025-04-27 00:00:00,348.74,349.18,346.19,346.45,285.89
TAOUSDT,2025-04-27 00:05:00,346.45,348.76,346.41,348.76,65.576
TAOUSDT,2025-04-27 00:10:00,348.76,350.11,348.48,349.78,149.769
TAOUSDT,2025-04-27 00:15:00,349.78,352.22,349.73,352.2,194.489
TAOUSDT,2025-04-27 00:20:00,352.2,352.72,351.07,352.38,502.293
TAOUSDT,2025-04-27 00:25:00,352.38,352.46,351.0,351.54,305.784
TAOUSDT,2025-04-27 00:30:00,351.54,351.81,350.12,350.87,168.333
TAOUSDT,2025-04-27 00:35:00,350.87,351.3,348.83,349.74,337.42
TAOUSDT,2025-04-27 00:40:00,349.74,351.05,349.74,350.38,124.287
TAOUSDT,2025-04-27 00:45:00,350.38,350.85,349.19,349.19,240.963
TAOUSDT,2025-04-27 00:50:00,349.19,350.14,349.19,349.92,193.702
TAOUSDT,2025-04-27 00:55:00,349.92,349.92,349.02,349.16,153.964
TAOUSDT,2025-04-27 01:00:00,349.16,349.5,347.55,347.72,193.524
TAOUSDT,2025-04-27 01:05:00,347.72,349.3,347.72,349.11,131.565
TAOUSDT,2025-04-27 01:10:00,349.11,351.39,348.49,350.93,97.302
TAOUSDT,2025-04-27 01:15:00,350.93,351.64,349.12,349.24,299.158
TAOUSDT,2025-04-27 01:20:00,349.24,349.31,345.83,347.8,434.977
TAOUSDT,2025-04-27 01:25:00,347.8,348.44,346.49,348.13,78.432
TAOUSDT,2025-04-27 01:30:00,348.13,348.68,342.95,343.44,412.146
TAOUSDT,2025-04-27 01:35:00,343.44,345.74,343.44,345.3,86.128
TAOUSDT,2025-04-27 01:40:00,345.3,346.53,344.8,345.44,62.531
TAOUSDT,2025-04-27 01:45:00,345.44,345.58,343.21,344.24,133.305
TAOUSDT,2025-04-27 01:50:00,344.24,344.65,343.6,344.65,81.95
TAOUSDT,2025-04-27 01:55:00,344.65,345.0,340.59,341.12,463.006
TAOUSDT,2025-04-27 02:00:00,341.12,342.53,340.11,341.98,445.538
TAOUSDT,2025-04-27 02:05:00,341.98,342.8,341.98,342.8,56.693
TAOUSDT,2025-04-27 02:10:00,342.8,344.87,342.8,344.87,142.193
TAOUSDT,2025-04-27 02:15:00,344.87,345.02,343.33,344.7,89.709
TAOUSDT,2025-04-27 02:20:00,344.7,345.74,344.67,345.23,43.177
