symbol,timestamp,open,high,low,close,volume
TGTUSDT,2025-05-21 10:15:00,0.1441,0.1454,0.141,0.141,1986.0
TGTUSDT,2025-05-21 10:20:00,0.141,0.1471,0.137,0.1429,38608.0
TGTUSDT,2025-05-21 10:25:00,0.1429,0.1429,0.1328,0.1359,48816.0
TGTUSDT,2025-05-21 10:30:00,0.1359,0.1391,0.1238,0.1258,45246.0
TGTUSDT,2025-05-21 10:35:00,0.1258,0.1275,0.1189,0.1189,52842.0
TGTUSDT,2025-05-21 10:40:00,0.1189,0.1222,0.115,0.1173,52710.0
TGTUSDT,2025-05-21 10:45:00,0.1173,0.1226,0.1169,0.1175,42384.0
TGTUSDT,2025-05-21 10:50:00,0.1175,0.1246,0.1152,0.1213,43446.0
TGTUSDT,2025-05-21 10:55:00,0.1213,0.1252,0.1201,0.1205,42126.0
TGTUSDT,2025-05-21 11:00:00,0.1205,0.121,0.1166,0.1174,39222.0
TGTUSDT,2025-05-21 11:05:00,0.1174,0.1204,0.1117,0.1126,50070.0
TGTUSDT,2025-05-21 11:10:00,0.1126,0.1205,0.1126,0.1168,47064.0
TGTUSDT,2025-05-21 11:15:00,0.1168,0.1227,0.1166,0.1182,63546.0
TGTUSDT,2025-05-21 11:20:00,0.1182,0.1207,0.1171,0.1179,57132.0
TGTUSDT,2025-05-21 11:25:00,0.1179,0.1252,0.1174,0.1215,60804.0
TGTUSDT,2025-05-21 11:30:00,0.1215,0.1261,0.1203,0.1252,57186.0
TGTUSDT,2025-05-21 11:35:00,0.1252,0.1283,0.1231,0.1262,54894.0
TGTUSDT,2025-05-21 11:40:00,0.1262,0.1302,0.1258,0.1293,46878.0
TGTUSDT,2025-05-21 11:45:00,0.1293,0.1321,0.1261,0.1264,53730.0
TGTUSDT,2025-05-21 11:50:00,0.1264,0.1295,0.1262,0.128,60352.0
TGTUSDT,2025-05-21 11:55:00,0.128,0.1298,0.1267,0.1298,44166.0
TGTUSDT,2025-05-21 12:00:00,0.1298,0.1309,0.128,0.1309,64854.0
TGTUSDT,2025-05-21 12:05:00,0.1309,0.1351,0.1309,0.1351,46836.0
TGTUSDT,2025-05-21 12:10:00,0.1351,0.1351,0.1304,0.1304,55482.0
TGTUSDT,2025-05-21 12:15:00,0.1304,0.1304,0.1251,0.1287,53346.0
TGTUSDT,2025-05-21 12:20:00,0.1287,0.1306,0.1287,0.1296,67956.0
TGTUSDT,2025-05-21 12:25:00,0.1296,0.1297,0.1273,0.1288,77280.0
TGTUSDT,2025-05-21 12:30:00,0.1288,0.1296,0.1269,0.1269,54630.0
TGTUSDT,2025-05-21 12:35:00,0.1269,0.1276,0.1254,0.1262,42948.0
TGTUSDT,2025-05-21 12:40:00,0.1262,0.127,0.1253,0.127,46470.0
TGTUSDT,2025-05-21 12:45:00,0.127,0.1331,0.127,0.1331,70332.0
TGTUSDT,2025-05-21 12:50:00,0.1331,0.1336,0.1297,0.1309,51678.0
TGTUSDT,2025-05-21 12:55:00,0.1309,0.1334,0.1309,0.1323,64143.0
TGTUSDT,2025-05-21 13:00:00,0.1323,0.1346,0.1323,0.1343,53472.0
TGTUSDT,2025-05-21 13:05:00,0.1343,0.1347,0.1298,0.1309,55572.0
TGTUSDT,2025-05-21 13:10:00,0.1309,0.1322,0.1301,0.1322,51600.0
TGTUSDT,2025-05-21 13:15:00,0.1322,0.1322,0.1281,0.1281,48406.0
TGTUSDT,2025-05-21 13:20:00,0.1281,0.1293,0.1276,0.1293,33642.0
TGTUSDT,2025-05-21 13:25:00,0.1293,0.1295,0.1258,0.1259,33751.0
TGTUSDT,2025-05-21 13:30:00,0.1259,0.1276,0.1251,0.1257,37332.0
TGTUSDT,2025-05-21 13:35:00,0.1257,0.1267,0.1253,0.1264,30130.0
TGTUSDT,2025-05-21 13:40:00,0.1264,0.1288,0.1264,0.1281,32868.0
TGTUSDT,2025-05-21 13:45:00,0.1281,0.1289,0.1274,0.1277,31704.0
TGTUSDT,2025-05-21 13:50:00,0.1277,0.1286,0.1273,0.1277,38088.0
TGTUSDT,2025-05-21 13:55:00,0.1277,0.1287,0.1275,0.1285,51444.0
TGTUSDT,2025-05-21 14:00:00,0.1285,0.1288,0.1221,0.1224,28904.0
TGTUSDT,2025-05-21 14:05:00,0.1224,0.1234,0.1193,0.1233,30858.0
TGTUSDT,2025-05-21 14:10:00,0.1233,0.1264,0.1221,0.1221,36708.0
TGTUSDT,2025-05-21 14:15:00,0.1221,0.125,0.1221,0.1242,41172.0
TGTUSDT,2025-05-21 14:20:00,0.1242,0.1242,0.1206,0.1206,38058.0
TGTUSDT,2025-05-21 14:25:00,0.1206,0.1222,0.1182,0.1185,53574.0
TGTUSDT,2025-05-21 14:30:00,0.1185,0.1232,0.1181,0.1228,42768.0
TGTUSDT,2025-05-21 14:35:00,0.1228,0.1255,0.1219,0.125,48440.0
TGTUSDT,2025-05-21 14:40:00,0.125,0.1261,0.1248,0.1257,28773.0
