symbol,timestamp,open,high,low,close,volume
THEUSDT,2025-04-26 14:40:00,0.2971,0.2975,0.2962,0.2962,6283.0
THEUSDT,2025-04-26 14:45:00,0.2962,0.2973,0.2962,0.2968,3736.0
THEUSDT,2025-04-26 14:50:00,0.2968,0.2971,0.2953,0.2954,4922.0
THEUSDT,2025-04-26 14:55:00,0.2954,0.2954,0.2947,0.2947,35352.0
THEUSDT,2025-04-26 15:00:00,0.2947,0.295,0.2944,0.2948,18838.0
THEUSDT,2025-04-26 15:05:00,0.2948,0.2961,0.2948,0.2959,2343.0
THEUSDT,2025-04-26 15:10:00,0.2959,0.2963,0.2952,0.2957,4226.0
THEUSDT,2025-04-26 15:15:00,0.2957,0.297,0.2957,0.2958,4132.0
THEUSDT,2025-04-26 15:20:00,0.2958,0.2969,0.2958,0.2969,4088.0
THEUSDT,2025-04-26 15:25:00,0.2969,0.2977,0.2967,0.2977,3197.0
THEUSDT,2025-04-26 15:30:00,0.2977,0.2977,0.2971,0.2972,3393.0
THEUSDT,2025-04-26 15:35:00,0.2972,0.2989,0.2972,0.2987,5278.0
THEUSDT,2025-04-26 15:40:00,0.2987,0.2995,0.2986,0.2995,3416.0
THEUSDT,2025-04-26 15:45:00,0.2995,0.2997,0.2986,0.2997,14906.0
THEUSDT,2025-04-26 15:50:00,0.2997,0.3004,0.2995,0.2999,2114.0
THEUSDT,2025-04-26 15:55:00,0.2999,0.3006,0.2998,0.3002,3167.0
THEUSDT,2025-04-26 16:00:00,0.3002,0.3002,0.2987,0.2991,3098.0
THEUSDT,2025-04-26 16:05:00,0.2991,0.2991,0.2968,0.2968,3259.0
THEUSDT,2025-04-26 16:10:00,0.2968,0.2973,0.2961,0.2962,3572.0
THEUSDT,2025-04-26 16:15:00,0.2962,0.2974,0.2959,0.2969,6158.0
THEUSDT,2025-04-26 16:20:00,0.2969,0.298,0.2969,0.298,7998.0
THEUSDT,2025-04-26 16:25:00,0.298,0.2982,0.2969,0.2969,2391.0
THEUSDT,2025-04-26 16:30:00,0.2969,0.2969,0.2955,0.2955,2608.0
THEUSDT,2025-04-26 16:35:00,0.2955,0.2955,0.2945,0.2945,2787.0
THEUSDT,2025-04-26 16:40:00,0.2945,0.2948,0.2926,0.2931,5576.0
THEUSDT,2025-04-26 16:45:00,0.2931,0.2946,0.2926,0.2946,6386.0
THEUSDT,2025-04-26 16:50:00,0.2946,0.2947,0.2938,0.2945,2923.0
THEUSDT,2025-04-26 16:55:00,0.2945,0.2953,0.2938,0.2953,3565.0
THEUSDT,2025-04-26 17:00:00,0.2953,0.2973,0.2953,0.2969,3720.0
THEUSDT,2025-04-26 17:05:00,0.2969,0.2978,0.2968,0.2978,1619.0
THEUSDT,2025-04-26 17:10:00,0.2978,0.2982,0.2964,0.2967,7248.0
THEUSDT,2025-04-26 17:15:00,0.2967,0.2993,0.2967,0.2989,4889.0
THEUSDT,2025-04-26 17:20:00,0.2989,0.2991,0.2984,0.2989,4407.0
THEUSDT,2025-04-26 17:25:00,0.2989,0.2998,0.2978,0.2998,7592.0
THEUSDT,2025-04-26 17:30:00,0.2998,0.3005,0.2995,0.3003,3913.0
THEUSDT,2025-04-26 17:35:00,0.3003,0.3003,0.2989,0.2991,2741.0
THEUSDT,2025-04-26 17:40:00,0.2991,0.2996,0.2986,0.2995,4063.0
THEUSDT,2025-04-26 17:45:00,0.2995,0.3001,0.2992,0.2995,3693.0
THEUSDT,2025-04-26 17:50:00,0.2995,0.2995,0.2985,0.2985,1581.0
THEUSDT,2025-04-26 17:55:00,0.2985,0.2985,0.2974,0.2978,4170.0
THEUSDT,2025-04-26 18:00:00,0.2978,0.2978,0.2968,0.2974,3472.0
THEUSDT,2025-04-26 18:05:00,0.2974,0.2991,0.2974,0.2991,4291.0
THEUSDT,2025-04-26 18:10:00,0.2991,0.2991,0.2975,0.2975,4248.0
THEUSDT,2025-04-26 18:15:00,0.2975,0.2984,0.2975,0.298,2677.0
THEUSDT,2025-04-26 18:20:00,0.298,0.2989,0.2976,0.2984,18308.0
THEUSDT,2025-04-26 18:25:00,0.2984,0.2987,0.2982,0.2982,4231.0
THEUSDT,2025-04-26 18:30:00,0.2982,0.2982,0.2972,0.2977,10216.0
THEUSDT,2025-04-26 18:35:00,0.2977,0.2983,0.2975,0.2975,12787.0
THEUSDT,2025-04-26 18:40:00,0.2975,0.2977,0.2973,0.2973,2669.0
THEUSDT,2025-04-26 18:45:00,0.2973,0.2975,0.2966,0.2967,2930.0
THEUSDT,2025-04-26 18:50:00,0.2967,0.2968,0.296,0.2961,2490.0
THEUSDT,2025-04-26 18:55:00,0.2961,0.2961,0.2953,0.2956,4177.0
THEUSDT,2025-04-26 19:00:00,0.2956,0.2959,0.2953,0.2959,6526.0
THEUSDT,2025-04-26 19:05:00,0.2959,0.296,0.295,0.295,2932.0
THEUSDT,2025-04-26 19:10:00,0.295,0.2957,0.295,0.2956,2444.0
THEUSDT,2025-04-26 19:15:00,0.2956,0.296,0.2951,0.2956,2537.0
THEUSDT,2025-04-26 19:20:00,0.2956,0.2956,0.2948,0.2954,2601.0
THEUSDT,2025-04-26 19:25:00,0.2954,0.2962,0.2954,0.296,2614.0
THEUSDT,2025-04-26 19:30:00,0.296,0.2964,0.2954,0.2962,6101.0
THEUSDT,2025-04-26 19:35:00,0.2962,0.2965,0.2959,0.2964,3008.0
THEUSDT,2025-04-26 19:40:00,0.2964,0.2969,0.2964,0.2964,3024.0
THEUSDT,2025-04-26 19:45:00,0.2964,0.2967,0.296,0.296,4843.0
THEUSDT,2025-04-26 19:50:00,0.296,0.296,0.2954,0.2954,3073.0
THEUSDT,2025-04-26 19:55:00,0.2954,0.2965,0.2954,0.296,2307.0
THEUSDT,2025-04-26 20:00:00,0.296,0.2972,0.296,0.2971,2897.0
THEUSDT,2025-04-26 20:05:00,0.2971,0.2981,0.297,0.2974,3776.0
